MANDT,EBELN,EBELP,AEDAT,TXZ01,MATNR,BUKRS,WERKS,LGORT,MATKL,MENGE,MEINS,NETPR,NETWR,BRTWR,MWSKZ,PSTYP,MTART,NTGEW,BRGEW,VOLUM
400,4500000007,00020,20241007,Billion could she.,000000000000100036,1000,1100,0002,SPAR,600.315,KG,2104.97,1263645.07,1491101.18,V1,0,ROH,28.79,38.741,3.16
400,4500000007,00030,20241007,Training or any family character about.,000000000000100037,3000,3100,0002,SERV,795.649,L,4695.56,3736017.62,4408500.79,V3,0,ROH,9.276,35.938,2.513
400,4500000007,00040,20241007,Inside though reality inside add window.,000000000000100038,2000,2100,0002,SPAR,821.047,KG,5621.76,4615729.18,5446560.43,V2,0,ROH,24.975,23.337,0.327
400,4500000007,00050,20241007,Describe give minute.,000000000000100039,2000,3100,0001,SPAR,718.022,KG,1205.05,865252.41,1020997.84,V2,0,ROH,33.213,34.455,0.487
100,4500000008,00010,20240921,Detail fast hard analysis.,000000000000100040,2000,1200,0001,SPAR,743.445,EA,1777.41,1321406.58,1559259.76,V3,1,HALB,24.57,3.74,1.143
100,4500000008,00020,20240921,Crime author away until modern tax.,000000000000100041,3000,1200,0003,SPAR,977.016,KG,2693.71,2631797.77,3105521.37,V1,1,FERT,2.122,19.004,1.9
100,4500000008,00030,20240921,Cold interview knowledge likely collecti,000000000000100042,2000,3100,0002,SERV,600.805,EA,2942.97,1768151.09,2086418.29,V2,1,FERT,39.641,7.082,2.831
100,4500000008,00040,20240921,Entire option see appear front.,000000000000100043,1000,3100,0002,RAW,613.319,EA,3672.51,2252420.16,2657855.79,V3,0,ROH,20.814,43.965,0.218
100,4500000008,00050,20240921,List bed report direction figure price a,000000000000100044,1000,1200,0001,PACK,581.554,EA,4543.54,2642313.86,3117930.35,V3,0,FERT,26.962,15.143,2.304
300,4500000009,00010,20240604,Look force item important rise.,000000000000100045,3000,1200,0003,SPAR,563.501,KG,1617.96,911722.08,1075832.05,V1,1,FERT,1.187,25.675,0.719
300,4500000009,00020,20240604,Kitchen close kitchen expert war.,000000000000100046,2000,1100,0003,SERV,784.878,EA,8068.71,6332952.97,7472884.5,V1,0,HALB,21.246,4.727,1.97
300,4500000009,00030,20240604,Send word fight body way.,000000000000100047,2000,1200,0002,SERV,538.086,KG,6072.8,3267688.66,3855872.62,V3,0,HALB,16.539,24.468,2.633
300,4500000009,00040,20240604,Large wife thousand data suffer weight v,000000000000100048,1000,2100,0002,PACK,74.842,EA,5199.19,389117.78,459158.98,V3,1,HALB,32.144,43.828,2.481
300,4500000009,00050,20240604,Up himself trial choose tough culture tu,000000000000100049,3000,1200,0002,RAW,372.1,KG,4058.5,1510167.85,1781998.06,V2,0,HALB,2.684,1.75,2.595
200,4500000010,00010,20251208,Result pick international again.,000000000000100050,1000,3100,0002,SPAR,759.008,KG,1354.28,1027909.35,1212933.03,V1,0,HALB,24.341,8.148,1.194
200,4500000010,00020,20251208,Early present know she.,000000000000100051,2000,3100,0001,RAW,654.141,KG,5171.09,3382621.98,3991493.94,V3,0,FERT,25.875,47.006,3.466
200,4500000010,00030,20251208,Church draw cold style.,000000000000100052,3000,2100,0003,RAW,201.836,L,2479.33,500418.05,590493.3,V3,1,HALB,13.848,13.956,2.25
200,4500000010,00040,20251208,Good box number policy treat hope song.,000000000000100053,2000,3100,0001,SPAR,879.239,EA,5711.97,5022186.79,5926180.41,V1,1,FERT,22.007,48.539,2.14
200,4500000010,00050,20251208,Bit drop must occur several state.,000000000000100054,3000,1100,0003,PACK,786.107,L,346.65,272503.99,321554.71,V2,1,ROH,2.941,43.201,2.123
200,4500000011,00010,20251119,End safe public war ahead challenge.,000000000000100055,3000,1100,0002,SERV,908.198,KG,6287.18,5710004.3,6737805.07,V3,0,HALB,24.88,21.679,3.865
200,4500000011,00020,20251119,Generation wait by.,000000000000100056,2000,1200,0003,RAW,957.076,EA,4169.68,3990700.66,4709026.78,V1,1,FERT,22.308,44.217,3.096
200,4500000011,00030,20251119,Yard head maybe nor.,000000000000100057,2000,2100,0003,SERV,951.353,L,6346.09,6037371.76,7124098.68,V3,0,FERT,36.834,29.839,1.481
200,4500000011,00040,20251119,Dark whatever condition eight southern f,000000000000100058,3000,1200,0002,SPAR,443.354,KG,6239.61,2766356.05,3264300.14,V1,1,HALB,29.236,43.796,2.661
200,4500000011,00050,20251119,Meet father feel arm.,000000000000100059,1000,2100,0001,RAW,949.403,EA,8162.7,7749691.87,9144636.41,V1,1,FERT,12.01,48.455,1.05
200,4500000012,00010,20240317,Five history same article activity top.,000000000000100060,1000,1100,0001,SPAR,745.358,KG,8420.29,6276130.51,7405834.0,V1,0,HALB,4.149,7.94,1.706
200,4500000012,00020,20240317,Executive season city into kind early.,000000000000100061,2000,1200,0002,PACK,258.847,EA,7182.57,1859186.7,2193840.31,V3,1,HALB,16.187,26.088,0.632
200,4500000012,00030,20240317,Sort establish include analysis.,000000000000100062,1000,2100,0001,SPAR,743.744,KG,2646.08,1968006.12,2322247.22,V2,1,ROH,23.534,10.593,1.018
200,4500000012,00040,20240317,For everyone save standard stop them fut,000000000000100063,1000,3100,0003,SERV,435.029,KG,634.04,275825.79,325474.43,V2,0,FERT,36.499,39.54,1.666
200,4500000012,00050,20240317,Offer boy team law my success some.,000000000000100064,2000,1100,0003,SERV,605.301,EA,1773.15,1073289.47,1266481.57,V2,1,HALB,2.884,16.226,2.051
100,4500000013,00010,20250113,According Mrs quite they that when anima,000000000000100065,1000,3100,0003,PACK,942.345,EA,1798.93,1695212.69,2000350.97,V1,0,HALB,18.887,3.445,1.979
100,4500000013,00020,20250113,Sit especially plant part most cost.,000000000000100066,2000,1200,0003,RAW,940.415,KG,679.91,639397.56,754489.12,V2,1,HALB,6.394,40.11,3.506
100,4500000013,00030,20250113,Use thank rich pay future television.,000000000000100067,3000,2100,0002,PACK,702.347,L,8306.97,5834375.46,6884563.04,V3,1,HALB,28.124,48.164,3.038
100,4500000013,00040,20250113,Chair including black remain and general,000000000000100068,1000,3100,0002,RAW,129.314,L,4228.54,546809.42,645235.12,V3,0,ROH,7.754,1.645,1.078
100,4500000013,00050,20250113,Should position seven above analysis sta,000000000000100069,2000,3100,0003,PACK,693.694,EA,6571.93,4558908.41,5379511.92,V3,0,HALB,31.387,41.74,3.343
400,4500000014,00010,20241007,Include establish support house candidat,000000000000100070,2000,1200,0001,PACK,759.657,EA,7266.14,5519774.11,6513333.45,V3,0,HALB,20.3,19.399,3.62
400,4500000014,00020,20241007,Capital poor imagine man another bar fin,000000000000100071,3000,2100,0001,RAW,623.989,KG,3491.99,2178963.35,2571176.75,V3,1,FERT,38.178,46.387,3.525
400,4500000014,00030,20241007,Stock including them arrive key.,000000000000100072,2000,1100,0003,PACK,639.417,KG,1167.22,746340.31,880681.57,V2,0,HALB,17.793,14.142,1.845
400,4500000014,00040,20241007,Add game college condition back south.,000000000000100073,2000,1200,0003,PACK,824.909,EA,8834.67,7287798.8,8599602.58,V2,0,ROH,23.054,34.257,0.772
400,4500000014,00050,20241007,These major book.,000000000000100074,3000,3100,0002,SERV,363.226,KG,8889.37,3228850.31,3810043.37,V2,0,ROH,24.1,24.381,3.33
400,4500000015,00010,20240905,College attorney wall hot.,000000000000100075,3000,3100,0003,RAW,87.902,EA,5795.8,509462.41,601165.64,V2,1,HALB,34.481,11.505,0.343
400,4500000015,00020,20240905,Garden radio world significant.,000000000000100076,3000,1100,0002,RAW,549.68,KG,3854.83,2118922.95,2500329.08,V2,0,FERT,1.511,30.831,2.673
400,4500000015,00030,20240905,Available do season discussion beat issu,000000000000100077,3000,1100,0003,SPAR,796.664,KG,565.82,450768.42,531906.74,V2,1,FERT,8.094,3.222,0.865
400,4500000015,00040,20240905,Truth central knowledge course.,000000000000100078,2000,3100,0002,SERV,38.738,EA,117.73,4560.62,5381.53,V2,0,ROH,4.296,5.011,3.973
400,4500000015,00050,20240905,Try hold difference civil.,000000000000100079,2000,3100,0001,RAW,271.611,EA,5648.52,1534200.17,1810356.2,V2,1,ROH,39.761,20.873,2.074
100,4500000016,00010,20260116,Type west compare strong their direction,000000000000100080,1000,3100,0001,SPAR,236.987,EA,7439.05,1762958.14,2080290.61,V3,0,FERT,26.305,27.116,3.94
100,4500000016,00020,20260116,Form specific section theory part admit.,000000000000100081,1000,3100,0001,SPAR,459.832,L,315.94,145279.32,171429.6,V2,0,ROH,19.272,26.258,2.736
100,4500000016,00030,20260116,System surface huge church close girl ag,000000000000100082,2000,2100,0002,SPAR,696.665,EA,4076.17,2839724.97,3350875.46,V2,1,FERT,36.74,19.869,0.958
100,4500000016,00040,20260116,Fine middle talk computer than media des,000000000000100083,3000,1100,0001,SERV,911.964,EA,5661.32,5162920.03,6092245.64,V3,1,FERT,34.083,4.039,0.956
100,4500000016,00050,20260116,Bill remain mission crime identify great,000000000000100084,1000,2100,0002,SERV,198.806,KG,8495.95,1689045.84,1993074.09,V3,1,HALB,6.34,7.082,1.616
200,4500000017,00010,20240721,Item between role top.,000000000000100085,2000,1100,0002,PACK,345.014,EA,4196.92,1447996.16,1708635.47,V2,1,FERT,18.058,41.599,1.68
200,4500000017,00020,20240721,Conference huge position trial place.,000000000000100086,3000,3100,0003,PACK,204.152,EA,6283.48,1282785.01,1513686.31,V1,1,FERT,34.041,29.627,0.874
200,4500000017,00030,20240721,First miss market price personal.,000000000000100087,1000,1100,0002,PACK,612.816,L,5412.31,3316750.16,3913765.19,V2,1,FERT,6.069,29.418,2.68
200,4500000017,00040,20240721,Something who stay general hold perhaps ,000000000000100088,3000,3100,0003,RAW,763.405,L,6685.7,5103896.81,6022598.24,V3,0,FERT,24.544,45.043,1.747
200,4500000017,00050,20240721,Address continue cup poor wrong station ,000000000000100089,3000,1100,0001,SPAR,365.183,L,2099.72,766782.05,904802.82,V2,0,FERT,30.201,24.246,2.01
200,4500000018,00010,20250809,Smile here rule edge leave.,000000000000100090,3000,3100,0001,SPAR,226.472,KG,3591.95,813476.1,959901.8,V1,1,ROH,2.698,19.586,3.654
200,4500000018,00020,20250809,Must learn week body science.,000000000000100091,3000,3100,0001,SERV,805.8,KG,5935.83,4783091.81,5644048.34,V3,0,FERT,10.02,17.146,1.318
200,4500000018,00030,20250809,Talk national plan our edge western seni,000000000000100092,3000,1100,0003,RAW,272.369,EA,558.85,152213.42,179611.84,V3,1,ROH,35.83,39.532,3.84
200,4500000018,00040,20250809,Commercial drop positive.,000000000000100093,2000,3100,0002,SERV,72.943,L,1181.47,86179.97,101692.36,V2,1,ROH,10.007,44.742,1.34
200,4500000018,00050,20250809,Good apply eye million during send opera,000000000000100094,1000,1200,0003,SPAR,898.781,EA,1107.6,995489.84,1174678.01,V3,0,HALB,9.54,45.257,3.206
100,4500000019,00010,20250101,Cell design those whose take.,000000000000100095,2000,3100,0003,SERV,199.475,KG,5415.33,1080222.95,1274663.08,V2,0,HALB,39.876,35.823,1.522
100,4500000019,00020,20250101,As outside fall Mr ground no nature.,000000000000100096,3000,1200,0003,PACK,199.314,L,220.36,43920.83,51826.58,V3,0,ROH,5.791,8.027,3.639
100,4500000019,00030,20250101,Way phone rule project.,000000000000100097,2000,1200,0002,RAW,350.867,L,1729.59,606856.05,716090.14,V2,1,HALB,19.462,40.327,2.972
100,4500000019,00040,20250101,Son one left onto small system.,000000000000100098,2000,1100,0001,SPAR,390.685,L,4455.56,1740720.46,2054050.14,V1,1,ROH,9.802,12.29,3.501
100,4500000019,00050,20250101,Memory bed human spring.,000000000000100099,1000,1200,0001,SERV,750.928,EA,356.04,267360.41,315485.28,V1,0,FERT,12.75,3.387,0.124
100,4500000020,00010,20241019,Example hot pay.,000000000000100100,1000,1200,0003,RAW,107.274,L,7004.88,751441.5,886700.97,V1,0,FERT,2.598,1.502,0.474
100,4500000020,00020,20241019,Worry find look mind song leader rise.,000000000000100101,3000,1200,0002,PACK,843.217,EA,6198.81,5226941.97,6167791.52,V3,0,ROH,6.58,7.596,2.783
100,4500000020,00030,20241019,Owner show thought fine dinner.,000000000000100102,2000,1100,0003,PACK,687.777,KG,5849.86,4023399.16,4747611.01,V3,1,FERT,31.452,18.755,2.282
100,4500000020,00040,20241019,On perform of war.,000000000000100103,1000,3100,0001,SPAR,885.359,KG,4311.8,3817490.94,4504639.31,V1,0,FERT,38.576,35.056,0.153
100,4500000020,00050,20241019,Study serious add.,000000000000100104,1000,1200,0002,PACK,734.2,EA,4076.88,2993245.3,3532029.45,V2,1,FERT,17.273,36.731,1.621
200,4500000021,00010,20240725,Happy road go health result present able,000000000000100105,3000,1200,0002,SERV,405.043,L,6322.99,2561082.84,3022077.75,V3,1,ROH,18.796,2.008,2.595
200,4500000021,00020,20240725,Service song tonight while plan practice,000000000000100106,3000,2100,0003,RAW,753.816,L,2709.59,2042532.3,2410188.11,V3,0,HALB,30.046,18.133,3.666
200,4500000021,00030,20240725,We open enter quality person price store,000000000000100107,3000,1200,0002,PACK,200.923,L,5930.28,1191529.65,1406004.99,V3,0,ROH,3.848,12.106,2.657
200,4500000021,00040,20240725,Relate music develop either wind need va,000000000000100108,3000,1200,0002,SERV,649.271,KG,3860.78,2506692.49,2957897.14,V1,0,HALB,35.482,41.825,1.341
200,4500000021,00050,20240725,Weight somebody list particular east lea,000000000000100109,1000,1100,0002,SPAR,653.388,KG,4890.06,3195106.52,3770225.69,V3,1,FERT,28.659,1.786,0.776
300,4500000022,00010,20250418,Laugh baby order I present.,000000000000100110,2000,2100,0003,PACK,120.279,EA,2359.28,283771.84,334850.77,V3,0,FERT,22.919,49.313,3.385
300,4500000022,00020,20250418,Character piece state prove wife.,000000000000100111,3000,3100,0001,PACK,918.192,KG,4057.46,3725527.31,4396122.23,V3,1,FERT,19.372,12.649,0.717
300,4500000022,00030,20250418,Public media identify office him teach w,000000000000100112,3000,2100,0002,RAW,439.438,KG,6039.27,2653884.73,3131583.98,V3,0,ROH,37.718,35.984,3.077
300,4500000022,00040,20250418,Who baby director administration role.,000000000000100113,2000,1200,0002,SPAR,674.701,L,5497.92,3709452.12,4377153.5,V3,1,FERT,25.757,7.267,2.369
300,4500000022,00050,20250418,Billion land various dinner.,000000000000100114,3000,1100,0003,SERV,927.806,L,5082.49,4715564.72,5564366.37,V2,1,ROH,39.345,28.271,1.937
300,4500000023,00010,20240924,Whatever day traditional outside.,000000000000100115,2000,3100,0003,PACK,449.399,KG,4865.49,2186546.34,2580124.68,V1,0,HALB,4.848,28.342,0.65
300,4500000023,00020,20240924,Amount green turn purpose help.,000000000000100116,2000,3100,0001,PACK,451.928,L,2016.33,911235.98,1075258.46,V2,0,ROH,1.627,2.061,2.886
300,4500000023,00030,20240924,Natural partner strategy.,000000000000100117,3000,3100,0002,PACK,208.267,KG,1019.44,212315.71,250532.54,V3,1,ROH,36.351,9.863,3.22
300,4500000023,00040,20240924,Last next true why again.,000000000000100118,2000,1200,0001,PACK,489.282,L,8278.09,4050320.43,4779378.11,V3,1,HALB,23.395,29.33,3.059
300,4500000023,00050,20240924,Treatment day throughout bank good into ,000000000000100119,2000,2100,0001,SPAR,73.712,L,7670.15,565382.1,667150.88,V1,0,HALB,30.046,11.745,2.316
400,4500000024,00010,20250713,Total unit long their.,000000000000100120,1000,1100,0001,PACK,887.025,EA,7473.84,6629482.93,7822789.86,V2,1,HALB,29.138,49.889,2.349
400,4500000024,00020,20250713,Coach score population know time above.,000000000000100121,2000,1200,0003,PACK,780.807,EA,4329.62,3380597.6,3989105.17,V3,0,FERT,6.133,13.814,1.904
400,4500000024,00030,20250713,Hold clearly across.,000000000000100122,3000,1100,0002,SPAR,360.903,L,1166.51,420996.96,496776.41,V3,0,FERT,20.656,6.347,2.418
400,4500000024,00040,20250713,Play teach charge set without clear simp,000000000000100123,2000,1200,0002,RAW,239.89,KG,2190.99,525596.59,620203.98,V3,1,ROH,32.961,18.357,3.501
400,4500000024,00050,20250713,Listen board discussion economy meeting ,000000000000100124,1000,1200,0001,RAW,151.44,L,334.55,50664.25,59783.81,V1,0,FERT,17.473,14.291,1.292
200,4500000025,00010,20251103,Back should hospital quality more messag,000000000000100125,3000,1200,0001,SERV,913.844,EA,4774.67,4363303.53,5148698.17,V1,1,FERT,33.813,35.921,2.762
200,4500000025,00020,20251103,Movie arrive glass.,000000000000100126,3000,1100,0002,PACK,899.468,KG,326.97,294099.05,347036.88,V3,1,FERT,3.153,19.565,1.6
200,4500000025,00030,20251103,Country bank forget sport light night wo,000000000000100127,3000,2100,0002,SERV,459.621,EA,6786.39,3119167.36,3680617.48,V3,1,HALB,5.81,18.796,2.351
200,4500000025,00040,20251103,News scientist respond machine.,000000000000100128,1000,1200,0002,SERV,508.831,EA,2417.81,1230256.68,1451702.88,V2,0,FERT,9.565,43.779,3.157
200,4500000025,00050,20251103,Street adult position protect class redu,000000000000100129,1000,3100,0002,PACK,401.758,EA,8148.2,3273604.54,3862853.36,V1,1,ROH,29.364,38.971,1.425
100,4500000026,00010,20240924,These name account.,000000000000100130,2000,1200,0003,SERV,177.808,EA,8112.56,1442478.07,1702124.12,V3,0,HALB,28.356,6.563,3.633
100,4500000026,00020,20240924,Natural tree pay game audience two.,000000000000100131,2000,2100,0003,RAW,611.463,L,8896.55,5439911.15,6419095.16,V3,1,FERT,23.201,44.744,0.727
100,4500000026,00030,20240924,Finish thus note campaign ability.,000000000000100132,2000,3100,0002,SPAR,177.548,KG,5919.16,1050935.02,1240103.32,V3,1,FERT,9.684,37.499,2.569
100,4500000026,00040,20240924,Possible short tax as.,000000000000100133,1000,3100,0002,SERV,50.667,L,737.08,37345.63,44067.84,V1,0,HALB,6.218,46.815,0.401
100,4500000026,00050,20240924,Type name goal several.,000000000000100134,3000,2100,0002,PACK,252.426,KG,520.3,131337.25,154977.95,V1,0,HALB,29.202,37.455,3.463
200,4500000027,00010,20251129,Answer maybe role.,000000000000100135,1000,2100,0001,RAW,287.354,L,242.65,69726.45,82277.21,V2,1,FERT,32.812,17.606,2.878
200,4500000027,00020,20251129,Piece project center again.,000000000000100136,3000,1100,0001,SPAR,414.609,EA,4323.01,1792358.85,2114983.44,V1,1,ROH,10.281,34.135,1.235
200,4500000027,00030,20251129,Difference up instead.,000000000000100137,2000,2100,0001,SPAR,531.0,KG,2325.31,1234739.61,1456992.74,V1,0,FERT,13.561,15.402,3.769
200,4500000027,00040,20251129,Recently second represent position sign ,000000000000100138,1000,1100,0003,PACK,112.761,EA,6655.04,750428.97,885506.18,V1,0,ROH,19.292,37.786,3.749
200,4500000027,00050,20251129,Tax radio suggest whole war.,000000000000100139,2000,1100,0003,SPAR,728.59,KG,2342.72,1706882.36,2014121.18,V3,1,ROH,25.486,4.541,0.346
100,4500000028,00010,20251210,Book quality item bad.,000000000000100140,1000,1100,0003,PACK,718.218,KG,3789.53,2721708.66,3211616.22,V1,1,FERT,25.378,44.234,3.085
100,4500000028,00020,20251210,Someone couple week behavior.,000000000000100141,2000,2100,0002,SERV,498.174,L,7360.27,3666695.15,4326700.28,V2,1,ROH,15.7,49.653,1.743
100,4500000028,00030,20251210,We street water agency media.,000000000000100142,2000,1200,0001,RAW,675.779,L,3425.64,2314975.57,2731671.17,V2,0,ROH,26.749,23.115,2.113
100,4500000028,00040,20251210,Use suddenly age cup green not.,000000000000100143,2000,1100,0003,SERV,814.468,EA,8559.67,6971577.31,8226461.23,V2,0,FERT,20.161,9.431,3.452
100,4500000028,00050,20251210,Tend finish wind believe range strategy ,000000000000100144,1000,1100,0001,RAW,882.407,L,1516.47,1338143.74,1579009.61,V2,0,HALB,34.137,2.881,3.374
300,4500000029,00010,20241024,Bag question field finally clear.,000000000000100145,1000,2100,0003,RAW,565.882,EA,4333.78,2452408.09,2893841.55,V1,0,ROH,26.508,26.003,2.536
300,4500000029,00020,20241024,Method popular identify once.,000000000000100146,2000,3100,0003,SPAR,754.01,L,5566.34,4197076.02,4952549.7,V2,0,ROH,6.215,48.603,3.218
300,4500000029,00030,20241024,Fund loss imagine writer answer consumer,000000000000100147,1000,3100,0003,SERV,204.04,L,670.47,136802.7,161427.19,V1,1,ROH,7.653,19.613,1.678
300,4500000029,00040,20241024,Radio reduce wish stage next house.,000000000000100148,2000,1200,0002,SERV,543.046,KG,5669.58,3078842.74,3633034.43,V2,1,HALB,21.425,42.216,0.956
300,4500000029,00050,20241024,Travel then task Mrs personal.,000000000000100149,1000,1100,0002,PACK,806.282,EA,2893.85,2333259.17,2753245.82,V3,1,ROH,10.207,39.14,3.604
100,4500000030,00010,20240418,View own indicate medical bit internatio,000000000000100150,3000,3100,0003,RAW,545.492,EA,8123.41,4431255.17,5228881.1,V2,0,FERT,33.895,14.327,0.419
100,4500000030,00020,20240418,Save attack total piece heart.,000000000000100151,2000,1100,0002,PACK,575.5,EA,2803.76,1613563.88,1904005.38,V1,0,ROH,19.746,24.365,2.416
100,4500000030,00030,20240418,Low including card.,000000000000100152,2000,1100,0001,RAW,191.276,L,5880.53,1124804.26,1327269.03,V2,1,HALB,31.162,41.219,2.928
100,4500000030,00040,20240418,Program manager recently pull in network,000000000000100153,2000,1200,0003,PACK,618.082,KG,664.79,410894.73,484855.78,V1,1,HALB,26.705,5.865,2.643
