MANDT,EBELN,BUKRS,BSTYP,BSART,BSAKZ,LOEKZ,STATU,AEDAT,ERNAM,PINCR,LPONR,LIFNR,SPRAS,ZTERM,ZBD1T,ZBD2T,ZBD3T,ZBD1P,ZBD2P,EKORG,EKGRP,WAERS,WKURS,KUFIX,BEDAT,KDATB,KDATE,BWBDT,ANGDT,BNDDT,GWLDT,AUSNR,ANGNR,IHREZ,KTWRT
100,4525726665,C001,K,ZNB,"",X,A,20240831,USER90,00026,00075,V747351,E,PT35,21,40,69,0.789,2.053,P003,003,USD,26.40008,X,20240831,20240801,20250831,20240910,20240920,20240930,20250831,4678602418,5216027132,REF4645,381732.16
200,4532995187,C002,K,ZNB,X,"",B,20251208,USER74,00046,00024,V401439,E,PT27,14,48,76,0.179,2.81,P003,001,EUR,28.23756,X,20251208,20251108,20261208,20251218,20251228,20260107,20261208,6453498368,5194428022,REF7447,330337.46
200,4565692330,C004,F,ZNB,X,X,B,20240728,USER38,00087,00048,V128606,E,PT60,17,56,80,2.971,0.204,P003,002,EUR,22.43521,X,20240728,20240628,20250728,20240807,20240817,20240827,20250728,2942427118,9815783539,REF2112,110836.55
100,4526291694,C003,K,UB,"","",C,20260103,USER55,00088,00076,V735883,E,PT17,16,53,68,1.584,1.337,P001,003,EUR,8.69806,X,20260103,20251204,20270103,20260113,20260123,20260202,20270103,6223533963,4080053761,REF9293,481372.84
100,4507902386,C003,K,FO,X,X,A,20250908,USER23,00096,00072,V514066,F,PT32,21,40,87,3.582,2.34,P001,003,INR,43.31312,X,20250908,20250809,20260908,20250918,20250928,20251008,20260908,4778469614,2163041843,REF9140,324986.45
100,4541498432,C001,F,ZNB,"","",B,20240617,USER46,00088,00020,V500590,D,PT25,12,42,85,2.475,0.646,P001,001,USD,46.69564,"",20240617,20240518,20250617,20240627,20240707,20240717,20250617,9911012150,8090213706,REF9298,414291.57
100,4572213091,C002,K,ZNB,"",X,A,20231109,USER10,00032,00043,V826709,F,PT56,5,46,67,0.618,1.688,P001,003,INR,84.98198,X,20231109,20231010,20241108,20231119,20231129,20231209,20241108,7237029407,4635670639,REF6737,171389.73
100,4595004919,C001,F,UB,"",X,C,20251113,USER7,00087,00018,V444475,D,PT46,7,37,69,3.248,0.363,P002,001,USD,81.69529,X,20251113,20251014,20261113,20251123,20251203,20251213,20261113,2572540958,8283574234,REF3334,31425.0
300,4594876795,C004,F,NB,X,X,B,20240521,USER95,00076,00086,V290767,D,PT47,1,39,82,0.562,1.809,P002,001,USD,82.51596,X,20240521,20240421,20250521,20240531,20240610,20240620,20250521,8398229507,6378210345,REF2813,89852.74
300,4578589106,C001,F,NB,X,X,A,20240307,USER93,00031,00071,V641335,D,PT42,24,32,68,4.421,1.734,P002,002,INR,76.09192,X,20240307,20240206,20250307,20240317,20240327,20240406,20250307,5355461633,5965658002,REF2505,376473.45
200,4596224663,C001,K,NB,"","",C,20230608,USER39,00027,00025,V115420,D,PT35,4,34,73,3.578,1.742,P001,003,EUR,65.70172,"",20230608,20230509,20240607,20230618,20230628,20230708,20240607,3671708859,6133020182,REF1931,292974.07
100,4528971544,C004,K,ZNB,"",X,C,20240410,USER90,00058,00010,V769590,E,PT56,4,30,71,3.597,2.385,P002,001,EUR,19.82037,X,20240410,20240311,20250410,20240420,20240430,20240510,20250410,1803875649,7767048104,REF5694,346615.96
200,4509807384,C003,F,FO,"",X,A,20250213,USER75,00059,00096,V866025,E,PT19,5,38,77,1.167,2.004,P001,003,USD,13.54269,"",20250213,20250114,20260213,20250223,20250305,20250315,20260213,8179614777,8857161167,REF1719,66969.43
100,4511032354,C002,F,ZNB,"",X,A,20240317,USER65,00076,00021,V903644,F,PT54,8,40,67,4.673,1.808,P001,004,USD,33.3587,"",20240317,20240216,20250317,20240327,20240406,20240416,20250317,7425720536,5046066432,REF5552,116483.24
100,4527001267,C002,K,UB,"",X,A,20240408,USER81,00049,00093,V562526,E,PT60,5,40,84,0.763,2.806,P002,002,USD,57.01496,"",20240408,20240309,20250408,20240418,20240428,20240508,20250408,1998064499,8456124611,REF9799,423377.94
300,4512265571,C004,F,FO,X,X,A,20230827,USER11,00086,00061,V236545,D,PT19,23,40,74,2.111,0.454,P002,001,EUR,38.37838,X,20230827,20230728,20240826,20230906,20230916,20230926,20240826,7832452025,2756528062,REF2143,340590.5
100,4580915374,C003,F,UB,"",X,C,20250427,USER97,00091,00063,V966448,D,PT24,30,42,63,3.013,2.542,P002,004,EUR,40.85894,X,20250427,20250328,20260427,20250507,20250517,20250527,20260427,7318013019,6028771926,REF8086,343501.28
300,4563050863,C001,K,UB,"",X,B,20241223,USER29,00055,00034,V178163,D,PT42,13,34,85,0.604,0.497,P001,003,USD,75.47118,"",20241223,20241123,20251223,20250102,20250112,20250122,20251223,1757248549,1569645235,REF6098,171630.95
300,4593801560,C002,F,NB,X,X,C,20250423,USER48,00015,00056,V655683,F,PT15,1,60,86,2.195,2.423,P001,003,EUR,36.66876,X,20250423,20250324,20260423,20250503,20250513,20250523,20260423,9004559510,1195273920,REF7932,109378.5
100,4526749455,C003,K,NB,"",X,C,20241230,USER79,00077,00098,V675230,D,PT23,4,32,62,2.785,2.498,P002,004,INR,60.4879,X,20241230,20241130,20251230,20250109,20250119,20250129,20251230,7727941144,6608688056,REF2264,402178.94
200,4595767747,C003,F,ZNB,X,X,A,20260123,USER57,00029,00065,V987350,D,PT19,6,31,85,4.312,2.852,P002,003,USD,82.27512,X,20260123,20251224,20270123,20260202,20260212,20260222,20270123,1854253441,3868982716,REF6764,460900.57
300,4548557106,C002,F,UB,X,"",B,20230807,USER13,00046,00086,V397202,F,PT34,4,59,87,2.587,2.176,P002,003,INR,55.26752,"",20230807,20230708,20240806,20230817,20230827,20230906,20240806,5640954131,6188955410,REF7382,53589.71
100,4500737968,C001,K,UB,"",X,B,20251103,USER70,00063,00053,V857568,D,PT46,16,37,84,2.228,0.337,P003,004,EUR,63.24492,X,20251103,20251004,20261103,20251113,20251123,20251203,20261103,5743289460,9439326502,REF6105,27359.92
200,4527581943,C003,F,FO,"",X,B,20250125,USER86,00071,00015,V639291,D,PT18,26,54,80,1.261,2.978,P001,001,USD,24.14195,"",20250125,20241226,20260125,20250204,20250214,20250224,20260125,1696329792,3205458263,REF9629,89357.52
200,4508484703,C003,F,ZNB,X,"",A,20250616,USER15,00061,00027,V846725,E,PT31,28,37,82,2.896,2.562,P003,003,USD,77.82798,X,20250616,20250517,20260616,20250626,20250706,20250716,20260616,5646202656,9447850867,REF4760,231604.9
300,4508445140,C001,K,NB,X,X,B,20231022,USER3,00095,00084,V197903,D,PT29,15,60,72,0.741,2.148,P001,004,INR,12.80607,X,20231022,20230922,20241021,20231101,20231111,20231121,20241021,6827455780,8926060197,REF4305,30976.88
100,4536310671,C003,K,NB,"",X,A,20250520,USER83,00082,00045,V722494,D,PT29,1,48,83,4.124,1.227,P003,001,EUR,8.60735,X,20250520,20250420,20260520,20250530,20250609,20250619,20260520,2793979194,2860292016,REF5696,210762.41
300,4591909149,C001,K,ZNB,X,X,B,20250807,USER29,00088,00032,V581687,F,PT16,11,57,80,1.968,1.954,P003,004,INR,6.44783,X,20250807,20250708,20260807,20250817,20250827,20250906,20260807,9289607633,3103510535,REF6446,89657.53
100,4543886264,C003,K,UB,"",X,C,20250711,USER53,00025,00076,V378210,E,PT10,17,43,82,4.679,0.383,P003,002,USD,84.46126,X,20250711,20250611,20260711,20250721,20250731,20250810,20260711,6993710289,2280491838,REF6792,205573.85
300,4518015864,C004,K,FO,"",X,A,20250730,USER9,00013,00018,V417174,F,PT21,13,39,81,1.191,0.738,P002,004,INR,71.02718,"",20250730,20250630,20260730,20250809,20250819,20250829,20260730,7292897382,5998971190,REF6793,118361.68
100,4513733761,C004,F,UB,"","",B,20240826,USER38,00093,00012,V458371,D,PT33,24,51,68,1.907,1.606,P002,002,INR,28.24273,"",20240826,20240727,20250826,20240905,20240915,20240925,20250826,9306064220,1143454673,REF2860,262109.85
200,4500225669,C004,K,NB,X,X,A,20250408,USER61,00058,00028,V649402,F,PT54,18,52,81,4.071,0.478,P002,001,EUR,54.3483,"",20250408,20250309,20260408,20250418,20250428,20250508,20260408,8065701524,6769658911,REF4669,24758.35
200,4509081510,C001,F,FO,X,"",A,20240524,USER50,00034,00042,V740058,F,PT49,23,60,76,3.83,1.802,P003,003,EUR,16.17076,X,20240524,20240424,20250524,20240603,20240613,20240623,20250524,7467240014,3608823948,REF6416,343171.41
300,4598207788,C001,K,UB,X,X,B,20230824,USER87,00062,00052,V520008,E,PT14,13,59,64,3.126,2.361,P001,004,USD,33.55049,"",20230824,20230725,20240823,20230903,20230913,20230923,20240823,8622046035,2509462288,REF3486,78566.73
100,4522519077,C002,F,ZNB,"",X,C,20251020,USER20,00066,00035,V269727,D,PT27,25,53,84,2.966,1.968,P002,004,EUR,73.39612,X,20251020,20250920,20261020,20251030,20251109,20251119,20261020,2137379302,3939759633,REF6109,287201.28
200,4587165867,C004,K,ZNB,X,"",A,20241218,USER1,00018,00057,V485051,D,PT37,10,44,67,4.219,1.741,P002,001,USD,62.11181,"",20241218,20241118,20251218,20241228,20250107,20250117,20251218,7424935391,4779766236,REF7651,431325.78
300,4518809691,C004,K,ZNB,"","",C,20240430,USER18,00038,00026,V110237,D,PT48,8,53,66,0.129,2.147,P002,002,USD,77.75416,"",20240430,20240331,20250430,20240510,20240520,20240530,20250430,1208327913,3753361968,REF7668,306791.26
300,4531170399,C003,F,UB,"","",C,20240627,USER16,00096,00079,V675902,F,PT27,30,31,71,0.181,2.042,P003,001,EUR,56.70053,X,20240627,20240528,20250627,20240707,20240717,20240727,20250627,9971470427,1537341046,REF4416,339094.18
200,4511045002,C003,F,FO,X,X,A,20240305,USER72,00093,00066,V774923,E,PT38,29,58,66,2.183,2.505,P001,004,EUR,48.48376,"",20240305,20240204,20250305,20240315,20240325,20240404,20250305,3745226096,5346715218,REF7052,147149.15
200,4596724247,C003,K,UB,X,X,B,20240628,USER77,00018,00062,V298201,D,PT55,6,51,80,1.232,0.598,P003,004,EUR,54.05793,X,20240628,20240529,20250628,20240708,20240718,20240728,20250628,7143192357,1644958285,REF1697,131368.46
200,4520956804,C002,K,ZNB,X,X,B,20250106,USER24,00093,00088,V414202,F,PT23,10,41,87,1.707,2.306,P003,001,EUR,72.50974,X,20250106,20241207,20260106,20250116,20250126,20250205,20260106,5922010089,5367246195,REF4488,373035.05
300,4517709448,C004,K,FO,X,X,B,20240630,USER84,00076,00087,V198022,E,PT49,13,37,62,2.885,0.85,P002,001,USD,74.7926,X,20240630,20240531,20250630,20240710,20240720,20240730,20250630,9322354698,1684078911,REF2409,381481.3
200,4559905805,C004,F,ZNB,X,"",C,20251212,USER81,00067,00029,V950743,F,PT28,17,57,83,1.221,1.964,P003,003,USD,25.66786,"",20251212,20251112,20261212,20251222,20260101,20260111,20261212,7545050280,2821105730,REF4304,138051.31
200,4502233412,C002,F,UB,"","",C,20250526,USER12,00074,00063,V910883,D,PT22,26,45,67,0.19,1.16,P002,001,EUR,23.13775,X,20250526,20250426,20260526,20250605,20250615,20250625,20260526,4736469917,4719868718,REF7974,417687.89
200,4568023892,C002,F,FO,X,X,A,20241009,USER68,00037,00077,V308324,E,PT25,3,42,81,3.158,0.588,P001,002,EUR,13.32696,"",20241009,20240909,20251009,20241019,20241029,20241108,20251009,8255214843,3686212698,REF5873,286011.34
200,4530377710,C004,F,ZNB,X,X,A,20250430,USER23,00035,00051,V869224,D,PT51,12,31,69,0.529,0.893,P001,002,USD,31.02137,"",20250430,20250331,20260430,20250510,20250520,20250530,20260430,4114430626,7082680961,REF3065,168438.3
100,4559666119,C001,K,UB,X,X,A,20251007,USER13,00070,00093,V542107,E,PT53,11,35,74,4.236,1.227,P003,003,INR,64.44228,"",20251007,20250907,20261007,20251017,20251027,20251106,20261007,9444580201,8388878986,REF8112,218300.9
300,4585100580,C002,F,ZNB,X,X,B,20251104,USER1,00097,00036,V782814,E,PT35,14,34,90,2.494,1.179,P003,002,INR,36.75573,X,20251104,20251005,20261104,20251114,20251124,20251204,20261104,7582234975,3423965909,REF1070,326134.28
100,4520295989,C001,K,NB,"",X,C,20250418,USER48,00078,00036,V250152,D,PT58,7,58,78,3.31,1.989,P003,001,EUR,41.69279,"",20250418,20250319,20260418,20250428,20250508,20250518,20260418,4061272016,2937314642,REF2527,242566.29
300,4530437375,C002,K,FO,"",X,A,20250429,USER21,00047,00027,V865375,D,PT54,4,45,74,3.919,1.846,P002,002,EUR,49.46015,X,20250429,20250330,20260429,20250509,20250519,20250529,20260429,2564708507,9101478877,REF4980,404237.09
100,4549189601,C002,K,FO,"",X,C,20240202,USER79,00043,00096,V466254,E,PT45,23,56,87,2.104,2.315,P001,001,INR,6.47784,X,20240202,20240103,20250201,20240212,20240222,20240303,20250201,9157483710,6564169894,REF1190,11435.84
100,4530039399,C002,F,FO,"","",C,20251108,USER46,00064,00085,V106687,E,PT22,1,53,82,4.412,1.547,P002,001,INR,69.32239,X,20251108,20251009,20261108,20251118,20251128,20251208,20261108,1284306901,9331611196,REF9423,89273.06
200,4536834986,C001,F,UB,X,X,A,20231208,USER74,00080,00022,V307237,E,PT33,21,36,87,0.176,1.355,P003,002,INR,71.80926,X,20231208,20231108,20241207,20231218,20231228,20240107,20241207,7049091842,6344502521,REF9514,488636.39
200,4594112403,C003,K,UB,X,X,A,20250328,USER83,00079,00052,V605302,E,PT40,4,39,68,3.321,0.89,P001,003,INR,19.36135,X,20250328,20250226,20260328,20250407,20250417,20250427,20260328,5214488802,2276649927,REF6819,325953.41
200,4517830080,C002,K,NB,"","",A,20241007,USER97,00037,00053,V684801,E,PT53,7,36,68,1.9,2.984,P002,004,USD,21.4301,"",20241007,20240907,20251007,20241017,20241027,20241106,20251007,3545549586,1214396951,REF9170,92985.33
100,4588847498,C004,F,ZNB,X,"",A,20251003,USER37,00049,00049,V628683,F,PT50,13,45,60,2.412,1.932,P003,004,INR,23.63918,X,20251003,20250903,20261003,20251013,20251023,20251102,20261003,7148376892,5822899912,REF8253,192291.41
200,4537902303,C001,F,UB,"","",C,20241219,USER43,00015,00044,V627571,F,PT28,27,52,71,3.253,2.252,P001,004,EUR,4.16071,X,20241219,20241119,20251219,20241229,20250108,20250118,20251219,7314587880,9111892302,REF4802,282770.29
200,4585787724,C003,F,FO,X,"",A,20240508,USER19,00074,00019,V820203,F,PT35,19,47,89,4.664,2.483,P001,004,EUR,16.48895,X,20240508,20240408,20250508,20240518,20240528,20240607,20250508,4824435029,8584439634,REF9283,267251.28
200,4551032068,C002,F,ZNB,X,"",A,20251103,USER5,00047,00036,V927488,F,PT39,28,52,63,4.785,2.565,P002,003,USD,55.5943,X,20251103,20251004,20261103,20251113,20251123,20251203,20261103,7279047382,3460834717,REF2722,303422.58
200,4575362908,C004,K,ZNB,X,X,A,20231111,USER27,00078,00037,V847071,E,PT15,30,52,90,3.349,0.585,P003,001,EUR,53.46017,X,20231111,20231012,20241110,20231121,20231201,20231211,20241110,4276770145,9715562879,REF3301,110782.43
300,4544349340,C003,K,UB,X,"",C,20251110,USER88,00074,00041,V408474,F,PT21,6,48,72,0.897,2.135,P002,004,INR,27.01732,X,20251110,20251011,20261110,20251120,20251130,20251210,20261110,9816691132,8782257683,REF3348,296984.44
200,4531972745,C002,K,ZNB,X,X,B,20250513,USER40,00086,00035,V121245,E,PT37,10,51,76,2.993,0.547,P002,002,INR,72.33857,X,20250513,20250413,20260513,20250523,20250602,20250612,20260513,9228309882,2814733031,REF9330,113181.39
100,4596737469,C002,K,ZNB,"",X,C,20230830,USER55,00020,00050,V854035,F,PT42,9,45,68,1.575,0.861,P003,002,USD,5.2976,"",20230830,20230731,20240829,20230909,20230919,20230929,20240829,7588358668,3614693577,REF5412,237456.23
300,4541457327,C004,K,UB,"",X,C,20250810,USER9,00085,00044,V364909,D,PT34,27,32,64,1.314,0.967,P003,001,USD,55.80111,"",20250810,20250711,20260810,20250820,20250830,20250909,20260810,9047815388,1129310104,REF3112,472146.62
300,4512568266,C001,K,UB,"",X,C,20240728,USER43,00059,00088,V395338,E,PT12,29,49,63,0.219,2.591,P003,003,EUR,18.02094,X,20240728,20240628,20250728,20240807,20240817,20240827,20250728,6451468770,3213226322,REF8431,155610.67
200,4518962163,C004,K,FO,X,"",A,20251208,USER62,00071,00075,V252384,E,PT34,9,55,60,0.856,1.387,P001,004,INR,2.26915,"",20251208,20251108,20261208,20251218,20251228,20260107,20261208,1164660374,1659833365,REF5822,464933.27
200,4519097754,C001,K,FO,X,X,B,20230721,USER1,00097,00069,V683454,E,PT24,17,32,64,0.447,2.574,P003,001,EUR,47.4545,X,20230721,20230621,20240720,20230731,20230810,20230820,20240720,4832142774,7980232996,REF1514,167619.92
200,4528148941,C002,F,ZNB,"",X,C,20241006,USER42,00074,00053,V578054,D,PT38,3,58,75,1.963,0.576,P003,001,EUR,69.82531,"",20241006,20240906,20251006,20241016,20241026,20241105,20251006,1815510449,7141804562,REF5066,368350.9
100,4556629073,C003,K,NB,"",X,B,20240803,USER23,00069,00021,V705993,D,PT40,2,46,68,2.544,2.464,P002,001,INR,75.73178,X,20240803,20240704,20250803,20240813,20240823,20240902,20250803,4842358039,1051999413,REF4288,207528.91
200,4521412962,C002,K,ZNB,X,"",B,20240102,USER86,00080,00055,V888240,D,PT27,19,41,85,0.794,0.133,P001,003,INR,41.40619,X,20240102,20231203,20250101,20240112,20240122,20240201,20250101,1352512971,5884642760,REF2115,28493.71
200,4538233207,C003,K,FO,X,"",C,20230913,USER10,00053,00071,V349613,E,PT13,23,36,77,2.907,2.929,P003,004,EUR,58.43599,X,20230913,20230814,20240912,20230923,20231003,20231013,20240912,1661646866,7466957603,REF9823,322544.72
300,4522642265,C002,F,ZNB,"","",A,20250703,USER16,00060,00016,V953260,F,PT24,11,33,61,3.983,2.48,P002,001,INR,76.88669,X,20250703,20250603,20260703,20250713,20250723,20250802,20260703,4474314307,7365038281,REF2975,258946.84
200,4508323409,C003,K,NB,X,X,A,20240819,USER71,00050,00039,V109455,E,PT17,3,49,60,4.494,2.083,P001,002,INR,23.37194,"",20240819,20240720,20250819,20240829,20240908,20240918,20250819,9805007490,3370657499,REF3460,156760.19
200,4519651032,C001,F,FO,X,"",B,20250305,USER18,00017,00080,V550543,E,PT22,22,34,67,0.212,1.136,P003,003,INR,23.39185,"",20250305,20250203,20260305,20250315,20250325,20250404,20260305,7750507501,5528879410,REF5001,143469.94
200,4555880003,C001,F,UB,X,X,A,20231115,USER90,00016,00067,V941274,E,PT11,27,52,68,0.311,2.147,P003,004,EUR,25.94792,X,20231115,20231016,20241114,20231125,20231205,20231215,20241114,5559490383,7082179320,REF9349,354095.87
100,4540462039,C003,F,UB,X,"",C,20230612,USER77,00058,00042,V996888,F,PT13,22,42,75,3.911,2.483,P002,002,EUR,82.3827,"",20230612,20230513,20240611,20230622,20230702,20230712,20240611,9002487645,3727235310,REF6204,366238.79
300,4536040497,C002,F,NB,"",X,B,20250910,USER49,00085,00075,V109429,F,PT43,8,59,87,4.365,1.916,P001,001,INR,21.16407,X,20250910,20250811,20260910,20250920,20250930,20251010,20260910,9141552444,4853603124,REF3918,304732.54
100,4554541675,C001,K,UB,"",X,C,20250117,USER28,00027,00072,V972402,D,PT12,27,55,76,4.225,0.95,P002,003,EUR,44.01055,"",20250117,20241218,20260117,20250127,20250206,20250216,20260117,7634232009,7379828159,REF6093,132490.36
300,4595470465,C002,K,UB,X,X,C,20250214,USER1,00075,00022,V873030,F,PT44,21,37,70,1.341,2.663,P003,002,EUR,29.53188,X,20250214,20250115,20260214,20250224,20250306,20250316,20260214,3439799262,6311824691,REF7086,325601.33
200,4520634308,C004,F,UB,X,X,A,20250624,USER85,00036,00017,V632409,D,PT24,24,40,74,2.882,0.985,P001,004,INR,77.82255,"",20250624,20250525,20260624,20250704,20250714,20250724,20260624,7309173618,6992783477,REF9703,346200.24
100,4520609189,C003,F,NB,X,X,C,20250203,USER9,00073,00040,V975853,E,PT13,25,56,88,0.272,0.52,P001,002,EUR,66.10735,"",20250203,20250104,20260203,20250213,20250223,20250305,20260203,4204294252,8264009790,REF7143,446392.77
100,4516465025,C004,F,NB,"","",C,20240507,USER78,00086,00048,V800078,E,PT38,4,36,80,1.957,0.915,P001,002,USD,31.13391,X,20240507,20240407,20250507,20240517,20240527,20240606,20250507,7011963514,5723798262,REF6492,389406.25
100,4506383951,C002,K,FO,X,"",B,20240228,USER49,00025,00091,V373591,F,PT57,11,50,79,2.568,1.602,P002,004,EUR,25.73804,"",20240228,20240129,20250227,20240309,20240319,20240329,20250227,8780604807,6785383771,REF6991,263255.63
200,4565633088,C003,K,ZNB,X,X,C,20240925,USER18,00042,00085,V671372,F,PT10,24,41,87,1.519,1.433,P001,001,INR,31.86456,X,20240925,20240826,20250925,20241005,20241015,20241025,20250925,9429301941,2004970471,REF7482,379082.21
200,4526234805,C001,K,UB,X,"",C,20241012,USER82,00024,00054,V245960,D,PT52,18,54,76,2.17,2.964,P002,001,EUR,26.85314,"",20241012,20240912,20251012,20241022,20241101,20241111,20251012,4160412299,6551659090,REF8241,163254.42
300,4514780655,C003,K,FO,"","",A,20250914,USER69,00061,00075,V793322,F,PT18,13,45,71,2.722,2.734,P001,001,EUR,47.52597,X,20250914,20250815,20260914,20250924,20251004,20251014,20260914,3516216710,8645940949,REF1595,211676.02
200,4531826260,C003,K,FO,"","",A,20250615,USER50,00082,00027,V966687,F,PT41,16,47,82,3.287,1.029,P002,002,EUR,15.10101,X,20250615,20250516,20260615,20250625,20250705,20250715,20260615,2171864925,8335355050,REF7662,179792.39
200,4553776705,C001,F,FO,"","",A,20250212,USER74,00082,00058,V348876,E,PT50,12,37,86,4.068,0.025,P002,002,INR,73.48689,X,20250212,20250113,20260212,20250222,20250304,20250314,20260212,9089345365,2416878790,REF4296,121112.97
300,4589880993,C001,K,UB,"",X,A,20230605,USER52,00038,00087,V713812,F,PT53,29,46,80,3.982,0.228,P001,003,USD,65.99017,"",20230605,20230506,20240604,20230615,20230625,20230705,20240604,4914388080,7449049858,REF2064,488025.29
100,4552259633,C003,F,ZNB,"","",C,20241216,USER93,00074,00071,V172411,D,PT31,20,49,89,4.048,1.163,P003,001,INR,39.49196,"",20241216,20241116,20251216,20241226,20250105,20250115,20251216,3751468578,2212009108,REF7099,480432.36
200,4580187868,C002,F,FO,X,"",C,20250119,USER14,00099,00054,V584264,D,PT54,7,44,86,4.314,2.782,P003,004,INR,5.49489,X,20250119,20241220,20260119,20250129,20250208,20250218,20260119,1269503391,9639314367,REF4565,247443.73
100,4566424780,C003,K,ZNB,X,"",C,20240629,USER40,00060,00067,V213470,D,PT26,21,35,72,4.99,0.349,P003,003,USD,25.4342,"",20240629,20240530,20250629,20240709,20240719,20240729,20250629,3385538634,4068124382,REF6191,86761.19
300,4574618321,C002,K,ZNB,"",X,B,20231202,USER78,00063,00033,V861115,F,PT52,23,48,73,2.609,1.85,P002,002,USD,25.60964,X,20231202,20231102,20241201,20231212,20231222,20240101,20241201,5735062019,8389958076,REF5330,180787.49
100,4512240964,C002,K,FO,"",X,C,20250409,USER22,00064,00080,V615467,E,PT58,26,45,89,0.046,1.997,P002,001,EUR,61.63084,"",20250409,20250310,20260409,20250419,20250429,20250509,20260409,6945807960,9665136298,REF7066,207953.46
100,4567151742,C004,K,UB,"","",C,20250308,USER34,00052,00015,V196632,D,PT49,3,58,70,0.81,1.841,P003,002,EUR,58.71823,"",20250308,20250206,20260308,20250318,20250328,20250407,20260308,7782167094,2358364861,REF9036,61353.43
300,4505193609,C001,F,ZNB,"","",C,20240402,USER49,00045,00070,V983311,F,PT22,19,37,63,4.491,2.738,P003,003,INR,59.57682,X,20240402,20240303,20250402,20240412,20240422,20240502,20250402,2311184791,6048547914,REF6879,166014.08
200,4506584892,C003,F,FO,X,"",A,20250324,USER24,00058,00056,V984461,D,PT24,30,52,64,3.052,1.299,P003,002,USD,3.27577,"",20250324,20250222,20260324,20250403,20250413,20250423,20260324,2081201820,6659038471,REF6379,87661.17
100,4585375234,C002,K,NB,"","",B,20240514,USER1,00015,00016,V718890,E,PT12,7,48,64,4.608,1.368,P001,002,INR,16.67382,"",20240514,20240414,20250514,20240524,20240603,20240613,20250514,6660751677,5264716985,REF7599,132229.55
300,4545012814,C004,F,ZNB,X,"",C,20240308,USER6,00012,00073,V943669,D,PT14,25,60,67,4.618,2.393,P002,003,USD,47.47972,"",20240308,20240207,20250308,20240318,20240328,20240407,20250308,6851532996,3948863871,REF9320,347048.21
100,4532806185,C002,K,ZNB,X,"",A,20241021,USER49,00043,00022,V398356,F,PT12,8,34,70,0.56,1.274,P001,002,USD,3.32675,X,20241021,20240921,20251021,20241031,20241110,20241120,20251021,6306160073,5937849260,REF2352,387222.13
