MANDT,WERKS,LGORT,LGOBE,SPART,XLONG,XBUFX,DISKZ,XBLGO,XRESS,XHUPF,PARLG,VKORG,VTWEG,VSTEL,LIFNR,KUNNR,MESBS,MESST,OIH_LICNO,OIG_ITRFL,OIB_TNKASSIGN
300,PL14,SL04,Storage Location 04,04,"","",2,"","","",SL04,SO04,03,SP09,VEND000054,CUST000054,MES_SYSTEM_14,2,LIC000054,"",""
100,PL15,SL05,Storage Location 05,05,"","",1,X,"",X,SL05,SO05,01,SP10,VEND000055,CUST000055,MES_SYSTEM_15,1,LIC000055,"",""
200,PL16,SL06,Storage Location 06,01,"","",2,"","","",SL06,SO06,02,SP11,VEND000056,CUST000056,MES_SYSTEM_16,2,LIC000056,"",X
300,PL17,SL07,Storage Location 07,02,"",X,2,"",X,"",SL07,SO07,03,SP12,VEND000057,CUST000057,MES_SYSTEM_17,1,LIC000057,X,""
100,PL18,SL08,Storage Location 08,03,"","",1,"","","",SL08,SO08,01,SP13,VEND000058,CUST000058,MES_SYSTEM_18,2,LIC000058,"",""
200,PL19,SL09,Storage Location 09,04,"","",2,"","","",SL09,SO09,02,SP14,VEND000059,CUST000059,MES_SYSTEM_19,1,LIC000059,"",""
300,PL20,SL10,Storage Location 10,05,"","",2,"","","",SL10,SO10,03,SP15,VEND000060,CUST000060,MES_SYSTEM_20,2,LIC000060,"",""
100,PL01,SL11,Storage Location 11,01,X,"",1,X,"","",SL11,SO01,01,SP01,VEND000061,CUST000061,MES_SYSTEM_01,1,LIC000061,X,X
200,PL02,SL12,Storage Location 12,02,"","",2,"","","",SL12,SO02,02,SP02,VEND000062,CUST000062,MES_SYSTEM_02,2,LIC000062,"",""
300,PL03,SL13,Storage Location 13,03,"","",2,"","","",SL13,SO03,03,SP03,VEND000063,CUST000063,MES_SYSTEM_03,1,LIC000063,"",""
100,PL04,SL14,Storage Location 14,04,"","",1,"",X,X,SL14,SO04,01,SP04,VEND000064,CUST000064,MES_SYSTEM_04,2,LIC000064,"",""
200,PL05,SL15,Storage Location 15,05,"",X,2,"","","",SL15,SO05,02,SP05,VEND000065,CUST000065,MES_SYSTEM_05,1,LIC000065,X,""
300,PL06,SL16,Storage Location 16,01,"","",2,"","","",SL16,SO06,03,SP06,VEND000066,CUST000066,MES_SYSTEM_06,2,LIC000066,"",X
100,PL07,SL17,Storage Location 17,02,"","",1,X,"","",SL17,SO07,01,SP07,VEND000067,CUST000067,MES_SYSTEM_07,1,LIC000067,"",""
200,PL08,SL18,Storage Location 18,03,"","",2,"","","",SL18,SO08,02,SP08,VEND000068,CUST000068,MES_SYSTEM_08,2,LIC000068,"",""
300,PL09,SL19,Storage Location 19,04,"","",2,"","","",SL19,SO09,03,SP09,VEND000069,CUST000069,MES_SYSTEM_09,1,LIC000069,X,""
100,PL10,SL20,Storage Location 20,05,"","",1,"","","",SL20,SO10,01,SP10,VEND000070,CUST000070,MES_SYSTEM_10,2,LIC000070,"",""
200,PL11,SL21,Storage Location 21,01,X,"",2,"",X,"",SL21,SO01,02,SP11,VEND000071,CUST000071,MES_SYSTEM_11,1,LIC000071,"",X
300,PL12,SL22,Storage Location 22,02,"","",2,"","","",SL22,SO02,03,SP12,VEND000072,CUST000072,MES_SYSTEM_12,2,LIC000072,"",""
100,PL13,SL23,Storage Location 23,03,"",X,1,X,"",X,SL23,SO03,01,SP13,VEND000073,CUST000073,MES_SYSTEM_13,1,LIC000073,X,""
200,PL14,SL24,Storage Location 24,04,"","",2,"","","",SL24,SO04,02,SP14,VEND000074,CUST000074,MES_SYSTEM_14,2,LIC000074,"",""
300,PL15,SL25,Storage Location 25,05,"","",2,"","","",SL25,SO05,03,SP15,VEND000075,CUST000075,MES_SYSTEM_15,1,LIC000075,"",""
100,PL16,SL26,Storage Location 26,01,"","",1,"","","",SL26,SO06,01,SP01,VEND000076,CUST000076,MES_SYSTEM_16,2,LIC000076,"",X
200,PL17,SL27,Storage Location 27,02,"","",2,"","","",SL27,SO07,02,SP02,VEND000077,CUST000077,MES_SYSTEM_17,1,LIC000077,X,""
300,PL18,SL28,Storage Location 28,03,"","",2,"",X,"",SL28,SO08,03,SP03,VEND000078,CUST000078,MES_SYSTEM_18,2,LIC000078,"",""
100,PL19,SL29,Storage Location 29,04,"","",1,X,"","",SL29,SO09,01,SP04,VEND000079,CUST000079,MES_SYSTEM_19,1,LIC000079,"",""
200,PL20,SL30,Storage Location 30,05,"","",2,"","","",SL30,SO10,02,SP05,VEND000080,CUST000080,MES_SYSTEM_20,2,LIC000080,"",""
300,PL01,SL31,Storage Location 31,01,X,X,2,"","","",SL31,SO01,03,SP06,VEND000081,CUST000081,MES_SYSTEM_01,1,LIC000081,X,X
100,PL02,SL32,Storage Location 32,02,"","",1,"","",X,SL32,SO02,01,SP07,VEND000082,CUST000082,MES_SYSTEM_02,2,LIC000082,"",""
200,PL03,SL33,Storage Location 33,03,"","",2,"","","",SL33,SO03,02,SP08,VEND000083,CUST000083,MES_SYSTEM_03,1,LIC000083,"",""
300,PL04,SL34,Storage Location 34,04,"","",2,"","","",SL34,SO04,03,SP09,VEND000084,CUST000084,MES_SYSTEM_04,2,LIC000084,"",""
100,PL05,SL35,Storage Location 35,05,"","",1,X,X,"",SL35,SO05,01,SP10,VEND000085,CUST000085,MES_SYSTEM_05,1,LIC000085,X,""
200,PL06,SL36,Storage Location 36,01,"","",2,"","","",SL36,SO06,02,SP11,VEND000086,CUST000086,MES_SYSTEM_06,2,LIC000086,"",X
300,PL07,SL37,Storage Location 37,02,"","",2,"","","",SL37,SO07,03,SP12,VEND000087,CUST000087,MES_SYSTEM_07,1,LIC000087,"",""
100,PL08,SL38,Storage Location 38,03,"","",1,"","","",SL38,SO08,01,SP13,VEND000088,CUST000088,MES_SYSTEM_08,2,LIC000088,"",""
200,PL09,SL39,Storage Location 39,04,"",X,2,"","","",SL39,SO09,02,SP14,VEND000089,CUST000089,MES_SYSTEM_09,1,LIC000089,X,""
300,PL10,SL40,Storage Location 40,05,"","",2,"","","",SL40,SO10,03,SP15,VEND000090,CUST000090,MES_SYSTEM_10,2,LIC000090,"",""
100,PL11,SL41,Storage Location 41,01,X,"",1,X,"",X,SL41,SO01,01,SP01,VEND000091,CUST000091,MES_SYSTEM_11,1,LIC000091,"",X
200,PL12,SL42,Storage Location 42,02,"","",2,"",X,"",SL42,SO02,02,SP02,VEND000092,CUST000092,MES_SYSTEM_12,2,LIC000092,"",""
300,PL13,SL43,Storage Location 43,03,"","",2,"","","",SL43,SO03,03,SP03,VEND000093,CUST000093,MES_SYSTEM_13,1,LIC000093,X,""
100,PL14,SL44,Storage Location 44,04,"","",1,"","","",SL44,SO04,01,SP04,VEND000094,CUST000094,MES_SYSTEM_14,2,LIC000094,"",""
200,PL15,SL45,Storage Location 45,05,"","",2,"","","",SL45,SO05,02,SP05,VEND000095,CUST000095,MES_SYSTEM_15,1,LIC000095,"",""
300,PL16,SL46,Storage Location 46,01,"","",2,"","","",SL46,SO06,03,SP06,VEND000096,CUST000096,MES_SYSTEM_16,2,LIC000096,"",X
100,PL17,SL47,Storage Location 47,02,"",X,1,X,"","",SL47,SO07,01,SP07,VEND000097,CUST000097,MES_SYSTEM_17,1,LIC000097,X,""
200,PL18,SL48,Storage Location 48,03,"","",2,"","","",SL48,SO08,02,SP08,VEND000098,CUST000098,MES_SYSTEM_18,2,LIC000098,"",""
300,PL19,SL49,Storage Location 49,04,"","",2,"",X,"",SL49,SO09,03,SP09,VEND000099,CUST000099,MES_SYSTEM_19,1,LIC000099,"",""
100,PL20,SL50,Storage Location 50,05,"","",1,"","",X,SL50,SO10,01,SP10,VEND000100,CUST000100,MES_SYSTEM_20,2,LIC000100,"",""
200,PL01,SL01,Storage Location 01,01,X,"",2,"","","",SL01,SO01,02,SP11,VEND000101,CUST000101,MES_SYSTEM_01,1,LIC000101,X,X
300,PL02,SL02,Storage Location 02,02,"","",2,"","","",SL02,SO02,03,SP12,VEND000102,CUST000102,MES_SYSTEM_02,2,LIC000102,"",""
100,PL03,SL03,Storage Location 03,03,"","",1,X,"","",SL03,SO03,01,SP13,VEND000103,CUST000103,MES_SYSTEM_03,1,LIC000103,"",""
200,PL04,SL04,Storage Location 04,04,"","",2,"","","",SL04,SO04,02,SP14,VEND000104,CUST000104,MES_SYSTEM_04,2,LIC000104,"",""
300,PL05,SL05,Storage Location 05,05,"",X,2,"","","",SL05,SO05,03,SP15,VEND000105,CUST000105,MES_SYSTEM_05,1,LIC000105,X,""
100,PL06,SL06,Storage Location 06,01,"","",1,"",X,"",SL06,SO06,01,SP01,VEND000106,CUST000106,MES_SYSTEM_06,2,LIC000106,"",X
200,PL07,SL07,Storage Location 07,02,"","",2,"","","",SL07,SO07,02,SP02,VEND000107,CUST000107,MES_SYSTEM_07,1,LIC000107,"",""
300,PL08,SL08,Storage Location 08,03,"","",2,"","","",SL08,SO08,03,SP03,VEND000108,CUST000108,MES_SYSTEM_08,2,LIC000108,"",""
100,PL09,SL09,Storage Location 09,04,"","",1,X,"",X,SL09,SO09,01,SP04,VEND000109,CUST000109,MES_SYSTEM_09,1,LIC000109,X,""
200,PL10,SL10,Storage Location 10,05,"","",2,"","","",SL10,SO10,02,SP05,VEND000110,CUST000110,MES_SYSTEM_10,2,LIC000110,"",""
300,PL11,SL11,Storage Location 11,01,X,"",2,"","","",SL11,SO01,03,SP06,VEND000111,CUST000111,MES_SYSTEM_11,1,LIC000111,"",X
100,PL12,SL12,Storage Location 12,02,"","",1,"","","",SL12,SO02,01,SP07,VEND000112,CUST000112,MES_SYSTEM_12,2,LIC000112,"",""
200,PL13,SL13,Storage Location 13,03,"",X,2,"",X,"",SL13,SO03,02,SP08,VEND000113,CUST000113,MES_SYSTEM_13,1,LIC000113,X,""
300,PL14,SL14,Storage Location 14,04,"","",2,"","","",SL14,SO04,03,SP09,VEND000114,CUST000114,MES_SYSTEM_14,2,LIC000114,"",""
100,PL15,SL15,Storage Location 15,05,"","",1,X,"","",SL15,SO05,01,SP10,VEND000115,CUST000115,MES_SYSTEM_15,1,LIC000115,"",""
200,PL16,SL16,Storage Location 16,01,"","",2,"","","",SL16,SO06,02,SP11,VEND000116,CUST000116,MES_SYSTEM_16,2,LIC000116,"",X
300,PL17,SL17,Storage Location 17,02,"","",2,"","","",SL17,SO07,03,SP12,VEND000117,CUST000117,MES_SYSTEM_17,1,LIC000117,X,""
100,PL18,SL18,Storage Location 18,03,"","",1,"","",X,SL18,SO08,01,SP13,VEND000118,CUST000118,MES_SYSTEM_18,2,LIC000118,"",""
200,PL19,SL19,Storage Location 19,04,"","",2,"","","",SL19,SO09,02,SP14,VEND000119,CUST000119,MES_SYSTEM_19,1,LIC000119,"",""
300,PL20,SL20,Storage Location 20,05,"","",2,"",X,"",SL20,SO10,03,SP15,VEND000120,CUST000120,MES_SYSTEM_20,2,LIC000120,"",""
100,PL01,SL21,Storage Location 21,01,X,X,1,X,"","",SL21,SO01,01,SP01,VEND000121,CUST000121,MES_SYSTEM_01,1,LIC000121,X,X
200,PL02,SL22,Storage Location 22,02,"","",2,"","","",SL22,SO02,02,SP02,VEND000122,CUST000122,MES_SYSTEM_02,2,LIC000122,"",""
300,PL03,SL23,Storage Location 23,03,"","",2,"","","",SL23,SO03,03,SP03,VEND000123,CUST000123,MES_SYSTEM_03,1,LIC000123,"",""
100,PL04,SL24,Storage Location 24,04,"","",1,"","","",SL24,SO04,01,SP04,VEND000124,CUST000124,MES_SYSTEM_04,2,LIC000124,"",""
200,PL05,SL25,Storage Location 25,05,"","",2,"","","",SL25,SO05,02,SP05,VEND000125,CUST000125,MES_SYSTEM_05,1,LIC000125,X,""
300,PL06,SL26,Storage Location 26,01,"","",2,"","","",SL26,SO06,03,SP06,VEND000126,CUST000126,MES_SYSTEM_06,2,LIC000126,"",X
100,PL07,SL27,Storage Location 27,02,"","",1,X,X,X,SL27,SO07,01,SP07,VEND000127,CUST000127,MES_SYSTEM_07,1,LIC000127,"",""
200,PL08,SL28,Storage Location 28,03,"","",2,"","","",SL28,SO08,02,SP08,VEND000128,CUST000128,MES_SYSTEM_08,2,LIC000128,"",""
300,PL09,SL29,Storage Location 29,04,"",X,2,"","","",SL29,SO09,03,SP09,VEND000129,CUST000129,MES_SYSTEM_09,1,LIC000129,X,""
100,PL10,SL30,Storage Location 30,05,"","",1,"","","",SL30,SO10,01,SP10,VEND000130,CUST000130,MES_SYSTEM_10,2,LIC000130,"",""
200,PL11,SL31,Storage Location 31,01,X,"",2,"","","",SL31,SO01,02,SP11,VEND000131,CUST000131,MES_SYSTEM_11,1,LIC000131,"",X
300,PL12,SL32,Storage Location 32,02,"","",2,"","","",SL32,SO02,03,SP12,VEND000132,CUST000132,MES_SYSTEM_12,2,LIC000132,"",""
100,PL13,SL33,Storage Location 33,03,"","",1,X,"","",SL33,SO03,01,SP13,VEND000133,CUST000133,MES_SYSTEM_13,1,LIC000133,X,""
200,PL14,SL34,Storage Location 34,04,"","",2,"",X,"",SL34,SO04,02,SP14,VEND000134,CUST000134,MES_SYSTEM_14,2,LIC000134,"",""
300,PL15,SL35,Storage Location 35,05,"","",2,"","","",SL35,SO05,03,SP15,VEND000135,CUST000135,MES_SYSTEM_15,1,LIC000135,"",""
100,PL16,SL36,Storage Location 36,01,"","",1,"","",X,SL36,SO06,01,SP01,VEND000136,CUST000136,MES_SYSTEM_16,2,LIC000136,"",X
200,PL17,SL37,Storage Location 37,02,"",X,2,"","","",SL37,SO07,02,SP02,VEND000137,CUST000137,MES_SYSTEM_17,1,LIC000137,X,""
300,PL18,SL38,Storage Location 38,03,"","",2,"","","",SL38,SO08,03,SP03,VEND000138,CUST000138,MES_SYSTEM_18,2,LIC000138,"",""
100,PL19,SL39,Storage Location 39,04,"","",1,X,"","",SL39,SO09,01,SP04,VEND000139,CUST000139,MES_SYSTEM_19,1,LIC000139,"",""
200,PL20,SL40,Storage Location 40,05,"","",2,"","","",SL40,SO10,02,SP05,VEND000140,CUST000140,MES_SYSTEM_20,2,LIC000140,"",""
300,PL01,SL41,Storage Location 41,01,X,"",2,"",X,"",SL41,SO01,03,SP06,VEND000141,CUST000141,MES_SYSTEM_01,1,LIC000141,X,X
100,PL02,SL42,Storage Location 42,02,"","",1,"","","",SL42,SO02,01,SP07,VEND000142,CUST000142,MES_SYSTEM_02,2,LIC000142,"",""
200,PL03,SL43,Storage Location 43,03,"","",2,"","","",SL43,SO03,02,SP08,VEND000143,CUST000143,MES_SYSTEM_03,1,LIC000143,"",""
300,PL04,SL44,Storage Location 44,04,"","",2,"","","",SL44,SO04,03,SP09,VEND000144,CUST000144,MES_SYSTEM_04,2,LIC000144,"",""
100,PL05,SL45,Storage Location 45,05,"",X,1,X,"",X,SL45,SO05,01,SP10,VEND000145,CUST000145,MES_SYSTEM_05,1,LIC000145,X,""
200,PL06,SL46,Storage Location 46,01,"","",2,"","","",SL46,SO06,02,SP11,VEND000146,CUST000146,MES_SYSTEM_06,2,LIC000146,"",X
300,PL07,SL47,Storage Location 47,02,"","",2,"","","",SL47,SO07,03,SP12,VEND000147,CUST000147,MES_SYSTEM_07,1,LIC000147,"",""
100,PL08,SL48,Storage Location 48,03,"","",1,"",X,"",SL48,SO08,01,SP13,VEND000148,CUST000148,MES_SYSTEM_08,2,LIC000148,"",""
200,PL09,SL49,Storage Location 49,04,"","",2,"","","",SL49,SO09,02,SP14,VEND000149,CUST000149,MES_SYSTEM_09,1,LIC000149,X,""
300,PL10,SL50,Storage Location 50,05,"","",2,"","","",SL50,SO10,03,SP15,VEND000150,CUST000150,MES_SYSTEM_10,2,LIC000150,"",""
100,PL11,SL01,Storage Location 01,01,X,"",1,X,"","",SL01,SO01,01,SP01,VEND000151,CUST000151,MES_SYSTEM_11,1,LIC000151,"",X
200,PL12,SL02,Storage Location 02,02,"","",2,"","","",SL02,SO02,02,SP02,VEND000152,CUST000152,MES_SYSTEM_12,2,LIC000152,"",""
300,PL13,SL03,Storage Location 03,03,"",X,2,"","","",SL03,SO03,03,SP03,VEND000153,CUST000153,MES_SYSTEM_13,1,LIC000153,X,""
100,PL14,SL04,Storage Location 04,04,"","",1,"","",X,SL04,SO04,01,SP04,VEND000154,CUST000154,MES_SYSTEM_14,2,LIC000154,"",""
200,PL15,SL05,Storage Location 05,05,"","",2,"",X,"",SL05,SO05,02,SP05,VEND000155,CUST000155,MES_SYSTEM_15,1,LIC000155,"",""
300,PL16,SL06,Storage Location 06,01,"","",2,"","","",SL06,SO06,03,SP06,VEND000156,CUST000156,MES_SYSTEM_16,2,LIC000156,"",X
100,PL17,SL07,Storage Location 07,02,"","",1,X,"","",SL07,SO07,01,SP07,VEND000157,CUST000157,MES_SYSTEM_17,1,LIC000157,X,""
200,PL18,SL08,Storage Location 08,03,"","",2,"","","",SL08,SO08,02,SP08,VEND000158,CUST000158,MES_SYSTEM_18,2,LIC000158,"",""
300,PL19,SL09,Storage Location 09,04,"","",2,"","","",SL09,SO09,03,SP09,VEND000159,CUST000159,MES_SYSTEM_19,1,LIC000159,"",""
100,PL20,SL10,Storage Location 10,05,"","",1,"","","",SL10,SO10,01,SP10,VEND000160,CUST000160,MES_SYSTEM_20,2,LIC000160,"",""
200,PL01,SL11,Storage Location 11,01,X,X,2,"","","",SL11,SO01,02,SP11,VEND000161,CUST000161,MES_SYSTEM_01,1,LIC000161,X,X
300,PL02,SL12,Storage Location 12,02,"","",2,"",X,"",SL12,SO02,03,SP12,VEND000162,CUST000162,MES_SYSTEM_02,2,LIC000162,"",""
100,PL03,SL13,Storage Location 13,03,"","",1,X,"",X,SL13,SO03,01,SP13,VEND000163,CUST000163,MES_SYSTEM_03,1,LIC000163,"",""
200,PL04,SL14,Storage Location 14,04,"","",2,"","","",SL14,SO04,02,SP14,VEND000164,CUST000164,MES_SYSTEM_04,2,LIC000164,"",""
300,PL05,SL15,Storage Location 15,05,"","",2,"","","",SL15,SO05,03,SP15,VEND000165,CUST000165,MES_SYSTEM_05,1,LIC000165,X,""
100,PL06,SL16,Storage Location 16,01,"","",1,"","","",SL16,SO06,01,SP01,VEND000166,CUST000166,MES_SYSTEM_06,2,LIC000166,"",X
200,PL07,SL17,Storage Location 17,02,"","",2,"","","",SL17,SO07,02,SP02,VEND000167,CUST000167,MES_SYSTEM_07,1,LIC000167,"",""
300,PL08,SL18,Storage Location 18,03,"","",2,"","","",SL18,SO08,03,SP03,VEND000168,CUST000168,MES_SYSTEM_08,2,LIC000168,"",""
100,PL09,SL19,Storage Location 19,04,"",X,1,X,X,"",SL19,SO09,01,SP04,VEND000169,CUST000169,MES_SYSTEM_09,1,LIC000169,X,""
200,PL10,SL20,Storage Location 20,05,"","",2,"","","",SL20,SO10,02,SP05,VEND000170,CUST000170,MES_SYSTEM_10,2,LIC000170,"",""
300,PL11,SL21,Storage Location 21,01,X,"",2,"","","",SL21,SO01,03,SP06,VEND000171,CUST000171,MES_SYSTEM_11,1,LIC000171,"",X
100,PL12,SL22,Storage Location 22,02,"","",1,"","",X,SL22,SO02,01,SP07,VEND000172,CUST000172,MES_SYSTEM_12,2,LIC000172,"",""
