AENAM,BISMT,BREIT,BRGEW,BSTME,DATAB,EAN11,ERNAM,ERSDA,GEWEI,HERKL,HOEHE,KZKFG,LAEDA,LAENG,LIQDT,LVORM,MANDT,MATKL,MATNR,MBRSH,MEINS,MFRNR,MSTAE,MSTDE,MTART,NTGEW,PRDHA,PSTAT,QMPUR,SPART,VOLEH,VOLUM,VPSTA,XCHPF
estradaanna,745043247198073405,42.186,350.553,EA,20231127,2778438943970,kathleen24,20250217,KG,IN,36.726,"",20210706,84.047,20250725,"",100,769544721,635145626849010241,A,KG,1000000126,01,20250324,HAWA,274.503,519534000798617553,K,X,03,M3,0.13,K,X
luisvilla,479974138898192391,6.493,67.188,L,20230708,7096773727866,allenteresa,20211007,KG,IN,52.581,X,20231011,55.516,20240324,"",100,129546877,463423722900127437,C,KG,1000000251,01,20221208,HALB,52.528,568987022438207603,K,"",01,M3,0.019,K,X
shawn92,784316927368560301,64.633,353.892,M,20200921,1347262590325,thomasanthon,20230719,KG,US,5.066,"",20210428,11.645,20241115,"",100,917499485,341958613677760006,M,EA,1000000289,03,20240331,FERT,332.876,358883889642728553,K,"",03,M3,0.004,K,X
dustin30,301529608687192275,30.924,495.062,M,20210217,1637811642915,egreene,20251207,KG,DE,54.886,X,20250212,83.729,20251113,"",100,128822045,577260864410103572,C,KG,1000000371,02,20201028,FERT,393.046,593991032162727603,K,X,02,M3,0.142,K,X
millerjason,502936685562631360,25.339,343.981,EA,20240424,9281756458979,mpayne,20220516,KG,DE,44.613,X,20250515,26.076,20240517,"",100,628370190,118316240315776274,A,M,1000000491,03,20210305,HALB,266.668,349411540638971575,K,"",03,M3,0.029,K,X
lreed,524293079363586742,63.309,78.08,M,20221121,3359897226073,ronaldwright,20240401,KG,US,81.114,X,20240512,10.932,20211107,"",100,739456797,113523483670592093,A,KG,1000000237,02,20221119,ROH,71.138,515761110741475393,K,"",03,M3,0.056,K,""
david93,678379454257227843,58.383,291.351,M,20221010,6469386988370,ballarddanie,20251001,KG,US,10.038,"",20250419,63.342,20201007,"",100,679178145,316356541653310181,A,KG,1000000201,02,20210413,HAWA,262.504,756809628208192593,K,X,02,M3,0.037,K,X
josephbranch,551953051679987932,46.162,275.196,M,20230513,1408024589107,garzaterry,20211127,KG,IN,44.212,"",20250605,68.801,20240102,"",100,372555765,476259435546625354,C,L,1000000481,03,20210228,FERT,201.024,792314530395609355,K,"",02,M3,0.14,K,""
kristin70,993907585187878215,66.53,25.894,L,20240607,1427404067729,thompsonjose,20240401,KG,DE,78.794,X,20260201,45.092,20220826,"",100,686380213,307904587823277888,C,L,1000000299,03,20220718,HAWA,23.631,824824410854626318,K,X,03,M3,0.236,K,""
ashleymurray,971549259952740034,1.01,403.999,EA,20220205,4055868789247,stewartrober,20230319,KG,US,88.002,"",20201017,28.607,20230510,"",100,228206926,529120744778103420,M,EA,1000000070,01,20250428,HAWA,353.845,143972855115559499,K,"",02,M3,0.003,K,""
jacqueline43,890867024226333456,17.078,378.338,L,20250101,5591539160985,rebeccahamil,20240504,KG,DE,85.198,"",20210816,73.406,20210814,"",100,260382242,574432285897713250,A,KG,1000000490,02,20251106,HALB,356.297,836703413978954121,K,X,01,M3,0.107,K,X
beasleywilli,896451366137774767,41.242,47.535,M,20220912,1471679965178,jonathonwood,20201122,KG,US,20.022,"",20250404,67.123,20210727,"",100,917499485,289977777765510888,M,KG,1000000154,02,20210616,ROH,35.278,314475935360674291,K,"",01,M3,0.055,K,""
michaelmarti,668855201047628315,59.529,401.49,EA,20210926,1723130802730,felicia19,20240828,KG,IN,76.674,X,20230603,45.705,20211218,"",100,561892320,405491788930653755,C,L,1000000254,02,20230205,HAWA,282.349,319397758762071162,K,X,02,M3,0.209,K,""
sandra53,366194072961420330,81.661,455.826,L,20210201,1456778891728,jonessarah,20220612,KG,IN,75.227,X,20240530,38.975,20241127,"",100,189209837,448169766557728491,A,M,1000000116,01,20231216,HAWA,371.445,321856618954465210,K,X,03,M3,0.239,K,""
mgardner,444390459241500314,32.208,161.584,KG,20230117,9540968428348,cynthia78,20250930,KG,US,55.394,"",20210317,45.581,20240519,"",100,395979359,781623747926819610,A,KG,1000000096,01,20230825,HALB,133.175,696472494733818112,K,"",01,M3,0.081,K,""
brenda59,279104533317953192,68.384,70.731,EA,20240624,6385823494400,wayne87,20240707,KG,IN,47.047,"",20211205,78.823,20260106,"",100,460490649,841243916379019966,A,EA,1000000232,03,20220719,HAWA,50.155,944739870352587501,K,"",03,M3,0.254,K,""
josethomas,954549489420609202,40.882,230.693,KG,20250225,5441871560326,gabriela73,20230628,KG,CN,34.372,X,20230604,81.574,20231005,"",100,738738468,532210697589349308,C,KG,1000000398,02,20210517,HAWA,187.684,369057812198148538,K,X,02,M3,0.115,K,X
brandicochra,705346072786246114,56.08,230.007,KG,20240816,2881748000773,qsmith,20251206,KG,US,37.455,"",20220227,64.518,20240817,"",100,810867627,592962202534148046,M,EA,1000000480,02,20240321,ROH,194.718,356222986005076455,K,"",03,M3,0.136,K,X
hailey88,159298807351895773,67.094,288.221,L,20221010,6381776912565,matthew66,20210511,KG,CN,53.027,X,20220311,13.95,20230719,"",100,273599279,978739314997141596,C,L,1000000320,02,20200924,HALB,229.273,630609208916093351,K,X,02,M3,0.05,K,""
suttonkimber,871863235263187636,95.36,440.098,KG,20250221,8027676739933,ojohnson,20200930,KG,US,11.184,X,20210501,90.828,20211002,"",100,555359340,623341093700660145,A,M,1000000102,03,20220827,HALB,405.494,846590417613576571,K,"",03,M3,0.097,K,X
ryanhannah,866338423942257390,75.499,68.567,L,20210307,1400444631332,hvasquez,20250425,KG,CN,6.794,X,20211015,18.342,20250316,"",100,404035291,439167624648344021,M,L,1000000071,02,20211117,FERT,62.839,108987648102431910,K,"",01,M3,0.009,K,""
elliottwilli,248146422720413220,35.991,10.856,L,20240801,8467727503155,jamesmiles,20230603,KG,DE,31.516,"",20210405,44.362,20240219,"",100,436070316,268976013243468984,A,KG,1000000107,03,20210225,HAWA,8.486,162624504173509660,K,X,02,M3,0.05,K,""
kimpaul,658261737746225638,12.237,199.594,EA,20220508,4601273612603,catherine40,20210415,KG,IN,5.992,X,20210303,94.365,20250113,"",100,375496420,180461395351568868,A,M,1000000095,02,20240306,HAWA,148.594,902666149852579135,K,"",01,M3,0.007,K,X
matthewbrown,693605197096993631,72.783,160.08,L,20211208,2448776517346,elliottaaron,20220913,KG,DE,21.578,"",20210820,79.31,20230715,"",100,312723107,331511743637150249,C,KG,1000000050,02,20220819,HAWA,138.771,972542392885864544,K,"",03,M3,0.125,K,""
rodney65,514208308717814523,18.345,109.371,L,20220914,7111350254617,michaeltran,20210225,KG,US,1.739,"",20210420,9.116,20220407,"",100,892604363,472051671858977207,C,L,1000000155,01,20210407,ROH,90.873,670365052792175511,K,"",03,M3,0.0,K,X
alan52,253935929832862462,55.041,152.486,EA,20210420,2997136089877,larrychen,20220201,KG,DE,39.207,X,20240802,64.942,20230629,"",100,868985876,599733703297451422,M,M,1000000370,02,20250804,FERT,140.261,190478644402524018,K,X,03,M3,0.14,K,X
stephaniewil,747332737164876608,95.506,495.316,M,20221116,5462713376338,kimberlymill,20240214,KG,IN,66.187,"",20221011,16.67,20240914,"",100,504123769,510225770709549266,C,M,1000000368,02,20240728,HAWA,460.193,543087887447890790,K,"",02,M3,0.105,K,""
carteramy,612348848673438507,69.827,52.604,EA,20230813,1913356909374,mary13,20220803,KG,US,60.111,X,20210930,48.235,20220905,"",100,700374180,257739805707144051,A,M,1000000228,03,20220523,HALB,46.096,140943098646180046,K,X,01,M3,0.202,K,X
ugarcia,873866491614744287,92.649,261.027,M,20210212,5550383732021,dana80,20240207,KG,IN,59.552,X,20241021,72.466,20240206,"",100,678924142,359446985717682917,A,KG,1000000310,02,20201210,HAWA,226.109,584715130054174670,K,X,02,M3,0.4,K,""
zzimmerman,322339372927377033,81.39,309.239,EA,20230506,5395599218491,nicolewillia,20250521,KG,DE,47.27,"",20211222,54.497,20250620,"",100,171649276,500083729679950121,A,M,1000000212,01,20220726,HAWA,233.499,886701161816510509,K,X,02,M3,0.21,K,""
heathmatthew,348242243960762381,79.907,204.12,EA,20250822,3744227934390,jonespatrici,20241013,KG,US,75.738,"",20210520,27.227,20230514,"",100,769544721,586530042712788243,M,KG,1000000213,01,20240418,HAWA,161.066,770618923667225766,K,X,03,M3,0.165,K,""
kimberly07,317002989099888967,13.866,425.018,KG,20201109,6959810624964,rhonda87,20220917,KG,IN,88.289,X,20220907,84.078,20220625,"",100,638872606,489913325966719949,A,M,1000000196,02,20201017,FERT,399.162,588966226156693583,K,X,02,M3,0.103,K,""
knappnicole,739244507057627512,34.355,154.714,EA,20211229,4092639336065,shelleywatso,20230307,KG,DE,16.654,X,20210417,16.472,20230226,"",100,954103624,483509026082794105,A,M,1000000284,03,20250514,ROH,127.06,947349991671033677,K,"",02,M3,0.009,K,""
abigailnelso,467188324462496111,38.003,53.103,EA,20220312,4485644234188,jeremywilson,20250126,KG,US,51.373,"",20220811,97.23,20231031,"",100,486550732,465495531515539353,A,M,1000000248,02,20220131,FERT,38.356,736830019307296782,K,X,03,M3,0.19,K,""
nicholas46,321699917543383550,65.849,260.908,M,20220808,4151203935249,scottgardner,20210531,KG,DE,39.768,X,20251030,50.516,20220518,"",100,798786176,116224031799188000,M,M,1000000481,03,20230819,HALB,192.969,878846534980816479,K,"",01,M3,0.132,K,""
ujackson,829018988760377754,70.33,227.025,M,20220919,7867463202162,zachary15,20240206,KG,DE,73.944,"",20230519,13.106,20201107,"",100,307028764,703628811737232034,C,EA,1000000481,02,20201219,HAWA,204.584,193569569520914112,K,"",01,M3,0.068,K,""
powellmary,197704999867919544,71.443,243.923,L,20211212,5388450465376,lsmith,20250315,KG,CN,67.157,"",20221216,15.931,20260211,"",100,686380213,663981604571607929,A,EA,1000000143,02,20210118,FERT,192.53,445383671296151416,K,"",02,M3,0.076,K,""
oconnornatha,470497389441054739,97.036,19.649,M,20250614,8762479809263,andrew54,20240519,KG,US,44.832,"",20220201,31.651,20220126,"",100,271241237,502195960350776786,M,KG,1000000024,02,20221119,HALB,13.999,419509687694528469,K,X,03,M3,0.138,K,""
arianachrist,515364539557792558,98.405,492.104,M,20201119,8599815865473,fieldsrobert,20250828,KG,DE,54.112,"",20211019,78.716,20221004,"",100,442045104,207132837069550753,A,L,1000000154,01,20231217,HALB,425.778,148323956681037841,K,X,02,M3,0.419,K,""
kari05,986060228883288859,3.435,101.223,L,20230117,2786959509954,bwright,20250624,KG,DE,33.526,X,20210419,35.69,20230227,"",100,547911914,283682418724041492,A,L,1000000377,02,20240516,FERT,79.142,724669974179562172,K,X,02,M3,0.004,K,X
mmullen,382597888193260383,88.166,317.578,KG,20230722,2223714180679,wgonzalez,20210620,KG,US,41.567,X,20240513,8.182,20230115,"",100,249311213,878419063063820509,A,KG,1000000144,01,20250602,FERT,275.169,169712128336883420,K,X,01,M3,0.03,K,X
matthew41,383398061960882871,49.159,418.39,KG,20241218,5821201877766,regina07,20220816,KG,US,23.713,"",20240621,35.0,20210615,"",100,700842396,429305354723221818,M,EA,1000000486,03,20220915,ROH,387.788,248847756448007268,K,"",03,M3,0.041,K,X
margaretspea,514949147361251724,73.582,371.388,L,20201028,1957944287940,emyers,20220218,KG,CN,80.3,"",20211202,51.458,20221120,"",100,504123769,285986365598915690,M,KG,1000000399,01,20220502,ROH,345.194,978796811676242048,K,"",01,M3,0.304,K,X
sharonmcdani,756776353942994385,30.761,11.074,KG,20210413,5222063312042,rwood,20251012,KG,CN,41.682,X,20210208,20.044,20250925,"",100,432115157,886839467647569355,M,L,1000000025,02,20230703,ROH,9.14,348457272292616621,K,X,01,M3,0.026,K,X
amystevens,704268800688247362,71.872,345.043,KG,20220601,8910784858098,dianelowe,20201114,KG,US,94.82,X,20250817,7.037,20240618,"",100,747814723,798164763709031792,M,L,1000000172,01,20211003,FERT,260.388,366120347115940298,K,"",01,M3,0.048,K,X
zphillips,257858206765351145,54.938,107.997,M,20220729,8754272211895,emassey,20201019,KG,IN,48.02,"",20220918,94.684,20240607,"",100,492404398,382346609653141038,C,L,1000000270,03,20211218,HAWA,94.353,433816449382030874,K,X,01,M3,0.25,K,""
zacharywhite,640829681714418732,8.279,466.611,KG,20250902,6855023710651,owagner,20220802,KG,IN,87.395,X,20250729,56.609,20220511,"",100,504944357,239562786691120930,C,KG,1000000113,02,20200824,FERT,410.712,497471726603980274,K,X,02,M3,0.041,K,""
debra63,263772648151084018,45.614,249.58,L,20241014,8830038249524,kristina31,20250623,KG,DE,71.021,"",20220715,32.206,20230221,"",100,678924142,343558802480806176,M,EA,1000000144,03,20220804,ROH,219.655,985846217877421292,K,X,03,M3,0.104,K,""
xramirez,780756665187433180,40.997,440.71,EA,20221004,6981006587126,thompsontiff,20211121,KG,US,42.247,X,20230930,55.809,20230801,"",100,875009063,755193134566507477,M,M,1000000221,02,20201209,HAWA,365.29,552887504181107103,K,X,02,M3,0.097,K,""
bethany79,359022095361371666,81.782,102.636,L,20250723,2265768689189,johnsonkimbe,20211112,KG,IN,51.147,X,20230410,70.752,20210320,"",100,287289938,904429436900508366,A,L,1000000069,02,20240512,HALB,83.981,326102739465182646,K,"",03,M3,0.296,K,""
timothy95,836495759983765141,73.678,169.548,L,20240515,1877319473135,lanejessica,20240715,KG,CN,85.997,X,20250824,49.347,20241108,"",100,686380213,230177549805312711,M,KG,1000000054,03,20210920,HAWA,160.529,421043676189513973,K,"",01,M3,0.313,K,""
bwade,240433836521884136,42.569,466.035,KG,20220821,9776362037481,elizabethsmi,20220308,KG,CN,77.193,X,20220630,98.203,20230306,"",100,607574281,177554977052857191,M,L,1000000323,02,20230509,HAWA,418.952,599196943284492278,K,"",02,M3,0.323,K,""
gcastillo,663676027181816751,4.313,337.227,M,20200903,6841523271341,thompsonmary,20241225,KG,IN,61.633,"",20250517,93.682,20250531,"",100,651764809,546309504586835022,C,EA,1000000372,01,20240503,HAWA,310.645,578400916012072597,K,"",01,M3,0.025,K,X
spencerdavid,254292309044362942,2.869,217.869,L,20230513,6195055199667,lespinoza,20250615,KG,CN,50.938,"",20220402,68.291,20240930,"",100,292847923,854140543992400495,A,M,1000000381,03,20220920,HAWA,188.151,968441643122679861,K,"",01,M3,0.01,K,""
hernandezwil,404704594168742873,2.96,429.012,KG,20221113,7252162606834,jameshansen,20250102,KG,CN,64.095,X,20230419,7.603,20221218,"",100,626841745,572597988670400239,C,L,1000000154,02,20220107,FERT,331.001,598881838113950566,K,X,02,M3,0.001,K,""
phillip33,566399017106667511,53.686,46.938,KG,20240924,3420653019922,gregory86,20250214,KG,IN,46.488,X,20250202,24.351,20221217,"",100,955924228,195484831766783727,M,KG,1000000482,01,20220603,FERT,33.701,181359437417508640,K,X,02,M3,0.061,K,""
david46,943628588632206747,5.774,312.608,M,20250610,1111026457057,charles38,20260210,KG,DE,51.877,"",20220725,12.359,20230516,"",100,351152247,404162798246236909,M,M,1000000013,02,20210703,HALB,251.366,747077511080656142,K,"",01,M3,0.004,K,""
chendavid,513951863875149151,66.06,331.468,L,20230508,8721654464324,porr,20210404,KG,CN,24.04,"",20251101,22.638,20220116,"",100,955924228,238258774927008069,C,L,1000000438,02,20231201,ROH,266.287,657127541279583968,K,X,02,M3,0.036,K,X
ireyes,482576858365005792,34.931,229.205,L,20211223,4142163533489,johncline,20210916,KG,DE,17.591,"",20220505,47.317,20220416,"",100,971136934,922368539183047251,C,KG,1000000486,03,20210807,ROH,182.543,609863944434391085,K,"",01,M3,0.029,K,""
helenthomas,596237815943035196,7.43,416.108,M,20210518,2944431205147,fpoole,20251207,KG,CN,14.973,"",20230418,99.063,20230129,"",100,892604363,482064805357952563,A,KG,1000000067,03,20230507,HAWA,356.386,659923185089989657,K,"",03,M3,0.011,K,X
randysmith,516573794738483310,40.519,289.446,EA,20260204,8647921707220,alexander99,20211207,KG,DE,62.094,X,20201227,36.591,20221011,"",100,142631312,332128654612499488,A,EA,1000000026,03,20221206,FERT,245.252,599971244255339626,K,"",02,M3,0.092,K,X
boydmaria,861443553096396999,8.354,322.256,M,20230102,1072801266388,riverakristi,20250817,KG,US,33.74,X,20250612,13.249,20241230,"",100,774276924,876223101522784783,M,M,1000000488,03,20240912,HALB,270.323,959577619758495086,K,"",03,M3,0.004,K,X
xrivera,267015598626230429,96.66,121.12,EA,20211117,1569829952362,reginaromero,20230614,KG,IN,83.564,X,20251005,89.826,20251016,"",100,154933113,291745941402491402,A,L,1000000312,03,20231209,HALB,86.574,531847252888099742,K,X,01,M3,0.726,K,""
echen,124391413883906444,99.377,374.401,L,20250616,8016713970746,nbuchanan,20230720,KG,IN,33.684,"",20210313,11.274,20220129,"",100,853418451,281599701953835075,A,KG,1000000238,02,20241111,HALB,283.15,240999992307719421,K,"",01,M3,0.038,K,X
salazarerin,940727419307618008,39.911,157.515,L,20240517,7306530240587,jamestaylor,20230314,KG,CN,97.062,"",20200920,86.088,20240318,"",100,670462340,590714150816953027,C,KG,1000000417,03,20231027,HAWA,120.758,795602625535991235,K,X,01,M3,0.333,K,X
rachel20,537732032338731448,88.317,412.738,EA,20241212,1353223992326,sawyermiguel,20220402,KG,DE,97.314,"",20221003,58.002,20210215,"",100,527809127,450279066915925979,C,L,1000000137,02,20250511,HALB,349.3,641348619547934825,K,X,02,M3,0.498,K,X
mark11,245677036374637250,48.441,324.322,L,20210628,9613832065316,kristensmith,20210512,KG,US,74.326,X,20230223,62.156,20230917,"",100,555359340,413719007693166094,C,KG,1000000295,03,20250920,HAWA,236.633,227702799824405951,K,"",03,M3,0.224,K,""
chadjarvis,497441966816576919,24.002,238.424,L,20250930,4567094098692,zthompson,20240530,KG,IN,48.114,"",20201029,96.695,20250510,"",100,333594470,705351817723551462,A,L,1000000231,02,20240724,FERT,194.311,166849142116251599,K,"",01,M3,0.112,K,""
mvelez,920284842360043710,84.577,47.459,KG,20241207,2941982497986,ewhite,20220301,KG,IN,14.628,"",20230622,41.498,20210307,"",100,747814723,107965361617079655,M,L,1000000204,03,20250903,HAWA,38.651,765665155227137628,K,"",01,M3,0.051,K,X
amberrussell,737037518319499246,77.868,108.985,KG,20240619,4499903358928,lindsay50,20250518,KG,IN,22.368,"",20210812,73.628,20201225,"",100,561892320,670238379192410351,A,M,1000000049,02,20210211,HALB,81.274,324762735620365029,K,X,01,M3,0.128,K,""
townsendange,317277052855997223,5.082,197.046,EA,20221129,5838307863377,johnsonmatth,20220324,KG,CN,98.708,"",20220516,52.923,20230704,"",100,504944357,867026804195562919,M,KG,1000000451,02,20210718,HAWA,141.123,856317613265128783,K,X,03,M3,0.027,K,X
yweaver,837019413866997935,90.032,253.057,KG,20241210,9659632455245,qkey,20241024,KG,US,42.126,"",20241216,44.487,20220704,"",100,315764346,386187667633632297,A,KG,1000000408,03,20230920,FERT,232.441,503200717017130058,K,X,02,M3,0.169,K,""
rebeccahunt,190409290914863272,9.961,87.952,EA,20240513,7850182248211,haynesamy,20251111,KG,CN,38.882,X,20210613,56.367,20230327,"",100,213851780,869404416416647604,C,L,1000000312,02,20240320,FERT,70.22,415113561060576617,K,"",02,M3,0.022,K,X
jcoleman,722392408158128764,55.344,194.071,M,20240329,6426932639041,wagnertammy,20241215,KG,US,44.116,"",20210817,97.145,20201101,"",100,416248413,577368188167373919,A,KG,1000000021,03,20221104,FERT,159.126,584504318049712119,K,"",03,M3,0.237,K,X
