CHARG,ERSDA,LBDLL,LBEIN,LBFLL,LBFLQ,LBILL,LBILQ,LBINS,LBJIN,LBLAB,LBRUE,LBSPR,LBUML,LBVEI,LBVIN,LBVLA,LBVLL,LBVLQ,LFGJA,LFMON,LIFNR,MANDT,MATNR,SOBKZ,WERKS
B614680,20230612,20240916,32.887,001,003,003,002,123.022,2025,988.361,"","",128.191,30.208,100.223,842.025,001,002,2025,08,V000714,100,645803277971022128,O,P020
B752170,20250313,20250909,43.406,002,003,001,001,237.428,2024,3886.497,X,X,303.343,38.068,202.481,3269.93,001,002,2026,04,V000954,100,146119981795905075,K,P027
B967630,20240509,20250611,178.591,003,001,001,002,903.017,2026,4998.953,X,"",642.748,161.518,844.187,4027.953,001,003,2026,02,V000150,100,196583118873331534,"",P042
B160961,20250113,20250513,158.004,003,002,001,001,298.898,2022,2880.466,"","",569.611,132.323,239.775,2321.565,003,003,2025,03,V000387,100,722382937859965052,K,P033
B555291,20250615,20240801,13.383,003,002,001,001,67.328,2022,401.481,"",X,56.524,11.098,55.562,375.093,001,002,2024,04,V000469,100,366321151746855250,K,P010
B387850,20250418,20231114,35.844,001,001,001,001,409.536,2024,2561.373,"",X,332.709,30.801,365.728,2062.388,002,001,2025,02,V000058,100,328265321063441315,O,P038
B929319,20230709,20251024,42.066,001,003,001,003,166.124,2026,1959.098,X,X,229.307,37.348,151.573,1782.951,002,002,2023,03,V000921,100,972841906412048310,O,P019
B256489,20240831,20260120,20.813,002,003,002,002,54.257,2024,835.267,"",X,124.013,18.527,48.469,727.748,001,003,2023,06,V000452,100,998065054630432851,O,P027
B346284,20250809,20230619,55.652,001,001,003,002,97.627,2023,781.289,"","",90.373,45.632,79.259,653.554,002,001,2026,11,V000689,100,608079724022507545,O,P033
B653898,20240314,20250815,151.965,003,002,003,002,373.231,2026,4102.009,X,"",423.082,132.833,345.931,3308.23,002,001,2023,06,V000322,100,587387343840534291,O,P027
B625517,20230922,20240519,272.643,003,001,001,001,462.71,2024,3681.576,"",X,199.21,238.488,375.123,3080.454,001,002,2023,05,V000157,100,195704772221303007,O,P034
B954015,20230703,20240911,237.098,002,001,003,002,400.556,2024,3348.895,"","",301.586,214.695,331.26,2806.753,001,002,2024,07,V000764,100,711708406302747969,O,P010
B322023,20251226,20251228,223.545,001,003,003,003,315.903,2026,3283.458,"","",176.619,197.987,265.435,3007.679,002,003,2024,07,V000486,100,507996290267584088,K,P026
B612532,20240618,20250128,246.205,001,001,003,003,401.484,2025,3407.055,X,"",294.343,206.131,372.789,3225.36,003,003,2025,03,V000137,100,866904525497810289,K,P021
B446417,20240113,20251109,84.383,002,001,003,002,778.642,2023,4573.749,"","",861.008,69.916,633.244,3806.795,002,003,2023,03,V000474,100,174089672952063494,O,P016
B377485,20240909,20250127,116.927,002,002,001,001,366.319,2025,3716.309,"","",408.362,99.398,304.313,3264.642,002,002,2023,03,V000333,100,685842922012743031,K,P025
B705175,20240928,20231208,2.114,002,001,001,002,4.115,2026,55.982,X,"",6.203,1.715,3.678,52.624,002,003,2025,02,V000482,100,866968745147280790,O,P009
B263061,20240413,20240601,118.254,003,001,002,002,112.841,2026,1226.473,"","",234.5,99.231,102.351,1101.655,001,002,2022,02,V000898,100,879628441898408255,K,P033
B621178,20250522,20240519,251.16,003,003,001,001,802.497,2023,4676.902,X,"",810.376,219.527,689.798,4002.637,002,003,2025,02,V000098,100,809290414349772830,K,P039
B235047,20250310,20240325,121.697,001,001,001,001,228.945,2025,1877.216,"","",166.226,114.216,199.727,1661.607,003,003,2026,07,V000032,100,499012431632087181,K,P013
B432545,20251114,20230930,64.92,001,001,003,001,580.678,2024,2984.899,X,X,422.208,58.279,499.789,2391.04,003,002,2024,09,V000639,100,639979055003505056,O,P022
B533557,20250804,20241204,149.048,001,002,001,003,291.379,2022,1609.838,"",X,190.043,139.082,248.289,1504.807,003,003,2024,07,V000401,100,457176300737914600,"",P038
B168040,20231206,20250321,4.874,001,003,003,003,14.469,2024,147.892,"","",10.458,4.434,13.707,126.892,002,002,2022,08,V000687,100,611835834287883955,K,P011
B512371,20240114,20240525,162.874,001,002,003,001,161.392,2026,2992.886,"",X,334.91,152.153,149.441,2597.97,003,002,2022,11,V000862,100,328897589215411248,"",P042
B575376,20241110,20230529,421.811,001,003,003,002,440.648,2022,4277.893,"",X,223.634,384.122,378.369,3711.155,002,003,2024,10,V000455,100,492986948437123522,O,P011
B773062,20250702,20231114,10.741,002,001,001,001,34.109,2022,193.133,X,"",34.943,9.207,28.586,163.353,002,002,2024,04,V000963,100,288818980872552508,K,P015
B244993,20240131,20241017,151.134,001,001,001,001,374.426,2024,4268.712,X,"",824.534,127.146,302.492,3646.531,002,002,2023,12,V000029,100,432964228101043912,"",P007
B416641,20230721,20250718,173.497,003,001,002,002,186.502,2022,2059.096,"","",350.68,139.739,161.492,1709.225,002,002,2025,02,V000241,100,847482401277175418,O,P027
B847375,20230710,20250614,1.993,001,003,003,002,29.2,2025,162.221,"","",22.594,1.746,25.708,137.499,001,001,2024,08,V000948,100,736356930619797994,"",P043
B459241,20250123,20241112,39.27,003,002,003,001,263.003,2022,1581.51,X,X,137.094,35.066,223.245,1295.016,002,003,2022,05,V000958,100,171956630605870561,K,P036
B251860,20241114,20250817,334.459,003,002,002,002,302.117,2023,4254.361,X,"",465.388,279.85,249.518,3522.649,002,003,2022,12,V000845,100,481523593992317264,O,P040
B935560,20241025,20241016,102.455,001,002,001,003,595.616,2024,3301.281,X,"",483.251,86.719,523.172,2899.511,003,003,2025,09,V000501,100,668777855281515804,K,P004
B441370,20240527,20250802,179.384,003,002,002,001,267.373,2026,3444.67,"","",550.455,161.41,246.212,3243.256,002,001,2025,11,V000146,100,542799941310455096,K,P047
B467010,20250404,20241123,103.668,003,003,002,002,216.621,2024,3032.727,"",X,503.234,90.578,177.84,2725.702,002,003,2026,08,V000834,100,715713605582350563,K,P048
B480581,20230710,20260211,71.091,002,003,001,001,215.511,2024,3508.779,X,X,513.845,63.245,198.251,3192.068,003,002,2026,06,V000675,100,565406046189598930,"",P005
B848650,20251004,20240606,111.953,001,001,003,001,244.338,2024,1505.035,"",X,295.39,97.36,217.028,1348.603,001,002,2022,08,V000462,100,985317168423626100,"",P023
B320041,20231103,20230601,130.17,001,002,003,002,341.695,2024,4324.791,"","",543.519,120.334,290.632,3912.638,003,002,2026,11,V000363,100,382319253460471240,O,P048
B840821,20240308,20250807,163.626,003,001,001,003,582.458,2022,3142.34,"","",538.745,148.603,468.62,2646.207,003,003,2024,08,V000860,100,466282911605440676,K,P025
B541523,20250425,20250904,120.385,003,002,003,001,93.941,2024,1227.473,"",X,198.384,97.93,76.359,1031.528,001,002,2022,04,V000259,100,834445652087863550,O,P010
B312716,20230704,20231105,332.926,003,001,003,003,626.686,2024,4523.122,X,X,846.11,285.11,533.227,3648.735,002,003,2023,07,V000032,100,954674900567321434,K,P027
B659249,20240210,20230928,1.479,002,001,001,001,7.473,2026,58.619,X,X,6.153,1.337,6.818,55.282,001,002,2024,06,V000842,100,400018050746843085,O,P008
B801921,20230724,20240206,202.41,003,002,003,002,624.627,2022,3511.247,"","",313.744,175.094,581.684,2945.676,001,001,2026,12,V000739,100,296056612618175504,"",P034
B778071,20230527,20250706,67.015,003,001,001,002,58.993,2026,844.084,"","",67.678,59.54,48.161,752.06,002,002,2022,08,V000925,100,462400146000643236,"",P045
B769219,20230913,20251130,387.129,002,002,001,003,655.636,2026,4369.978,"","",236.297,310.393,609.926,3612.888,002,003,2022,12,V000556,100,893306080529985149,K,P020
B844134,20251130,20240224,88.796,002,003,002,001,172.796,2024,2174.961,X,X,348.634,75.71,156.155,2012.791,003,001,2023,10,V000005,100,874544756351409985,K,P043
B304583,20230608,20240917,130.94,002,003,003,002,223.104,2023,4073.092,"",X,231.496,106.276,192.804,3696.668,002,001,2026,01,V000512,100,474460339825551352,O,P033
B338469,20250518,20240102,314.749,001,002,001,003,948.102,2025,4834.611,X,X,958.965,293.461,845.875,4482.093,001,002,2022,04,V000167,100,830248203478466057,"",P003
B385159,20251017,20251114,120.023,003,002,003,003,190.079,2024,1410.869,X,X,180.593,107.046,161.29,1142.01,003,003,2023,12,V000472,100,333708336412573366,O,P005
B904434,20251220,20250705,48.127,001,002,002,002,140.363,2026,1686.078,X,"",91.552,45.708,113.913,1505.883,002,002,2025,04,V000857,100,554643993477732633,K,P032
B582617,20240824,20250417,104.941,003,002,001,001,229.448,2023,2105.283,"","",386.306,95.549,205.721,1805.759,003,002,2025,02,V000365,100,550495997114688299,K,P049
B151108,20240130,20240226,286.684,003,003,002,002,489.761,2025,3233.699,"",X,494.327,267.484,416.599,3060.21,002,002,2024,02,V000284,100,264856986489346115,"",P031
B833868,20230711,20240330,40.801,002,002,002,001,59.303,2024,429.239,X,"",57.011,35.53,53.997,348.543,001,003,2026,03,V000847,100,711730387217488486,"",P016
B176838,20260204,20251220,104.136,002,001,002,003,181.614,2026,1433.441,X,"",111.658,87.362,162.967,1324.292,003,002,2024,07,V000177,100,482263938605224706,K,P047
B869784,20240325,20250124,119.332,003,001,002,002,324.984,2022,2212.874,"","",335.168,112.685,282.636,1978.491,003,003,2025,07,V000966,100,855628978487043234,K,P037
B843057,20230825,20230702,6.332,003,002,003,001,112.119,2024,580.984,"",X,89.23,5.959,105.417,544.838,001,003,2023,01,V000090,100,126758962200047434,K,P031
B482461,20240219,20230601,332.887,001,002,001,001,615.591,2024,3350.329,"","",415.672,267.369,505.854,2689.492,002,002,2024,01,V000389,100,629489182520955542,K,P048
B394817,20240208,20231101,128.201,002,002,001,002,72.79,2026,1387.598,"",X,95.599,111.567,65.443,1163.458,002,002,2026,06,V000840,100,341596328215705170,O,P042
B618259,20240506,20240114,236.753,003,001,001,002,440.579,2024,3170.263,X,X,306.43,203.18,415.446,2812.725,003,001,2022,10,V000285,100,207606713514393162,O,P008
B381029,20241221,20240428,279.164,002,003,001,003,402.367,2022,4004.716,X,X,737.363,255.545,381.803,3388.901,001,003,2025,04,V000158,100,566414524889556476,K,P010
B115634,20230723,20260202,1.73,003,001,002,002,12.616,2024,95.701,X,"",12.874,1.639,11.075,76.952,002,001,2025,03,V000497,100,612936031493807444,"",P026
B304196,20260204,20230710,128.134,002,003,001,003,515.566,2024,4549.156,X,"",616.044,113.316,459.752,3688.614,001,001,2026,11,V000104,100,449305941013677449,"",P043
B261569,20250526,20231222,76.51,001,003,002,003,188.559,2026,1866.642,"","",326.006,69.02,169.367,1608.984,001,003,2025,04,V000646,100,617211200119510844,"",P003
B540014,20240901,20240917,139.539,002,001,002,002,358.502,2026,2464.116,"",X,201.813,126.482,320.462,2280.832,001,002,2024,02,V000314,100,494126303668171894,O,P032
B591199,20250403,20251028,107.312,002,003,003,001,209.243,2025,3037.739,"",X,577.658,91.871,188.927,2832.262,001,001,2024,02,V000155,100,140757387896140385,O,P046
B911640,20250401,20250627,37.506,003,002,001,002,145.234,2023,895.365,"","",45.191,34.511,117.844,790.759,003,001,2022,12,V000922,100,400142513829670860,"",P028
B827099,20241223,20240110,415.708,003,003,001,003,544.179,2024,4445.983,"","",337.31,342.223,465.821,3765.009,002,002,2025,05,V000971,100,262109804981283623,K,P037
B168871,20250605,20260108,222.485,001,002,003,002,785.513,2022,4709.362,X,"",570.968,197.098,678.059,4139.626,002,001,2026,12,V000106,100,794349375276154986,K,P009
B527168,20240801,20230926,286.711,002,003,003,003,328.549,2024,3885.299,"","",346.961,261.089,289.393,3461.01,003,003,2025,06,V000665,100,716141183064803854,K,P020
B629476,20240114,20250216,247.127,003,002,003,003,259.85,2022,3096.368,"","",581.901,225.601,235.017,2677.481,002,001,2025,10,V000691,100,505234331154860201,O,P027
B759628,20230805,20250611,132.915,001,003,002,002,529.489,2023,3601.206,"","",475.627,108.831,472.508,3205.14,002,001,2024,06,V000198,100,740356851727854132,K,P018
B936438,20230623,20231114,299.78,003,003,002,002,605.937,2022,3246.289,X,"",645.603,259.587,535.636,3058.145,001,002,2026,09,V000374,100,662600796459160081,K,P048
B939734,20250128,20240309,169.625,001,002,003,001,842.469,2023,4773.238,X,"",414.22,149.388,723.848,4390.304,002,002,2025,10,V000714,100,841862362294883707,"",P041
B546762,20240804,20240512,40.483,002,001,001,001,58.697,2023,620.065,"","",57.864,35.08,55.156,540.582,003,003,2022,08,V000660,100,369605289236875930,K,P010
B383040,20240127,20251211,388.464,002,001,001,001,538.67,2026,4134.05,"","",368.686,312.029,456.136,3570.532,001,001,2022,04,V000197,100,167494767075670045,"",P013
B522612,20240514,20230615,128.865,003,001,002,002,516.949,2023,3516.902,"",X,601.233,113.563,470.399,3275.317,001,001,2022,09,V000075,100,111137506897227878,"",P032
B293122,20241014,20250411,92.202,003,001,001,001,218.5,2024,3356.952,"",X,315.625,86.386,192.381,2993.687,003,003,2024,04,V000731,100,159880813454036872,K,P008
B719816,20230823,20250517,338.258,003,001,001,001,772.118,2023,3965.04,"","",765.739,308.843,625.125,3374.191,001,001,2022,03,V000774,100,617159439152998126,K,P029
B564720,20241217,20250916,125.543,002,002,002,003,103.906,2022,1306.464,"",X,99.037,102.641,93.43,1074.234,003,003,2026,08,V000753,100,856492020247538240,O,P024
B740077,20250121,20240712,188.636,003,002,003,003,328.478,2024,2356.041,"",X,316.232,160.838,271.84,2116.279,002,001,2024,09,V000606,100,534259274953118452,"",P032
B863684,20251219,20250426,45.236,001,002,001,001,85.83,2026,751.635,"",X,92.371,39.474,81.217,704.391,002,003,2023,08,V000983,100,262771271710487912,O,P034
B666808,20250903,20240521,19.434,001,003,002,003,140.929,2024,1342.77,"","",267.695,15.678,116.597,1086.596,002,003,2026,05,V000424,100,491317538770643223,"",P004
B248278,20250624,20240717,77.617,002,003,001,001,346.638,2024,3630.7,X,X,537.734,68.634,291.812,3331.151,002,001,2026,07,V000360,100,632811086711163625,O,P024
B286151,20231028,20240723,23.424,002,002,002,001,286.481,2022,1700.364,"",X,274.885,21.306,237.659,1530.031,001,001,2025,02,V000395,100,779294565588532834,K,P042
B411848,20241123,20260107,125.402,001,001,003,002,865.139,2024,4587.511,"","",472.996,114.751,755.054,4108.65,003,002,2026,06,V000914,100,466103835546771612,O,P006
B504474,20240216,20230524,127.681,003,001,003,003,328.108,2026,3244.889,X,X,584.282,110.027,285.865,2810.427,003,003,2024,04,V000600,100,525389845718666322,K,P044
B742066,20260122,20241124,10.55,003,003,001,001,49.622,2022,410.447,X,X,41.438,9.714,40.953,366.808,003,003,2023,07,V000001,100,663865735683680298,O,P028
B318923,20240529,20231210,77.001,002,001,002,002,422.918,2022,2861.026,X,"",475.958,72.435,396.185,2694.803,001,002,2026,03,V000458,100,970854956191108978,"",P038
B398329,20240604,20240528,418.743,001,001,001,001,648.064,2024,4199.438,"",X,589.549,348.964,579.37,3895.664,002,003,2023,09,V000341,100,660998432049486384,K,P031
B206362,20241116,20241012,40.161,002,003,001,003,142.749,2024,799.385,"","",148.047,34.157,115.849,683.424,002,001,2026,02,V000057,100,498939660606363965,"",P013
B391041,20250116,20260112,165.051,002,001,002,002,263.542,2023,2275.263,"",X,413.926,143.114,219.724,1849.012,002,003,2024,10,V000235,100,544460313277147761,K,P008
B390102,20241010,20251223,107.377,001,001,002,001,186.957,2024,2319.579,"",X,296.779,101.138,173.102,2129.944,002,002,2026,01,V000820,100,506314111007952608,"",P034
B903661,20240407,20240530,56.177,002,002,001,001,424.476,2025,3319.301,X,X,255.745,49.952,382.836,2762.966,003,002,2024,01,V000474,100,416513438089288813,"",P009
B903909,20230726,20241210,86.983,001,003,001,003,229.487,2023,1190.178,"",X,231.084,75.949,192.486,1116.976,002,001,2026,02,V000497,100,656333448221374505,K,P032
B845624,20240618,20250527,248.392,003,001,003,001,560.907,2026,3158.149,X,X,260.646,216.895,521.631,2820.106,001,001,2023,11,V000673,100,925480878815382228,"",P038
B832570,20240319,20250604,57.557,001,001,001,002,212.612,2023,1596.073,"",X,301.339,52.645,181.119,1467.09,002,003,2024,05,V000723,100,313986402155848358,O,P025
B740755,20240210,20250417,145.218,002,001,003,001,441.889,2026,2770.413,"",X,219.349,128.217,413.338,2478.979,001,003,2024,10,V000476,100,307466905133190001,O,P002
B141642,20250601,20250909,54.768,001,002,002,002,235.44,2026,1987.234,"","",183.697,44.434,204.277,1619.719,001,001,2025,09,V000473,100,929468851568985835,O,P014
B770636,20250801,20230924,99.099,003,003,001,003,89.901,2026,1727.82,"",X,188.662,80.944,76.51,1486.728,003,001,2024,02,V000067,100,787313266048518126,K,P003
B615576,20240720,20231109,261.88,003,001,001,002,194.537,2022,3352.379,"",X,367.553,244.024,172.014,3137.984,002,002,2022,10,V000733,100,660178878152885293,O,P027
B579278,20241017,20240426,89.599,002,003,001,001,79.449,2024,1140.343,X,"",90.841,77.406,69.54,1029.662,001,002,2026,12,V000448,100,267577746256706910,O,P020
B827456,20250118,20250813,37.426,001,003,002,001,61.734,2023,1208.862,"",X,131.079,32.768,54.105,970.953,002,001,2026,09,V000100,100,446143927658127720,O,P003
B991935,20240821,20240815,249.688,001,003,001,001,401.809,2023,3631.228,"",X,398.119,217.096,322.834,3151.032,003,003,2025,06,V000190,100,202432729579707826,O,P049
B187716,20240314,20231028,206.509,002,002,003,002,782.403,2024,4594.156,X,"",803.566,168.523,728.414,4330.916,003,003,2023,10,V000710,100,496627071721388813,"",P014
B893615,20250303,20250414,37.279,001,001,003,003,164.192,2022,863.435,X,X,64.932,31.22,143.401,798.298,002,003,2024,11,V000817,100,211664041937487896,O,P038
B191544,20240423,20250503,29.12,003,003,003,001,300.079,2026,1748.527,X,"",138.753,26.123,276.734,1499.639,001,001,2023,03,V000039,100,524790668722036037,K,P019
B108819,20230807,20240310,68.725,001,002,001,003,226.831,2022,1812.079,X,X,192.84,61.264,213.516,1461.083,002,003,2023,04,V000241,100,828617297880940312,"",P015
B114329,20230817,20240207,151.882,003,003,002,002,348.707,2026,3612.866,X,X,333.926,136.512,291.653,3156.869,001,003,2023,03,V000372,100,515909218414826954,K,P032
B411937,20250913,20250605,187.4,002,001,002,003,122.614,2026,1897.987,"",X,230.481,170.619,106.799,1524.098,001,003,2022,04,V000508,100,568000284680505505,K,P030
B978605,20250310,20231228,47.282,003,002,002,001,221.039,2025,1958.271,X,"",108.412,42.471,179.664,1732.245,003,001,2023,09,V000382,100,238432958801026837,"",P031
B926631,20260126,20260122,288.66,003,002,001,003,309.578,2026,4108.078,"",X,600.483,248.178,261.414,3659.394,002,002,2024,01,V000501,100,585446306658971094,"",P011
B955494,20240528,20230622,143.21,003,001,001,002,614.577,2023,3339.319,"",X,547.82,135.704,543.29,3001.943,003,001,2026,09,V000189,100,105712250592404880,O,P004
B922738,20250511,20251204,122.581,001,001,001,001,177.701,2025,2126.055,"","",207.646,99.657,158.013,1817.198,003,003,2023,07,V000606,100,260476199413223788,O,P018
B573059,20240310,20240508,75.123,002,003,003,002,476.89,2022,4111.795,X,"",653.086,60.456,443.697,3456.88,003,002,2024,01,V000903,100,130912998990069758,O,P020
B367524,20250605,20240629,65.011,002,002,002,002,214.482,2024,1144.929,X,"",112.238,52.398,195.996,924.402,002,001,2022,12,V000858,100,393660344218661481,O,P010
B948739,20240928,20230610,81.583,001,002,002,002,412.866,2022,2234.186,"","",393.892,73.463,342.857,1870.441,003,002,2023,07,V000835,100,741984991462686006,K,P038
B275930,20250301,20240716,61.66,002,002,001,001,563.974,2024,3019.293,"","",369.072,50.143,464.91,2733.087,001,002,2026,04,V000077,100,278367675087477652,"",P015
B609791,20240727,20240711,109.919,003,001,003,001,234.616,2023,2857.769,X,X,275.703,98.598,207.214,2289.295,002,003,2022,10,V000007,100,980346051556588086,K,P012
B224550,20250826,20231029,354.979,002,001,001,002,440.951,2022,4932.338,X,"",731.281,305.39,409.245,4135.295,001,001,2025,07,V000479,100,726720765375996493,O,P016
B439066,20241218,20250623,71.983,001,001,003,002,278.827,2022,2406.164,X,X,127.999,60.522,224.324,2218.99,001,001,2023,03,V000308,100,438324333654581296,O,P013
B339909,20251226,20230704,17.416,002,001,001,001,23.515,2023,203.809,X,X,24.401,15.78,21.96,168.826,003,002,2025,08,V000472,100,313414106549280668,O,P005
B529590,20231204,20240526,65.939,001,001,001,002,100.163,2022,743.661,X,"",123.099,55.578,82.249,692.081,003,003,2023,09,V000526,100,442553032600096787,K,P019
B699867,20230519,20250512,350.344,003,002,002,002,664.294,2026,3556.441,X,"",432.417,287.456,589.32,2890.558,001,003,2025,09,V000415,100,440777300862402684,K,P002
B628113,20231227,20241001,117.5,002,001,001,002,274.398,2026,1970.721,X,"",265.408,98.854,232.716,1837.371,002,003,2023,01,V000553,100,917997259966156041,"",P014
B568952,20241201,20250207,98.338,003,002,002,003,216.138,2022,1689.653,X,"",264.832,84.72,201.777,1596.924,001,002,2023,10,V000187,100,423770393100987110,"",P043
B466722,20250731,20240719,280.851,002,003,001,003,295.861,2026,3584.529,"",X,543.674,253.826,271.528,3011.147,001,001,2025,02,V000424,100,291211142819724120,K,P024
B104483,20260126,20231220,128.329,002,002,002,001,564.225,2024,3126.74,X,X,314.515,109.873,514.626,2548.134,003,003,2025,02,V000294,100,913589453979344717,K,P040
B360363,20251024,20250303,73.271,001,002,001,001,220.694,2024,1501.448,"","",147.587,68.198,194.711,1246.671,003,003,2025,04,V000668,100,158174864042874970,K,P030
B388322,20230612,20260125,103.093,001,001,003,002,673.485,2025,4050.629,"","",652.475,89.314,551.433,3713.593,002,001,2025,10,V000838,100,121654224357438550,"",P045
B137664,20241020,20241129,57.571,002,003,001,002,55.49,2025,714.376,"",X,100.347,50.14,49.387,613.958,002,003,2025,08,V000996,100,357890422640872126,"",P009
B382822,20230819,20230815,80.889,003,002,003,001,377.987,2026,1930.319,"",X,109.892,73.707,317.145,1669.651,001,001,2024,11,V000580,100,630853652782361336,O,P028
B994752,20230907,20250125,190.079,003,003,002,001,631.681,2026,4487.584,X,"",589.504,168.695,595.029,3636.533,003,001,2024,09,V000751,100,381601344260469973,K,P008
B265315,20231022,20240628,318.138,001,001,003,003,611.904,2025,4276.063,"",X,589.72,280.796,503.874,4036.004,002,001,2024,04,V000273,100,187377909768547346,"",P022
B893011,20250124,20240523,86.828,002,001,003,001,746.367,2024,3843.344,"",X,438.678,76.378,616.477,3278.877,002,003,2025,06,V000354,100,895535406893400684,"",P013
B671559,20240319,20240405,59.423,003,001,001,001,220.462,2025,1267.17,"",X,78.448,56.252,200.522,1042.315,002,002,2024,05,V000980,100,102760293302002339,K,P024
B271808,20251118,20240724,227.426,003,001,003,002,713.874,2022,3735.828,"","",610.322,209.256,631.874,3024.355,003,002,2023,03,V000735,100,539108802118616003,"",P041
B194291,20250322,20241201,362.051,003,003,003,002,792.26,2024,4156.457,"","",467.27,320.314,749.716,3630.078,001,002,2023,11,V000922,100,349740692302656312,O,P046
B906994,20230926,20230623,104.728,002,001,001,003,165.382,2026,1231.134,X,X,99.048,96.129,138.32,1098.938,002,001,2024,02,V000068,100,704291523354017552,K,P028
B696785,20240122,20240528,88.664,001,001,001,003,142.326,2024,1042.511,X,X,130.788,76.013,113.945,907.971,002,001,2024,11,V000898,100,470529541138615763,K,P026
B363033,20250520,20241126,209.114,001,002,003,003,727.733,2022,3819.3,X,X,595.34,169.448,601.301,3558.283,002,003,2025,08,V000362,100,212008500942067481,"",P006
B728100,20251228,20240307,60.803,003,003,003,001,189.662,2022,974.777,X,"",168.628,56.683,169.251,842.866,002,003,2022,08,V000021,100,209845346388303773,"",P007
B460480,20230806,20251017,56.216,001,003,001,002,116.067,2024,606.483,"",X,70.366,52.891,97.649,538.723,002,002,2023,09,V000092,100,886522395444192884,K,P013
B493831,20250321,20240414,81.846,002,003,001,001,146.973,2026,830.701,X,X,46.878,69.769,126.376,697.546,001,002,2026,11,V000732,100,740356851727854132,"",P039
B266425,20250916,20250303,19.592,003,001,001,002,167.545,2023,1337.707,X,X,170.275,18.23,134.533,1138.039,002,003,2025,08,V000628,100,550552403258111637,O,P050
B871156,20240312,20240513,109.293,002,002,003,003,131.16,2024,2489.238,X,"",487.054,96.604,115.608,2261.194,001,001,2026,12,V000348,100,592002847371535926,O,P042
B664624,20240207,20241011,51.175,003,001,001,003,139.373,2025,718.606,X,"",103.359,42.364,113.353,643.29,002,001,2023,01,V000006,100,352382029677389191,O,P044
B797150,20250913,20240412,285.993,001,001,002,001,535.346,2023,3512.013,"","",615.638,255.318,479.063,3211.52,002,002,2025,10,V000966,100,118574347032606710,K,P014
B427263,20251014,20231102,78.425,002,001,003,003,67.852,2023,922.343,X,"",155.192,71.336,64.069,860.727,002,001,2024,03,V000327,100,139407186998471676,K,P023
B754603,20240318,20250508,7.38,003,002,001,002,110.083,2022,558.638,X,"",100.645,6.588,93.181,481.536,001,001,2025,03,V000833,100,372116370273358113,"",P008
B951464,20240619,20240530,145.04,003,001,002,003,560.17,2025,4466.412,X,"",565.874,130.711,488.206,4098.614,003,003,2023,11,V000173,100,611995270889056295,K,P032
B502265,20241002,20250526,34.644,002,003,002,002,227.936,2025,3004.897,"","",484.492,29.626,199.562,2555.388,003,001,2026,11,V000736,100,335693959719220896,O,P016
B506440,20251030,20240604,71.034,002,001,003,003,188.631,2025,1386.557,"","",187.209,65.85,176.526,1214.429,003,003,2022,10,V000011,100,560817219184012101,"",P003
B425358,20250915,20241022,12.751,003,003,002,002,125.466,2024,985.003,X,X,188.902,11.065,116.522,870.879,001,002,2026,10,V000911,100,156562412995462515,"",P009
B835089,20230801,20250806,78.627,001,003,001,003,252.935,2022,1428.472,X,X,74.252,72.995,210.041,1169.656,002,001,2025,10,V000856,100,169024166741896867,O,P018
