BSKRF,DISKZ,DLINL,EINME,ERSDA,HERKL,INSME,KEINM,KINSM,KLABS,KSPEM,KZILE,KZILL,KZILQ,KZILS,KZVLE,KZVLL,KZVLQ,KZVLS,LABST,LBSTF,LFGJA,LFMON,LGORT,LGPBE,LMINB,LSOBS,LVORM,LWMKB,MANDT,MATNR,MDJIN,MDRUE,PRCTL,PSTAT,RETME,SPEME,SPERR,UMLME,VKLAB,VKUML,VMEIN,VMINS,VMLAB,VMRET,VMSPE,VMUML,WERKS
1.0546,"",20260204,203.503,20231126,DE,438.291,25.992,111.564,680.587,31.907,"","","","","","","","",4807.276,302.496,2025,01,S033,BIN167,393.47,22,"",399,100,419074188872973964,2026,X,5261561937,K,91.155,233.396,"",412.085,86363.36,12057.19,169.108,355.874,4376.7,82.365,201.061,354.936,P013
0.8183,"",20240904,308.805,20240814,CN,291.695,76.787,30.111,407.704,72.289,"","","","","","","","",6831.664,845.502,2026,04,S083,BIN723,161.692,89,"",794,100,823076089068515543,2026,"",3809589493,K,82.93,214.498,X,619.296,233606.94,7918.45,265.627,246.745,6418.057,71.784,203.069,568.865,P047
0.9514,"",20240725,203.49,20241116,US,149.978,92.322,19.445,490.92,44.976,"","","","","","","","",4088.729,905.295,2022,05,S016,BIN522,183.213,31,"",774,100,592483536201879308,2022,"",5543368354,K,22.088,120.717,"",262.213,157853.79,4571.84,162.823,138.422,3576.814,19.601,98.598,244.357,P047
1.0443,2,20251222,294.512,20230922,IN,536.208,143.9,151.798,431.721,31.815,"","","","","","","","",6018.852,117.347,2026,08,S065,BIN698,118.3,31,"",812,100,519894417258085869,2024,X,9223238791,K,44.117,221.074,X,786.937,200224.8,33959.54,268.733,466.059,5518.578,40.843,182.083,680.831,P036
0.9584,1,20250423,282.647,20251209,IN,745.841,75.552,174.137,661.682,157.525,"","","","","","","","",7915.869,841.706,2023,03,S023,BIN950,406.954,94,"",301,100,279278145085908955,2026,X,2012891994,K,61.7,325.029,"",427.981,80347.69,6678.92,247.836,664.846,7118.661,52.994,271.423,387.611,P001
0.9383,1,20241013,263.364,20240104,US,676.788,85.45,303.668,851.738,35.612,"","","","","","","","",7359.845,303.843,2023,01,S063,BIN677,388.749,68,"",771,100,694673719343819581,2026,"",4440352004,K,79.159,215.471,X,915.811,249444.4,40999.22,243.429,610.792,6308.607,68.727,172.887,869.018,P017
0.8413,"",20240404,161.92,20251220,CN,191.343,17.849,61.735,907.517,61.955,"","","","","","","","",6869.141,886.8,2023,06,S084,BIN103,359.404,43,"",169,100,173945567652519639,2026,"",3883729830,K,69.673,191.511,X,703.54,302445.26,30252.58,130.692,171.15,6242.832,58.669,155.138,653.014,P024
0.8477,"",20250219,23.566,20250107,IN,99.196,3.839,45.774,255.508,24.981,"","","","","","","","",1968.312,706.285,2024,10,S089,BIN995,132.717,20,"",236,100,943527147163912403,2024,"",8022659709,K,34.189,75.297,X,360.732,62300.84,7831.89,19.223,93.266,1702.093,29.676,63.618,291.604,P033
1.185,1,20240416,80.888,20250705,DE,217.997,27.726,26.232,258.761,9.978,"","","","","","","","",2595.133,802.203,2026,05,S001,BIN665,259.794,31,"",796,100,532489634115305529,2026,X,8373861503,K,43.221,94.288,X,490.132,89779.46,9948.98,66.787,176.16,2388.778,40.525,77.129,457.84,P022
1.0178,1,20250831,48.13,20240422,CN,130.852,16.24,23.393,177.75,31.516,"","","","","","","","",2035.316,205.948,2022,06,S007,BIN608,387.302,65,"",935,100,563512275084129630,2025,"",7377098535,K,24.264,66.128,"",296.36,47378.1,9357.51,43.615,107.13,1822.027,21.895,59.946,254.108,P046
1.1447,1,20240615,20.567,20240612,IN,60.255,6.762,16.504,115.229,2.816,"","","","","","","","",1399.472,424.994,2023,05,S021,BIN656,370.018,79,"",194,100,974920277525232544,2022,"",2755498629,K,19.058,22.41,"",136.361,37100.75,5595.06,18.916,51.944,1346.376,16.606,20.336,113.635,P026
0.8667,2,20230520,97.777,20250922,CN,134.525,38.855,30.879,174.271,41.042,"","","","","","","","",2582.546,814.314,2023,08,S043,BIN941,142.312,31,"",743,100,426667700162926146,2023,X,3921050688,K,33.035,96.954,"",511.151,99285.64,7241.36,91.11,125.542,2262.569,26.979,88.441,478.224,P015
1.08,2,20240425,33.305,20251217,CN,271.899,6.16,120.858,198.517,9.685,"","","","","","","","",2732.567,272.945,2022,05,S093,BIN890,299.962,70,"",116,100,671730371035152295,2023,"",2698798046,K,16.539,76.539,"",523.444,108297.64,15763.27,30.57,240.972,2570.84,13.46,68.161,491.041,P039
0.918,2,20260124,6.603,20230828,DE,29.399,2.281,13.131,95.695,1.246,"","","","","","","","",641.493,500.51,2025,07,S053,BIN481,179.319,37,"",124,100,329813212207249413,2025,X,1092515997,K,6.57,7.314,"",100.008,30971.77,3024.01,5.536,26.478,593.6,5.44,6.259,83.803,P009
1.1894,"",20240104,33.796,20240421,CN,34.001,14.306,11.888,86.381,5.095,"","","","","","","","",895.599,811.398,2024,12,S045,BIN632,162.472,80,"",162,100,191112612189838038,2024,X,1898467894,K,10.536,38.001,X,170.301,23639.61,2183.93,29.213,30.952,861.175,8.65,35.27,145.999,P031
1.0769,1,20250416,80.257,20230927,DE,370.421,15.362,74.257,320.04,31.695,"","","","","","","","",3770.256,832.95,2023,12,S022,BIN633,297.05,31,"",876,100,229899877661046813,2024,X,3897554456,K,32.412,170.068,X,203.256,180801.48,5871.38,69.374,328.233,3588.239,29.825,143.003,170.977,P025
0.9066,2,20250516,190.181,20251010,DE,246.615,39.099,114.026,411.874,38.86,"","","","","","","","",5821.688,246.061,2025,09,S077,BIN258,140.93,28,"",344,100,918674642283672893,2023,X,3693022454,K,86.424,203.716,"",425.118,239910.09,13119.72,176.789,207.274,5051.258,69.281,182.817,379.631,P040
1.0716,"",20240405,6.666,20250402,CN,5.488,1.67,2.072,10.35,1.316,"","","","","","","","",161.601,473.007,2026,05,S008,BIN612,488.845,14,"",843,100,953926682769186881,2022,X,3690063983,K,3.159,2.637,"",27.775,6153.78,621.42,5.844,5.206,143.099,2.578,2.323,25.94,P015
0.9908,1,20260117,18.831,20251201,DE,33.935,5.581,14.136,90.204,3.508,"","","","","","","","",602.026,362.506,2024,11,S016,BIN493,304.869,57,"",922,100,416908808497138902,2026,X,1667833561,K,3.022,25.103,X,42.123,14093.43,867.33,16.947,31.815,577.535,2.764,23.453,37.759,P001
1.0028,"",20240118,212.196,20240201,US,472.163,27.112,154.657,753.208,44.914,"","","","","","","","",5428.507,532.598,2024,12,S078,BIN183,67.454,72,"",132,100,743505871554627829,2022,"",4863146421,K,30.526,258.498,"",738.323,235802.41,19036.87,177.807,405.502,4760.694,26.914,225.045,604.856,P005
1.0298,1,20250101,73.782,20240619,IN,347.17,8.609,48.606,214.308,76.258,"","","","","","","","",4079.922,53.778,2023,05,S058,BIN106,159.304,15,"",737,100,160634172404576124,2023,"",7915644379,K,33.324,187.967,"",401.786,145647.67,16788.47,66.587,302.694,3534.312,26.679,163.218,337.946,P032
0.9077,2,20240405,65.439,20240916,CN,341.368,24.114,52.36,397.707,85.458,"","","","","","","","",3522.58,411.008,2024,11,S053,BIN852,74.652,71,"",856,100,695823922502326163,2024,"",6045428964,K,41.675,173.482,"",671.436,141482.59,27835.26,60.533,289.145,3180.556,37.362,155.665,545.752,P020
1.0621,2,20251125,123.911,20241021,CN,305.201,50.42,113.332,418.267,26.567,"","","","","","","","",3503.943,426.35,2022,09,S013,BIN887,149.144,13,"",709,100,659091964827464735,2026,"",4496811199,K,55.21,126.088,X,435.444,172019.48,5162.38,103.454,283.485,3305.789,46.527,106.748,382.485,P016
0.9834,2,20250908,222.766,20231005,CN,676.272,101.549,273.893,1058.518,24.212,"","","","","","","","",7291.346,830.098,2026,03,S042,BIN386,89.079,37,"",594,100,247618603708090457,2022,X,3347006419,K,120.063,124.843,X,821.721,286839.34,25973.4,195.006,635.348,6984.387,112.031,105.877,685.633,P005
1.0469,"",20230809,63.201,20231017,CN,106.25,27.152,24.058,723.763,53.489,"","","","","","","","",4844.521,910.883,2024,10,S069,BIN413,151.593,42,"",466,100,227876825076286826,2023,X,8318851165,K,84.175,186.543,X,474.649,172487.26,22262.49,54.929,86.303,4127.808,69.015,170.066,384.745,P021
0.9019,1,20240628,14.866,20230919,DE,25.39,3.219,8.716,39.065,0.803,"","","","","","","","",455.356,89.593,2023,11,S058,BIN958,347.821,44,"",340,100,217657373405920649,2023,X,5005848368,K,3.203,5.146,X,83.442,18351.9,2492.03,12.15,23.27,420.801,3.031,4.715,72.403,P025
0.8828,1,20240926,32.185,20241205,IN,190.402,9.486,41.47,155.044,38.391,"","","","","","","","",2567.745,371.945,2023,11,S040,BIN963,109.708,64,"",664,100,362270312065742071,2023,X,5690748434,K,13.354,99.591,"",374.209,101460.32,7440.59,26.051,158.583,2251.663,11.842,82.985,343.028,P012
1.0833,1,20240320,247.175,20250307,US,585.907,95.569,268.874,1050.837,63.013,"","","","","","","","",7360.669,527.901,2025,12,S072,BIN885,469.646,92,"",108,100,460384673595424737,2022,X,1644432937,K,144.392,143.335,"",1439.141,105252.37,53995.59,227.93,551.273,6494.86,123.24,119.907,1291.965,P050
0.9796,1,20240808,46.231,20250530,US,209.36,20.846,40.087,346.487,32.78,"","","","","","","","",3461.231,879.605,2025,07,S069,BIN648,28.968,63,"",599,100,111800442840088782,2025,X,3086766857,K,38.754,141.672,"",317.372,94881.77,12029.99,40.086,177.011,3200.142,33.569,124.188,296.186,P033
1.1542,1,20260205,137.488,20250919,US,294.697,39.319,117.828,290.615,35.533,"","","","","","","","",3301.088,450.857,2025,01,S027,BIN184,431.838,70,"",482,100,822444757006537673,2024,X,6608004024,K,20.491,123.554,"",544.827,151163.78,21602.46,110.08,265.019,2984.709,17.24,111.292,439.813,P048
0.9294,2,20241022,236.862,20250422,DE,465.599,64.954,94.136,607.101,17.871,"","","","","","","","",5228.679,483.149,2024,05,S048,BIN915,184.634,14,"",149,100,621339786947345365,2024,X,8281510003,K,89.782,55.69,X,597.107,115108.75,26250.0,208.46,386.827,5043.185,83.5,51.782,559.407,P019
1.1768,2,20240831,182.199,20250710,DE,495.269,86.689,164.699,279.01,34.818,"","","","","","","","",5468.447,211.851,2022,06,S008,BIN797,79.582,36,"",363,100,846949273548844477,2023,X,7240752954,K,100.829,252.762,X,844.715,58160.35,12897.77,154.725,445.635,5154.948,87.71,230.028,684.861,P020
1.1659,2,20251005,121.506,20240427,CN,379.68,43.939,125.527,751.16,78.221,"","","","","","","","",5603.618,872.78,2022,11,S071,BIN504,391.272,62,"",845,100,401903855192608761,2025,X,9890325416,K,95.068,224.863,"",906.252,56809.89,36253.08,111.655,322.806,5479.136,85.852,205.354,785.968,P017
1.0717,"",20251216,109.118,20240624,US,249.659,23.797,57.709,409.064,47.989,"","","","","","","","",4451.829,153.937,2026,08,S029,BIN825,34.46,27,"",771,100,731874751153940395,2022,X,4117853171,K,81.143,105.435,"",719.076,130730.19,26084.5,91.357,217.786,4202.987,72.979,85.68,606.053,P038
0.9164,1,20250222,60.008,20250613,CN,370.032,21.224,180.921,514.217,55.561,"","","","","","","","",4013.763,384.082,2025,03,S009,BIN345,212.2,41,"",527,100,869405509730497539,2026,X,3960057588,K,36.504,151.056,X,287.117,135559.46,8452.4,55.548,299.69,3572.242,32.551,126.087,243.128,P038
1.1497,"",20241024,349.16,20241229,US,495.046,55.199,129.324,1013.962,18.564,"","","","","","","","",7412.337,68.184,2026,10,S043,BIN741,413.897,57,"",642,100,438872404409802440,2022,X,4729860606,K,142.966,78.963,"",1436.762,244843.0,56312.2,319.289,457.806,6833.667,131.057,74.731,1180.788,P029
1.0645,"",20230603,89.826,20240619,CN,537.96,44.324,110.198,849.887,56.884,"","","","","","","","",7421.659,889.255,2026,12,S003,BIN773,475.884,55,"",364,100,393522656335886261,2024,X,6486240311,K,63.149,116.07,X,1065.129,321479.79,33989.69,81.681,471.404,6550.233,56.086,104.078,1006.727,P001
0.8485,2,20260212,27.337,20251029,DE,62.875,10.807,25.74,43.831,5.066,"","","","","","","","",707.544,97.961,2025,02,S011,BIN455,76.77,72,"",205,100,522946031156107643,2025,X,9138233888,K,10.928,30.78,"",88.341,27753.15,1708.07,24.082,51.113,612.477,9.025,27.459,75.598,P031
1.0287,"",20240606,153.236,20250224,US,443.959,61.86,165.403,498.376,155.295,"","","","","","","","",7066.269,711.295,2023,05,S089,BIN357,57.404,24,"",923,100,767782545857621836,2022,"",6346769411,K,88.145,341.004,"",1057.58,329264.31,14002.82,143.12,387.711,6632.424,74.385,301.509,917.069,P049
1.008,1,20230802,137.952,20231114,CN,330.201,28.754,156.249,501.942,56.58,"","","","","","","","",4111.715,296.685,2024,04,S092,BIN612,298.302,84,"",361,100,492507730999261177,2022,X,2090389215,K,75.981,122.684,X,736.649,185101.17,28906.36,113.993,281.512,3724.625,68.373,113.727,697.881,P021
0.9214,2,20260114,221.878,20230601,CN,214.789,88.035,34.407,690.914,85.351,"","","","","","","","",5730.697,831.646,2023,03,S046,BIN147,156.86,49,"",417,100,217389343390065664,2026,"",4821486235,K,39.862,210.586,X,516.584,95701.97,15479.97,210.623,196.25,5308.924,35.913,172.272,416.339,P018
1.0199,1,20240507,73.962,20241205,CN,197.643,14.904,61.493,248.353,23.127,"","","","","","","","",3114.971,149.432,2024,07,S057,BIN198,22.062,97,"",786,100,518505039771879213,2022,"",8903150472,K,53.593,132.554,X,450.027,86286.76,14291.14,61.542,183.189,2924.363,44.899,121.924,403.161,P028
0.993,2,20231114,67.537,20231202,IN,114.736,16.462,34.258,330.722,9.374,"","","","","","","","",2534.144,135.265,2022,09,S045,BIN817,274.215,77,"",552,100,341958613677760006,2025,"",8819889796,K,46.871,61.388,X,322.303,41792.31,8345.44,56.695,99.638,2278.341,41.851,49.984,271.997,P002
0.9586,2,20230519,308.002,20251229,CN,557.176,141.024,238.738,625.801,46.266,"","","","","","","","",7113.317,207.677,2026,06,S047,BIN617,336.903,57,"",896,100,870976417972485463,2026,"",9067932888,K,98.927,118.746,"",1098.35,219946.46,34486.82,279.126,511.05,6577.713,79.601,109.904,963.984,P027
0.966,2,20240821,26.688,20251204,US,56.287,7.947,25.496,68.489,6.103,"","","","","","","","",857.328,734.565,2024,02,S061,BIN946,372.376,54,"",790,100,361107752356266734,2022,"",3120128558,K,9.081,17.226,"",151.468,9708.29,1657.82,23.437,49.936,797.128,7.727,13.882,124.959,P014
0.8894,"",20251027,51.896,20251018,IN,187.526,17.38,84.257,190.461,26.505,"","","","","","","","",1976.537,119.153,2026,11,S003,BIN233,360.772,30,"",373,100,491317538770643223,2022,X,7193483026,K,28.225,77.866,X,170.033,66636.51,3635.36,45.152,158.713,1818.376,24.035,68.657,155.842,P026
0.8103,"",20230624,144.326,20240803,DE,182.85,60.306,49.606,590.981,51.451,"","","","","","","","",4293.77,461.343,2026,11,S017,BIN743,389.594,63,"",316,100,817470318881746137,2025,"",6690777162,K,70.88,105.632,"",633.551,209384.92,30653.58,124.452,157.282,4075.956,56.912,90.922,567.812,P012
0.9,2,20251101,210.604,20250113,CN,341.819,66.139,40.401,484.795,62.649,"","","","","","","","",5158.336,892.403,2022,05,S081,BIN261,343.938,79,"",822,100,991402028505793326,2025,"",7617342035,K,44.545,195.374,"",303.87,226430.31,14986.28,193.316,279.689,5041.803,37.586,157.174,260.246,P027
0.969,2,20231109,27.091,20250515,IN,97.162,12.618,43.489,242.968,21.397,"","","","","","","","",1737.423,145.378,2026,11,S071,BIN311,292.616,30,"",804,100,662021338389310321,2024,X,1261470478,K,19.054,49.635,"",230.729,56709.93,9254.44,22.54,87.792,1581.721,16.273,46.941,209.347,P006
1.0542,2,20250308,22.106,20231210,IN,21.189,7.105,6.433,67.5,3.505,"","","","","","","","",498.929,66.731,2023,01,S027,BIN902,85.192,98,"",160,100,591928350659781945,2023,"",5433501521,K,8.319,7.505,"",57.569,5217.74,2646.89,19.488,18.647,457.273,7.183,6.929,47.022,P028
0.9567,1,20251024,96.518,20260207,CN,173.634,21.664,53.189,802.092,127.861,"","","","","","","","",6500.063,391.629,2024,09,S056,BIN822,334.129,18,"",938,100,595902556736845530,2026,X,7526713904,K,116.691,310.681,"",1071.485,253002.64,36621.75,82.017,151.245,5747.862,108.954,281.771,915.684,P011
0.9317,"",20231019,189.341,20230613,DE,206.382,36.09,39.438,618.248,64.598,"","","","","","","","",4685.273,324.711,2023,03,S090,BIN680,335.559,63,"",720,100,129893085445810070,2024,X,3155762396,K,24.472,145.858,X,513.456,89928.3,6500.42,170.154,181.866,4324.69,20.978,135.658,448.209,P019
1.0334,2,20251012,74.299,20250621,CN,196.332,15.55,40.604,201.774,37.445,"","","","","","","","",2548.444,94.742,2023,04,S100,BIN721,178.719,35,"",623,100,829588730151063240,2023,X,3390978823,K,50.13,86.586,X,399.185,30812.21,7606.96,68.535,158.538,2202.972,40.771,71.342,337.104,P001
1.0147,2,20231127,79.19,20240421,CN,224.569,29.107,24.742,391.581,51.28,"","","","","","","","",2823.677,212.975,2026,09,S094,BIN396,131.259,60,"",221,100,663817685152616128,2025,X,1270314855,K,48.956,134.613,X,177.637,105513.5,6247.91,66.225,210.153,2740.6,44.429,111.062,151.761,P006
1.1658,"",20240929,14.692,20240319,IN,47.284,1.879,16.143,38.848,7.055,"","","","","","","","",691.41,819.472,2026,08,S045,BIN131,346.123,83,"",249,100,958370750594192394,2026,X,6970521934,K,5.561,15.002,"",109.275,16298.46,2066.49,12.398,41.006,647.713,5.064,13.245,89.414,P019
1.0381,1,20240127,26.752,20250326,US,49.881,7.346,15.351,128.768,5.042,"","","","","","","","",1781.619,365.804,2024,08,S070,BIN939,193.505,54,"",460,100,652905698357602725,2025,X,3755269983,K,9.119,19.538,"",146.896,45710.18,2101.8,25.213,45.506,1554.95,8.521,17.677,124.838,P034
0.8962,2,20230615,340.043,20231109,IN,432.134,155.442,68.146,715.41,146.828,"","","","","","","","",7062.242,871.028,2022,06,S007,BIN683,482.096,29,"",658,100,731874751153940395,2024,"",6287225225,K,132.505,327.601,"",495.179,183060.37,24752.77,292.614,366.315,6083.966,115.099,298.444,446.468,P014
1.1439,1,20240803,124.908,20230901,DE,310.276,39.822,75.99,314.834,41.437,"","","","","","","","",4415.455,84.193,2024,09,S029,BIN321,67.958,72,"",116,100,313897679023159834,2024,"",4308439387,K,32.97,196.624,X,299.297,54115.76,4983.14,108.378,260.2,4079.239,29.178,159.37,270.803,P035
0.9451,2,20250516,66.293,20250520,US,215.294,7.429,50.802,326.484,48.974,"","","","","","","","",4290.769,780.516,2026,09,S007,BIN548,32.702,77,"",690,100,747401763746973333,2024,X,9448686627,K,73.96,178.567,"",458.843,116712.46,9220.37,53.547,181.19,3803.092,59.26,165.788,430.521,P050
1.0106,1,20231013,106.996,20240412,DE,137.066,32.327,67.366,158.371,14.126,"","","","","","","","",3113.025,755.393,2023,11,S014,BIN739,452.903,43,"",175,100,256368063345176882,2026,X,7798074721,K,20.838,100.984,X,226.503,133111.54,7235.53,98.771,123.216,3021.136,18.333,89.365,213.562,P002
1.0031,"",20250622,27.528,20250601,US,203.312,10.338,62.249,254.501,12.425,"","","","","","","","",2220.947,232.356,2024,06,S008,BIN882,114.951,66,"",134,100,617222938184694680,2025,"",4679695955,K,33.096,92.835,X,310.747,109262.67,4147.79,25.754,190.436,1935.6,28.423,87.522,291.159,P037
1.1731,1,20241004,53.168,20231206,DE,207.019,26.167,41.071,344.945,17.47,"","","","","","","","",2510.276,680.313,2024,08,S055,BIN445,322.044,67,"",643,100,734138778981954790,2024,"",8839486486,K,29.182,46.765,X,163.549,46466.42,4171.19,47.288,190.293,2168.998,24.382,42.425,140.673,P014
1.1718,2,20250810,140.91,20240722,US,148.676,69.802,65.198,264.504,61.162,"","","","","","","","",4006.985,495.159,2025,06,S082,BIN806,246.862,12,"",602,100,822963430491017686,2025,"",5889248948,K,29.202,153.309,"",272.456,172722.41,11730.41,120.213,133.28,3485.093,27.622,140.553,246.962,P033
1.0797,2,20250626,226.731,20240528,US,445.71,58.351,140.629,568.85,83.737,"","","","","","","","",7259.444,343.676,2026,07,S061,BIN382,71.586,47,"",584,100,130731746302787751,2023,X,8076403284,K,39.324,172.279,X,490.113,246383.34,10842.4,205.433,362.538,6494.355,33.427,147.155,423.473,P025
0.9691,1,20250920,75.984,20231018,IN,192.937,33.836,78.629,364.444,32.056,"","","","","","","","",2689.64,671.355,2026,12,S046,BIN457,211.511,22,"",140,100,807470102216876168,2022,X,3393699651,K,48.901,97.081,"",187.705,105015.52,8541.74,62.949,161.527,2369.155,39.275,90.283,150.446,P049
0.8221,1,20240221,39.915,20250501,CN,146.796,5.684,45.536,215.233,23.728,"","","","","","","","",1815.922,204.601,2024,07,S080,BIN607,31.986,37,"",128,100,542887119583437881,2026,"",4357657168,K,31.522,78.229,X,206.121,18484.62,9505.92,35.652,136.473,1649.7,28.38,62.859,187.024,P001
0.8199,2,20240809,113.766,20230819,IN,192.287,25.976,71.796,737.17,85.833,"","","","","","","","",5873.86,392.148,2024,06,S057,BIN154,499.625,36,"",900,100,693506405594761068,2022,"",3450828364,K,106.866,273.043,"",837.22,234406.28,28699.9,107.839,158.605,5194.926,86.638,229.585,730.979,P032
0.9936,1,20230925,161.486,20240228,DE,127.045,44.979,30.956,293.412,25.941,"","","","","","","","",4223.785,984.985,2024,02,S038,BIN475,27.258,29,"",955,100,830585948833922549,2022,"",6051659248,K,57.705,55.499,X,345.054,58466.14,3656.04,146.612,113.644,3921.449,51.484,50.597,316.311,P009
1.0807,2,20250426,48.628,20250811,US,395.093,21.471,53.991,614.298,13.622,"","","","","","","","",4433.362,558.334,2025,02,S063,BIN267,323.316,41,"",331,100,734091026374606009,2026,"",1854797990,K,53.317,50.366,X,424.371,142762.13,17100.14,44.993,359.112,3939.096,44.135,47.482,358.733,P016
0.897,1,20251026,145.129,20240123,DE,655.566,29.002,78.467,528.307,58.165,"","","","","","","","",7289.834,252.328,2024,06,S038,BIN589,407.587,10,"",881,100,687465432998777709,2023,"",4962807912,K,113.061,231.378,X,1309.233,196021.49,19281.97,124.602,614.662,7066.708,106.773,207.297,1161.43,P007
1.1298,1,20240902,204.744,20250726,CN,208.649,98.959,80.302,617.941,45.281,"","","","","","","","",5936.91,739.441,2025,09,S034,BIN958,95.873,17,"",164,100,547647586308572556,2024,"",5414432560,K,44.344,195.035,X,302.52,121330.73,6710.13,180.505,167.822,5137.892,38.383,173.702,259.729,P021
1.0992,"",20230527,220.53,20240505,US,474.649,107.997,223.332,356.699,17.024,"","","","","","","","",6797.444,119.986,2022,06,S096,BIN583,396.288,61,"",531,100,763951361428561935,2025,"",9208797346,K,48.414,149.312,"",628.838,337839.76,31239.63,193.161,382.304,6305.801,43.531,134.797,542.543,P001
0.983,1,20231005,27.837,20231204,CN,59.959,11.03,22.385,31.459,10.056,"","","","","","","","",628.418,371.899,2025,02,S065,BIN250,114.665,74,"",879,100,131746216501675104,2026,X,2307878274,K,6.546,25.306,X,32.079,16224.8,1003.14,24.005,52.0,592.963,5.702,21.323,28.182,P040
0.851,1,20260130,205.256,20241216,DE,376.008,85.167,43.129,455.937,26.5,"","","","","","","","",4267.766,689.052,2023,06,S083,BIN802,122.004,48,"",232,100,449137904117516052,2025,X,6603428347,K,30.663,121.721,X,684.318,203304.38,27784.75,180.043,319.082,3660.278,28.836,97.887,556.66,P050
