MANDT,WERKS,NAME1,BWKEY,KUNNR,LIFNR,FABKL,NAME2,STRAS,PFACH,PSTLZ,ORT01,EKORG,VKORG,LAND1,REGIO,COUNC,CITYC,ADRNR,IWERK,TXJCD,VTWEG,SPART,SPRAS
200,PL9656,Smith-Curtis,PL9656,C662545,V955473,FC,Inc,115 Myers Highway,35909,28363,North Dylanmouth,P003,S002,IND,DL,848,9465,5482036123,PL9656,TX2286,01,01,D
300,PL3701,Walker-Schmidt,PL3701,C407061,V117563,FC,PLC,96170 Katie Ridges Suite 155,66622,62934,East Kellyport,P001,S002,DEU,BW,170,8042,7797867936,PL3701,TX1108,01,01,E
100,PL2259,Fernandez-Martinez,PL2259,C443932,V639964,FC,and Sons,64736 Nicole Lodge,71945,26235,Christopherchester,P003,S001,USA,PA,101,5721,8299730553,PL2259,TX9914,01,01,D
200,PL1355,Huber-Meyers,PL1355,C923573,V114060,FC,LLC,461 Herring Fields,49003,57792,South Patricia,P003,S001,DEU,HE,187,9197,8222775068,PL1355,TX9346,01,01,S
100,PL6650,Fisher-Curry,PL6650,C393551,V445445,FC,Group,7467 Ana Shore Apt. 081,38845,22784,East Garrettbury,P001,S002,FRA,PAC,467,4527,6035076795,PL6650,TX9009,01,01,D
200,PL8229,Watts-Harmon,PL8229,C854897,V938228,FC,PLC,184 Richardson Branch,27643,84774,West Amyside,P001,S002,FRA,NAQ,306,4995,5742942597,PL8229,TX1223,01,01,F
300,PL8703,"Anderson, Cox and Shields",PL8703,C344729,V163326,FC,LLC,6386 Miller Camp Suite 045,62241,52178,East Christophermouth,P001,S001,DEU,HE,391,3118,1972467392,PL8703,TX5581,01,01,S
200,PL7011,Jones and Sons,PL7011,C747978,V342278,FC,Ltd,066 Tammy Coves,52105,30711,Mathewsview,P003,S003,FRA,NAQ,411,6606,3137889140,PL7011,TX6899,01,01,E
100,PL5908,Jimenez PLC,PL5908,C980920,V591648,FC,LLC,33600 Crystal Centers,90150,63807,Port Ericfurt,P001,S001,USA,CA,289,5800,7937431138,PL5908,TX3135,01,01,E
200,PL3574,Brown Group,PL3574,C151171,V482435,FC,Ltd,23269 Jasmine Causeway,30387,71524,Port Dianaland,P002,S002,FRA,IDF,910,4006,6556257379,PL3574,TX4599,01,01,F
100,PL8189,Smith and Sons,PL8189,C582028,V973921,FC,Ltd,256 Joseph Street Apt. 319,47359,01978,Brentfurt,P003,S003,FRA,NAQ,551,3987,8858701810,PL8189,TX5517,01,01,D
100,PL7081,Fisher-Hester,PL7081,C220384,V117316,FC,Inc,7518 Kara Roads,12425,69221,New Fernandoland,P003,S002,USA,NY,545,4040,6099264733,PL7081,TX5528,01,01,F
200,PL6715,"Baker, Dunn and Carpenter",PL6715,C373906,V445505,FC,and Sons,81352 Christopher Crest Suite 201,29842,97066,Hernandezfort,P003,S001,DEU,HE,183,6104,5229268568,PL6715,TX3770,01,01,S
300,PL1001,"Ewing, Turner and White",PL1001,C777145,V495919,FC,Ltd,80641 Angela Mall,25041,94361,Brittanymouth,P003,S001,DEU,BY,907,6732,9478076503,PL1001,TX4415,01,01,F
300,PL8576,"Wilkins, Sims and Simpson",PL8576,C331210,V721182,FC,Inc,6136 Little Walk,26413,01732,Amyview,P001,S003,USA,PA,693,1679,3801609232,PL8576,TX5877,01,01,E
200,PL2701,"Fuller, Mathews and Richardson",PL2701,C680980,V128210,FC,Inc,9429 Gaines Tunnel Suite 551,12758,98819,Andersontown,P003,S003,IND,DL,514,5305,4559258161,PL2701,TX4760,01,01,S
300,PL2128,"Paul, Warren and Roberson",PL2128,C532469,V421890,FC,Ltd,2451 Thompson Run,22239,40879,Victoriafort,P003,S001,FRA,PAC,281,7912,8939937720,PL2128,TX4651,01,01,S
200,PL8718,Jones Ltd,PL8718,C797553,V156842,FC,PLC,96186 Jones Spur,30822,01191,Lake Brenda,P003,S002,DEU,BW,905,5643,3893371619,PL8718,TX7339,01,01,D
100,PL4383,Ramirez-Buckley,PL4383,C385933,V929339,FC,Inc,384 Evans Court,67259,23812,East Williamberg,P001,S002,IND,DL,805,8468,6365140687,PL4383,TX6323,01,01,S
100,PL3708,Conway-Watkins,PL3708,C181384,V148473,FC,PLC,34247 Martinez Wall Apt. 142,63502,17963,West Arielfort,P001,S003,FRA,PAC,163,6347,4748542737,PL3708,TX6568,01,01,D
300,PL3571,Strickland-Anderson,PL3571,C785826,V234059,FC,and Sons,22148 Guerrero Turnpike,44210,57419,Carrieland,P002,S003,USA,PA,788,9082,1740436776,PL3571,TX9547,01,01,E
300,PL8401,"Kelly, Johnson and Morales",PL8401,C746463,V495608,FC,Group,2112 Jay Station Apt. 674,18751,91090,Paulberg,P001,S002,USA,PA,141,9857,9695706773,PL8401,TX2646,01,01,S
200,PL3990,Nixon-Johnston,PL3990,C861036,V693025,FC,Group,81121 Gary Points,28988,72846,Laurenchester,P003,S002,USA,CA,115,9298,9046275809,PL3990,TX6604,01,01,D
300,PL8541,Fernandez-Davis,PL8541,C957809,V587847,FC,LLC,8646 Blair Passage Suite 338,79311,19062,Garyfort,P001,S002,IND,MH,868,2047,3713649607,PL8541,TX1241,01,01,E
300,PL9404,"Cruz, Schultz and Ortiz",PL9404,C255720,V832856,FC,and Sons,673 Stevens Locks,14639,23607,Port Cynthiamouth,P001,S001,FRA,PAC,183,8988,5366197594,PL9404,TX1170,01,01,D
100,PL8710,"Hart, Kelly and Clarke",PL8710,C886613,V924030,FC,PLC,79299 Johnson Dale Suite 132,63883,10388,Pittsbury,P001,S003,IND,KA,955,6177,9848389378,PL8710,TX5408,01,01,F
300,PL7433,Perry PLC,PL7433,C219172,V162734,FC,LLC,076 Randolph Causeway Apt. 758,43087,45274,North Victoria,P002,S002,FRA,IDF,567,2518,4922666143,PL7433,TX2595,01,01,D
300,PL6077,Walters-Bennett,PL6077,C535511,V439699,FC,and Sons,6916 Contreras Mission Suite 515,38556,18013,Port Garyview,P003,S001,DEU,BW,852,4118,7912941657,PL6077,TX9583,01,01,D
300,PL1244,Fisher PLC,PL1244,C159984,V795570,FC,PLC,83386 Green Drive Suite 147,39057,93979,Farmerborough,P003,S002,USA,PA,309,7768,8894795851,PL1244,TX6209,01,01,E
200,PL9946,"Walton, Watts and Perry",PL9946,C687780,V782928,FC,Ltd,33707 Shannon Well Apt. 115,55771,52537,Martinburgh,P002,S003,IND,KA,939,1243,7024307328,PL9946,TX4546,01,01,D
200,PL5048,Robinson-Bishop,PL5048,C206402,V587863,FC,Ltd,42035 Ray Heights,85110,82631,South James,P001,S003,USA,CA,233,5850,9726882197,PL5048,TX9569,01,01,E
100,PL7020,Mccoy Ltd,PL7020,C903085,V556284,FC,Group,63328 Wayne Islands,84984,91495,Lake Jamesside,P001,S003,DEU,BW,717,3416,1657107947,PL7020,TX8974,01,01,F
200,PL3132,Juarez-Duarte,PL3132,C940767,V302737,FC,LLC,954 Koch Expressway Suite 697,46780,37019,West Kim,P003,S002,IND,MH,621,8983,3275928902,PL3132,TX8836,01,01,F
100,PL7376,Delgado Inc,PL7376,C791406,V229483,FC,Inc,57266 William Prairie,99403,59682,Andersonfort,P002,S001,IND,MH,484,8712,6411764481,PL7376,TX2779,01,01,D
100,PL8163,"Wood, Willis and Johnson",PL8163,C893033,V277795,FC,Inc,22901 Martin Plains Apt. 432,93524,65787,Johnsonview,P002,S001,IND,DL,339,6526,6048708754,PL8163,TX4775,01,01,S
200,PL3991,Hancock and Sons,PL3991,C277551,V451934,FC,LLC,178 Edward Mills Apt. 976,35640,57164,North Donald,P001,S001,FRA,PAC,705,6231,2483196558,PL3991,TX9539,01,01,F
100,PL1559,"Hurley, Garcia and Mendoza",PL1559,C943538,V452724,FC,Inc,80402 Peter Coves Apt. 117,24171,25568,West Morgan,P001,S002,IND,MH,684,3513,5437411167,PL1559,TX6348,01,01,E
100,PL8858,Ford-Thompson,PL8858,C865971,V922373,FC,Inc,31353 Hall Mews,54007,66971,Heatherstad,P001,S002,DEU,HE,858,7758,3115116045,PL8858,TX4930,01,01,E
200,PL4645,"Brown, West and Kennedy",PL4645,C909749,V938639,FC,Ltd,5438 Ashley Station,55623,27796,Cunninghamville,P002,S003,FRA,NAQ,117,8888,1838074581,PL4645,TX1219,01,01,E
300,PL7272,Mendez-Carrillo,PL7272,C691842,V486119,FC,and Sons,775 Miller Mews,53289,77541,Nunezview,P001,S003,IND,TN,633,8968,8931667667,PL7272,TX7455,01,01,D
100,PL5870,"Jones, Davis and Perez",PL5870,C347917,V585211,FC,and Sons,546 Ryan Village,68305,95238,Goodmanshire,P001,S003,DEU,BY,397,2570,2718289380,PL5870,TX1361,01,01,F
100,PL9005,"Thompson, Archer and Nash",PL9005,C528304,V451944,FC,Inc,49339 Murphy Way,54608,61391,Christinaport,P001,S001,USA,PA,545,5753,3096449586,PL9005,TX2483,01,01,E
200,PL8956,"Brady, Sanders and Reyes",PL8956,C240888,V608843,FC,Ltd,37416 Robinson Rest,62179,94995,North Paulview,P003,S002,FRA,IDF,281,7305,9256250795,PL8956,TX6433,01,01,F
300,PL1579,"Rasmussen, Gallagher and Arnold",PL1579,C811235,V941490,FC,PLC,5597 Ford Crossroad,22951,52622,Lake Allenfurt,P002,S003,DEU,BW,392,1659,5962207761,PL1579,TX5199,01,01,E
300,PL1603,Smith Ltd,PL1603,C223476,V584018,FC,PLC,721 Rosario Locks,67454,37869,Lake Jenniferview,P002,S001,USA,TX,950,1807,5448949736,PL1603,TX5424,01,01,D
100,PL5472,Cooper Group,PL5472,C528657,V963498,FC,Ltd,642 Jared Road Suite 874,57183,09819,North Cindy,P002,S001,IND,DL,768,8424,9625716499,PL5472,TX1177,01,01,D
300,PL4593,Mcclure and Sons,PL4593,C337616,V103421,FC,and Sons,750 Bean Spurs Apt. 547,77719,14649,South Danielchester,P001,S002,DEU,BY,361,8269,3210127242,PL4593,TX3094,01,01,D
100,PL6691,"Chase, Jackson and Avila",PL6691,C495203,V383520,FC,and Sons,38588 Angela Drives Apt. 458,94920,30987,Lake Melissa,P002,S002,USA,PA,210,3822,5887449800,PL6691,TX3269,01,01,S
100,PL3633,Flowers-Lester,PL3633,C635494,V683506,FC,Group,5910 Barker Locks Suite 325,51302,18522,Juanview,P003,S003,FRA,IDF,606,2493,1804180215,PL3633,TX6730,01,01,D
100,PL8649,"Cooper, Benson and Morgan",PL8649,C849547,V409573,FC,Group,9708 Newton Circle,13314,23339,Kimberlytown,P001,S002,USA,PA,570,1692,7526338335,PL8649,TX3286,01,01,D
300,PL4355,"Frank, Fisher and Hoffman",PL4355,C679886,V563427,FC,PLC,036 Sanders Field,20456,37086,Coxhaven,P002,S001,DEU,BY,969,8850,4159110229,PL4355,TX8558,01,01,F
300,PL1361,"Palmer, Smith and Nguyen",PL1361,C888269,V111526,FC,and Sons,672 Sanders Alley Suite 779,35556,75665,Joshuachester,P002,S002,USA,PA,234,2108,3316899428,PL1361,TX9459,01,01,D
200,PL9492,Montes PLC,PL9492,C298131,V850065,FC,Group,83388 Hart Junction Apt. 605,41675,32841,Lopezton,P002,S002,DEU,BW,622,3167,6171964912,PL9492,TX4865,01,01,E
100,PL3356,Shaw LLC,PL3356,C713931,V970055,FC,Inc,159 Jason Rapid Suite 031,27479,10182,Stewartview,P003,S001,IND,MH,976,6864,7175549431,PL3356,TX7864,01,01,E
200,PL5047,Garrison-Potter,PL5047,C464761,V699143,FC,and Sons,489 Bryant Lodge Apt. 616,13656,27828,Lake Samanthatown,P003,S003,IND,TN,327,5334,8831079548,PL5047,TX6262,01,01,D
100,PL5525,"Smith, Brown and Beard",PL5525,C142851,V562222,FC,Group,099 Eric Glens,14210,70033,South Walter,P001,S001,IND,DL,982,9392,8255477001,PL5525,TX4072,01,01,F
100,PL7927,Thomas-Walker,PL7927,C184608,V611886,FC,Ltd,3515 Rodriguez Trail,10222,89172,Lake Arthur,P003,S003,IND,DL,610,8002,9358391951,PL7927,TX2831,01,01,S
200,PL4819,Martin Inc,PL4819,C377996,V973238,FC,LLC,345 Daniels Oval,65976,70590,New Joshuaview,P001,S003,DEU,HE,671,5935,8474372570,PL4819,TX9746,01,01,E
300,PL8539,"Ramos, White and Ford",PL8539,C621567,V152336,FC,and Sons,9169 Lance Landing Suite 893,33676,48796,Nicholasville,P002,S003,FRA,IDF,958,6221,9829245174,PL8539,TX1208,01,01,F
100,PL3957,"Singh, Butler and Ingram",PL3957,C228213,V309365,FC,Ltd,62891 Shane Glen Suite 506,32409,25490,Port Christina,P001,S001,FRA,PAC,524,1518,5790219252,PL3957,TX4163,01,01,F
200,PL1487,"Jennings, Trevino and Shea",PL1487,C801080,V244651,FC,PLC,8432 Jennifer Brook Apt. 913,97008,39879,East George,P001,S001,DEU,HE,793,5786,5641867663,PL1487,TX9545,01,01,E
100,PL5309,Bates Inc,PL5309,C866871,V504402,FC,Group,887 Davenport Ford,48601,32261,Christopherside,P002,S003,FRA,PAC,859,6767,4888238553,PL5309,TX7599,01,01,S
200,PL2105,Mccoy-Sanchez,PL2105,C981177,V556659,FC,LLC,6539 Brown Unions,31223,79158,Port Scott,P002,S003,DEU,BW,138,8588,9098618732,PL2105,TX8897,01,01,F
200,PL5049,Gutierrez and Sons,PL5049,C641298,V610431,FC,Ltd,825 Knight Mill,82650,12534,Chelseaburgh,P002,S002,IND,KA,763,5143,6173131959,PL5049,TX8642,01,01,S
200,PL6211,"Kennedy, Wall and Mason",PL6211,C247555,V681156,FC,Inc,27270 Martin Plain,46379,04830,Gonzalezbury,P001,S002,DEU,HE,543,9252,5114008208,PL6211,TX2811,01,01,D
300,PL3229,Cortez Ltd,PL3229,C139477,V916671,FC,Ltd,170 Taylor Extension,78584,30535,East Anthonymouth,P001,S003,IND,DL,754,9332,4806529620,PL3229,TX8793,01,01,F
300,PL5783,Price-Lozano,PL5783,C718989,V235134,FC,Group,729 Brown Mountain,45518,54918,East Lauraburgh,P002,S002,FRA,NAQ,780,3522,9982486386,PL5783,TX9571,01,01,F
300,PL8669,Barrett and Sons,PL8669,C464215,V522231,FC,Ltd,5398 Wright Groves,33930,73342,South Anne,P001,S001,IND,TN,416,2117,8340591280,PL8669,TX5646,01,01,D
200,PL2283,Sawyer-Gillespie,PL2283,C879176,V862386,FC,LLC,02107 Sanchez Radial,55325,11486,Melissachester,P001,S002,USA,CA,442,6047,4851119843,PL2283,TX9631,01,01,F
100,PL6993,"Short, Schmidt and Robinson",PL6993,C124817,V489373,FC,and Sons,55270 Lee Ford,24728,27952,New Chad,P002,S003,USA,TX,125,7797,9005653563,PL6993,TX4038,01,01,S
100,PL7019,Goodwin-Mcgee,PL7019,C411714,V466813,FC,Group,1914 Paul Forks Suite 565,76679,70959,Thomasburgh,P003,S001,FRA,NAQ,390,7850,5000482133,PL7019,TX7057,01,01,F
300,PL3348,Ford-Perry,PL3348,C332286,V143103,FC,Group,686 Lee Shore,59796,72086,Vasquezton,P002,S001,FRA,NAQ,184,5784,8211180979,PL3348,TX8147,01,01,S
200,PL4533,Martin Inc,PL4533,C622817,V331303,FC,Ltd,8854 Gregory Grove Apt. 178,98887,04462,Nicholsville,P001,S003,DEU,HE,239,1659,1032990854,PL4533,TX1215,01,01,D
300,PL7248,"Stevenson, Walker and Vincent",PL7248,C441946,V369109,FC,PLC,707 Meyer Shores,46062,13034,Port Garyport,P002,S002,DEU,BY,578,4950,5881590770,PL7248,TX2781,01,01,D
200,PL2473,Scott PLC,PL2473,C728829,V749629,FC,PLC,874 Jonathan Expressway,35339,36941,Caseyport,P002,S002,USA,NY,588,8203,1605960254,PL2473,TX5798,01,01,F
300,PL7356,Dixon and Sons,PL7356,C936204,V518947,FC,PLC,820 Tiffany Dam Apt. 150,50995,77462,Stephaniestad,P003,S003,DEU,BY,116,5269,2043325783,PL7356,TX4443,01,01,S
100,PL6054,"Ramirez, Le and Williams",PL6054,C279175,V955487,FC,Group,82004 Richard Track,41834,24059,Andersonchester,P003,S003,IND,MH,156,1317,5611949671,PL6054,TX3804,01,01,F
100,PL4914,Frazier-Watson,PL4914,C192494,V324601,FC,Group,8395 Hopkins Coves,57931,79751,Burnettton,P003,S002,FRA,PAC,568,6927,5914440289,PL4914,TX5885,01,01,E
200,PL3432,Ferrell-Davis,PL3432,C566900,V762509,FC,Inc,5029 Williams Meadow Suite 323,87499,54834,Carolynland,P002,S003,USA,NY,336,4151,8377364346,PL3432,TX8898,01,01,E
200,PL7748,Norman Ltd,PL7748,C354156,V187193,FC,LLC,121 Burch Estates,72581,38617,Suttonview,P003,S003,FRA,NAQ,158,9229,4097409586,PL7748,TX6355,01,01,D
100,PL5527,Fernandez-Palmer,PL5527,C456579,V308266,FC,PLC,661 Donna View,68670,96153,Racheltown,P001,S001,USA,TX,840,7946,1091817017,PL5527,TX9006,01,01,S
300,PL5099,Walker-Rodriguez,PL5099,C124477,V834104,FC,and Sons,22420 Calhoun Islands,17297,29535,Chadchester,P003,S001,DEU,BW,198,7311,8810607834,PL5099,TX5745,01,01,F
300,PL8923,Meyer-Chaney,PL8923,C570216,V519152,FC,Group,9981 Kurt Crossroad Suite 192,21280,53727,Simmonsberg,P002,S001,USA,NY,723,4466,2358212158,PL8923,TX9594,01,01,D
200,PL3029,Smith Ltd,PL3029,C615870,V956268,FC,and Sons,5963 Cheyenne Tunnel Suite 243,79965,32557,Victoriaborough,P002,S003,DEU,BW,115,2841,6662415336,PL3029,TX2702,01,01,S
100,PL9971,Warren-Savage,PL9971,C801896,V657961,FC,PLC,329 Decker Fort,40114,62560,Tonyaland,P003,S001,DEU,HE,113,1363,6987124154,PL9971,TX2055,01,01,F
200,PL3726,Ramirez-Burns,PL3726,C886347,V334683,FC,Inc,100 Wagner Estates,40489,60862,Port Dennisville,P001,S002,DEU,HE,777,1413,6268460369,PL3726,TX5124,01,01,E
300,PL4779,Richardson-Ford,PL4779,C465419,V392344,FC,Group,0918 Kimberly Neck Apt. 085,25091,11842,Leemouth,P001,S002,DEU,BW,461,5267,6485874534,PL4779,TX3288,01,01,D
100,PL1921,Chapman and Sons,PL1921,C294325,V862225,FC,Group,43106 Adam Drive,44844,08077,Lake Kelly,P001,S003,DEU,BW,458,1318,6095061054,PL1921,TX5433,01,01,E
300,PL7088,"Thompson, Bradley and Kim",PL7088,C836731,V845176,FC,PLC,741 Jennifer Plains Apt. 047,25417,99858,North Michael,P001,S003,FRA,IDF,265,5316,8005920989,PL7088,TX1746,01,01,S
300,PL5390,Brown Inc,PL5390,C597473,V439876,FC,Group,426 White Extension,96863,38964,North Eugeneland,P001,S003,USA,NY,188,1066,9602455723,PL5390,TX2543,01,01,D
100,PL9846,Lee and Sons,PL9846,C529250,V518388,FC,LLC,10630 Patterson Valleys Apt. 485,42420,26513,North Christophertown,P002,S002,IND,DL,908,7507,6401923706,PL9846,TX4119,01,01,D
200,PL1265,Martin LLC,PL1265,C411528,V916248,FC,Group,5036 Stephanie Tunnel,41586,81648,Kennethburgh,P002,S001,DEU,HE,189,7554,3030695308,PL1265,TX9617,01,01,S
200,PL8964,Phillips Ltd,PL8964,C493791,V616153,FC,Ltd,2398 Terri Roads Suite 507,10164,48731,North Amandaton,P003,S001,FRA,NAQ,222,3628,1131086891,PL8964,TX3327,01,01,D
100,PL6914,Spears and Sons,PL6914,C147437,V974026,FC,Ltd,499 Duke Greens Apt. 571,98827,05376,Andersonstad,P003,S002,DEU,BW,709,3396,6807072826,PL6914,TX4957,01,01,S
100,PL6768,"Grant, Castaneda and Guerrero",PL6768,C237509,V177521,FC,Group,564 Jason Mills,76842,11883,Mooreburgh,P002,S001,DEU,BY,635,5950,7124303636,PL6768,TX9433,01,01,S
200,PL4445,Nelson-Todd,PL4445,C429972,V810790,FC,and Sons,40491 Herrera Crossroad Apt. 978,79520,33475,Port Aaronchester,P003,S003,IND,MH,962,3529,5466608258,PL4445,TX8304,01,01,F
100,PL8679,Clay-Scott,PL8679,C905048,V162493,FC,LLC,2129 Mary Drive Apt. 343,48223,32053,Richardville,P002,S003,DEU,HE,113,8502,4235527190,PL8679,TX1171,01,01,S
300,PL8838,Ellis Inc,PL8838,C927633,V190290,FC,Group,6873 Hogan Haven Suite 096,65932,32407,Mccoybury,P001,S003,USA,TX,145,4860,6891367164,PL8838,TX8530,01,01,F
200,PL1753,Gonzalez-Murray,PL1753,C288012,V733911,FC,Group,115 Noble Forges Apt. 851,83122,35977,West Deniseshire,P002,S001,DEU,BY,847,3060,4533365326,PL1753,TX4031,01,01,S
200,PL2977,"Poole, Mills and Thomas",PL2977,C780324,V731945,FC,Inc,33338 James Island,57367,93143,Brandonside,P002,S001,FRA,NAQ,595,7666,6439469541,PL2977,TX9825,01,01,D
300,PL9919,Sandoval Inc,PL9919,C489971,V999585,FC,LLC,0622 Joshua Loaf,38958,20021,Jonesside,P001,S003,USA,CA,761,3762,6005397031,PL9919,TX2114,01,01,F
300,PL6364,Anderson-Vaughn,PL6364,C691715,V187260,FC,Inc,9749 Matthew Crescent Suite 968,50449,93720,Port Brendaland,P001,S002,FRA,NAQ,913,3210,8353191544,PL6364,TX6557,01,01,S
100,PL4233,"Austin, Bush and Edwards",PL4233,C654147,V643776,FC,and Sons,847 Thomas Locks,29462,18521,South Ronaldberg,P003,S001,USA,TX,866,1920,6007764881,PL4233,TX8075,01,01,F
200,PL2123,Castro Group,PL2123,C687073,V178238,FC,and Sons,850 Stacy Pines,50565,69386,Lake Billy,P003,S001,IND,DL,408,4314,5371109982,PL2123,TX6267,01,01,E
200,PL2571,"King, Steele and Turner",PL2571,C289076,V897406,FC,Ltd,92772 Wilson Lakes Suite 314,12953,35947,Rodriguezshire,P002,S002,FRA,PAC,170,1996,8306363058,PL2571,TX4860,01,01,F
300,PL7496,Harris Ltd,PL7496,C211452,V256462,FC,and Sons,490 Navarro Landing Apt. 475,35117,19159,Kaylachester,P002,S003,IND,DL,977,7226,7982837839,PL7496,TX1945,01,01,E
300,PL7610,Rice-Norris,PL7610,C315828,V439341,FC,PLC,622 Stephanie Overpass Apt. 312,86061,85818,Port Jamesborough,P001,S003,DEU,BY,880,8858,6264035132,PL7610,TX8072,01,01,S
