ABWCT,ABWGA,FCURR,FFACT,GDATU,KURST,MANDT,TCURR,TFACT
B,20230105,EUR,45,20230105,M,100,GBP,69
G,20240530,SGD,19,20240530,G,100,INR,40
G,20221222,GBP,60,20221222,G,100,EUR,73
G,20190703,AUD,68,20190703,P,100,GBP,29
P,20211128,JPY,32,20211128,P,100,AUD,56
M,20221026,SGD,24,20221026,B,100,INR,97
B,20220708,AUD,90,20220708,B,100,SGD,70
P,20231103,SGD,14,20231103,P,100,USD,7
P,20240708,AUD,69,20240708,P,100,JPY,22
M,20180106,EUR,7,20180106,M,100,GBP,3
G,20201214,EUR,12,20201214,B,100,AUD,85
G,20240615,JPY,67,20240615,M,100,CAD,8
B,20220504,EUR,70,20220504,B,100,INR,71
P,20201119,AED,10,20201119,M,100,AUD,72
G,20190517,JPY,46,20190517,P,100,AUD,60
G,20180704,AED,71,20180704,P,100,JPY,45
G,20190330,JPY,68,20190330,P,100,INR,77
P,20230515,AED,81,20230515,G,100,JPY,56
P,20200604,AUD,49,20200604,B,100,INR,35
G,20230829,USD,8,20230829,B,100,EUR,54
G,20231122,EUR,68,20231122,P,100,AED,13
B,20220424,USD,20,20220424,G,100,INR,83
G,20200127,JPY,32,20200127,P,100,USD,6
M,20230416,USD,25,20230416,G,100,AUD,88
P,20230310,SGD,69,20230310,P,100,EUR,6
P,20240114,JPY,72,20240114,P,100,EUR,85
B,20200403,EUR,64,20200403,G,100,GBP,90
P,20220814,JPY,81,20220814,M,100,GBP,12
G,20180315,INR,21,20180315,P,100,AUD,5
M,20180509,EUR,20,20180509,M,100,USD,87
P,20231130,CAD,3,20231130,M,100,EUR,22
M,20220210,INR,67,20220210,M,100,CAD,48
B,20180530,SGD,17,20180530,M,100,USD,87
M,20221027,EUR,72,20221027,P,100,USD,90
G,20231115,USD,81,20231115,G,100,CAD,46
P,20240109,AUD,32,20240109,G,100,GBP,63
B,20220328,GBP,31,20220328,M,100,JPY,21
M,20240128,USD,27,20240128,M,100,AUD,40
B,20240326,CAD,16,20240326,P,100,AED,56
B,20181001,GBP,82,20181001,M,100,CAD,19
B,20240918,GBP,11,20240918,G,100,JPY,73
B,20230524,AUD,52,20230524,M,100,CAD,57
P,20191106,USD,56,20191106,B,100,AUD,51
G,20230511,USD,9,20230511,M,100,EUR,41
G,20220124,JPY,22,20220124,G,100,EUR,66
G,20220401,GBP,9,20220401,B,100,USD,11
P,20220124,JPY,26,20220124,P,100,EUR,4
P,20240604,SGD,64,20240604,M,100,CAD,4
G,20190617,EUR,4,20190617,P,100,INR,74
G,20210914,INR,85,20210914,P,100,EUR,84
G,20230605,AUD,86,20230605,G,100,EUR,48
M,20181004,SGD,73,20181004,M,100,AED,36
B,20200110,EUR,83,20200110,G,100,CAD,28
B,20241006,AUD,3,20241006,P,100,USD,91
M,20230925,USD,58,20230925,G,100,JPY,63
M,20231119,USD,47,20231119,M,100,JPY,21
M,20240510,AED,21,20240510,G,100,USD,39
P,20190311,AED,17,20190311,B,100,CAD,63
M,20230326,AUD,92,20230326,G,100,CAD,96
M,20191202,INR,84,20191202,P,100,JPY,61
P,20230210,INR,80,20230210,G,100,SGD,98
G,20180306,AED,68,20180306,B,100,USD,65
B,20201124,AED,7,20201124,G,100,SGD,33
M,20180220,AUD,61,20180220,M,100,USD,3
M,20190321,USD,63,20190321,G,100,EUR,87
G,20180219,AED,25,20180219,B,100,JPY,25
G,20210513,JPY,83,20210513,G,100,GBP,76
M,20200319,AUD,95,20200319,M,100,JPY,58
P,20241024,CAD,48,20241024,G,100,USD,4
M,20230904,CAD,30,20230904,P,100,GBP,88
M,20200411,CAD,33,20200411,M,100,INR,90
P,20200820,USD,31,20200820,P,100,JPY,3
M,20220827,AED,73,20220827,G,100,AUD,2
B,20230927,SGD,49,20230927,B,100,AED,38
P,20220320,EUR,88,20220320,B,100,AED,67
M,20221016,GBP,1,20221016,B,100,CAD,27
G,20220813,JPY,37,20220813,B,100,GBP,72
B,20241007,USD,74,20241007,B,100,GBP,72
B,20200710,INR,62,20200710,B,100,JPY,17
P,20201004,USD,97,20201004,B,100,AUD,28
M,20220205,INR,80,20220205,M,100,JPY,71
B,20191020,JPY,72,20191020,P,100,CAD,77
B,20241026,CAD,57,20241026,B,100,AUD,33
G,20220119,CAD,47,20220119,P,100,JPY,35
M,20231231,INR,19,20231231,G,100,SGD,24
M,20230531,USD,8,20230531,P,100,AED,20
M,20210617,AUD,35,20210617,M,100,JPY,49
G,20190302,EUR,62,20190302,G,100,AED,47
P,20190409,INR,2,20190409,M,100,CAD,15
B,20210804,SGD,41,20210804,M,100,EUR,86
G,20190808,AUD,19,20190808,G,100,GBP,61
B,20230220,EUR,63,20230220,M,100,GBP,60
P,20220929,INR,76,20220929,P,100,USD,4
P,20221207,JPY,52,20221207,G,100,GBP,45
G,20190406,AUD,74,20190406,G,100,JPY,30
G,20200510,SGD,30,20200510,P,100,USD,34
B,20210616,AUD,61,20210616,M,100,SGD,25
P,20220717,AED,16,20220717,M,100,AUD,33
B,20220622,INR,31,20220622,M,100,JPY,18
G,20230112,USD,11,20230112,B,100,CAD,74
G,20200316,CAD,4,20200316,P,100,AED,2
G,20190510,AED,61,20190510,P,100,AUD,39
M,20210623,INR,54,20210623,G,100,USD,67
B,20181022,EUR,61,20181022,B,100,GBP,62
G,20240821,EUR,69,20240821,M,100,USD,79
M,20210615,USD,20,20210615,B,100,INR,5
P,20210402,CAD,85,20210402,G,100,AED,49
G,20190410,INR,5,20190410,M,100,USD,37
P,20221108,EUR,41,20221108,M,100,AUD,12
G,20211027,JPY,18,20211027,B,100,GBP,74
P,20240908,SGD,34,20240908,G,100,JPY,85
B,20181001,AED,44,20181001,B,100,USD,63
M,20180626,INR,15,20180626,B,100,EUR,99
M,20210611,EUR,19,20210611,B,100,GBP,3
M,20240614,CAD,9,20240614,G,100,USD,62
P,20240727,AUD,93,20240727,P,100,JPY,86
M,20190925,INR,56,20190925,G,100,USD,44
P,20190612,INR,25,20190612,G,100,AED,81
P,20220718,AUD,43,20220718,P,100,INR,70
P,20220328,JPY,20,20220328,P,100,INR,12
P,20231026,CAD,98,20231026,M,100,INR,15
M,20220317,JPY,6,20220317,B,100,SGD,46
P,20190313,AED,28,20190313,M,100,AUD,28
G,20181022,INR,53,20181022,B,100,SGD,6
G,20180704,GBP,2,20180704,M,100,SGD,16
M,20240823,EUR,79,20240823,B,100,CAD,71
G,20210427,AUD,40,20210427,P,100,AED,76
B,20190426,GBP,71,20190426,G,100,SGD,45
P,20190823,EUR,3,20190823,B,100,SGD,22
B,20230501,GBP,85,20230501,G,100,CAD,91
M,20180504,EUR,87,20180504,G,100,INR,93
G,20230911,CAD,18,20230911,M,100,EUR,9
B,20190402,AED,54,20190402,G,100,USD,7
P,20201022,GBP,26,20201022,G,100,JPY,12
M,20240823,EUR,17,20240823,G,100,SGD,41
P,20230815,CAD,91,20230815,P,100,AED,4
G,20210708,AED,78,20210708,M,100,SGD,13
G,20220201,USD,68,20220201,B,100,AED,52
B,20230316,CAD,45,20230316,B,100,AED,56
G,20180517,GBP,25,20180517,P,100,SGD,77
M,20190915,SGD,40,20190915,B,100,AUD,77
B,20230306,AED,60,20230306,B,100,CAD,39
G,20190904,AED,71,20190904,B,100,JPY,10
B,20190706,CAD,97,20190706,G,100,AUD,4
M,20210414,AUD,10,20210414,G,100,CAD,20
P,20190613,AUD,70,20190613,M,100,USD,37
M,20190729,GBP,21,20190729,B,100,INR,74
M,20220624,JPY,49,20220624,P,100,USD,16
P,20231018,CAD,83,20231018,G,100,AED,42
P,20180227,JPY,74,20180227,P,100,AUD,98
B,20181222,USD,7,20181222,G,100,GBP,25
M,20180324,AUD,15,20180324,G,100,AED,6
M,20220206,CAD,27,20220206,G,100,INR,81
M,20220514,AED,82,20220514,B,100,GBP,50
G,20190315,SGD,26,20190315,G,100,AUD,55
G,20230814,CAD,29,20230814,P,100,JPY,70
M,20210211,GBP,1,20210211,M,100,USD,81
M,20220625,USD,50,20220625,G,100,SGD,93
G,20211003,JPY,5,20211003,B,100,EUR,2
B,20201108,JPY,90,20201108,M,100,GBP,2
B,20190805,AUD,38,20190805,P,100,INR,7
M,20221107,CAD,11,20221107,P,100,SGD,11
B,20210322,EUR,58,20210322,M,100,INR,86
B,20180913,AED,18,20180913,G,100,EUR,9
G,20180225,JPY,68,20180225,B,100,AUD,76
B,20230131,AED,63,20230131,M,100,CAD,26
P,20181201,CAD,95,20181201,B,100,AED,60
B,20241004,EUR,41,20241004,G,100,CAD,11
P,20180125,INR,14,20180125,M,100,JPY,90
P,20190817,INR,69,20190817,B,100,SGD,86
B,20220820,AUD,39,20220820,M,100,USD,48
M,20180312,EUR,13,20180312,G,100,CAD,54
P,20240621,AUD,35,20240621,G,100,EUR,24
B,20240607,SGD,69,20240607,G,100,JPY,95
G,20200510,EUR,26,20200510,P,100,CAD,98
M,20211205,EUR,66,20211205,P,100,CAD,31
G,20190210,USD,32,20190210,P,100,AED,19
B,20180909,EUR,37,20180909,P,100,SGD,16
G,20210926,USD,81,20210926,P,100,EUR,95
B,20180408,CAD,31,20180408,P,100,GBP,45
P,20211013,AED,44,20211013,P,100,SGD,71
G,20210805,AED,74,20210805,P,100,SGD,58
G,20210807,GBP,94,20210807,G,100,CAD,24
M,20180523,EUR,69,20180523,M,100,AUD,84
B,20221006,CAD,9,20221006,P,100,AED,32
B,20241007,SGD,84,20241007,B,100,JPY,82
G,20210309,EUR,82,20210309,G,100,GBP,96
G,20190929,INR,84,20190929,P,100,SGD,82
G,20221129,CAD,31,20221129,B,100,JPY,23
P,20230831,GBP,59,20230831,P,100,CAD,90
B,20220802,EUR,1,20220802,P,100,JPY,61
G,20210921,CAD,14,20210921,P,100,SGD,42
P,20190102,JPY,69,20190102,P,100,INR,10
M,20200408,CAD,20,20200408,B,100,AED,13
M,20190724,AUD,92,20190724,P,100,EUR,47
P,20210218,CAD,76,20210218,M,100,AUD,79
B,20180404,AUD,54,20180404,B,100,JPY,5
P,20191228,USD,16,20191228,P,100,GBP,81
M,20190807,SGD,96,20190807,G,100,EUR,80
M,20220728,SGD,70,20220728,B,100,INR,60
P,20240706,JPY,13,20240706,G,100,INR,94
P,20231229,USD,19,20231229,M,100,EUR,93
B,20230510,INR,89,20230510,P,100,EUR,100
B,20180705,GBP,68,20180705,B,100,AED,37
G,20240416,JPY,74,20240416,M,100,GBP,33
P,20220422,EUR,42,20220422,B,100,SGD,32
G,20220830,JPY,63,20220830,P,100,SGD,88
G,20240619,GBP,94,20240619,P,100,AED,22
B,20190724,EUR,6,20190724,P,100,AUD,82
M,20230706,CAD,72,20230706,B,100,USD,25
M,20200329,JPY,88,20200329,P,100,INR,34
M,20210220,AED,93,20210220,B,100,GBP,22
M,20230507,USD,30,20230507,M,100,AED,36
M,20201026,SGD,71,20201026,G,100,EUR,33
B,20220407,AED,86,20220407,M,100,INR,39
P,20231103,SGD,42,20231103,G,100,CAD,47
B,20180630,JPY,49,20180630,M,100,SGD,68
P,20211230,EUR,76,20211230,P,100,SGD,46
M,20220106,SGD,3,20220106,B,100,EUR,69
M,20230719,EUR,91,20230719,G,100,INR,21
P,20211212,CAD,34,20211212,G,100,JPY,22
P,20231027,JPY,46,20231027,G,100,CAD,73
G,20181020,INR,92,20181020,M,100,SGD,3
G,20210909,INR,45,20210909,G,100,GBP,4
B,20230609,JPY,18,20230609,B,100,USD,55
B,20221027,USD,52,20221027,M,100,SGD,48
M,20200805,AUD,80,20200805,M,100,EUR,84
G,20231213,CAD,100,20231213,B,100,AUD,78
M,20180719,JPY,25,20180719,G,100,CAD,41
G,20220626,GBP,81,20220626,M,100,SGD,60
M,20190129,USD,46,20190129,B,100,AUD,12
P,20210627,INR,5,20210627,P,100,AED,43
G,20220517,CAD,68,20220517,M,100,INR,85
P,20220918,CAD,35,20220918,G,100,USD,9
B,20200219,GBP,32,20200219,B,100,EUR,24
B,20211121,SGD,87,20211121,M,100,JPY,55
G,20190415,USD,72,20190415,B,100,INR,3
B,20211110,EUR,56,20211110,B,100,GBP,1
G,20210814,INR,21,20210814,P,100,GBP,23
M,20190212,GBP,51,20190212,M,100,AUD,31
P,20210510,CAD,79,20210510,G,100,AED,96
M,20240223,INR,85,20240223,B,100,AUD,17
G,20190325,JPY,42,20190325,M,100,GBP,45
P,20181106,CAD,18,20181106,P,100,JPY,80
B,20220124,EUR,15,20220124,B,100,SGD,77
M,20200803,GBP,23,20200803,P,100,USD,58
P,20191206,EUR,26,20191206,G,100,INR,28
M,20181027,EUR,57,20181027,M,100,SGD,58
G,20180609,JPY,56,20180609,B,100,USD,37
M,20210514,AED,13,20210514,G,100,SGD,8
P,20190401,SGD,35,20190401,M,100,CAD,51
M,20190416,AUD,56,20190416,M,100,EUR,94
P,20231011,EUR,38,20231011,M,100,JPY,26
P,20210523,INR,22,20210523,M,100,CAD,98
M,20181205,AUD,18,20181205,P,100,USD,70
B,20220318,USD,69,20220318,G,100,INR,20
B,20190127,GBP,2,20190127,B,100,INR,61
P,20190819,JPY,11,20190819,M,100,INR,38
M,20200618,USD,36,20200618,M,100,INR,47
G,20220607,USD,1,20220607,B,100,CAD,57
M,20230701,AUD,71,20230701,G,100,USD,99
B,20190523,SGD,56,20190523,P,100,USD,47
G,20180909,AED,23,20180909,P,100,EUR,40
B,20210319,INR,12,20210319,G,100,GBP,38
G,20231212,USD,17,20231212,B,100,EUR,65
G,20240112,CAD,73,20240112,B,100,USD,99
B,20240811,EUR,96,20240811,M,100,AED,50
G,20210829,EUR,34,20210829,P,100,CAD,50
G,20231021,USD,68,20231021,B,100,CAD,53
M,20211027,AED,84,20211027,P,100,USD,82
P,20220506,JPY,89,20220506,G,100,AED,57
P,20181023,USD,94,20181023,G,100,AED,82
P,20211029,AED,95,20211029,G,100,USD,85
P,20241020,USD,87,20241020,M,100,GBP,36
G,20201012,GBP,18,20201012,M,100,AED,39
B,20180311,AED,15,20180311,G,100,GBP,16
G,20210413,JPY,98,20210413,B,100,USD,92
B,20230318,AED,34,20230318,P,100,GBP,28
B,20221221,JPY,53,20221221,B,100,AED,21
M,20240120,GBP,16,20240120,M,100,JPY,14
G,20240625,GBP,73,20240625,P,100,AUD,56
M,20190523,JPY,65,20190523,B,100,EUR,85
G,20200807,SGD,40,20200807,B,100,AED,14
G,20240823,AUD,41,20240823,G,100,SGD,21
P,20191017,SGD,29,20191017,P,100,INR,79
G,20220929,CAD,58,20220929,M,100,AED,75
P,20220609,GBP,82,20220609,B,100,JPY,24
B,20241018,EUR,94,20241018,G,100,JPY,36
B,20200330,AED,79,20200330,P,100,USD,9
M,20200823,INR,29,20200823,B,100,USD,36
P,20211016,GBP,5,20211016,P,100,SGD,16
G,20191015,SGD,48,20191015,G,100,GBP,48
B,20190211,AUD,24,20190211,G,100,AED,1
B,20240226,JPY,17,20240226,B,100,AUD,14
P,20240414,JPY,83,20240414,G,100,CAD,10
P,20180203,JPY,49,20180203,M,100,AED,12
B,20190110,USD,94,20190110,B,100,INR,40
B,20190501,JPY,83,20190501,G,100,SGD,81
G,20180301,JPY,81,20180301,B,100,AED,92
G,20191203,INR,93,20191203,B,100,GBP,75
G,20181121,AED,54,20181121,G,100,USD,61
M,20221231,AED,25,20221231,M,100,EUR,22
B,20220129,SGD,83,20220129,M,100,GBP,12
P,20240604,AED,65,20240604,M,100,SGD,61
P,20181109,EUR,65,20181109,M,100,GBP,63
M,20190813,CAD,65,20190813,B,100,EUR,53
B,20240313,JPY,98,20240313,P,100,USD,53
M,20230725,EUR,74,20230725,P,100,AUD,26
M,20220502,INR,83,20220502,G,100,SGD,86
M,20221005,AED,89,20221005,G,100,USD,51
P,20210221,SGD,53,20210221,M,100,CAD,67
B,20210711,USD,62,20210711,M,100,EUR,78
B,20191205,USD,48,20191205,B,100,AED,1
B,20231016,INR,68,20231016,P,100,SGD,3
M,20181024,AUD,53,20181024,B,100,EUR,68
P,20190711,SGD,42,20190711,B,100,AUD,70
G,20210106,SGD,45,20210106,P,100,GBP,25
B,20200131,JPY,9,20200131,G,100,SGD,82
P,20180928,CAD,61,20180928,G,100,USD,26
P,20220531,EUR,65,20220531,G,100,JPY,71
P,20240726,USD,77,20240726,B,100,AUD,33
B,20190918,CAD,50,20190918,B,100,EUR,67
B,20190816,EUR,85,20190816,B,100,INR,100
M,20190107,CAD,100,20190107,G,100,INR,73
B,20240627,SGD,52,20240627,P,100,USD,75
M,20190125,CAD,93,20190125,P,100,GBP,90
B,20231106,CAD,36,20231106,G,100,AED,16
P,20231004,GBP,51,20231004,G,100,JPY,4
M,20210227,CAD,92,20210227,G,100,GBP,88
G,20201109,CAD,3,20201109,M,100,AUD,62
M,20191030,AED,9,20191030,G,100,INR,11
G,20241004,GBP,10,20241004,P,100,AUD,17
M,20200420,SGD,29,20200420,P,100,EUR,50
P,20180615,AED,97,20180615,G,100,INR,98
B,20240601,INR,25,20240601,P,100,SGD,29
P,20190406,AUD,22,20190406,P,100,INR,84
P,20180303,AED,72,20180303,G,100,EUR,22
G,20191128,AED,1,20191128,P,100,GBP,47
M,20180506,AED,27,20180506,G,100,USD,88
M,20200508,JPY,66,20200508,B,100,AUD,16
P,20240602,GBP,26,20240602,M,100,EUR,90
P,20240429,USD,1,20240429,P,100,AED,75
G,20220106,SGD,74,20220106,M,100,USD,31
M,20230225,AUD,30,20230225,P,100,CAD,12
P,20240518,AED,31,20240518,G,100,AUD,65
P,20180626,AUD,15,20180626,P,100,INR,47
G,20211021,AED,18,20211021,M,100,JPY,53
G,20210203,SGD,70,20210203,M,100,INR,72
B,20240413,USD,85,20240413,G,100,GBP,61
G,20240411,USD,6,20240411,M,100,JPY,4
G,20180913,INR,37,20180913,P,100,JPY,85
P,20220603,SGD,83,20220603,G,100,JPY,63
G,20210804,USD,56,20210804,G,100,CAD,54
G,20181221,AED,73,20181221,M,100,JPY,100
P,20200320,AED,72,20200320,B,100,GBP,12
M,20211124,AUD,65,20211124,P,100,JPY,77
P,20240510,USD,66,20240510,P,100,EUR,14
P,20181006,EUR,91,20181006,B,100,SGD,38
M,20231216,JPY,78,20231216,G,100,AUD,52
P,20220421,GBP,53,20220421,G,100,EUR,48
B,20211127,JPY,31,20211127,M,100,AED,7
P,20221016,AUD,37,20221016,P,100,CAD,86
P,20241029,USD,67,20241029,P,100,CAD,92
M,20190128,GBP,61,20190128,M,100,USD,27
B,20210102,EUR,53,20210102,G,100,AED,88
B,20220212,AUD,19,20220212,B,100,AED,72
P,20231113,AED,27,20231113,P,100,USD,64
P,20180303,AUD,50,20180303,P,100,SGD,53
G,20221127,JPY,6,20221127,B,100,AUD,77
M,20191218,AED,62,20191218,M,100,AUD,48
G,20220605,CAD,95,20220605,P,100,GBP,18
P,20221230,USD,14,20221230,P,100,JPY,34
M,20241020,INR,42,20241020,P,100,EUR,12
M,20180704,EUR,45,20180704,P,100,JPY,88
B,20191110,USD,84,20191110,B,100,AED,80
B,20230518,SGD,25,20230518,P,100,GBP,67
B,20230511,EUR,54,20230511,M,100,USD,57
M,20230220,USD,96,20230220,G,100,INR,10
P,20210718,EUR,21,20210718,B,100,CAD,85
G,20191227,GBP,7,20191227,G,100,EUR,29
G,20220805,AED,34,20220805,P,100,EUR,86
B,20241018,CAD,21,20241018,M,100,AED,39
B,20201112,AUD,33,20201112,P,100,SGD,81
M,20180827,INR,7,20180827,P,100,GBP,63
B,20230910,AED,42,20230910,M,100,USD,4
M,20230625,SGD,34,20230625,P,100,CAD,43
P,20240710,EUR,19,20240710,M,100,JPY,55
G,20201202,CAD,39,20201202,G,100,JPY,58
