AENAM,CEINM,CHARG,CHDLL,CHJIN,CHRUE,CINSM,CLABS,CRETM,CSPEM,CUMLM,CVMEI,CVMIN,CVMLA,CVMRE,CVMSP,CVMUM,ERNAM,ERSDA,HERKL,KZICE,KZICL,KZICQ,KZICS,KZVCE,KZVCL,KZVCQ,KZVCS,LAEDA,LFGJA,LFMON,LGORT,LVORM,MANDT,MATNR,SPERC,WERKS
mendozathoma,232.722,B210250148,20230815,2022,X,373.986,4839.072,78.913,202.709,537.127,206.552,343.453,4740.467,71.955,174.182,505.965,ifisher,20240420,US,"","","","","","","","",20240324,2024,05,S033,"",100,577892205039887879,"",P047
estradakaren,67.807,B864201852,20241230,2026,"",251.066,2582.283,43.564,84.259,281.075,56.757,232.602,2384.614,40.732,67.44,247.851,kennedykimbe,20251118,US,"","","","","","","","",20240408,2023,11,S011,"",100,945590623018475985,X,P008
lindseypeggy,65.861,B509504731,20240303,2023,X,227.783,3104.429,42.841,133.097,608.876,57.603,212.451,2732.141,38.146,122.305,546.3,andersennich,20241212,DE,"","","","","","","","",20241029,2022,05,S005,"",100,834015392611498277,X,P047
richard63,178.503,B268423178,20240702,2022,X,354.071,3887.856,35.641,72.221,450.48,168.839,319.012,3551.931,33.555,62.564,412.965,edwin33,20260204,CN,"","","","","","","","",20240825,2023,12,S058,"",100,640819209875893904,"",P021
alisondaniel,124.412,B291585035,20231203,2022,"",408.104,4674.855,40.684,96.061,711.658,117.943,354.087,4498.314,34.144,86.324,655.287,jasonmiles,20231012,IN,"","","","","","","","",20240108,2022,12,S060,"",100,775400915778670417,X,P029
jimmy20,71.23,B404496410,20251027,2024,"",387.586,4150.935,31.578,92.993,616.215,58.521,338.624,3966.652,29.839,87.157,546.282,perkinsjeffr,20250211,CN,"","","","","","","","",20250711,2023,09,S066,"",100,194945836717908988,"",P042
landrycynthi,29.591,B534556598,20230525,2024,X,42.068,801.295,6.948,19.445,130.299,24.862,37.22,784.918,5.846,17.14,110.402,christinapar,20230928,IN,"","","","","","","","",20241101,2022,05,S076,"",100,551806193173839346,"",P045
jenkinsemma,72.137,B258172490,20231224,2026,"",206.763,4565.941,77.44,96.968,416.679,66.095,181.529,4301.085,65.031,81.206,336.477,wilcoxpatric,20250807,IN,"","","","","","","","",20240229,2026,11,S036,"",100,605084423101518336,"",P041
castillocath,31.031,B527267304,20240623,2023,X,127.665,1523.692,24.76,70.432,189.102,27.06,105.404,1409.945,20.872,61.165,159.148,nmarquez,20241213,DE,"","","","","","","","",20260129,2025,09,S036,"",100,160516900301073458,"",P037
cheryl10,47.226,B845867641,20250528,2022,"",121.016,1450.778,17.791,48.106,281.486,41.842,108.377,1274.322,15.873,41.595,239.455,weaverpeter,20240825,IN,"","","","","","","","",20240422,2022,06,S025,"",100,134214489927530564,"",P030
lindahernand,20.364,B828041195,20240116,2023,"",120.201,1526.067,12.719,47.462,209.457,17.673,99.301,1319.571,10.555,38.316,194.498,john32,20250824,IN,"","","","","","","","",20230527,2023,08,S028,"",100,535003207387756596,"",P008
villanuevatr,10.692,B188395384,20240215,2022,X,11.454,261.226,2.814,10.891,37.874,9.402,10.202,233.603,2.67,9.634,30.457,samantha15,20240312,DE,"","","","","","","","",20240221,2024,07,S077,"",100,867062700570144009,X,P008
david50,40.726,B179547812,20250107,2023,X,58.47,1056.898,12.508,40.535,207.885,38.214,53.884,930.278,11.395,34.583,197.472,daniel14,20241127,US,"","","","","","","","",20240902,2022,07,S078,"",100,538604289749262298,"",P004
chambersnico,27.204,B945002912,20230703,2024,"",166.841,2370.244,46.443,55.764,334.092,24.523,139.045,2193.548,42.36,51.281,316.514,martinezpatr,20250705,CN,"","","","","","","","",20241114,2023,05,S069,"",100,494329313553116149,"",P016
patricia84,103.419,B315003028,20250228,2022,"",153.352,2652.301,24.648,98.362,292.67,86.432,126.289,2440.555,23.176,90.164,260.86,meagan43,20251015,US,"","","","","","","","",20230621,2023,03,S038,"",100,580057868791524353,X,P002
tylermoore,33.254,B893338476,20240612,2022,X,91.768,2267.91,37.339,87.832,388.847,28.961,79.113,2174.031,32.378,73.596,337.424,robertlee,20250604,DE,"","","","","","","","",20231119,2025,05,S019,"",100,524800533240772160,X,P033
caleb32,152.067,B228160935,20250921,2025,X,165.62,4216.029,78.709,93.998,487.321,132.851,142.413,3705.819,64.368,88.478,458.893,qanderson,20240220,CN,"","","","","","","","",20230531,2026,09,S025,"",100,939085524058845943,"",P047
blairjennife,17.572,B336036864,20231018,2023,X,46.614,733.052,3.747,14.367,111.722,16.22,42.697,673.727,3.429,13.227,103.346,richard62,20250729,US,"","","","","","","","",20250722,2024,07,S002,"",100,429420641411477827,"",P019
peteracosta,39.963,B344751060,20251208,2025,"",100.751,1667.088,16.33,38.63,241.202,37.049,81.781,1478.146,13.089,35.801,203.837,whitney48,20240910,CN,"","","","","","","","",20231107,2022,11,S039,"",100,389867369104476604,"",P004
kaitlyngreen,103.786,B736251046,20251020,2024,X,213.452,3115.529,38.298,63.681,210.671,96.402,173.602,3044.89,34.347,56.623,175.685,shawn71,20240525,IN,"","","","","","","","",20250319,2025,04,S001,"",100,212250944786647585,X,P013
brucefox,61.552,B587915414,20231113,2022,X,206.159,2391.446,45.667,36.417,429.501,57.549,195.293,2157.742,42.836,29.458,389.816,lisa40,20231110,DE,"","","","","","","","",20240311,2025,10,S028,"",100,307215633617845072,X,P030
theresa35,31.107,B674581127,20260108,2023,"",53.557,724.354,11.485,21.323,113.846,27.889,50.348,697.366,10.406,19.62,102.055,martinjared,20231223,DE,"","","","","","","","",20250414,2024,04,S096,"",100,589099533337548066,"",P029
obrandt,32.513,B682157639,20240117,2025,X,100.806,1154.61,13.54,44.072,212.959,28.427,91.781,1115.753,12.508,41.206,200.29,franklineliz,20250517,US,"","","","","","","","",20250422,2023,03,S054,"",100,636545334701997608,X,P039
lclark,124.095,B114900351,20240429,2026,X,191.856,2684.923,34.371,67.82,239.834,109.377,157.456,2406.247,32.29,60.998,192.129,dudleyheathe,20230530,US,"","","","","","","","",20250929,2023,07,S050,"",100,719119684875997912,"",P010
eric80,51.431,B144330260,20240802,2025,X,121.548,3944.148,42.925,80.992,356.572,42.211,109.119,3607.663,38.237,69.84,288.556,antonio22,20241025,US,"","","","","","","","",20240908,2026,11,S055,"",100,971151856779641306,"",P038
bruce80,149.16,B534447660,20250923,2023,"",98.794,4568.056,47.315,112.829,463.451,133.289,89.71,4046.382,44.445,94.747,436.535,tpierce,20250515,US,"","","","","","","","",20241008,2022,06,S068,"",100,556254881706524236,"",P022
nicholsontin,145.492,B831395487,20240208,2024,"",104.667,3164.559,62.69,49.253,315.598,124.755,97.134,2968.332,50.789,42.537,267.268,alishaharris,20250629,DE,"","","","","","","","",20250610,2026,09,S089,"",100,186896520272612939,X,P012
marianolan,36.029,B876768457,20240618,2024,"",228.951,2478.999,13.092,52.267,329.426,30.139,183.526,2119.107,11.269,42.587,290.2,solomondebra,20241108,IN,"","","","","","","","",20250412,2025,03,S004,"",100,214509656510864524,X,P021
lisa76,26.733,B509230656,20241113,2026,"",127.362,1965.053,20.343,90.627,170.888,24.375,109.962,1802.753,16.316,78.977,137.364,stephaniejor,20251003,US,"","","","","","","","",20240704,2023,09,S030,"",100,121245309164084536,"",P011
jenniferbrid,102.051,B479644695,20260105,2026,X,429.538,4313.6,50.81,59.951,826.538,94.596,374.578,4207.019,44.764,53.7,681.743,umann,20250808,DE,"","","","","","","","",20250612,2025,08,S006,"",100,588797486931929842,X,P021
josephfox,27.01,B890663327,20240804,2026,X,67.621,851.549,5.436,30.146,128.967,24.499,61.392,818.873,4.44,28.456,108.969,tchase,20241204,IN,"","","","","","","","",20240217,2022,02,S024,"",100,240418691455603898,"",P030
lkeith,197.882,B878699421,20250422,2024,"",100.796,4519.457,70.615,61.306,781.368,160.533,93.982,3912.551,60.963,50.32,674.99,robertrichar,20231107,US,"","","","","","","","",20230711,2026,09,S100,"",100,113593965589769311,"",P050
jonessharon,110.933,B687561237,20230718,2026,"",200.475,2371.158,44.824,73.97,341.883,103.259,160.986,2260.123,35.984,66.705,291.131,martinezkath,20250805,DE,"","","","","","","","",20240125,2026,01,S066,"",100,890545532721214873,"",P047
jason33,75.205,B436097371,20250123,2023,"",187.468,3867.343,38.618,71.148,520.468,69.914,160.883,3314.042,36.228,64.427,459.157,pburch,20240120,IN,"","","","","","","","",20240526,2024,12,S077,"",100,244872579296424000,X,P028
ymiller,168.149,B742886950,20240610,2025,X,236.587,3565.345,36.425,169.475,524.899,139.063,218.279,3467.374,34.507,145.653,425.566,ndunlap,20260121,CN,"","","","","","","","",20241221,2025,07,S032,"",100,688362565228125451,"",P002
hcooper,119.023,B196809545,20240818,2022,X,196.25,3267.231,29.189,106.873,294.08,97.977,161.825,3084.589,25.802,95.904,235.758,nunezmichael,20230712,CN,"","","","","","","","",20250516,2026,02,S095,"",100,428044611413580822,X,P044
elizabeth41,47.654,B337173356,20251226,2026,"",31.817,1201.078,6.153,37.524,88.037,38.552,27.3,1127.878,5.023,32.926,78.828,rebeccabarne,20241120,US,"","","","","","","","",20240204,2025,03,S085,"",100,423770393100987110,X,P039
stephanie71,51.942,B506714105,20260126,2024,X,146.42,4574.457,50.37,111.161,258.439,42.465,127.369,4149.872,41.113,101.635,225.55,pruittchrist,20250620,DE,"","","","","","","","",20230615,2025,04,S007,"",100,758910660965170339,"",P037
hensleysteve,8.724,B914214737,20240711,2026,"",10.906,286.746,4.954,10.502,29.773,7.603,9.665,261.74,4.52,9.466,24.697,isosa,20241228,US,"","","","","","","","",20240912,2026,02,S056,"",100,172872450643704649,"",P045
joellynch,8.153,B138547892,20250926,2022,"",41.777,420.824,5.054,17.199,33.02,6.544,37.984,372.917,4.603,15.871,27.316,lgraves,20240926,IN,"","","","","","","","",20250313,2022,08,S097,"",100,454616377513832450,X,P050
michaelrober,167.832,B132181955,20251216,2026,X,391.887,4474.595,75.057,74.328,798.568,156.909,358.38,4111.774,61.859,69.335,675.436,jodibaker,20230607,CN,"","","","","","","","",20241114,2024,10,S041,"",100,838722821257265479,"",P031
caldwelljame,25.146,B824192560,20231011,2023,X,26.253,899.385,4.685,34.255,120.912,21.542,21.853,868.194,3.884,28.538,110.903,brianmartin,20230525,US,"","","","","","","","",20260203,2025,07,S058,"",100,477812651931865204,"",P003
glennmary,31.202,B932476421,20240508,2024,X,87.337,1150.604,5.795,20.153,89.63,28.625,76.944,1100.064,4.867,17.387,82.738,michele24,20260212,CN,"","","","","","","","",20240906,2026,09,S063,"",100,805876586424512707,"",P040
serranovicto,32.49,B166983724,20230702,2026,"",50.693,1727.295,25.073,63.615,267.016,28.011,44.49,1559.593,20.407,58.743,222.635,fperkins,20240117,CN,"","","","","","","","",20231213,2026,04,S032,"",100,825059934475634813,X,P026
richardhoust,184.956,B449389611,20240923,2022,"",297.982,4747.163,69.075,129.185,432.403,147.98,273.328,4613.309,61.889,113.326,361.345,smithfrank,20241028,CN,"","","","","","","","",20241108,2023,01,S095,"",100,684862746874364790,"",P016
spencer92,69.867,B342699870,20250728,2023,X,264.322,4635.723,83.97,200.494,634.052,62.517,221.214,4314.888,69.515,184.971,596.704,kobrien,20250915,US,"","","","","","","","",20241120,2026,11,S039,"",100,799275013680094387,"",P039
summersedwar,6.039,B699353913,20250131,2024,"",7.032,324.361,3.735,14.665,29.377,5.475,5.774,309.934,3.009,13.778,26.15,nelsonjoe,20250505,US,"","","","","","","","",20250113,2022,10,S032,"",100,166902417766061074,"",P018
hwright,84.895,B158045482,20260109,2022,X,89.781,2284.571,37.76,44.729,139.653,75.572,74.022,2207.175,33.139,39.187,112.278,qsmith,20250223,US,"","","","","","","","",20240916,2026,11,S020,"",100,911745140320914241,"",P002
scott70,53.062,B890933862,20230805,2024,X,407.493,4139.032,80.782,61.912,558.6,46.866,349.203,3872.95,70.514,52.084,487.577,marcusmaldon,20240130,IN,"","","","","","","","",20230608,2022,10,S081,"",100,527268759045473550,"",P043
carladams,41.66,B649165255,20240607,2024,"",134.607,1529.541,12.428,32.491,191.495,37.146,111.495,1348.682,11.466,26.188,174.65,julia41,20240522,DE,"","","","","","","","",20250815,2024,11,S034,"",100,819538607714775360,"",P011
brandongille,97.275,B346387964,20231213,2026,X,181.475,2222.528,41.043,24.121,267.907,83.049,163.732,2100.619,37.451,20.812,251.144,qfoley,20250806,DE,"","","","","","","","",20241014,2023,04,S099,"",100,588797486931929842,"",P035
martinezmary,123.348,B800882490,20240720,2022,"",191.1,2654.643,31.977,85.026,182.79,99.6,166.347,2404.117,27.15,68.471,169.709,sabrinagonza,20250709,CN,"","","","","","","","",20251126,2022,05,S036,"",100,660780519436519886,"",P017
bmason,36.229,B352772148,20240916,2022,"",58.432,1442.559,16.564,16.745,190.021,33.586,50.356,1305.76,13.447,15.486,152.065,charlesjones,20231216,IN,"","","","","","","","",20240925,2022,01,S037,"",100,290054195032188321,X,P013
uhaynes,70.84,B157103700,20241105,2024,"",232.682,3212.954,22.661,105.792,570.204,60.154,192.75,2810.295,21.415,99.962,516.243,bkrueger,20251028,US,"","","","","","","","",20241216,2025,11,S053,"",100,356386204702181366,X,P025
blackrobert,179.838,B976545329,20250403,2025,X,438.061,4456.029,31.56,118.706,445.205,159.705,357.392,4267.384,27.54,97.263,403.682,hmontgomery,20240413,DE,"","","","","","","","",20250120,2025,02,S016,"",100,244102683527487875,X,P032
jeanette01,57.982,B607383239,20260129,2026,"",120.053,1208.659,14.63,54.336,212.207,51.91,108.248,1175.287,13.311,45.524,182.616,dunnricky,20250922,IN,"","","","","","","","",20240820,2022,10,S099,"",100,562350782705865734,X,P036
brandon28,38.72,B426539640,20250306,2025,"",37.525,1078.688,16.923,24.347,172.042,34.971,34.849,958.813,14.109,20.035,152.189,frankdavis,20251215,US,"","","","","","","","",20240728,2025,08,S024,"",100,388510024466992040,X,P007
harrisrebecc,2.497,B898285783,20231026,2025,X,2.374,63.759,0.565,1.193,5.325,2.034,1.918,58.575,0.484,1.11,4.511,karen28,20240804,CN,"","","","","","","","",20240818,2025,09,S051,"",100,282145508555033419,"",P020
tnunez,64.455,B655756393,20231212,2025,X,123.642,3579.329,57.013,161.477,308.616,56.692,103.824,3206.031,51.889,129.443,273.103,joseph89,20251224,US,"","","","","","","","",20240209,2026,04,S032,"",100,347507441715333490,X,P012
thomasfisher,49.299,B770848327,20260107,2023,X,140.257,2065.05,36.216,78.483,354.505,44.709,117.602,1875.205,32.692,64.612,308.345,xbanks,20260205,IN,"","","","","","","","",20250802,2025,07,S048,"",100,256745142840771326,"",P019
frederick24,96.832,B431990751,20250530,2022,X,181.537,2996.08,50.651,127.877,486.095,88.11,156.308,2837.894,43.455,113.639,453.027,jsexton,20231204,CN,"","","","","","","","",20260128,2026,02,S045,"",100,165509191843763254,X,P010
allen43,40.95,B685239178,20230829,2022,"",195.287,2035.178,34.225,66.495,305.848,34.474,162.525,1981.408,30.449,58.154,245.446,thompsonemil,20240616,US,"","","","","","","","",20240520,2023,07,S082,"",100,288638650536220206,"",P039
christopherm,209.928,B175025482,20250920,2025,X,454.848,4944.491,28.365,195.411,523.05,196.963,425.346,4723.401,23.969,183.611,427.644,josebenjamin,20230519,IN,"","","","","","","","",20251030,2023,06,S064,"",100,336341443574629213,"",P015
booneemily,91.23,B393896131,20240417,2022,X,87.904,3598.946,66.395,154.812,656.58,76.476,73.81,3263.726,59.086,134.577,615.67,lholloway,20230830,DE,"","","","","","","","",20240122,2024,09,S019,"",100,267180288141671550,"",P047
mendozajay,58.5,B319623595,20250103,2023,"",36.601,1386.237,22.537,21.978,188.544,54.6,30.215,1340.248,18.94,18.286,176.689,xcooper,20240822,US,"","","","","","","","",20250415,2025,02,S065,"",100,769684965218957875,X,P033
johnsonjohn,35.18,B272306937,20251124,2026,"",76.453,795.459,8.717,28.176,70.493,29.691,68.242,705.212,8.181,23.009,59.19,danielnguyen,20240618,DE,"","","","","","","","",20231125,2025,06,S027,"",100,307372166178720102,X,P013
amandakramer,53.273,B567135226,20240522,2022,X,166.967,4339.996,64.555,81.544,443.707,49.624,145.998,4210.409,52.941,76.71,398.159,smithdaniel,20230727,IN,"","","","","","","","",20250204,2023,08,S081,"",100,860760753087550934,"",P016
danielle05,82.198,B483904355,20230719,2022,"",272.076,4374.176,46.811,168.74,590.681,73.272,223.844,4037.356,42.751,145.311,519.809,pjones,20240117,DE,"","","","","","","","",20240318,2023,04,S026,"",100,423770393100987110,X,P003
mrussell,90.976,B314642333,20230728,2026,X,189.371,2801.075,14.054,57.981,142.982,79.62,170.67,2480.732,11.656,48.627,123.367,asummers,20240614,DE,"","","","","","","","",20230813,2022,11,S012,"",100,274491166286907277,X,P024
johnnyray,54.566,B120410376,20250614,2024,"",197.302,3220.783,45.708,85.419,170.046,45.039,177.266,2929.885,39.081,71.093,147.585,dcollins,20240214,US,"","","","","","","","",20241222,2024,12,S041,"",100,598225345733127528,"",P012
grayzachary,39.221,B330388220,20240127,2023,"",120.186,1613.428,24.285,52.952,264.174,32.284,100.965,1525.449,21.349,45.202,235.791,sullivanjosh,20231203,DE,"","","","","","","","",20230607,2022,12,S055,"",100,778976685137876435,X,P001
andrewsricha,97.322,B392082066,20250808,2022,"",197.598,2079.013,30.885,72.045,346.072,90.907,171.632,1866.642,27.113,67.066,299.762,yanderson,20240429,IN,"","","","","","","","",20251116,2022,12,S053,"",100,603394119433560658,"",P035
cassandra77,5.917,B719243446,20250108,2023,X,22.682,311.167,3.73,4.959,42.518,5.508,19.016,275.518,2.996,4.681,36.453,jacksonchris,20250606,IN,"","","","","","","","",20250216,2022,04,S040,"",100,256279323183292827,"",P026
amber01,50.487,B335002256,20250727,2025,X,213.985,4202.364,21.199,64.661,467.617,43.0,186.013,3686.482,18.754,59.555,402.873,qbush,20230802,IN,"","","","","","","","",20230831,2023,07,S098,"",100,497829048435465939,"",P016
yubonnie,92.2,B175467765,20251005,2022,X,56.338,1941.892,31.608,31.738,195.626,81.864,46.98,1872.451,25.32,27.869,177.125,michael60,20250906,CN,"","","","","","","","",20251231,2023,04,S065,"",100,458752552339731018,"",P012
james02,150.693,B104822401,20240105,2024,"",317.521,4133.282,38.947,201.125,487.669,128.876,289.879,3713.498,36.006,188.634,398.034,joyce24,20250121,IN,"","","","","","","","",20241109,2022,03,S067,"",100,242002601432457284,"",P005
markbuck,12.228,B422839212,20250920,2024,X,14.327,339.418,3.06,6.635,38.374,11.31,12.052,312.309,2.801,6.209,31.108,brandon45,20240601,IN,"","","","","","","","",20231111,2025,11,S054,"",100,860965918913986523,X,P041
erica71,134.549,B277672998,20240118,2022,"",199.738,4072.881,70.928,63.867,479.455,111.632,184.964,3974.958,65.752,58.154,394.909,wbrewer,20250909,CN,"","","","","","","","",20250804,2023,10,S086,"",100,297740243492024139,X,P018
stevenskelly,39.029,B579004622,20251208,2026,X,153.839,2006.131,28.532,58.625,203.548,32.97,141.137,1874.701,25.422,53.037,193.156,ryan77,20251017,IN,"","","","","","","","",20240207,2022,05,S070,"",100,875186037108348436,X,P048
christineman,21.732,B565870498,20230929,2026,"",41.714,706.64,5.689,20.961,132.866,19.772,35.562,646.061,5.367,17.162,122.636,krosales,20230620,IN,"","","","","","","","",20231024,2024,10,S003,"",100,945354010370318135,"",P024
scottfarley,144.102,B579476921,20250207,2025,"",148.344,2884.35,45.581,94.376,232.768,116.27,128.908,2531.064,42.854,85.157,199.518,joel58,20231024,CN,"","","","","","","","",20240324,2022,02,S008,"",100,645714949375448010,"",P017
woodclaudia,18.865,B424462797,20250604,2025,"",70.398,814.861,5.723,12.848,70.258,16.369,65.584,757.175,4.814,11.921,66.638,coxjessica,20241114,IN,"","","","","","","","",20240619,2023,12,S015,"",100,403976877000207607,X,P037
tylerdelgado,63.387,B838810616,20240305,2022,"",181.157,3245.43,23.462,78.19,409.746,52.909,170.283,3067.897,21.942,65.908,372.869,jenkinsrodne,20250603,US,"","","","","","","","",20240229,2024,02,S003,"",100,963658697167296069,"",P010
estradadanny,21.08,B940122107,20251103,2022,X,73.987,860.332,9.446,27.229,64.54,18.572,61.485,812.606,8.414,25.638,57.624,erobinson,20251213,DE,"","","","","","","","",20250119,2025,01,S026,"",100,643100579315903961,"",P009
nicolejordan,16.28,B546895375,20251022,2023,"",47.703,518.667,5.57,19.675,43.538,15.168,41.017,464.474,4.639,16.941,36.454,samanthapric,20240118,DE,"","","","","","","","",20231102,2024,05,S030,"",100,638812692850518249,X,P041
hjohnson,11.753,B519709969,20231219,2023,"",38.499,848.067,14.162,17.934,47.194,9.508,35.025,738.084,12.834,14.719,41.947,fhernandez,20251118,CN,"","","","","","","","",20250703,2025,02,S056,"",100,214422143824926685,"",P010
hodgestimoth,105.06,B843510163,20230729,2023,"",239.472,2846.299,30.401,37.512,377.376,85.597,226.19,2563.49,26.407,32.461,341.752,oortiz,20250712,DE,"","","","","","","","",20231001,2023,08,S075,"",100,384060208868980233,"",P029
todd50,66.537,B240486660,20240723,2024,X,185.952,3819.042,33.254,131.823,274.096,59.042,165.738,3628.292,30.606,115.579,237.082,rachelrodrig,20231003,IN,"","","","","","","","",20260205,2026,07,S029,"",100,861171653832529899,X,P007
louis71,139.715,B470115448,20240522,2024,X,362.263,4674.523,26.493,96.903,359.152,118.674,315.402,4248.264,25.025,84.961,327.862,hbarker,20250423,CN,"","","","","","","","",20230724,2023,11,S037,"",100,279932403459527137,"",P004
pwest,178.509,B710010402,20250430,2023,X,223.06,4379.042,51.901,51.188,247.82,150.777,183.904,4102.132,48.328,43.299,209.697,vabbott,20260212,CN,"","","","","","","","",20241209,2023,12,S087,"",100,520368001188871689,X,P023
ronaldrodrig,79.467,B702338295,20240415,2023,X,246.855,2917.013,57.119,111.424,190.773,74.135,233.252,2699.747,49.88,96.504,170.639,cynthia08,20250427,CN,"","","","","","","","",20251012,2024,07,S079,"",100,860472710038170356,X,P023
ucurry,20.59,B468045926,20230820,2024,X,75.582,964.108,13.893,24.218,171.317,16.507,61.093,902.287,12.85,19.861,140.704,moralesdana,20250315,DE,"","","","","","","","",20230726,2022,03,S051,"",100,339204752715593200,"",P031
john28,26.286,B995519120,20240818,2023,"",68.403,1263.797,24.083,21.369,132.186,22.361,58.696,1127.039,22.132,18.051,109.781,patrickclark,20241221,CN,"","","","","","","","",20240123,2026,03,S028,"",100,963303214902531740,"",P022
abrown,126.5,B199519004,20250515,2026,X,337.626,3626.379,33.145,165.207,220.513,108.421,293.232,3224.466,29.13,148.94,196.975,john96,20250302,US,"","","","","","","","",20230810,2022,10,S007,"",100,553091260653076074,X,P047
