MANDANT,PRUEFLOS,KZART,ZAEHLER,VKATART,VWERKS,VAUSWAHLMG,VCODEGRP,VCODE,VERSIONAM,VERSIONCD,VBEWERTUNG,DBEWERTUNG,VFOLGEAKTI,QKENNZAHL,LTEXTKZ,VNAME,VDATUM,VEZEITERF,VAENAME,VAEDATUM,VEZEITAEN,STAFO,TEILLOS,VORGLFNR
200,900000000046,S,000047,A,PL07,UDSET0046,UDGRP0046,R001,000046,000046,R,0,ACCEPT,46,Y,INSPECTOR_046,20251228,224646,QA_MANAGER_046,20260212,035151,STAT01,000046,00000322
300,900000000047,I,000048,B,PL08,UDSET0047,UDGRP0047,R002,000047,000047,R,0,RETURN,47,N,INSPECTOR_047,20251227,234747,QA_MANAGER_047,20260212,045252,STAT02,000047,00000329
100,900000000048,L,000049,A,PL09,UDSET0048,UDGRP0048,A002,000048,000048,R,0,SCRAP,48,Y,INSPECTOR_048,20251226,004848,QA_MANAGER_048,20260212,055353,STAT03,000048,00000336
200,900000000049,P,000050,B,PL10,UDSET0049,UDGRP0049,A003,000049,000049,R,1,REWORK,49,N,INSPECTOR_049,20251225,014949,QA_MANAGER_049,20260212,065454,STAT04,000049,00000343
300,900000000050,S,000051,A,PL11,UDSET0050,UDGRP0050,A001,000050,000050,R,0,ACCEPT,50,Y,INSPECTOR_050,20251224,025050,QA_MANAGER_050,20260212,075555,STAT05,000050,00000350
100,900000000051,I,000052,B,PL12,UDSET0051,UDGRP0051,R001,000051,000051,R,0,RETURN,51,N,INSPECTOR_051,20251223,035151,QA_MANAGER_051,20260212,085656,STAT06,000051,00000357
200,900000000052,L,000053,A,PL13,UDSET0052,UDGRP0052,R002,000052,000052,R,0,SCRAP,52,Y,INSPECTOR_052,20251222,045252,QA_MANAGER_052,20260212,095757,STAT07,000052,00000364
300,900000000053,P,000054,B,PL14,UDSET0053,UDGRP0053,A002,000053,000053,R,0,REWORK,53,N,INSPECTOR_053,20251221,055353,QA_MANAGER_053,20260212,105858,STAT08,000053,00000371
100,900000000054,S,000055,A,PL15,UDSET0054,UDGRP0054,A003,000054,000054,R,0,ACCEPT,54,Y,INSPECTOR_054,20251220,065454,QA_MANAGER_054,20260212,115959,STAT09,000054,00000378
200,900000000055,I,000056,B,PL16,UDSET0055,UDGRP0055,A001,000055,000055,R,0,RETURN,55,N,INSPECTOR_055,20251219,075555,QA_MANAGER_055,20260212,120000,STAT10,000055,00000385
300,900000000056,L,000057,A,PL17,UDSET0056,UDGRP0056,R001,000056,000056,R,1,SCRAP,56,Y,INSPECTOR_056,20251218,085656,QA_MANAGER_056,20260212,130101,STAT11,000056,00000392
100,900000000057,P,000058,B,PL18,UDSET0057,UDGRP0057,R002,000057,000057,R,0,REWORK,57,N,INSPECTOR_057,20251217,095757,QA_MANAGER_057,20260212,140202,STAT12,000057,00000399
200,900000000058,S,000059,A,PL19,UDSET0058,UDGRP0058,A002,000058,000058,R,0,ACCEPT,58,Y,INSPECTOR_058,20251216,105858,QA_MANAGER_058,20260212,150303,STAT13,000058,00000406
300,900000000059,I,000060,B,PL20,UDSET0059,UDGRP0059,A003,000059,000059,R,0,RETURN,59,N,INSPECTOR_059,20251215,115959,QA_MANAGER_059,20260212,160404,STAT14,000059,00000413
100,900000000060,L,000061,A,PL01,UDSET0060,UDGRP0060,A001,000060,000060,R,0,SCRAP,60,Y,INSPECTOR_060,20251214,120000,QA_MANAGER_060,20260212,170505,STAT00,000060,00000420
200,900000000061,P,000062,B,PL02,UDSET0061,UDGRP0061,R001,000061,000061,A,0,REWORK,61,N,INSPECTOR_061,20251213,130101,QA_MANAGER_061,20260212,180606,STAT01,000061,00000427
300,900000000062,S,000063,A,PL03,UDSET0062,UDGRP0062,R002,000062,000062,A,0,ACCEPT,62,Y,INSPECTOR_062,20251212,140202,QA_MANAGER_062,20260212,190707,STAT02,000062,00000434
100,900000000063,I,000064,B,PL04,UDSET0063,UDGRP0063,A002,000063,000063,A,1,RETURN,63,N,INSPECTOR_063,20251211,150303,QA_MANAGER_063,20260212,200808,STAT03,000063,00000441
200,900000000064,L,000065,A,PL05,UDSET0064,UDGRP0064,A003,000064,000064,A,0,SCRAP,64,Y,INSPECTOR_064,20251210,160404,QA_MANAGER_064,20260212,210909,STAT04,000064,00000448
300,900000000065,P,000066,B,PL06,UDSET0065,UDGRP0065,A001,000065,000065,A,0,REWORK,65,N,INSPECTOR_065,20251209,170505,QA_MANAGER_065,20260212,221010,STAT05,000065,00000455
100,900000000066,S,000067,A,PL07,UDSET0066,UDGRP0066,R001,000066,000066,A,0,ACCEPT,66,Y,INSPECTOR_066,20251208,180606,QA_MANAGER_066,20260212,231111,STAT06,000066,00000462
200,900000000067,I,000068,B,PL08,UDSET0067,UDGRP0067,R002,000067,000067,A,0,RETURN,67,N,INSPECTOR_067,20251207,190707,QA_MANAGER_067,20260212,001212,STAT07,000067,00000469
300,900000000068,L,000069,A,PL09,UDSET0068,UDGRP0068,A002,000068,000068,A,0,SCRAP,68,Y,INSPECTOR_068,20251206,200808,QA_MANAGER_068,20260212,011313,STAT08,000068,00000476
100,900000000069,P,000070,B,PL10,UDSET0069,UDGRP0069,A003,000069,000069,A,0,REWORK,69,N,INSPECTOR_069,20251205,210909,QA_MANAGER_069,20260212,021414,STAT09,000069,00000483
200,900000000070,S,000071,A,PL11,UDSET0070,UDGRP0070,A001,000070,000070,A,1,ACCEPT,70,Y,INSPECTOR_070,20251204,221010,QA_MANAGER_070,20260212,031515,STAT10,000070,00000490
300,900000000071,I,000072,B,PL12,UDSET0071,UDGRP0071,R001,000071,000071,A,0,RETURN,71,N,INSPECTOR_071,20251203,231111,QA_MANAGER_071,20260212,041616,STAT11,000071,00000497
100,900000000072,L,000073,A,PL13,UDSET0072,UDGRP0072,R002,000072,000072,A,0,SCRAP,72,Y,INSPECTOR_072,20251202,001212,QA_MANAGER_072,20260212,051717,STAT12,000072,00000504
200,900000000073,P,000074,B,PL14,UDSET0073,UDGRP0073,A002,000073,000073,A,0,REWORK,73,N,INSPECTOR_073,20251201,011313,QA_MANAGER_073,20260212,061818,STAT13,000073,00000511
300,900000000074,S,000075,A,PL15,UDSET0074,UDGRP0074,A003,000074,000074,A,0,ACCEPT,74,Y,INSPECTOR_074,20251130,021414,QA_MANAGER_074,20260212,071919,STAT14,000074,00000518
100,900000000075,I,000076,B,PL16,UDSET0075,UDGRP0075,A001,000075,000075,A,0,RETURN,75,N,INSPECTOR_075,20251129,031515,QA_MANAGER_075,20260212,082020,STAT00,000075,00000525
200,900000000076,L,000077,A,PL17,UDSET0076,UDGRP0076,R001,000076,000076,A,0,SCRAP,76,Y,INSPECTOR_076,20251128,041616,QA_MANAGER_076,20260212,092121,STAT01,000076,00000532
300,900000000077,P,000078,B,PL18,UDSET0077,UDGRP0077,R002,000077,000077,A,1,REWORK,77,N,INSPECTOR_077,20251127,051717,QA_MANAGER_077,20260212,102222,STAT02,000077,00000539
100,900000000078,S,000079,A,PL19,UDSET0078,UDGRP0078,A002,000078,000078,A,0,ACCEPT,78,Y,INSPECTOR_078,20251126,061818,QA_MANAGER_078,20260212,112323,STAT03,000078,00000546
200,900000000079,I,000080,B,PL20,UDSET0079,UDGRP0079,A003,000079,000079,A,0,RETURN,79,N,INSPECTOR_079,20251125,071919,QA_MANAGER_079,20260212,122424,STAT04,000079,00000553
300,900000000080,L,000081,A,PL01,UDSET0080,UDGRP0080,A001,000080,000080,A,0,SCRAP,80,Y,INSPECTOR_080,20251124,082020,QA_MANAGER_080,20260212,132525,STAT05,000080,00000560
100,900000000081,P,000082,B,PL02,UDSET0081,UDGRP0081,R001,000081,000081,A,0,REWORK,81,N,INSPECTOR_081,20251123,092121,QA_MANAGER_081,20260212,142626,STAT06,000081,00000567
200,900000000082,S,000083,A,PL03,UDSET0082,UDGRP0082,R002,000082,000082,A,0,ACCEPT,82,Y,INSPECTOR_082,20251122,102222,QA_MANAGER_082,20260212,152727,STAT07,000082,00000574
300,900000000083,I,000084,B,PL04,UDSET0083,UDGRP0083,A002,000083,000083,A,0,RETURN,83,N,INSPECTOR_083,20251121,112323,QA_MANAGER_083,20260212,162828,STAT08,000083,00000581
100,900000000084,L,000085,A,PL05,UDSET0084,UDGRP0084,A003,000084,000084,A,1,SCRAP,84,Y,INSPECTOR_084,20251120,122424,QA_MANAGER_084,20260212,172929,STAT09,000084,00000588
200,900000000085,P,000086,B,PL06,UDSET0085,UDGRP0085,A001,000085,000085,A,0,REWORK,85,N,INSPECTOR_085,20251119,132525,QA_MANAGER_085,20260212,183030,STAT10,000085,00000595
300,900000000086,S,000087,A,PL07,UDSET0086,UDGRP0086,R001,000086,000086,A,0,ACCEPT,86,Y,INSPECTOR_086,20251118,142626,QA_MANAGER_086,20260212,193131,STAT11,000086,00000602
100,900000000087,I,000088,B,PL08,UDSET0087,UDGRP0087,R002,000087,000087,A,0,RETURN,87,N,INSPECTOR_087,20251117,152727,QA_MANAGER_087,20260212,203232,STAT12,000087,00000609
200,900000000088,L,000089,A,PL09,UDSET0088,UDGRP0088,A002,000088,000088,A,0,SCRAP,88,Y,INSPECTOR_088,20251116,162828,QA_MANAGER_088,20260212,213333,STAT13,000088,00000616
300,900000000089,P,000090,B,PL10,UDSET0089,UDGRP0089,A003,000089,000089,A,0,REWORK,89,N,INSPECTOR_089,20251115,172929,QA_MANAGER_089,20260212,223434,STAT14,000089,00000623
100,900000000090,S,000091,A,PL11,UDSET0090,UDGRP0090,A001,000090,000090,A,0,ACCEPT,90,Y,INSPECTOR_090,20251114,183030,QA_MANAGER_090,20260212,233535,STAT00,000090,00000630
200,900000000091,I,000092,B,PL12,UDSET0091,UDGRP0091,R001,000091,000091,A,1,RETURN,91,N,INSPECTOR_091,20251113,193131,QA_MANAGER_091,20260212,003636,STAT01,000091,00000637
300,900000000092,L,000093,A,PL13,UDSET0092,UDGRP0092,R002,000092,000092,A,0,SCRAP,92,Y,INSPECTOR_092,20251112,203232,QA_MANAGER_092,20260212,013737,STAT02,000092,00000644
100,900000000093,P,000094,B,PL14,UDSET0093,UDGRP0093,A002,000093,000093,A,0,REWORK,93,N,INSPECTOR_093,20251111,213333,QA_MANAGER_093,20260212,023838,STAT03,000093,00000651
200,900000000094,S,000095,A,PL15,UDSET0094,UDGRP0094,A003,000094,000094,A,0,ACCEPT,94,Y,INSPECTOR_094,20251110,223434,QA_MANAGER_094,20260212,033939,STAT04,000094,00000658
300,900000000095,I,000096,B,PL16,UDSET0095,UDGRP0095,A001,000095,000095,A,0,RETURN,95,N,INSPECTOR_095,20251109,233535,QA_MANAGER_095,20260212,044040,STAT05,000095,00000665
100,900000000096,L,000097,A,PL17,UDSET0096,UDGRP0096,R001,000096,000096,A,0,SCRAP,96,Y,INSPECTOR_096,20251108,003636,QA_MANAGER_096,20260212,054141,STAT06,000096,00000672
200,900000000097,P,000098,B,PL18,UDSET0097,UDGRP0097,R002,000097,000097,A,0,REWORK,97,N,INSPECTOR_097,20251107,013737,QA_MANAGER_097,20260212,064242,STAT07,000097,00000679
300,900000000098,S,000099,A,PL19,UDSET0098,UDGRP0098,A002,000098,000098,A,1,ACCEPT,98,Y,INSPECTOR_098,20251106,023838,QA_MANAGER_098,20260212,074343,STAT08,000098,00000686
100,900000000099,I,000100,B,PL20,UDSET0099,UDGRP0099,A003,000099,000099,A,0,RETURN,99,N,INSPECTOR_099,20251105,033939,QA_MANAGER_099,20260212,084444,STAT09,000099,00000693
200,900000000100,L,000101,A,PL01,UDSET0100,UDGRP0100,A001,000100,000100,R,0,SCRAP,0,Y,INSPECTOR_100,20251104,044040,QA_MANAGER_000,20260212,094545,STAT10,000100,00000700
300,900000000101,P,000102,B,PL02,UDSET0101,UDGRP0101,R001,000101,000101,R,0,REWORK,1,N,INSPECTOR_101,20251103,054141,QA_MANAGER_001,20260212,104646,STAT11,000101,00000707
100,900000000102,S,000103,A,PL03,UDSET0102,UDGRP0102,R002,000102,000102,R,0,ACCEPT,2,Y,INSPECTOR_102,20251102,064242,QA_MANAGER_002,20260212,114747,STAT12,000102,00000714
200,900000000103,I,000104,B,PL04,UDSET0103,UDGRP0103,A002,000103,000103,R,0,RETURN,3,N,INSPECTOR_103,20251101,074343,QA_MANAGER_003,20260212,124848,STAT13,000103,00000721
300,900000000104,L,000105,A,PL05,UDSET0104,UDGRP0104,A003,000104,000104,R,0,SCRAP,4,Y,INSPECTOR_104,20251031,084444,QA_MANAGER_004,20260212,134949,STAT14,000104,00000728
100,900000000105,P,000106,B,PL06,UDSET0105,UDGRP0105,A001,000105,000105,R,1,REWORK,5,N,INSPECTOR_105,20251030,094545,QA_MANAGER_005,20260212,145050,STAT00,000105,00000735
200,900000000106,S,000107,A,PL07,UDSET0106,UDGRP0106,R001,000106,000106,R,0,ACCEPT,6,Y,INSPECTOR_106,20251029,104646,QA_MANAGER_006,20260212,155151,STAT01,000106,00000742
300,900000000107,I,000108,B,PL08,UDSET0107,UDGRP0107,R002,000107,000107,R,0,RETURN,7,N,INSPECTOR_107,20251028,114747,QA_MANAGER_007,20260212,165252,STAT02,000107,00000749
100,900000000108,L,000109,A,PL09,UDSET0108,UDGRP0108,A002,000108,000108,R,0,SCRAP,8,Y,INSPECTOR_108,20251027,124848,QA_MANAGER_008,20260212,175353,STAT03,000108,00000756
200,900000000109,P,000110,B,PL10,UDSET0109,UDGRP0109,A003,000109,000109,R,0,REWORK,9,N,INSPECTOR_109,20251026,134949,QA_MANAGER_009,20260212,185454,STAT04,000109,00000763
300,900000000110,S,000111,A,PL11,UDSET0110,UDGRP0110,A001,000110,000110,R,0,ACCEPT,10,Y,INSPECTOR_110,20251025,145050,QA_MANAGER_010,20260212,195555,STAT05,000110,00000770
100,900000000111,I,000112,B,PL12,UDSET0111,UDGRP0111,R001,000111,000111,R,0,RETURN,11,N,INSPECTOR_111,20251024,155151,QA_MANAGER_011,20260212,205656,STAT06,000111,00000777
200,900000000112,L,000113,A,PL13,UDSET0112,UDGRP0112,R002,000112,000112,R,1,SCRAP,12,Y,INSPECTOR_112,20251023,165252,QA_MANAGER_012,20260212,215757,STAT07,000112,00000784
300,900000000113,P,000114,B,PL14,UDSET0113,UDGRP0113,A002,000113,000113,R,0,REWORK,13,N,INSPECTOR_113,20251022,175353,QA_MANAGER_013,20260212,225858,STAT08,000113,00000791
100,900000000114,S,000115,A,PL15,UDSET0114,UDGRP0114,A003,000114,000114,R,0,ACCEPT,14,Y,INSPECTOR_114,20251021,185454,QA_MANAGER_014,20260212,235959,STAT09,000114,00000798
200,900000000115,I,000116,B,PL16,UDSET0115,UDGRP0115,A001,000115,000115,R,0,RETURN,15,N,INSPECTOR_115,20251020,195555,QA_MANAGER_015,20260212,000000,STAT10,000115,00000805
300,900000000116,L,000117,A,PL17,UDSET0116,UDGRP0116,R001,000116,000116,R,0,SCRAP,16,Y,INSPECTOR_116,20251019,205656,QA_MANAGER_016,20260212,010101,STAT11,000116,00000812
100,900000000117,P,000118,B,PL18,UDSET0117,UDGRP0117,R002,000117,000117,R,0,REWORK,17,N,INSPECTOR_117,20251018,215757,QA_MANAGER_017,20260212,020202,STAT12,000117,00000819
200,900000000118,S,000119,A,PL19,UDSET0118,UDGRP0118,A002,000118,000118,R,0,ACCEPT,18,Y,INSPECTOR_118,20251017,225858,QA_MANAGER_018,20260212,030303,STAT13,000118,00000826
300,900000000119,I,000120,B,PL20,UDSET0119,UDGRP0119,A003,000119,000119,R,1,RETURN,19,N,INSPECTOR_119,20251016,235959,QA_MANAGER_019,20260212,040404,STAT14,000119,00000833
100,900000000120,L,000121,A,PL01,UDSET0120,UDGRP0120,A001,000120,000120,R,0,SCRAP,20,Y,INSPECTOR_120,20251015,000000,QA_MANAGER_020,20260212,050505,STAT00,000120,00000840
200,900000000121,P,000122,B,PL02,UDSET0121,UDGRP0121,R001,000121,000121,R,0,REWORK,21,N,INSPECTOR_121,20251014,010101,QA_MANAGER_021,20260212,060606,STAT01,000121,00000847
300,900000000122,S,000123,A,PL03,UDSET0122,UDGRP0122,R002,000122,000122,R,0,ACCEPT,22,Y,INSPECTOR_122,20251013,020202,QA_MANAGER_022,20260212,070707,STAT02,000122,00000854
100,900000000123,I,000124,B,PL04,UDSET0123,UDGRP0123,A002,000123,000123,R,0,RETURN,23,N,INSPECTOR_123,20251012,030303,QA_MANAGER_023,20260212,080808,STAT03,000123,00000861
200,900000000124,L,000125,A,PL05,UDSET0124,UDGRP0124,A003,000124,000124,R,0,SCRAP,24,Y,INSPECTOR_124,20251011,040404,QA_MANAGER_024,20260212,090909,STAT04,000124,00000868
300,900000000125,P,000126,B,PL06,UDSET0125,UDGRP0125,A001,000125,000125,R,0,REWORK,25,N,INSPECTOR_125,20251010,050505,QA_MANAGER_025,20260212,101010,STAT05,000125,00000875
100,900000000126,S,000127,A,PL07,UDSET0126,UDGRP0126,R001,000126,000126,R,1,ACCEPT,26,Y,INSPECTOR_126,20251009,060606,QA_MANAGER_026,20260212,111111,STAT06,000126,00000882
200,900000000127,I,000128,B,PL08,UDSET0127,UDGRP0127,R002,000127,000127,R,0,RETURN,27,N,INSPECTOR_127,20251008,070707,QA_MANAGER_027,20260212,121212,STAT07,000127,00000889
300,900000000128,L,000129,A,PL09,UDSET0128,UDGRP0128,A002,000128,000128,R,0,SCRAP,28,Y,INSPECTOR_128,20251007,080808,QA_MANAGER_028,20260212,131313,STAT08,000128,00000896
100,900000000129,P,000130,B,PL10,UDSET0129,UDGRP0129,A003,000129,000129,R,0,REWORK,29,N,INSPECTOR_129,20251006,090909,QA_MANAGER_029,20260212,141414,STAT09,000129,00000903
200,900000000130,S,000131,A,PL11,UDSET0130,UDGRP0130,A001,000130,000130,R,0,ACCEPT,30,Y,INSPECTOR_130,20251005,101010,QA_MANAGER_030,20260212,151515,STAT10,000130,00000910
