MANDT,EBELN,EBELP,ZEKKN,VGABE,GJAHR,BELNR,BUZEI,BEWTP,BWART,BUDAT,MENGE,BPMNG,DMBTR,WRBTR,WAERS,AREWR,WESBS,BPWES,SHKZG,BWTAR,ELIKZ,XBLNR,LFGJA,LFBNR,CPUDT,CPUTM,REEWR,EVERE,REFWR,MATNR,WERKS,XWSBR,ETENS,KNUMV,MWSKZ,LSMNG,LSMEH,EMATN,AREWW,HSWAE,BAMNG,CHARG,BLDAT,XWOFF,XUNPL,ERNAM
100,4510013160,00032,02,2,2026,5258419553,9023,E,102,20250313,54.381,54.381,22211.92,22211.92,USD,21909.6,2.719,2.719,H,VAL2,X,REF69073,2026,6781894752,20250313,001748,21101.32,OK,21545.56,MAT475452,PL02,X,8271,8691836416,C2,54.381,LTR,MAT475452,21767.68,USD,54.381,B6821,20250313,X,N,USER19
200,4518436963,00018,05,2,2022,5257153134,9574,Q,122,20241111,114.731,114.731,25190.34,25190.34,USD,25369.15,5.737,5.737,H,VAL4,X,REF58775,2022,6104365383,20241111,130959,23930.82,OK,24434.63,MAT305075,PL03,X,0211,8994127590,A0,114.731,KG,MAT305075,24686.53,USD,114.731,B3164,20241111,X,N,USER15
300,4560809769,00004,02,2,2026,5767543535,7073,E,122,20250416,400.294,400.294,107290.8,107290.8,EUR,105588.03,20.015,20.015,S,VAL2,X,REF14174,2026,6477700528,20250416,234504,101926.26,OK,104072.08,MAT491452,PL04,X,3027,7417094131,B1,400.294,KG,MAT491452,105144.98,EUR,400.294,B1385,20250416,X,N,USER52
100,4574424746,00023,03,2,2025,5368564636,4372,E,122,20251210,430.43,430.43,79982.5,79982.5,USD,79503.41,21.522,21.522,S,VAL4,X,REF89635,2025,6350798955,20251210,181749,75983.38,OK,77583.02,MAT669550,PL03,X,2955,1728935630,C2,430.43,LTR,MAT669550,78382.85,USD,430.43,B7337,20251210,X,N,USER85
200,4574568506,00016,03,3,2024,5784943357,0934,R,102,20240903,301.977,301.977,52344.69,52344.69,USD,52763.2,15.099,15.099,H,VAL2,X,REF67523,2024,6004715765,20240903,102321,49727.46,OK,50774.35,MAT942541,PL01,X,8834,6482416270,C2,301.977,EA,MAT942541,51297.8,USD,301.977,B6417,20240903,X,N,USER75
100,4500932736,00042,01,1,2023,5926111032,2468,E,101,20250318,33.492,33.492,13804.06,13804.06,EUR,13554.98,1.675,1.675,H,VAL4,X,REF15185,2023,6501500643,20250318,015805,13113.86,OK,13389.94,MAT797847,PL04,X,3473,6631544147,A0,33.492,KG,MAT797847,13527.98,EUR,33.492,B5749,20250318,X,N,USER10
100,4561943131,00048,02,3,2022,5121319522,9141,R,101,20240514,59.031,59.031,8604.95,8604.95,EUR,8766.42,2.952,2.952,H,VAL4,X,REF68154,2022,6795333410,20240514,035346,8174.7,OK,8346.8,MAT754732,PL02,X,3029,1608608039,A0,59.031,EA,MAT754732,8432.85,EUR,59.031,B3395,20240514,X,N,USER12
200,4580777814,00035,01,3,2025,5212988932,1888,R,102,20250219,321.138,321.138,89783.76,89783.76,EUR,89063.06,16.057,16.057,S,VAL4,X,REF89050,2025,6295848571,20250219,040445,85294.57,OK,87090.25,MAT608878,PL02,X,3425,8262692763,C2,321.138,KG,MAT608878,87988.08,EUR,321.138,B9553,20250219,X,N,USER77
200,4537869933,00043,03,3,2024,5298270131,8466,R,105,20260118,322.579,322.579,140992.83,140992.83,USD,142718.07,16.129,16.129,H,VAL4,X,REF11331,2024,6112537993,20260118,005831,133943.19,OK,136763.05,MAT728214,PL01,X,5033,5044890066,A0,322.579,EA,MAT728214,138172.97,USD,322.579,B7004,20260118,X,N,USER20
200,4579036372,00031,05,1,2024,5062818469,7847,E,122,20250206,379.886,379.886,164638.79,164638.79,USD,165019.87,18.994,18.994,S,VAL1,X,REF16423,2024,6637670727,20250206,194817,156406.85,OK,159699.63,MAT616823,PL04,X,4100,8014730832,B1,379.886,EA,MAT616823,161346.01,USD,379.886,B5656,20250206,X,N,USER27
100,4589192604,00043,02,1,2026,5315436325,4632,Q,102,20251116,179.883,179.883,50744.99,50744.99,USD,50858.56,8.994,8.994,S,VAL4,X,REF32343,2026,6995796090,20251116,071822,48207.74,OK,49222.64,MAT568808,PL03,X,6540,8758438843,C2,179.883,LTR,MAT568808,49730.09,USD,179.883,B2403,20251116,X,N,USER83
300,4592587984,00034,04,3,2022,5347565322,1918,R,102,20240722,142.904,142.904,49467.65,49467.65,USD,50385.03,7.145,7.145,S,VAL2,X,REF28354,2022,6145439579,20240722,011753,46994.27,OK,47983.62,MAT294848,PL03,X,6545,4297460617,A0,142.904,KG,MAT294848,48478.3,USD,142.904,B2713,20240722,X,N,USER54
100,4577659703,00005,01,3,2022,5799645589,9111,Q,105,20240321,274.914,274.914,100151.17,100151.17,INR,99530.22,13.746,13.746,H,VAL5,X,REF30413,2022,6331870909,20240321,021323,95143.61,OK,97146.63,MAT331132,PL04,X,5381,4359292591,C2,274.914,LTR,MAT331132,98148.15,INR,274.914,B7513,20240321,X,N,USER72
100,4569586774,00004,05,2,2026,5247401172,6226,Q,122,20250815,68.48,68.48,26414.11,26414.11,USD,25980.93,3.424,3.424,S,VAL4,X,REF37026,2026,6652176603,20250815,113123,25093.4,OK,25621.69,MAT856822,PL04,X,6161,3446093633,A0,68.48,EA,MAT856822,25885.83,USD,68.48,B8374,20250815,X,N,USER7
300,4537626013,00031,04,1,2025,5615747788,4807,Q,105,20240402,72.752,72.752,18455.73,18455.73,EUR,18408.73,3.638,3.638,S,VAL1,X,REF51039,2025,6443094002,20240402,065815,17532.94,OK,17902.06,MAT745646,PL02,X,2476,1577519768,C2,72.752,EA,MAT745646,18086.62,EUR,72.752,B7500,20240402,X,N,USER72
100,4532373819,00038,03,3,2022,5667866407,3971,Q,102,20250427,442.998,442.998,86180.83,86180.83,EUR,86417.85,22.15,22.15,H,VAL3,X,REF92829,2022,6216792667,20250427,162743,81871.79,OK,83595.41,MAT205210,PL03,X,7215,3462876538,B1,442.998,LTR,MAT205210,84457.21,EUR,442.998,B9997,20250427,X,N,USER99
300,4576309272,00032,04,2,2025,5984998102,4054,Q,101,20251115,284.086,284.086,135099.94,135099.94,INR,134890.77,14.204,14.204,S,VAL2,X,REF80503,2025,6064116845,20251115,103946,128344.94,OK,131046.94,MAT665201,PL03,X,8664,1690365941,A0,284.086,EA,MAT665201,132397.94,INR,284.086,B7252,20251115,X,N,USER97
200,4586983543,00024,01,2,2024,5858342005,9274,E,102,20240122,153.644,153.644,14762.12,14762.12,EUR,14890.43,7.682,7.682,S,VAL2,X,REF40830,2024,6665505275,20240122,155647,14024.01,OK,14319.26,MAT363679,PL03,X,8717,9094122000,C2,153.644,EA,MAT363679,14466.88,EUR,153.644,B4729,20240122,X,N,USER10
100,4583162322,00029,05,2,2026,5926573791,3069,R,101,20240607,255.764,255.764,111441.49,111441.49,EUR,111610.94,12.788,12.788,H,VAL4,X,REF61874,2026,6741708075,20240607,120019,105869.42,OK,108098.25,MAT383726,PL04,X,5724,9314663955,B1,255.764,EA,MAT383726,109212.66,EUR,255.764,B5203,20240607,X,N,USER68
100,4526644610,00018,03,1,2026,5186429829,4303,R,101,20241102,151.598,151.598,62544.79,62544.79,INR,63353.44,7.58,7.58,H,VAL4,X,REF86486,2026,6476067728,20241102,221229,59417.55,OK,60668.45,MAT133957,PL01,X,7090,4747731683,C2,151.598,LTR,MAT133957,61293.89,INR,151.598,B3517,20241102,X,N,USER39
100,4561848792,00044,01,2,2024,5396494724,3472,E,105,20231027,472.209,472.209,66623.97,66623.97,INR,67080.25,23.61,23.61,H,VAL1,X,REF64092,2024,6072595533,20231027,040855,63292.77,OK,64625.25,MAT523548,PL02,X,7040,3681452845,C2,472.209,KG,MAT523548,65291.49,INR,472.209,B1751,20231027,X,N,USER39
100,4527046486,00026,03,2,2026,5282786793,4359,Q,105,20240322,497.606,497.606,43411.15,43411.15,INR,43333.99,24.88,24.88,S,VAL2,X,REF93433,2026,6226890925,20240322,184115,41240.59,OK,42108.82,MAT993457,PL03,X,5858,7047383855,A0,497.606,EA,MAT993457,42542.93,INR,497.606,B9445,20240322,X,N,USER91
300,4529936460,00017,03,3,2026,5111923388,6711,E,102,20241124,40.151,40.151,14342.34,14342.34,EUR,14416.36,2.008,2.008,S,VAL1,X,REF22695,2026,6630889111,20241124,044356,13625.22,OK,13912.07,MAT737327,PL04,X,9996,2312601078,B1,40.151,KG,MAT737327,14055.49,EUR,40.151,B3658,20241124,X,N,USER5
100,4519507191,00043,03,2,2023,5737540128,1270,E,101,20241208,190.416,190.416,85112.14,85112.14,INR,84576.84,9.521,9.521,H,VAL4,X,REF80111,2023,6573391546,20241208,223926,80856.53,OK,82558.78,MAT840729,PL03,X,7141,8744212145,A0,190.416,LTR,MAT840729,83409.9,INR,190.416,B5264,20241208,X,N,USER92
200,4548933119,00021,03,1,2023,5190056542,7981,R,122,20250415,120.118,120.118,34999.98,34999.98,EUR,35295.13,6.006,6.006,H,VAL3,X,REF92476,2023,6297256518,20250415,072323,33249.98,OK,33949.98,MAT726480,PL01,X,6889,3026443382,B1,120.118,EA,MAT726480,34299.98,EUR,120.118,B6380,20250415,X,N,USER2
300,4517362344,00015,02,1,2023,5685998482,7673,R,101,20260101,489.619,489.619,229533.39,229533.39,INR,228316.21,24.481,24.481,S,VAL1,X,REF95572,2023,6918882214,20260101,001439,218056.72,OK,222647.39,MAT768852,PL04,X,8118,9354072783,B1,489.619,EA,MAT768852,224942.72,INR,489.619,B1759,20260101,X,N,USER44
100,4540480803,00004,02,1,2025,5960624046,3208,E,102,20250305,145.364,145.364,8628.81,8628.81,USD,8643.07,7.268,7.268,H,VAL4,X,REF85201,2025,6055038341,20250305,195438,8197.37,OK,8369.95,MAT372712,PL03,X,6344,5253551755,C2,145.364,LTR,MAT372712,8456.23,USD,145.364,B7369,20250305,X,N,USER43
200,4518913992,00005,04,2,2025,5090480373,1611,R,102,20251027,435.017,435.017,84837.02,84837.02,INR,83270.72,21.751,21.751,S,VAL5,X,REF43766,2025,6895300046,20251027,165145,80595.17,OK,82291.91,MAT184366,PL03,X,6547,5168811973,B1,435.017,EA,MAT184366,83140.28,INR,435.017,B6470,20251027,X,N,USER43
300,4532854789,00026,03,1,2023,5930162411,9222,R,102,20241120,310.245,310.245,36385.53,36385.53,EUR,36421.99,15.512,15.512,S,VAL1,X,REF75922,2023,6908819673,20241120,063008,34566.25,OK,35293.96,MAT357159,PL01,X,9600,4231275568,C2,310.245,EA,MAT357159,35657.82,EUR,310.245,B3923,20241120,X,N,USER14
300,4581481783,00039,04,1,2023,5755874967,6697,E,102,20251204,409.691,409.691,187962.13,187962.13,USD,190893.61,20.485,20.485,H,VAL3,X,REF41494,2023,6249590070,20251204,222638,178564.02,OK,182323.27,MAT790533,PL01,X,6835,9707241985,B1,409.691,EA,MAT790533,184202.89,USD,409.691,B1123,20251204,X,N,USER61
100,4509572964,00035,03,1,2023,5093246711,8303,Q,122,20241123,112.08,112.08,34874.81,34874.81,USD,35079.81,5.604,5.604,S,VAL5,X,REF60424,2023,6510730913,20241123,081434,33131.07,OK,33828.57,MAT997509,PL02,X,7866,3393186184,A0,112.08,KG,MAT997509,34177.31,USD,112.08,B5469,20241123,X,N,USER47
200,4572863912,00023,02,1,2025,5371031308,0993,Q,101,20251105,116.082,116.082,16843.5,16843.5,EUR,16968.13,5.804,5.804,H,VAL4,X,REF16765,2025,6433347411,20251105,202236,16001.32,OK,16338.19,MAT772539,PL02,X,3735,4522944545,B1,116.082,KG,MAT772539,16506.63,EUR,116.082,B2375,20251105,X,N,USER33
100,4528895026,00042,03,2,2026,5829045809,9925,E,101,20240219,455.403,455.403,143310.77,143310.77,EUR,144568.67,22.77,22.77,S,VAL4,X,REF63248,2026,6596015743,20240219,093834,136145.23,OK,139011.45,MAT495556,PL02,X,0288,4236094277,B1,455.403,EA,MAT495556,140444.55,EUR,455.403,B7078,20240219,X,N,USER9
100,4572406652,00009,04,3,2022,5589087924,7099,E,102,20241116,154.954,154.954,16129.16,16129.16,EUR,16100.45,7.748,7.748,H,VAL1,X,REF54619,2022,6433608400,20241116,191537,15322.7,OK,15645.29,MAT725664,PL01,X,6068,8904797310,C2,154.954,KG,MAT725664,15806.58,EUR,154.954,B9148,20241116,X,N,USER13
100,4577903113,00006,04,3,2024,5489262639,3180,Q,101,20240903,420.942,420.942,149055.56,149055.56,USD,147906.02,21.047,21.047,S,VAL1,X,REF79046,2024,6684365448,20240903,130946,141602.78,OK,144583.89,MAT684958,PL02,X,8943,6257125205,A0,420.942,KG,MAT684958,146074.45,USD,420.942,B2281,20240903,X,N,USER56
300,4541244203,00046,02,1,2025,5082013432,2411,Q,122,20250405,357.199,357.199,65592.45,65592.45,EUR,66229.28,17.86,17.86,S,VAL1,X,REF49981,2025,6473423175,20250405,000153,62312.83,OK,63624.68,MAT748978,PL01,X,2824,3578175579,C2,357.199,LTR,MAT748978,64280.6,EUR,357.199,B8517,20250405,X,N,USER15
200,4546567972,00046,01,2,2025,5791202164,7834,R,105,20260104,172.897,172.897,20107.92,20107.92,USD,20480.19,8.645,8.645,H,VAL4,X,REF63768,2025,6224071677,20260104,103349,19102.52,OK,19504.68,MAT424948,PL03,X,6174,6318667638,B1,172.897,EA,MAT424948,19705.76,USD,172.897,B5243,20260104,X,N,USER16
200,4560446463,00021,04,2,2023,5557965083,4831,Q,122,20230626,103.867,103.867,45416.88,45416.88,INR,44838.08,5.193,5.193,H,VAL1,X,REF35329,2023,6999023407,20230626,053903,43146.04,OK,44054.37,MAT240418,PL01,X,5217,1681425642,B1,103.867,LTR,MAT240418,44508.54,INR,103.867,B3422,20230626,X,N,USER77
200,4564853849,00015,03,3,2023,5116591365,8132,R,122,20250815,198.769,198.769,11027.7,11027.7,USD,10875.67,9.938,9.938,H,VAL5,X,REF98491,2023,6565571162,20250815,102019,10476.32,OK,10696.87,MAT610539,PL02,X,9154,5107041709,B1,198.769,EA,MAT610539,10807.15,USD,198.769,B7428,20250815,X,N,USER82
300,4502064820,00004,02,1,2022,5915953508,4127,E,122,20240409,37.902,37.902,13889.95,13889.95,INR,13668.18,1.895,1.895,H,VAL2,X,REF40204,2022,6126917683,20240409,023030,13195.45,OK,13473.25,MAT552655,PL03,X,5550,1985630751,B1,37.902,EA,MAT552655,13612.15,INR,37.902,B2367,20240409,X,N,USER4
200,4573139184,00038,04,3,2026,5856438498,0205,E,105,20230905,147.418,147.418,9599.86,9599.86,INR,9579.27,7.371,7.371,S,VAL5,X,REF19837,2026,6849614892,20230905,012654,9119.87,OK,9311.86,MAT575895,PL03,X,4609,6400574324,C2,147.418,EA,MAT575895,9407.86,INR,147.418,B3404,20230905,X,N,USER95
200,4552042349,00005,01,3,2023,5979416247,0894,R,101,20241104,15.268,15.268,7491.55,7491.55,INR,7604.87,0.763,0.763,S,VAL5,X,REF54976,2023,6149723719,20241104,102129,7116.97,OK,7266.8,MAT180277,PL02,X,4122,4211331130,C2,15.268,KG,MAT180277,7341.72,INR,15.268,B7868,20241104,X,N,USER37
200,4598432250,00045,03,3,2025,5408697854,9062,Q,101,20250331,267.678,267.678,45063.59,45063.59,INR,44200.18,13.384,13.384,H,VAL5,X,REF34073,2025,6236529530,20250331,155530,42810.41,OK,43711.68,MAT155534,PL02,X,8646,6292003713,A0,267.678,KG,MAT155534,44162.32,INR,267.678,B2781,20250331,X,N,USER7
300,4582308980,00022,02,1,2025,5989913107,6057,E,105,20230727,405.534,405.534,90997.77,90997.77,EUR,89612.23,20.277,20.277,S,VAL4,X,REF23791,2025,6783932616,20230727,180936,86447.88,OK,88267.84,MAT160985,PL04,X,9379,6527147458,A0,405.534,KG,MAT160985,89177.81,EUR,405.534,B8401,20230727,X,N,USER18
100,4546538821,00004,04,2,2022,5041385189,1672,E,122,20231209,192.735,192.735,66699.8,66699.8,INR,66238.98,9.637,9.637,H,VAL1,X,REF94667,2022,6191815419,20231209,084200,63364.81,OK,64698.81,MAT318561,PL01,X,9750,8788585044,C2,192.735,EA,MAT318561,65365.8,INR,192.735,B8900,20231209,X,N,USER18
300,4585656763,00004,03,3,2024,5487245841,5605,R,101,20240131,372.897,372.897,132549.97,132549.97,INR,131426.14,18.645,18.645,H,VAL1,X,REF54177,2024,6507774478,20240131,043303,125922.47,OK,128573.47,MAT299106,PL03,X,4541,1305520023,A0,372.897,EA,MAT299106,129898.97,INR,372.897,B9868,20240131,X,N,USER94
300,4558113112,00011,05,1,2025,5248554927,2100,E,122,20240427,335.52,335.52,78669.37,78669.37,USD,78719.36,16.776,16.776,S,VAL1,X,REF61080,2025,6550484405,20240427,113423,74735.9,OK,76309.29,MAT370311,PL02,X,0704,6345008400,A0,335.52,KG,MAT370311,77095.98,USD,335.52,B9000,20240427,X,N,USER79
200,4550620378,00024,05,3,2024,5787662372,3031,R,105,20241116,75.093,75.093,26793.18,26793.18,INR,26413.64,3.755,3.755,S,VAL4,X,REF72763,2024,6103725515,20241116,074553,25453.52,OK,25989.38,MAT672312,PL01,X,1756,3252917384,B1,75.093,KG,MAT672312,26257.32,INR,75.093,B9214,20241116,X,N,USER2
200,4541711725,00012,01,2,2023,5137056990,0784,E,102,20251217,292.254,292.254,126659.96,126659.96,EUR,127192.41,14.613,14.613,S,VAL4,X,REF75998,2023,6819888496,20251217,172141,120326.96,OK,122860.16,MAT430151,PL01,X,1426,5915637965,B1,292.254,LTR,MAT430151,124126.76,EUR,292.254,B7551,20251217,X,N,USER67
200,4506145072,00013,02,2,2023,5571859525,6536,Q,122,20231002,485.657,485.657,101278.91,101278.91,USD,100937.04,24.283,24.283,H,VAL2,X,REF57381,2023,6955670465,20231002,054756,96214.96,OK,98240.54,MAT959590,PL01,X,5663,8499540122,C2,485.657,KG,MAT959590,99253.33,USD,485.657,B3916,20231002,X,N,USER28
100,4542539013,00024,01,1,2022,5829821298,9232,Q,102,20251005,196.289,196.289,45782.45,45782.45,EUR,45764.96,9.814,9.814,H,VAL2,X,REF30293,2022,6740016179,20251005,120240,43493.33,OK,44408.98,MAT477429,PL02,X,9935,6739394207,C2,196.289,KG,MAT477429,44866.8,EUR,196.289,B1890,20251005,X,N,USER16
200,4531002366,00024,03,2,2025,5314829843,9332,Q,105,20231025,444.701,444.701,190901.25,190901.25,EUR,187148.46,22.235,22.235,S,VAL2,X,REF81205,2025,6185320449,20231025,111108,181356.19,OK,185174.21,MAT804031,PL04,X,3360,2752013111,A0,444.701,EA,MAT804031,187083.23,EUR,444.701,B7088,20231025,X,N,USER34
100,4547387704,00015,04,2,2022,5101840186,2622,R,102,20240605,175.333,175.333,56674.64,56674.64,INR,56619.5,8.767,8.767,H,VAL4,X,REF36864,2022,6413539356,20240605,194648,53840.91,OK,54974.4,MAT955418,PL01,X,7585,3254182791,C2,175.333,LTR,MAT955418,55541.15,INR,175.333,B9300,20240605,X,N,USER42
