AUSME,AUSSS,BESKZ,BSTMA,BSTMI,BWTTY,DISGR,DISMM,DISPO,DISPR,EISBE,EISLO,EKGRP,HERKL,KAUTB,KORDB,KZKRI,LAGPR,LFGJA,LFMON,LGPRO,LOSFX,LVORM,MAABC,MABST,MANDT,MATNR,MINBE,MMSTA,MMSTD,MTVER,PERKZ,PLIFZ,PRCTR,PSTAT,SERNP,STAWN,TARGET_STOCK,TRAME,VINT1,VINT2,VRMOD,WEBAZ,WERKS,XCHAR,XMCNG
EA,3.88,X,1606.757,465.721,"",G18,PD,423,5117,204.697,177.188,005,CN,"",X,"",1,2022,12,S028,60.54,"",B,1606.757,100,529529876111419189,465.721,02,20250625,M008,W,4,6610958071,K,S806,42741587228694905,488.11,69.505,014,028,1,8,P044,"",""
KG,4.68,X,251.182,75.511,X,G12,ND,134,1217,35.631,60.7,056,CN,X,"","",2,2022,03,S027,11.54,"",A,251.182,100,252756812863288285,75.511,01,20250710,M012,W,15,3681114166,K,S833,37179402999878512,107.082,81.655,006,004,2,1,P034,"",X
KG,1.83,X,1286.194,369.663,"",G17,PD,805,1084,160.639,70.294,058,DE,"","","",3,2026,09,S017,72.24,"",C,1286.194,100,669111198994314095,369.663,01,20231113,M011,D,7,4105681660,K,S627,20436937989473922,354.408,14.491,030,024,1,2,P007,"",X
L,2.06,F,165.689,45.466,"",G09,PD,645,8477,18.923,130.853,054,IN,X,"",X,3,2025,03,S013,27.16,"",A,165.689,100,608888058136905742,45.466,03,20230512,M009,W,33,8080896139,K,S497,45650595790689963,66.497,57.101,025,010,1,1,P002,"",X
L,0.15,F,868.359,218.396,"",G08,VB,462,8697,82.154,92.878,031,CN,X,"","",3,2022,03,S008,156.27,"",B,868.359,100,934787700556694620,218.396,01,20240916,M016,W,39,4563478344,K,S889,33508202474293979,358.797,2.816,000,003,3,1,P042,"",""
L,1.95,E,145.576,70.553,X,G11,ND,629,9103,32.736,35.285,041,DE,"",X,"",2,2025,08,S039,35.14,"",B,145.576,100,424983738536855939,70.553,02,20250301,M014,M,37,8204266556,K,S460,43034845099340256,101.606,31.765,022,002,2,5,P014,"",X
KG,4.29,X,769.369,243.337,"",G16,ND,367,6116,82.89,138.126,089,CN,X,X,X,2,2025,01,S031,31.42,"",C,769.369,100,604103053447461937,243.337,02,20251023,M020,W,23,9551295739,K,S909,74838515594665427,93.877,76.648,006,004,1,9,P008,"",""
EA,4.32,E,400.389,96.272,X,G17,ND,181,4652,33.141,6.646,095,US,X,"",X,1,2025,08,S045,196.43,"",B,400.389,100,936727195966020080,96.272,02,20220312,M014,D,21,7541556171,K,S667,33750116519313825,339.692,16.408,000,022,2,5,P044,X,""
EA,0.23,E,745.214,173.021,X,G11,PD,174,1232,84.48,138.514,022,US,"",X,X,1,2026,02,S038,80.49,"",C,745.214,100,250597719193754720,173.021,03,20240323,M002,D,33,1871038716,K,S695,15891588264683736,403.083,47.745,018,001,3,5,P048,X,X
M,2.66,E,304.307,95.666,"",G09,PD,440,9913,47.356,177.383,014,DE,"",X,X,1,2023,01,S021,169.16,"",A,304.307,100,545122991054740901,95.666,03,20240804,M008,W,18,2872481969,K,S674,53311147588136256,91.673,49.081,019,021,2,3,P008,"",X
L,5.0,X,173.487,36.942,"",G09,VB,487,9884,18.39,36.105,006,CN,"","","",3,2024,03,S034,63.63,"",A,173.487,100,163437888071116516,36.942,02,20250416,M005,W,50,3780680721,K,S610,46576664313205794,67.732,46.67,016,008,1,4,P037,X,""
KG,3.07,E,691.296,152.94,X,G02,PD,216,7479,58.866,92.563,024,CN,X,"",X,3,2023,11,S016,14.43,"",A,691.296,100,910217194764700351,152.94,03,20220420,M015,M,14,8445517649,K,S540,97521296009531935,273.324,72.454,023,024,1,8,P028,X,""
M,4.34,X,1090.098,376.338,"",G04,PD,881,7881,145.956,192.358,060,US,"","",X,1,2026,01,S022,130.99,"",C,1090.098,100,158567145748499349,376.338,02,20240207,M019,W,18,4959468021,K,S166,36449173715641955,150.905,40.747,010,008,3,4,P002,"",""
KG,4.61,E,437.439,123.304,"",G17,PD,599,7445,41.442,182.101,089,DE,"","","",1,2026,01,S023,24.79,"",A,437.439,100,520061213538117583,123.304,02,20250808,M009,D,44,1231030269,K,S243,46378546683280530,397.977,47.201,018,006,3,5,P012,"",""
EA,1.54,E,741.293,347.129,"",G16,PD,643,7528,154.257,25.368,093,DE,"",X,"",3,2023,12,S021,30.57,"",A,741.293,100,847839952490382442,347.129,03,20240706,M004,D,5,5160029563,K,S977,44083852018440772,386.284,17.114,010,029,2,2,P027,"",""
L,4.16,F,684.233,219.416,X,G13,VB,919,3932,103.803,151.422,033,CN,"","",X,2,2024,12,S036,153.73,"",A,684.233,100,409218098893098498,219.416,03,20240615,M006,W,28,2728219764,K,S208,60114204489595588,440.675,15.342,015,011,3,10,P017,"",""
L,0.09,E,1577.104,359.029,X,G05,ND,573,1543,146.95,153.539,066,US,X,X,X,2,2026,07,S046,89.41,"",B,1577.104,100,306827811098183268,359.029,03,20250127,M006,W,37,5187651006,K,S304,26905579869588183,366.121,26.974,012,002,2,7,P042,"",""
L,3.55,X,184.193,75.007,X,G08,VB,256,6658,17.537,140.916,023,US,"","",X,1,2023,06,S028,28.8,"",A,184.193,100,600161343079139091,75.007,03,20250402,M015,M,15,5477769538,K,S564,70651734794462120,213.161,14.38,014,016,3,5,P024,X,""
M,1.4,E,1198.105,476.204,X,G07,VB,790,1595,138.09,83.85,029,US,X,X,"",3,2024,01,S033,50.48,"",A,1198.105,100,974780249502918294,476.204,01,20240421,M001,W,16,2723739586,K,S627,36524712939657561,86.311,3.095,024,006,1,3,P010,"",""
KG,1.4,E,1798.426,399.212,"",G09,PD,481,3055,143.734,101.28,058,DE,X,X,"",3,2023,05,S038,46.05,"",B,1798.426,100,626615244737693737,399.212,03,20230512,M012,D,38,2421255687,K,S252,35963923555545386,88.213,46.0,013,020,1,10,P027,X,X
M,4.3,F,1248.726,299.753,"",G08,ND,976,4261,87.097,81.317,030,IN,"",X,X,1,2024,07,S009,137.25,"",B,1248.726,100,850972508998235188,299.753,03,20231221,M014,D,41,1581626212,K,S972,56849228564507806,330.926,33.449,000,022,3,10,P050,X,""
L,1.54,X,322.35,78.537,X,G17,PD,359,6609,24.76,65.154,031,CN,"",X,X,1,2022,02,S002,117.41,"",A,322.35,100,539833365727167505,78.537,01,20220202,M015,M,42,5988045352,K,S380,56251829594722769,434.301,90.763,008,012,3,4,P048,"",""
EA,4.34,X,700.93,193.09,X,G12,VB,489,4147,64.331,26.469,033,US,"","",X,2,2026,07,S008,10.91,"",B,700.93,100,702068869028138489,193.09,01,20231116,M009,D,38,8936514251,K,S109,17924334703891877,274.176,40.162,018,003,2,4,P043,"",""
KG,1.8,F,1656.45,481.756,"",G12,VB,223,6104,99.358,188.39,035,US,X,"",X,1,2022,04,S039,192.65,"",A,1656.45,100,458647260951106138,481.756,03,20240219,M018,D,19,9785132919,K,S865,51937022979147220,444.335,22.625,013,014,2,3,P024,X,X
M,0.16,F,1249.964,285.743,"",G10,VB,352,1062,100.873,193.314,066,DE,"",X,"",1,2023,02,S048,94.5,"",A,1249.964,100,456077134224743298,285.743,02,20231016,M002,W,39,4346405211,K,S499,90092041381101437,235.685,19.834,011,004,1,10,P044,X,""
EA,1.72,E,2127.847,464.802,X,G09,PD,232,6435,161.443,161.416,069,US,X,"",X,2,2025,08,S022,136.77,"",A,2127.847,100,916608219571869382,464.802,02,20251130,M005,M,39,3030866871,K,S764,62057094324283887,192.702,65.254,000,027,1,1,P050,X,X
KG,2.07,X,1300.975,497.21,X,G02,PD,670,7763,134.959,24.756,046,IN,"","","",2,2022,09,S007,72.28,"",B,1300.975,100,918674642283672893,497.21,03,20260118,M017,D,50,2738924093,K,S408,41563935017271101,335.999,43.446,012,022,1,4,P025,X,""
L,0.01,X,188.239,60.149,X,G09,ND,926,7191,20.865,18.965,022,CN,X,"","",3,2023,04,S041,60.27,"",A,188.239,100,505186681102100733,60.149,02,20221108,M004,W,24,8453363954,K,S526,36314392402709453,84.398,23.308,028,000,1,3,P009,X,X
KG,4.87,E,138.388,28.247,X,G16,VB,705,8334,12.654,113.967,055,US,X,X,"",2,2023,09,S039,34.76,"",C,138.388,100,904063809645394917,28.247,03,20230811,M011,D,22,2018049672,K,S760,50925875823362486,390.248,58.499,003,000,3,4,P003,"",""
M,2.34,E,56.242,21.358,"",G08,PD,663,1931,6.969,12.385,071,IN,"",X,X,3,2025,08,S021,196.92,"",C,56.242,100,982338312704141920,21.358,02,20250706,M012,D,48,6862920988,K,S374,83009651324844126,334.461,95.859,023,030,1,7,P027,X,X
KG,0.67,X,1165.544,325.359,"",G18,PD,685,3913,121.712,126.947,001,US,"","",X,3,2025,02,S018,55.24,"",A,1165.544,100,317447643648221707,325.359,03,20230409,M016,D,9,4630563340,K,S756,90865297305256108,490.495,3.93,009,027,3,7,P019,X,""
KG,2.12,X,1616.071,414.625,"",G07,ND,975,6641,201.167,63.764,075,DE,X,"","",3,2023,06,S036,83.4,"",A,1616.071,100,823076089068515543,414.625,02,20260207,M020,M,44,1127869878,K,S581,34697866736000522,121.072,47.822,009,026,2,4,P030,X,X
M,3.73,F,218.811,97.43,"",G12,ND,499,7973,19.511,88.545,068,DE,X,X,"",3,2022,02,S022,193.04,"",C,218.811,100,978582037261213515,97.43,01,20220618,M012,M,12,7278665270,K,S534,97572073221730245,317.552,93.152,013,030,1,1,P009,X,X
M,2.2,E,129.347,45.007,"",G14,PD,491,7703,18.743,106.309,040,DE,X,"","",2,2026,01,S038,59.93,"",C,129.347,100,387383976317303548,45.007,03,20220426,M019,M,55,2832859622,K,S751,58791792288268827,174.929,56.461,017,008,3,6,P014,"",X
KG,3.59,F,1201.49,339.269,X,G10,PD,323,2175,165.176,60.242,012,CN,X,X,"",3,2023,08,S049,76.27,"",B,1201.49,100,700155946400322234,339.269,03,20221224,M001,W,21,4850990241,K,S517,88349763183621557,483.593,68.785,019,012,1,4,P020,X,""
L,3.96,E,1071.706,309.182,X,G03,PD,252,3372,124.12,190.569,026,DE,"","","",2,2026,08,S003,124.19,"",B,1071.706,100,499091984982862604,309.182,03,20230621,M017,M,28,1648568505,K,S913,14762989638173985,106.541,46.847,023,028,2,6,P050,X,X
KG,3.61,X,1178.334,285.54,"",G18,VB,965,9854,64.195,190.245,072,DE,X,"","",3,2022,02,S021,138.22,"",B,1178.334,100,283682418724041492,285.54,01,20250628,M014,M,4,6899470375,K,S498,30597230694979101,197.045,37.49,021,014,1,8,P043,"",X
EA,4.72,X,1602.926,359.345,"",G09,VB,416,6294,154.807,118.813,053,CN,X,X,X,2,2025,01,S038,98.07,"",B,1602.926,100,102760293302002339,359.345,01,20221103,M015,D,59,6931252084,K,S861,14423837418896212,227.484,77.804,003,020,1,2,P031,"",X
KG,3.86,X,280.774,97.166,"",G14,PD,209,2704,24.933,105.834,001,CN,"","",X,2,2023,06,S012,159.31,"",A,280.774,100,577260864410103572,97.166,03,20230424,M018,W,5,7754337747,K,S483,15904175683614274,433.577,68.079,004,020,2,9,P009,"",""
KG,0.04,E,613.208,238.113,"",G12,ND,117,3685,118.218,62.125,049,DE,X,"","",2,2022,11,S010,85.36,"",A,613.208,100,465584598243956684,238.113,03,20240115,M003,M,11,2962690880,K,S122,63125042211470839,168.861,4.43,005,007,2,4,P003,"",X
KG,4.29,X,976.151,324.369,"",G16,ND,886,2866,126.097,52.553,078,DE,"",X,"",2,2026,09,S026,45.7,"",C,976.151,100,144207003444621621,324.369,02,20230505,M004,M,30,8691189610,K,S740,24139084948194335,278.488,95.746,000,005,1,7,P025,X,""
M,3.04,E,260.084,69.962,X,G12,ND,268,6302,33.019,196.608,030,US,"",X,"",3,2023,06,S036,64.93,"",A,260.084,100,620556279803849391,69.962,03,20231113,M002,W,8,3557563886,K,S652,36083656598541602,484.888,35.377,012,023,3,2,P009,X,""
M,2.65,E,211.363,47.924,X,G01,ND,874,5561,23.777,150.94,053,CN,X,"",X,1,2025,07,S047,96.93,"",A,211.363,100,748813593000812981,47.924,02,20221111,M016,D,50,6839530422,K,S273,60457257196234453,264.553,61.149,022,010,2,2,P016,"",""
L,4.94,F,1669.975,402.953,X,G11,VB,382,6058,94.213,143.665,085,DE,"",X,X,1,2023,02,S027,192.3,"",B,1669.975,100,778976685137876435,402.953,02,20230121,M008,M,47,7125750642,K,S594,69555924805838408,439.011,10.801,024,009,3,3,P040,X,X
EA,0.32,F,946.876,399.227,X,G04,PD,772,4286,96.077,176.624,033,CN,X,"",X,3,2026,01,S027,87.79,"",A,946.876,100,320329025802368606,399.227,02,20231122,M011,W,47,9027542122,K,S883,52658054818169584,485.952,9.441,019,010,2,8,P015,X,""
EA,4.02,E,1440.057,490.1,"",G10,VB,779,4287,215.092,64.203,083,CN,"","",X,2,2026,02,S036,67.67,"",C,1440.057,100,481004682835531153,490.1,03,20251109,M002,D,42,8287288697,K,S772,75211740040031200,319.444,74.513,005,011,2,3,P019,"",""
L,1.86,F,1077.805,359.542,"",G12,VB,834,4605,78.165,29.307,045,IN,X,X,"",3,2024,09,S005,43.45,"",A,1077.805,100,766636488637956012,359.542,01,20250505,M010,W,8,3065621277,K,S893,90049765828924668,262.516,87.344,013,013,1,1,P026,X,""
EA,0.36,E,473.999,136.254,X,G20,PD,955,5785,39.99,110.253,024,DE,"","","",1,2022,03,S027,100.56,"",C,473.999,100,780391727455566926,136.254,01,20230424,M007,M,29,8430797664,K,S404,34188710319592236,181.402,62.337,026,015,1,8,P034,"",""
EA,4.16,X,160.818,32.543,"",G02,PD,846,1173,8.335,43.891,066,US,"",X,X,2,2024,02,S012,19.92,"",B,160.818,100,893029308017398799,32.543,03,20240603,M019,M,52,7573629898,K,S280,65623234687937569,215.322,92.407,030,018,2,7,P017,"",""
EA,0.09,F,1150.378,407.102,X,G09,VB,918,2781,150.994,43.694,042,CN,X,X,"",3,2022,05,S039,97.96,"",B,1150.378,100,507042142273265702,407.102,01,20240917,M015,W,28,9799880455,K,S873,45864555235859931,83.843,98.993,015,017,2,1,P016,"",""
M,0.3,F,1095.079,264.106,X,G06,PD,144,7593,113.477,161.31,013,US,X,X,"",1,2024,10,S046,173.03,"",C,1095.079,100,162379517671185098,264.106,02,20251001,M003,M,3,7835655478,K,S501,43274335552932451,370.537,68.667,027,027,2,8,P031,X,X
M,2.13,E,1107.453,436.471,X,G05,VB,214,9692,151.713,56.695,085,CN,X,X,"",3,2022,03,S025,103.35,"",A,1107.453,100,748154905585762978,436.471,02,20220630,M002,D,52,9272207941,K,S912,92239318871339817,386.126,40.751,027,029,2,3,P041,"",X
EA,4.35,E,937.938,330.832,"",G16,VB,293,3209,69.721,160.666,018,DE,X,"","",3,2022,12,S011,118.94,"",B,937.938,100,416166821556769258,330.832,03,20250620,M006,M,14,2340078996,K,S128,11739993971049912,329.411,18.624,027,028,1,9,P017,X,X
EA,1.93,F,1302.601,477.96,"",G18,VB,845,7801,97.28,59.414,020,IN,X,X,"",1,2022,04,S032,55.48,"",C,1302.601,100,424163069529386686,477.96,02,20240122,M020,W,56,7653537446,K,S909,22876672433040372,343.849,61.806,011,010,3,8,P040,"",X
