MANDT,OBJEK,ATINN,ATZHL,MAFID,KLART,ADZHL,ATWRT,ATFLV,STATU,LKENZ
100,MAT00286,AT008,3,O,001,000,RED,0.0,H,""
100,MAT00492,AT001,3,O,001,000,"",0.0,L,""
100,MAT00752,AT008,2,O,001,000,,2.5974,"",""
100,MAT00559,AT049,2,O,001,000,BATCH_A,0.0,H,""
100,MAT00428,AT020,2,O,001,000,,0.0,"",""
100,MAT00395,AT041,1,O,001,000,BLUE,0.0,H,""
100,MAT00061,AT011,1,O,001,000,RED,0.0,H,""
100,MAT00379,AT041,3,O,001,000,RED,744.1149,L,""
100,MAT00246,AT035,1,O,001,000,BATCH_A,0.0,L,""
100,MAT00415,AT027,1,O,001,000,RED,0.0,L,""
100,MAT00164,AT018,1,O,001,000,RED,0.0,H,""
100,MAT00046,AT044,1,O,001,000,BATCH_A,0.0,"",""
100,MAT00005,AT015,3,O,001,000,,456.9814,H,""
100,MAT00716,AT002,2,O,001,000,"",0.0,L,""
100,MAT00331,AT042,2,O,001,000,V3,0.0,H,""
100,MAT00200,AT017,3,O,001,000,,0.0,H,""
100,MAT00175,AT015,2,O,001,000,V3,0.0,H,""
100,MAT00410,AT006,3,O,001,000,BLUE,949.9192,H,X
100,MAT00532,AT036,2,O,001,000,BLUE,0.0,"",""
100,MAT00190,AT009,2,O,001,000,BLUE,0.0,"",""
100,MAT00432,AT031,1,O,001,000,BLUE,0.0,"",""
100,MAT00173,AT003,1,O,001,000,V3,0.0,"",""
100,MAT00124,AT028,2,O,001,000,BATCH_A,112.1212,H,""
100,MAT00733,AT015,2,O,001,000,V3,0.0,L,""
100,MAT00429,AT001,3,O,001,000,BATCH_A,0.0,H,""
100,MAT00104,AT017,2,O,001,000,"",0.0,H,""
100,MAT00372,AT011,1,O,001,000,,0.0,"",""
100,MAT00299,AT045,3,O,001,000,V3,968.4572,"",""
100,MAT00871,AT026,2,O,001,000,BATCH_A,0.0,"",""
100,MAT00234,AT045,3,O,001,000,RED,0.0,H,""
100,MAT00918,AT030,3,O,001,000,V3,0.0,H,""
100,MAT00399,AT028,1,O,001,000,V3,0.0,L,""
100,MAT00436,AT001,2,O,001,000,RED,864.3641,H,""
100,MAT00809,AT002,2,O,001,000,V3,0.0,H,""
100,MAT00894,AT013,3,O,001,000,BATCH_A,0.0,"",""
100,MAT00180,AT047,2,O,001,000,BLUE,0.0,"",""
100,MAT00840,AT006,3,O,001,000,V3,0.0,H,""
100,MAT00083,AT036,3,O,001,000,"",799.9182,H,X
100,MAT00999,AT034,1,O,001,000,RED,0.0,"",""
100,MAT00626,AT040,1,O,001,000,RED,0.0,H,""
100,MAT00976,AT039,3,O,001,000,BATCH_A,0.0,L,""
100,MAT00132,AT021,1,O,001,000,RED,0.0,H,""
100,MAT00290,AT002,1,O,001,000,RED,606.3509,"",""
100,MAT00432,AT030,2,O,001,000,BLUE,0.0,"",""
100,MAT00736,AT047,1,O,001,000,,0.0,H,""
100,MAT00321,AT043,1,O,001,000,RED,0.0,L,""
100,MAT00037,AT001,2,O,001,000,,0.0,"",""
100,MAT00300,AT002,2,O,001,000,RED,599.2575,H,""
100,MAT00336,AT005,2,O,001,000,V3,0.0,"",""
100,MAT00528,AT034,3,O,001,000,"",0.0,H,""
100,MAT00417,AT038,3,O,001,000,BLUE,0.0,H,""
100,MAT00389,AT025,3,O,001,000,BATCH_A,0.0,L,""
100,MAT00929,AT032,2,O,001,000,BLUE,489.3225,L,""
100,MAT00864,AT018,2,O,001,000,RED,0.0,H,""
100,MAT00297,AT009,3,O,001,000,BATCH_A,0.0,"",""
100,MAT00592,AT005,3,O,001,000,V3,0.0,L,""
100,MAT00952,AT018,2,O,001,000,,0.0,L,""
100,MAT00039,AT030,2,O,001,000,RED,811.6202,H,X
100,MAT00434,AT039,2,O,001,000,BLUE,0.0,"",""
100,MAT00214,AT044,1,O,001,000,,0.0,L,""
100,MAT00262,AT048,3,O,001,000,V3,0.0,L,""
100,MAT00800,AT014,2,O,001,000,"",0.0,"",""
100,MAT00184,AT048,2,O,001,000,,511.7845,H,""
100,MAT00509,AT003,1,O,001,000,RED,0.0,L,""
100,MAT00996,AT049,2,O,001,000,RED,0.0,L,""
100,MAT00636,AT032,2,O,001,000,BATCH_A,0.0,H,""
100,MAT00128,AT030,2,O,001,000,BATCH_A,0.0,H,""
100,MAT00135,AT034,1,O,001,000,V3,255.0465,"",""
100,MAT00900,AT046,3,O,001,000,RED,0.0,"",""
100,MAT00452,AT015,1,O,001,000,,0.0,H,""
100,MAT00784,AT042,1,O,001,000,BLUE,0.0,"",""
100,MAT00604,AT004,3,O,001,000,RED,0.0,L,""
100,MAT00480,AT045,3,O,001,000,,954.8674,"",""
100,MAT00939,AT046,1,O,001,000,"",0.0,L,""
100,MAT00966,AT018,2,O,001,000,BATCH_A,0.0,H,""
100,MAT00112,AT019,3,O,001,000,BLUE,0.0,"",""
100,MAT00763,AT032,3,O,001,000,,0.0,H,""
100,MAT00196,AT042,2,O,001,000,BLUE,199.7536,L,X
100,MAT00649,AT021,1,O,001,000,RED,0.0,L,""
100,MAT00986,AT037,2,O,001,000,BLUE,0.0,L,""
100,MAT00348,AT036,3,O,001,000,BLUE,0.0,"",""
100,MAT00835,AT042,2,O,001,000,RED,0.0,"",""
100,MAT00667,AT002,2,O,001,000,,415.7343,"",""
100,MAT00586,AT003,1,O,001,000,BLUE,0.0,H,""
100,MAT00605,AT001,2,O,001,000,RED,0.0,L,""
100,MAT00838,AT015,1,O,001,000,"",0.0,"",""
100,MAT00227,AT001,2,O,001,000,RED,0.0,L,""
100,MAT00458,AT039,2,O,001,000,,857.9747,"",""
100,MAT00848,AT015,2,O,001,000,V3,0.0,L,""
100,MAT00312,AT031,1,O,001,000,,0.0,"",""
100,MAT00734,AT040,1,O,001,000,V3,0.0,L,""
100,MAT00441,AT030,2,O,001,000,BLUE,0.0,L,""
100,MAT00962,AT020,1,O,001,000,BLUE,492.6185,L,""
100,MAT00272,AT019,3,O,001,000,RED,0.0,L,""
100,MAT00072,AT049,2,O,001,000,BLUE,0.0,L,""
100,MAT00800,AT022,2,O,001,000,RED,0.0,H,""
100,MAT00236,AT005,1,O,001,000,,0.0,"",""
100,MAT00226,AT036,3,O,001,000,"",51.1483,H,X
100,MAT00451,AT036,1,O,001,000,V3,0.0,L,""
100,MAT00965,AT021,3,O,001,000,RED,0.0,"",""
100,MAT00490,AT021,1,O,001,000,BLUE,0.0,L,""
100,MAT00142,AT004,1,O,001,000,BLUE,0.0,L,""
100,MAT00649,AT010,3,O,001,000,V3,773.0304,H,""
100,MAT00472,AT048,3,O,001,000,BATCH_A,0.0,"",""
100,MAT00092,AT004,1,O,001,000,BATCH_A,0.0,H,""
100,MAT00403,AT010,3,O,001,000,BLUE,0.0,H,""
100,MAT00316,AT038,3,O,001,000,BLUE,0.0,H,""
100,MAT00433,AT029,3,O,001,000,BATCH_A,516.4848,"",""
100,MAT00909,AT035,3,O,001,000,RED,0.0,"",""
100,MAT00650,AT015,3,O,001,000,"",0.0,H,""
100,MAT00011,AT004,2,O,001,000,BLUE,0.0,H,""
100,MAT00411,AT010,1,O,001,000,BATCH_A,0.0,L,""
100,MAT00505,AT007,3,O,001,000,RED,590.2777,L,""
100,MAT00279,AT038,1,O,001,000,RED,0.0,H,""
100,MAT00678,AT027,3,O,001,000,RED,0.0,"",""
100,MAT00275,AT026,2,O,001,000,BLUE,0.0,"",""
100,MAT00089,AT033,3,O,001,000,V3,0.0,L,""
100,MAT00356,AT010,3,O,001,000,BLUE,564.6758,L,X
100,MAT00648,AT025,3,O,001,000,RED,0.0,L,""
100,MAT00733,AT012,1,O,001,000,,0.0,L,""
100,MAT00377,AT002,3,O,001,000,BLUE,0.0,H,""
100,MAT00219,AT023,2,O,001,000,"",0.0,H,""
100,MAT00162,AT026,3,O,001,000,BLUE,303.2614,L,""
100,MAT00431,AT006,2,O,001,000,,0.0,L,""
100,MAT00050,AT024,2,O,001,000,BLUE,0.0,L,""
100,MAT00917,AT035,2,O,001,000,BATCH_A,0.0,"",""
100,MAT00700,AT020,2,O,001,000,BATCH_A,0.0,H,""
100,MAT00078,AT043,3,O,001,000,,654.9444,"",""
100,MAT00441,AT039,3,O,001,000,,0.0,L,""
100,MAT00419,AT018,2,O,001,000,V3,0.0,"",""
100,MAT00077,AT010,3,O,001,000,,0.0,L,""
100,MAT00193,AT049,1,O,001,000,RED,0.0,"",""
100,MAT00607,AT007,3,O,001,000,V3,926.8348,"",""
100,MAT00186,AT049,2,O,001,000,"",0.0,H,""
100,MAT00410,AT023,3,O,001,000,BLUE,0.0,H,""
100,MAT00974,AT043,1,O,001,000,,0.0,"",""
100,MAT00819,AT030,3,O,001,000,V3,0.0,H,""
100,MAT00855,AT010,3,O,001,000,RED,748.3572,"",X
100,MAT00212,AT016,3,O,001,000,BLUE,0.0,L,""
100,MAT00264,AT022,3,O,001,000,RED,0.0,H,""
100,MAT00680,AT010,1,O,001,000,RED,0.0,"",""
100,MAT00913,AT006,1,O,001,000,V3,0.0,"",""
100,MAT00773,AT009,3,O,001,000,,861.7492,H,""
100,MAT00460,AT015,2,O,001,000,,0.0,H,""
100,MAT00172,AT015,2,O,001,000,RED,0.0,L,""
100,MAT00529,AT005,3,O,001,000,"",0.0,L,""
100,MAT00532,AT008,3,O,001,000,V3,0.0,L,""
100,MAT00603,AT034,3,O,001,000,V3,650.1336,"",""
100,MAT00856,AT008,1,O,001,000,,0.0,"",""
100,MAT00604,AT013,1,O,001,000,RED,0.0,H,""
100,MAT00492,AT032,1,O,001,000,V3,0.0,"",""
100,MAT00944,AT040,1,O,001,000,RED,0.0,"",""
100,MAT00110,AT038,3,O,001,000,BATCH_A,549.781,"",""
100,MAT00707,AT043,3,O,001,000,,0.0,L,""
100,MAT00920,AT038,1,O,001,000,V3,0.0,H,""
100,MAT00443,AT002,2,O,001,000,,0.0,"",""
100,MAT00875,AT007,2,O,001,000,V3,0.0,H,""
100,MAT00952,AT010,2,O,001,000,"",10.4125,L,X
100,MAT00430,AT020,3,O,001,000,,0.0,"",""
100,MAT00082,AT010,3,O,001,000,V3,0.0,L,""
100,MAT00844,AT022,1,O,001,000,RED,0.0,L,""
100,MAT00230,AT036,3,O,001,000,,0.0,H,""
100,MAT00395,AT017,3,O,001,000,BLUE,242.9501,L,""
100,MAT00726,AT042,2,O,001,000,BATCH_A,0.0,H,""
100,MAT00683,AT016,2,O,001,000,BLUE,0.0,"",""
100,MAT00536,AT017,1,O,001,000,RED,0.0,"",""
100,MAT00935,AT042,1,O,001,000,,0.0,L,""
100,MAT00289,AT031,1,O,001,000,BLUE,445.4598,"",""
100,MAT00307,AT009,2,O,001,000,RED,0.0,L,""
100,MAT00361,AT045,3,O,001,000,"",0.0,L,""
100,MAT00453,AT013,3,O,001,000,V3,0.0,L,""
100,MAT00766,AT005,1,O,001,000,RED,0.0,"",""
100,MAT00527,AT025,1,O,001,000,BLUE,726.5529,L,""
100,MAT00331,AT036,2,O,001,000,RED,0.0,L,""
100,MAT00485,AT013,1,O,001,000,RED,0.0,H,""
100,MAT00629,AT004,3,O,001,000,BATCH_A,0.0,H,""
100,MAT00594,AT029,3,O,001,000,RED,0.0,H,""
100,MAT00128,AT032,3,O,001,000,BATCH_A,717.2232,"",X
100,MAT00974,AT017,2,O,001,000,,0.0,H,""
100,MAT00978,AT023,3,O,001,000,BATCH_A,0.0,H,""
100,MAT00087,AT046,3,O,001,000,BATCH_A,0.0,"",""
100,MAT00362,AT016,1,O,001,000,"",0.0,"",""
100,MAT00690,AT021,2,O,001,000,,478.049,"",""
100,MAT00439,AT005,2,O,001,000,BLUE,0.0,H,""
100,MAT00151,AT015,3,O,001,000,V3,0.0,"",""
100,MAT00291,AT019,1,O,001,000,RED,0.0,L,""
100,MAT00712,AT045,2,O,001,000,V3,0.0,L,""
100,MAT00845,AT025,1,O,001,000,BLUE,900.0092,H,""
100,MAT00344,AT025,2,O,001,000,BLUE,0.0,L,""
100,MAT00557,AT031,3,O,001,000,V3,0.0,L,""
100,MAT00371,AT031,1,O,001,000,BATCH_A,0.0,"",""
100,MAT00962,AT007,3,O,001,000,V3,0.0,"",""
100,MAT00254,AT030,3,O,001,000,RED,502.8378,L,""
100,MAT00087,AT024,2,O,001,000,"",0.0,H,""
100,MAT00222,AT020,3,O,001,000,BATCH_A,0.0,"",""
100,MAT00681,AT027,1,O,001,000,V3,0.0,H,""
100,MAT00587,AT005,2,O,001,000,BATCH_A,0.0,"",""
100,MAT00853,AT034,3,O,001,000,,955.1155,L,X
100,MAT00516,AT025,3,O,001,000,,0.0,L,""
100,MAT00189,AT049,2,O,001,000,RED,0.0,"",""
100,MAT00232,AT021,2,O,001,000,BATCH_A,0.0,H,""
100,MAT00267,AT034,2,O,001,000,,0.0,H,""
100,MAT00006,AT015,1,O,001,000,BLUE,540.6363,L,""
100,MAT00337,AT036,2,O,001,000,RED,0.0,H,""
100,MAT00325,AT035,2,O,001,000,,0.0,"",""
100,MAT00972,AT007,1,O,001,000,"",0.0,H,""
100,MAT00960,AT028,1,O,001,000,,0.0,"",""
100,MAT00462,AT019,2,O,001,000,BATCH_A,148.2413,"",""
100,MAT00512,AT049,3,O,001,000,V3,0.0,"",""
100,MAT00367,AT039,1,O,001,000,RED,0.0,"",""
100,MAT00851,AT028,3,O,001,000,,0.0,L,""
100,MAT00848,AT003,3,O,001,000,RED,0.0,L,""
100,MAT00997,AT003,3,O,001,000,,619.1772,H,""
100,MAT00980,AT030,1,O,001,000,V3,0.0,"",""
100,MAT00220,AT038,3,O,001,000,,0.0,"",""
100,MAT00578,AT046,1,O,001,000,V3,0.0,L,""
100,MAT00079,AT011,2,O,001,000,RED,0.0,H,""
100,MAT00221,AT044,2,O,001,000,"",11.2354,"",X
100,MAT00490,AT028,2,O,001,000,RED,0.0,L,""
100,MAT00702,AT043,2,O,001,000,BLUE,0.0,H,""
100,MAT00432,AT003,2,O,001,000,BLUE,0.0,"",""
100,MAT00575,AT009,2,O,001,000,BATCH_A,0.0,"",""
100,MAT00322,AT016,2,O,001,000,,735.843,H,""
100,MAT00879,AT026,3,O,001,000,RED,0.0,"",""
100,MAT00846,AT015,2,O,001,000,BLUE,0.0,L,""
100,MAT00560,AT002,3,O,001,000,BATCH_A,0.0,H,""
100,MAT00328,AT032,1,O,001,000,,0.0,"",""
100,MAT00750,AT046,1,O,001,000,BLUE,542.2078,"",""
100,MAT00338,AT011,2,O,001,000,RED,0.0,"",""
100,MAT00308,AT013,1,O,001,000,"",0.0,L,""
100,MAT00889,AT008,3,O,001,000,,0.0,"",""
100,MAT00581,AT003,2,O,001,000,,0.0,"",""
100,MAT00122,AT045,2,O,001,000,BATCH_A,690.7353,L,""
100,MAT00569,AT004,1,O,001,000,,0.0,H,""
100,MAT00154,AT043,3,O,001,000,BATCH_A,0.0,"",""
100,MAT00257,AT038,1,O,001,000,V3,0.0,"",""
100,MAT00212,AT004,1,O,001,000,,0.0,H,""
100,MAT00568,AT007,3,O,001,000,,336.8097,"",X
100,MAT00818,AT001,2,O,001,000,V3,0.0,H,""
100,MAT00595,AT004,1,O,001,000,V3,0.0,H,""
100,MAT00800,AT007,1,O,001,000,V3,0.0,"",""
100,MAT00227,AT041,1,O,001,000,"",0.0,H,""
100,MAT00597,AT048,2,O,001,000,BLUE,681.0487,H,""
100,MAT00049,AT029,3,O,001,000,BATCH_A,0.0,L,""
100,MAT00801,AT048,2,O,001,000,V3,0.0,L,""
100,MAT00698,AT033,3,O,001,000,,0.0,"",""
100,MAT00888,AT021,1,O,001,000,RED,0.0,"",""
100,MAT00844,AT018,2,O,001,000,V3,219.6441,L,""
100,MAT00617,AT025,2,O,001,000,V3,0.0,H,""
100,MAT00931,AT030,2,O,001,000,RED,0.0,H,""
100,MAT00400,AT031,2,O,001,000,,0.0,H,""
100,MAT00547,AT024,2,O,001,000,RED,0.0,L,""
100,MAT00128,AT016,1,O,001,000,V3,687.4214,L,""
100,MAT00544,AT007,2,O,001,000,"",0.0,H,""
100,MAT00645,AT035,2,O,001,000,BLUE,0.0,"",""
100,MAT00016,AT037,2,O,001,000,RED,0.0,L,""
100,MAT00303,AT009,2,O,001,000,RED,0.0,L,""
100,MAT00721,AT049,3,O,001,000,BATCH_A,355.8162,H,X
100,MAT00450,AT031,3,O,001,000,V3,0.0,H,""
100,MAT00682,AT017,2,O,001,000,V3,0.0,L,""
100,MAT00944,AT021,3,O,001,000,BATCH_A,0.0,L,""
100,MAT00535,AT026,2,O,001,000,,0.0,L,""
100,MAT00339,AT026,1,O,001,000,V3,556.5173,H,""
100,MAT00657,AT017,1,O,001,000,BATCH_A,0.0,L,""
100,MAT00735,AT018,1,O,001,000,BLUE,0.0,L,""
100,MAT00778,AT009,2,O,001,000,"",0.0,H,""
100,MAT00024,AT004,2,O,001,000,BLUE,0.0,"",""
100,MAT00010,AT017,1,O,001,000,BATCH_A,684.7219,H,""
100,MAT00952,AT013,2,O,001,000,BLUE,0.0,"",""
100,MAT00717,AT022,2,O,001,000,RED,0.0,"",""
100,MAT00058,AT005,1,O,001,000,,0.0,H,""
100,MAT00162,AT024,2,O,001,000,BATCH_A,0.0,"",""
100,MAT00876,AT018,1,O,001,000,BATCH_A,402.3039,"",""
100,MAT00988,AT018,1,O,001,000,,0.0,"",""
100,MAT00378,AT039,2,O,001,000,,0.0,"",""
100,MAT00596,AT034,3,O,001,000,BATCH_A,0.0,"",""
100,MAT00709,AT045,1,O,001,000,BATCH_A,0.0,"",""
100,MAT00838,AT026,1,O,001,000,"",633.9927,L,X
100,MAT00290,AT043,1,O,001,000,BATCH_A,0.0,H,""
100,MAT00135,AT014,2,O,001,000,RED,0.0,H,""
100,MAT00890,AT029,1,O,001,000,BATCH_A,0.0,L,""
100,MAT00129,AT014,1,O,001,000,V3,0.0,L,""
100,MAT00724,AT039,2,O,001,000,BLUE,836.4078,L,""
100,MAT00064,AT033,2,O,001,000,BATCH_A,0.0,L,""
100,MAT00709,AT045,3,O,001,000,BATCH_A,0.0,H,""
100,MAT00764,AT033,2,O,001,000,BATCH_A,0.0,"",""
100,MAT00341,AT025,2,O,001,000,RED,0.0,"",""
100,MAT00343,AT006,3,O,001,000,RED,60.5328,"",""
100,MAT00482,AT045,1,O,001,000,BATCH_A,0.0,H,""
100,MAT00656,AT041,1,O,001,000,"",0.0,"",""
100,MAT00368,AT028,2,O,001,000,RED,0.0,H,""
100,MAT00232,AT022,1,O,001,000,RED,0.0,"",""
100,MAT00361,AT037,3,O,001,000,,885.2445,"",""
100,MAT00258,AT004,3,O,001,000,BATCH_A,0.0,"",""
100,MAT00045,AT023,1,O,001,000,RED,0.0,L,""
100,MAT00613,AT026,3,O,001,000,BATCH_A,0.0,"",""
100,MAT00884,AT021,3,O,001,000,RED,0.0,L,""
100,MAT00494,AT026,2,O,001,000,RED,341.4041,H,X
100,MAT00731,AT046,2,O,001,000,RED,0.0,"",""
100,MAT00441,AT013,1,O,001,000,,0.0,L,""
100,MAT00500,AT041,3,O,001,000,,0.0,H,""
100,MAT00185,AT003,3,O,001,000,"",0.0,H,""
100,MAT00157,AT009,3,O,001,000,V3,540.6048,H,""
100,MAT00969,AT008,1,O,001,000,BLUE,0.0,"",""
100,MAT00964,AT001,2,O,001,000,V3,0.0,"",""
100,MAT00087,AT048,3,O,001,000,BATCH_A,0.0,"",""
100,MAT00285,AT026,1,O,001,000,V3,0.0,L,""
100,MAT00011,AT012,3,O,001,000,V3,148.1936,H,""
100,MAT00238,AT022,3,O,001,000,RED,0.0,"",""
100,MAT00874,AT046,3,O,001,000,BATCH_A,0.0,"",""
100,MAT00783,AT038,2,O,001,000,RED,0.0,L,""
100,MAT00754,AT044,3,O,001,000,RED,0.0,H,""
100,MAT00573,AT033,2,O,001,000,BATCH_A,213.114,L,""
100,MAT00428,AT018,1,O,001,000,"",0.0,"",""
100,MAT00626,AT020,2,O,001,000,V3,0.0,H,""
100,MAT00502,AT020,1,O,001,000,BATCH_A,0.0,"",""
100,MAT00702,AT012,3,O,001,000,V3,0.0,H,""
100,MAT00532,AT018,2,O,001,000,BLUE,155.6778,"",X
100,MAT00183,AT015,3,O,001,000,RED,0.0,L,""
100,MAT00638,AT031,3,O,001,000,RED,0.0,L,""
100,MAT00855,AT041,3,O,001,000,RED,0.0,H,""
100,MAT00086,AT013,1,O,001,000,,0.0,L,""
100,MAT00554,AT028,3,O,001,000,V3,150.8981,"",""
100,MAT00443,AT034,3,O,001,000,,0.0,L,""
100,MAT00335,AT027,1,O,001,000,RED,0.0,H,""
100,MAT00427,AT015,2,O,001,000,"",0.0,L,""
100,MAT00928,AT043,1,O,001,000,BATCH_A,0.0,H,""
100,MAT00836,AT011,3,O,001,000,V3,380.5342,"",""
100,MAT00221,AT022,2,O,001,000,BLUE,0.0,H,""
100,MAT00032,AT019,3,O,001,000,BATCH_A,0.0,"",""
100,MAT00291,AT018,3,O,001,000,BATCH_A,0.0,"",""
100,MAT00369,AT040,1,O,001,000,RED,0.0,"",""
100,MAT00264,AT048,3,O,001,000,V3,931.11,H,""
100,MAT00886,AT025,3,O,001,000,RED,0.0,L,""
100,MAT00293,AT018,1,O,001,000,,0.0,H,""
100,MAT00664,AT039,3,O,001,000,,0.0,H,""
100,MAT00493,AT014,1,O,001,000,BLUE,0.0,"",""
100,MAT00634,AT044,3,O,001,000,"",850.3623,H,X
100,MAT00568,AT028,2,O,001,000,,0.0,"",""
100,MAT00433,AT029,1,O,001,000,BATCH_A,0.0,"",""
100,MAT00192,AT036,2,O,001,000,,0.0,L,""
100,MAT00040,AT026,2,O,001,000,V3,0.0,"",""
100,MAT00981,AT038,1,O,001,000,V3,78.1853,"",""
100,MAT00057,AT038,3,O,001,000,V3,0.0,"",""
100,MAT00332,AT008,2,O,001,000,,0.0,H,""
100,MAT00167,AT025,1,O,001,000,,0.0,H,""
100,MAT00588,AT035,3,O,001,000,V3,0.0,"",""
100,MAT00941,AT011,3,O,001,000,BLUE,412.5876,L,""
100,MAT00278,AT030,2,O,001,000,RED,0.0,H,""
100,MAT00017,AT028,3,O,001,000,"",0.0,H,""
100,MAT00611,AT016,1,O,001,000,,0.0,L,""
100,MAT00619,AT038,3,O,001,000,,0.0,"",""
100,MAT00830,AT014,2,O,001,000,V3,645.7723,L,""
100,MAT00062,AT047,2,O,001,000,V3,0.0,H,""
100,MAT00412,AT006,2,O,001,000,,0.0,L,""
