BDIFP,BUKRS,BWKEY,BWMOD,EFREJ,ERKLAERKOM,FMP_PRFRGR,FMP_PRSFR,MANDT,MLAST,MLASV,MLBWA,MLBWV,MLCCS,PRSFR,UPROF,WBPRO,X2FDO,XBKNG,XEFRE,XEWRX,XLBPD,XVKBW
3.81,5638,V025,0002,2023,X,GR23,"",100,"",X,X,X,"",X,UP01,WB02,X,X,"","",X,X
3.74,5415,V026,0001,2022,X,GR34,"",100,2,"",X,"","",X,UP03,WB01,X,"","",X,X,""
4.29,8093,V027,0001,2022,X,GR61,"",100,"",X,X,X,"",X,UP03,WB02,"",X,"","","",X
3.46,4632,V028,0004,2020,X,GR35,"",100,"",X,"","","",X,UP03,WB02,"","","",X,"",""
3.46,7788,V029,0001,2017,"",GR85,"",100,3,"",X,X,X,X,UP01,WB03,X,X,X,X,"",""
4.75,9416,V030,0002,2022,"",GR65,"",100,"",X,"","","","",UP02,WB02,"","",X,"",X,X
3.17,7416,V031,0003,2022,X,GR79,X,100,"","","","",X,"",UP01,WB03,X,"","",X,"",""
0.83,7223,V032,0004,2025,X,GR88,X,100,3,X,X,X,"","",UP02,WB02,X,X,"",X,"",X
0.55,3962,V033,0001,2026,"",GR75,X,100,2,"","",X,X,"",UP02,WB01,"",X,X,X,X,X
2.41,3330,V034,0001,2024,"",GR60,"",100,"","",X,X,"","",UP02,WB01,"","","",X,"",""
1.74,1337,V035,0001,2015,X,GR48,"",100,2,"",X,X,"","",UP02,WB02,X,"","",X,"",X
1.96,8320,V036,0004,2025,X,GR32,"",100,"","",X,"",X,X,UP02,WB01,"",X,"","","",""
4.09,7698,V037,0001,2024,X,GR51,"",100,2,X,X,X,"",X,UP01,WB02,X,"",X,X,X,""
4.5,7099,V038,0001,2024,X,GR42,X,100,3,X,X,X,"","",UP03,WB03,"",X,X,X,"",X
3.85,1521,V039,0002,2020,"",GR95,"",100,2,X,"",X,X,X,UP02,WB02,"",X,"",X,X,X
4.36,4532,V040,0002,2015,X,GR56,"",100,2,X,X,X,X,"",UP02,WB03,X,"",X,"","",""
2.0,6610,V041,0003,2019,X,GR48,"",100,"",X,"","",X,"",UP02,WB03,"",X,X,"",X,X
1.8,10981,V042,0002,2018,"",GR54,X,100,2,"",X,X,"",X,UP02,WB01,X,"","","","",X
3.87,10629,V043,0001,2017,"",GR86,X,100,2,X,"",X,X,"",UP03,WB02,X,"","",X,"",X
2.12,4162,V044,0003,2018,X,GR33,"",100,2,X,X,"","",X,UP01,WB03,"",X,X,"","",X
1.83,9363,V045,0001,2019,"",GR23,"",100,"",X,X,"","",X,UP02,WB03,X,"","","","",""
1.77,2627,V046,0004,2024,"",GR24,"",100,"","",X,X,X,X,UP02,WB01,"",X,"","","",X
1.42,8031,V047,0004,2024,X,GR94,X,100,2,X,X,X,X,X,UP03,WB03,"","",X,"","",X
4.06,7566,V048,0003,2024,X,GR30,X,100,3,X,"","","",X,UP01,WB03,X,"",X,X,"",""
4.54,5490,V049,0003,2023,"",GR46,X,100,3,X,"","",X,X,UP01,WB02,"",X,"","","",""
0.49,9929,V050,0003,2016,X,GR28,X,100,2,"","",X,X,X,UP01,WB02,"",X,"","",X,""
1.15,10254,V051,0001,2018,"",GR49,"",100,3,X,X,X,X,X,UP02,WB01,X,"",X,X,"",X
4.57,7096,V052,0001,2020,"",GR44,"",100,3,X,"",X,"",X,UP01,WB02,"","","","",X,X
0.36,8900,V053,0002,2016,X,GR17,"",100,3,"","",X,"",X,UP01,WB03,"","","","",X,X
1.61,3063,V054,0003,2024,"",GR70,"",100,2,"",X,"","",X,UP02,WB02,"","","",X,"",""
1.3,8106,V055,0004,2019,X,GR40,X,100,2,"","",X,X,"",UP03,WB03,X,"",X,X,X,""
1.28,1165,V056,0002,2023,"",GR36,"",100,"",X,"",X,"",X,UP02,WB03,"",X,"","","",X
1.83,3393,V057,0001,2019,"",GR67,"",100,2,X,"",X,"",X,UP01,WB03,X,"","","",X,X
3.66,10074,V058,0003,2018,"",GR39,"",100,2,"","","",X,X,UP03,WB01,X,X,"","",X,""
3.98,6854,V059,0004,2022,"",GR31,X,100,2,"",X,X,X,"",UP02,WB01,"","","","",X,""
2.47,7507,V060,0002,2015,"",GR45,"",100,"","","",X,X,"",UP02,WB02,"",X,X,"",X,""
3.04,6029,V061,0004,2026,X,GR26,"",100,"","",X,"",X,"",UP03,WB03,X,"",X,"","",X
4.83,6471,V062,0003,2024,"",GR62,"",100,2,"",X,"",X,"",UP01,WB02,"","","","",X,""
1.81,10363,V063,0004,2023,"",GR88,X,100,2,"","",X,X,X,UP03,WB03,"",X,X,X,X,""
0.22,1350,V064,0002,2020,X,GR25,X,100,3,X,X,X,"","",UP03,WB03,X,"",X,X,X,X
3.1,10833,V065,0002,2026,X,GR33,X,100,"",X,X,X,X,"",UP01,WB03,"","","",X,"",X
1.54,1039,V066,0003,2022,X,GR51,X,100,3,X,X,X,"",X,UP02,WB02,X,X,X,X,X,""
4.98,9168,V067,0002,2015,"",GR35,X,100,3,X,"",X,X,X,UP01,WB01,X,"","",X,X,X
4.96,10668,V068,0003,2020,"",GR75,X,100,2,"","","",X,"",UP02,WB03,X,"","","",X,""
2.72,6944,V069,0001,2022,"",GR48,"",100,3,"","","","","",UP01,WB02,X,"","","","",X
4.64,4499,V070,0001,2015,"",GR75,X,100,3,X,X,X,"","",UP02,WB03,"",X,"",X,X,""
0.48,6913,V071,0001,2015,X,GR42,"",100,3,"","",X,X,X,UP01,WB01,X,X,"","",X,""
3.13,1217,V072,0004,2023,X,GR57,X,100,2,X,X,X,"","",UP02,WB02,"","","","",X,""
1.11,2406,V073,0002,2024,"",GR21,X,100,3,X,X,X,"",X,UP01,WB01,X,X,X,"",X,""
0.06,7501,V074,0001,2026,"",GR78,"",100,3,"",X,"","","",UP01,WB01,"","",X,"","",X
3.63,7319,V075,0001,2018,"",GR53,X,100,3,X,"","","",X,UP01,WB02,"",X,"",X,X,""
4.4,7694,V076,0004,2016,"",GR62,"",100,3,X,X,X,X,X,UP02,WB01,"","",X,"",X,X
4.75,6465,V077,0002,2019,X,GR90,X,100,2,"","","",X,"",UP03,WB02,X,"",X,X,"",X
3.84,10696,V078,0003,2016,"",GR14,"",100,3,"","","","","",UP03,WB01,X,"","","","",""
2.85,3995,V079,0001,2020,"",GR42,"",100,"",X,"",X,X,"",UP03,WB02,X,X,"","","",X
4.28,8497,V080,0002,2018,"",GR16,X,100,"","",X,"","",X,UP03,WB02,X,"","",X,"",X
0.73,4514,V081,0004,2016,"",GR53,"",100,3,X,"","",X,X,UP03,WB03,"","","",X,"",""
1.99,7862,V082,0002,2015,"",GR19,X,100,"",X,X,X,"",X,UP01,WB02,"","",X,X,X,""
1.44,1392,V083,0001,2018,X,GR10,"",100,3,X,X,X,"",X,UP02,WB02,"","","",X,X,X
2.79,5899,V084,0001,2025,X,GR72,X,100,"","",X,X,X,"",UP01,WB03,"","",X,X,"",""
1.56,8509,V085,0001,2020,"",GR58,X,100,"","",X,"",X,X,UP03,WB01,X,X,X,"",X,X
0.07,10536,V086,0003,2019,X,GR98,X,100,3,X,"","","",X,UP01,WB01,X,"",X,"","",X
4.28,1375,V087,0003,2021,"",GR99,"",100,3,"","",X,"","",UP02,WB01,X,X,X,X,X,X
0.57,9210,V088,0004,2022,"",GR13,X,100,2,X,X,"","",X,UP03,WB03,X,"",X,"","",X
0.42,9041,V089,0003,2018,X,GR48,X,100,3,X,X,"",X,"",UP03,WB01,"","","",X,"",""
3.18,7359,V090,0002,2020,X,GR94,X,100,"",X,X,X,"",X,UP03,WB03,X,X,X,"","",X
0.44,4041,V091,0001,2025,X,GR61,X,100,"","",X,X,X,X,UP01,WB02,"","","",X,"",X
1.07,6233,V092,0003,2021,X,GR78,X,100,"","",X,X,X,X,UP03,WB03,X,X,"","",X,""
4.35,4654,V093,0004,2024,"",GR64,X,100,"",X,X,"",X,X,UP02,WB01,X,X,X,"","",X
3.36,2722,V094,0001,2018,"",GR78,X,100,"","","","",X,"",UP02,WB02,"",X,X,X,"",X
2.39,6504,V095,0004,2019,X,GR86,"",100,3,X,"","",X,"",UP03,WB01,X,"",X,X,"",""
1.8,10987,V096,0002,2020,"",GR85,"",100,2,"","",X,X,X,UP03,WB02,X,"",X,"","",""
3.11,4256,V097,0002,2022,X,GR28,"",100,"","",X,"","","",UP01,WB01,X,"","",X,X,""
1.57,5487,V098,0003,2015,X,GR16,X,100,2,"",X,X,"","",UP03,WB02,X,X,"",X,X,X
0.51,6101,V099,0003,2018,X,GR37,X,100,2,"",X,"",X,"",UP03,WB01,"","","","","",X
1.95,5991,V100,0002,2026,"",GR55,X,100,"",X,"","",X,"",UP01,WB03,"","","",X,X,""
4.06,7663,V101,0001,2024,"",GR96,X,100,"","",X,"",X,"",UP01,WB01,X,X,X,X,X,""
1.97,9120,V102,0002,2023,"",GR35,"",100,2,X,X,"",X,"",UP01,WB02,"",X,"","","",""
4.77,9551,V103,0001,2025,"",GR89,"",100,3,X,"","",X,"",UP03,WB02,X,X,X,X,X,X
4.91,2164,V104,0003,2023,X,GR20,"",100,2,X,X,"","","",UP03,WB02,"",X,X,"","",""
0.8,10438,V105,0003,2019,"",GR30,X,100,3,X,"",X,"","",UP01,WB01,X,"",X,"",X,""
1.57,5103,V106,0003,2022,"",GR59,"",100,3,"","","",X,X,UP02,WB02,"","","",X,"",""
4.88,9856,V107,0004,2025,X,GR37,"",100,2,"",X,"",X,X,UP02,WB02,"","","",X,"",X
0.23,8038,V108,0003,2023,"",GR27,"",100,3,X,"",X,X,X,UP01,WB02,"",X,X,"",X,""
2.56,2057,V109,0004,2021,X,GR71,"",100,3,"","",X,X,"",UP02,WB02,X,X,"",X,X,X
2.93,9326,V110,0002,2025,"",GR86,X,100,3,X,X,"","","",UP03,WB01,X,"","",X,"",""
1.86,4175,V111,0003,2024,X,GR68,X,100,3,X,X,X,X,"",UP02,WB03,"",X,"","",X,X
1.24,4489,V112,0002,2024,X,GR26,X,100,3,"","","",X,"",UP02,WB03,"",X,X,X,"",""
1.23,6960,V113,0004,2021,"",GR31,"",100,2,X,X,X,X,"",UP03,WB02,"","","",X,X,X
4.99,8055,V114,0001,2022,X,GR27,X,100,"",X,X,"",X,"",UP03,WB03,X,X,X,"","",""
3.16,6923,V115,0002,2017,"",GR85,"",100,3,X,X,X,X,"",UP01,WB01,"","",X,"",X,""
2.26,9091,V116,0002,2019,"",GR44,"",100,2,X,X,"",X,"",UP03,WB03,X,"",X,X,X,X
3.68,5233,V117,0003,2023,"",GR41,X,100,"","","",X,X,"",UP01,WB01,X,X,"","",X,""
2.6,3989,V118,0002,2023,X,GR78,X,100,"",X,"",X,"","",UP01,WB03,X,X,X,"",X,""
0.08,2220,V119,0004,2024,X,GR53,X,100,"",X,"","","",X,UP03,WB02,X,X,X,X,X,""
3.33,1507,V120,0003,2016,"",GR16,"",100,3,"",X,"",X,X,UP01,WB01,"","",X,X,"",""
2.42,3934,V121,0001,2017,X,GR68,"",100,"",X,X,"",X,X,UP01,WB03,X,"",X,"",X,""
2.36,9915,V122,0004,2015,X,GR27,X,100,2,X,"","","",X,UP02,WB01,X,X,X,X,X,X
3.69,7925,V123,0004,2024,X,GR58,"",100,"",X,X,"","",X,UP03,WB01,"",X,X,"",X,X
1.38,1115,V124,0001,2023,X,GR82,"",100,2,"",X,X,"",X,UP02,WB01,"","","","",X,""
4.98,4053,V125,0001,2023,X,GR35,"",100,2,X,X,"","","",UP02,WB01,"","","",X,"",X
0.92,6991,V126,0003,2026,"",GR58,"",100,2,"","",X,X,X,UP02,WB01,"",X,X,X,"",X
0.37,8873,V127,0002,2018,X,GR22,"",100,2,X,"",X,X,X,UP01,WB02,X,X,X,"","",X
4.47,2222,V128,0003,2018,X,GR76,"",100,3,"",X,"","",X,UP01,WB02,X,X,X,X,"",""
0.9,5170,V129,0003,2017,"",GR76,"",100,3,X,"",X,X,"",UP02,WB02,X,X,"",X,"",""
2.6,6384,V130,0002,2022,"",GR23,X,100,3,"",X,X,"","",UP01,WB02,X,X,"","","",""
1.46,3243,V131,0003,2023,"",GR60,X,100,2,"","",X,X,X,UP03,WB02,X,"",X,"","",""
2.04,1701,V132,0004,2019,X,GR69,"",100,"",X,"","",X,"",UP01,WB01,"",X,"",X,X,""
0.63,2087,V133,0001,2025,"",GR36,X,100,3,"","",X,"","",UP01,WB03,"",X,"","","",""
1.76,5532,V134,0004,2024,X,GR66,"",100,2,X,X,"","","",UP03,WB03,X,X,X,X,"",""
3.98,6346,V135,0002,2017,"",GR12,X,100,"",X,X,X,"","",UP03,WB02,X,"","","","",""
0.37,3330,V136,0004,2018,"",GR17,"",100,"",X,X,"",X,"",UP03,WB02,X,X,X,X,X,""
3.51,4332,V137,0004,2025,X,GR24,X,100,"","",X,"","",X,UP02,WB01,X,"",X,"","",X
3.18,9431,V138,0001,2025,X,GR84,"",100,2,X,X,"","",X,UP02,WB01,X,"","","",X,X
2.37,1603,V139,0001,2019,"",GR46,"",100,"",X,"","",X,"",UP03,WB03,X,X,X,X,X,""
3.01,1887,V140,0004,2015,"",GR96,X,100,"",X,X,"","",X,UP02,WB03,"",X,X,"","",X
1.15,1230,V141,0002,2023,X,GR16,"",100,"","",X,X,"",X,UP03,WB03,X,"",X,"",X,""
4.6,8154,V142,0004,2025,X,GR12,"",100,"","",X,X,X,"",UP03,WB02,"",X,"",X,X,X
3.49,7131,V143,0003,2017,"",GR89,"",100,"",X,"",X,X,"",UP01,WB01,"","","",X,X,X
0.43,4780,V144,0003,2016,"",GR86,X,100,2,"","",X,"","",UP01,WB02,X,X,"","","",X
4.27,1806,V145,0002,2017,X,GR52,X,100,"",X,X,"","","",UP01,WB03,X,X,X,X,"",""
4.06,9190,V146,0001,2026,"",GR82,X,100,2,X,X,X,X,X,UP02,WB03,"",X,X,"","",X
2.55,1034,V147,0003,2015,"",GR45,"",100,3,X,X,X,"","",UP01,WB03,X,X,X,X,X,X
3.6,3244,V148,0001,2026,X,GR90,X,100,"","",X,"",X,X,UP03,WB02,"",X,X,X,"",X
3.47,3715,V149,0004,2015,"",GR17,"",100,3,"","","",X,X,UP01,WB01,X,"",X,X,X,X
2.22,4804,V150,0003,2025,X,GR35,"",100,2,"","","","",X,UP03,WB02,"","",X,"","",""
2.31,8398,V151,0003,2025,X,GR77,"",100,"","","","","",X,UP01,WB02,"",X,"","",X,""
0.43,6342,V152,0003,2015,X,GR87,"",100,2,"","",X,X,"",UP02,WB03,X,"",X,X,"",""
3.98,6743,V153,0002,2018,X,GR45,X,100,3,X,"",X,X,X,UP01,WB01,"","",X,"",X,""
4.65,5909,V154,0001,2021,X,GR87,"",100,2,"","","","",X,UP03,WB01,"","","",X,X,""
2.17,6847,V155,0004,2026,"",GR21,"",100,2,"",X,"",X,"",UP02,WB01,X,"","","",X,X
1.58,10110,V156,0003,2024,"",GR64,"",100,2,X,X,"","","",UP02,WB02,"",X,X,X,X,X
4.67,7840,V157,0004,2016,X,GR24,"",100,2,"",X,"",X,X,UP03,WB02,"",X,X,X,"",""
2.23,8309,V158,0003,2020,"",GR28,X,100,2,"","",X,X,X,UP02,WB03,"",X,"","","",""
4.81,1997,V159,0004,2019,"",GR18,X,100,3,"","","",X,"",UP03,WB03,X,"",X,X,X,""
1.21,7823,V160,0001,2020,X,GR85,X,100,"",X,"","","","",UP02,WB03,X,X,X,"",X,X
2.63,2432,V161,0001,2015,"",GR76,X,100,"","","",X,"",X,UP01,WB03,X,X,X,X,X,""
2.76,3459,V162,0003,2018,X,GR85,"",100,2,X,X,X,"",X,UP03,WB01,X,X,"","",X,X
2.84,8519,V163,0003,2016,X,GR97,X,100,"",X,"","",X,"",UP02,WB03,"","","","",X,X
3.29,6955,V164,0001,2017,X,GR37,"",100,3,X,X,"","",X,UP03,WB01,"","",X,"",X,""
4.03,4176,V165,0001,2025,X,GR87,"",100,2,X,"","","",X,UP01,WB03,"",X,X,"","",""
3.91,7985,V166,0001,2021,"",GR20,X,100,3,X,X,X,X,"",UP01,WB02,"","","",X,"",""
2.66,7423,V167,0004,2021,X,GR59,"",100,3,"",X,"","","",UP03,WB01,"","","",X,"",""
0.06,5337,V168,0002,2020,X,GR34,X,100,2,X,"",X,"",X,UP02,WB02,X,X,X,X,"",""
3.84,3106,V169,0002,2025,"",GR30,X,100,2,"",X,"",X,X,UP02,WB01,X,X,"",X,"",X
0.29,9960,V170,0002,2025,X,GR52,X,100,2,X,X,"","","",UP02,WB03,X,"","",X,X,""
1.39,5612,V171,0003,2019,X,GR89,X,100,"","","",X,X,"",UP03,WB02,"",X,"",X,"",X
0.52,9618,V172,0003,2015,"",GR25,X,100,"",X,"",X,X,"",UP03,WB02,"",X,X,X,X,""
4.87,2754,V173,0003,2024,X,GR26,X,100,3,X,"","",X,"",UP02,WB01,X,X,"",X,"",X
3.21,5056,V174,0003,2023,"",GR88,X,100,2,X,"","",X,"",UP02,WB01,"","",X,"",X,X
2.06,8723,V175,0002,2026,X,GR82,"",100,3,"",X,"",X,X,UP03,WB01,"","","",X,X,""
1.35,7751,V176,0004,2017,X,GR71,"",100,2,X,X,"",X,"",UP01,WB03,"",X,X,"","",X
2.87,8162,V177,0003,2022,"",GR84,"",100,3,"","",X,"","",UP02,WB01,X,"",X,"","",X
4.51,1587,V178,0001,2020,"",GR43,"",100,3,X,"","","",X,UP03,WB01,"",X,"",X,X,""
1.91,5088,V179,0001,2019,X,GR42,"",100,"",X,"",X,X,"",UP03,WB03,"",X,X,"",X,X
2.72,2910,V180,0002,2017,X,GR67,X,100,2,X,X,X,"","",UP02,WB03,"",X,X,X,X,X
1.2,9143,V181,0003,2019,"",GR73,X,100,3,"",X,"",X,"",UP01,WB03,X,X,X,"","",X
3.91,2248,V182,0001,2025,X,GR28,"",100,3,"","",X,X,X,UP01,WB01,"","",X,"","",""
4.8,3675,V183,0004,2025,X,GR32,X,100,"",X,"",X,X,"",UP01,WB01,X,"","",X,X,X
0.16,5230,V184,0003,2016,"",GR61,"",100,2,X,X,X,"","",UP03,WB02,X,X,X,X,"",X
3.04,5944,V185,0003,2017,X,GR93,"",100,"","",X,"",X,X,UP02,WB03,"",X,"","","",""
3.18,6798,V186,0002,2026,"",GR57,"",100,"",X,"",X,X,X,UP03,WB02,X,"","","",X,X
3.83,3170,V187,0001,2022,"",GR71,X,100,2,"","","",X,"",UP01,WB01,"",X,X,X,"",""
2.33,6785,V188,0001,2017,"",GR56,"",100,3,"",X,"",X,X,UP01,WB01,"",X,"","",X,X
2.58,5445,V189,0003,2021,X,GR65,X,100,"",X,"","",X,"",UP01,WB03,X,X,"",X,X,X
0.02,8703,V190,0001,2021,"",GR52,"",100,2,X,X,X,X,"",UP01,WB03,X,"","",X,"",X
2.69,6131,V191,0001,2025,"",GR28,"",100,2,"",X,X,"","",UP02,WB01,"","",X,"",X,X
0.89,5855,V192,0003,2024,X,GR32,X,100,2,"",X,X,"",X,UP02,WB03,X,X,X,X,X,X
1.31,10689,V193,0002,2018,X,GR83,"",100,2,X,"","","","",UP01,WB01,"","","",X,"",""
2.85,6014,V194,0004,2016,X,GR36,"",100,2,"","",X,"",X,UP03,WB01,"",X,"",X,"",X
0.23,3201,V195,0004,2018,"",GR67,"",100,3,X,X,X,X,"",UP01,WB01,X,"",X,X,X,""
1.73,10681,V196,0001,2025,"",GR71,X,100,"","","",X,"","",UP02,WB03,"",X,"","","",X
1.59,7657,V197,0001,2026,X,GR16,"",100,2,X,X,X,X,X,UP01,WB01,"",X,X,"","",""
0.75,8485,V198,0004,2021,X,GR71,X,100,2,X,X,X,"",X,UP02,WB02,X,X,"",X,X,X
4.62,9070,V199,0002,2022,X,GR38,"",100,3,X,"",X,"","",UP03,WB02,X,"",X,X,"",""
4.59,7000,V200,0001,2024,X,GR10,X,100,2,"","","",X,X,UP02,WB02,X,X,X,X,X,X
2.57,9947,V201,0001,2017,"",GR48,"",100,3,X,X,"","",X,UP02,WB01,"","","","",X,""
1.27,1879,V202,0002,2016,X,GR16,"",100,2,"",X,"",X,X,UP01,WB02,"",X,"","",X,X
3.23,1716,V203,0003,2025,"",GR91,"",100,2,"",X,"",X,"",UP01,WB01,"",X,X,X,X,X
0.36,9927,V204,0001,2020,"",GR26,"",100,3,"","","","",X,UP02,WB02,X,"",X,"","",""
4.46,2975,V205,0003,2026,X,GR64,"",100,2,"","","",X,X,UP02,WB03,"",X,X,X,"",X
3.89,8386,V206,0001,2019,"",GR69,X,100,3,X,"","",X,"",UP02,WB01,"",X,"",X,X,X
1.96,4035,V207,0002,2024,"",GR24,"",100,2,X,X,"","","",UP01,WB01,X,X,X,X,"",""
4.69,3037,V208,0004,2026,"",GR42,X,100,3,X,"","",X,X,UP03,WB03,X,"",X,"","",""
1.61,6742,V209,0001,2025,X,GR62,X,100,"",X,"","","",X,UP02,WB02,"","","","",X,""
3.39,5971,V210,0002,2018,X,GR86,"",100,3,X,"",X,"",X,UP02,WB02,"","",X,"",X,""
0.38,2895,V211,0002,2020,"",GR69,"",100,2,X,"","","",X,UP02,WB03,X,"",X,"","",""
2.7,3807,V212,0003,2021,"",GR35,"",100,"",X,"","","",X,UP03,WB02,"","",X,X,"",""
2.14,1776,V213,0003,2023,X,GR92,"",100,"","",X,X,X,X,UP02,WB02,"",X,"",X,"",X
0.4,3255,V214,0003,2022,X,GR49,"",100,3,X,"","",X,"",UP02,WB03,X,"","","",X,X
2.2,8151,V215,0004,2026,"",GR24,X,100,3,"",X,X,"","",UP02,WB02,"",X,"","",X,X
1.54,9097,V216,0003,2023,X,GR22,X,100,"",X,X,X,X,"",UP01,WB03,X,"",X,X,X,X
4.01,6595,V217,0004,2015,"",GR22,X,100,"",X,X,"","",X,UP03,WB01,"","","","","",""
0.21,10966,V218,0003,2016,"",GR20,X,100,3,X,X,X,"",X,UP03,WB01,"",X,"",X,"",""
1.98,8475,V219,0001,2019,X,GR40,"",100,3,X,X,X,X,X,UP02,WB02,"","",X,"","",""
0.62,7597,V220,0001,2020,"",GR21,"",100,2,X,"",X,X,"",UP01,WB02,"","",X,X,"",""
2.11,10142,V221,0004,2024,X,GR69,X,100,2,"",X,X,X,X,UP02,WB03,"","","",X,X,""
2.87,2763,V222,0002,2017,"",GR70,"",100,2,"","","",X,X,UP02,WB02,X,X,"","",X,""
3.72,5637,V223,0004,2023,"",GR63,X,100,3,"","","","","",UP01,WB03,X,X,"","","",X
2.09,2850,V224,0001,2019,X,GR96,X,100,"",X,X,"",X,X,UP01,WB01,"","",X,"","",X
4.57,3887,V225,0001,2017,"",GR11,X,100,2,"","","",X,"",UP02,WB02,X,"",X,X,"",""
0.74,4781,V226,0001,2018,"",GR77,X,100,2,"",X,"","",X,UP01,WB01,"",X,"",X,"",""
0.29,3882,V227,0001,2021,"",GR84,"",100,"",X,"","","","",UP02,WB02,X,X,X,X,"",X
1.9,1398,V228,0001,2018,"",GR58,"",100,"","",X,"",X,"",UP02,WB02,X,"","",X,X,X
2.02,10104,V229,0001,2022,"",GR32,X,100,"",X,"",X,"","",UP03,WB02,"","",X,"","",X
1.53,10244,V230,0003,2020,"",GR48,X,100,3,X,"",X,X,X,UP01,WB01,X,X,X,"",X,""
0.5,7575,V231,0004,2019,"",GR60,X,100,"","",X,X,"",X,UP03,WB03,X,"","","","",""
0.15,7888,V232,0001,2017,"",GR41,"",100,"","","","","","",UP01,WB03,"","","",X,X,X
1.3,9313,V233,0004,2026,"",GR98,X,100,2,"","","",X,"",UP03,WB03,X,"",X,"","",X
3.14,5057,V234,0004,2017,"",GR35,X,100,3,"",X,"",X,X,UP02,WB03,X,"",X,X,"",""
4.53,10191,V235,0002,2017,X,GR85,X,100,2,X,"","",X,X,UP02,WB02,X,X,"","",X,X
1.37,10716,V236,0001,2018,"",GR81,"",100,3,X,X,"",X,"",UP02,WB01,X,"",X,"",X,X
0.81,5220,V237,0002,2026,X,GR49,"",100,3,"",X,X,"","",UP02,WB01,X,X,X,"",X,X
4.33,4691,V238,0003,2020,X,GR56,X,100,2,X,"","",X,X,UP03,WB01,"",X,"","",X,""
0.1,7355,V239,0002,2015,X,GR97,"",100,2,"",X,"",X,X,UP01,WB01,"",X,X,"","",""
2.82,2111,V240,0004,2018,"",GR61,"",100,3,X,"","","","",UP03,WB01,X,X,X,X,X,X
2.46,5148,V241,0002,2016,"",GR89,X,100,3,"","",X,X,"",UP02,WB01,X,X,"","","",""
2.5,8074,V242,0003,2024,X,GR91,"",100,"",X,X,"",X,"",UP03,WB01,X,"","",X,"",""
4.11,8135,V243,0001,2021,X,GR23,X,100,"","",X,"",X,X,UP03,WB01,X,"",X,X,"",X
0.73,8874,V244,0001,2024,X,GR97,X,100,3,X,"","","","",UP01,WB01,X,X,"",X,"",X
