MANDT,MATNR,WERKS,CHARG,SOBKZ,LIFNR,LFGJA,LFMON,LBLAB,LBINS,LBEIN,LBUML
300,MAT328758,PL16,N3E7A6XG,"",V460392,2026,05,837.507,682.044,217.306,1907.772
100,MAT962955,PL15,TDLEYQCR,O,V923616,2022,01,4749.22,654.187,253.88,760.374
100,MAT604809,PL50,2K6LP7BW,O,V103472,2026,08,3035.599,92.573,0.487,1310.579
200,MAT252681,PL49,QK6NZ6T4,E,V980469,2026,02,3287.592,993.072,469.812,12.82
100,MAT524244,PL41,R5WY1ENX,"",V818014,2026,04,2041.203,349.176,286.571,347.923
300,MAT398509,PL50,KNB9VUW4,"",V487585,2025,07,3108.333,231.379,134.274,1040.317
200,MAT108340,PL21,6SRD1G84,O,V549331,2024,08,350.537,192.514,36.825,0.656
200,MAT370769,PL19,51SFBNMI,Q,V370624,2023,08,640.073,278.625,204.865,1995.128
200,MAT412659,PL21,HIN2IYH5,Q,V969887,2026,12,3866.384,285.931,232.54,640.927
100,MAT375750,PL36,5IG0S5PP,O,V953872,2025,02,4834.486,814.7,339.124,845.594
400,MAT927240,PL42,B0S3G7GI,Q,V996784,2024,11,1917.568,619.304,102.023,702.233
100,MAT537986,PL06,CMCYLQN4,"",V456290,2026,03,878.645,511.192,429.766,1471.145
100,MAT925065,PL41,Y8Q6ZK15,"",V300915,2024,05,1637.261,417.203,387.566,405.818
300,MAT434074,PL20,RAZNQI5K,"",V975208,2025,10,4481.799,64.533,292.899,1342.386
200,MAT591205,PL26,VRRZTTG7,"",V929607,2026,07,3834.828,762.931,347.669,505.136
300,MAT241164,PL43,TQ3GJ69C,K,V496246,2023,07,2638.385,122.217,394.112,1789.595
100,MAT687161,PL10,03NIFQ1D,"",V430474,2022,04,3556.885,168.458,129.353,163.956
100,MAT493941,PL46,L61VPN59,Q,V195705,2025,08,4180.044,366.073,486.369,784.745
400,MAT453548,PL09,0L12PBZ1,E,V470223,2022,12,3318.606,569.24,496.74,575.182
200,MAT496819,PL43,4VQQ6CRV,O,V562655,2023,11,1922.597,613.594,484.308,739.336
100,MAT788994,PL29,5Q34AKE2,O,V854350,2024,11,3856.626,634.539,363.819,198.807
300,MAT349405,PL11,FHHZD475,O,V703034,2025,11,998.864,868.693,123.717,1654.09
400,MAT683443,PL11,ANUKBPXI,"",V536753,2023,11,210.192,794.308,74.53,569.735
400,MAT706668,PL14,SUCXR45M,Q,V129645,2026,09,2245.145,293.236,18.9,880.157
100,MAT162967,PL46,IYBD71RD,K,V475053,2026,12,2117.88,796.599,88.623,541.978
400,MAT245124,PL04,38GYKEKI,O,V373303,2023,06,2789.787,712.042,225.475,204.923
400,MAT903719,PL22,K78RWDTW,E,V210438,2025,11,3528.713,317.731,151.081,638.321
300,MAT849198,PL47,3J9WHZKU,Q,V797299,2026,07,3788.404,397.763,157.895,1162.435
300,MAT545539,PL48,WO3925DE,E,V462566,2023,10,4167.947,462.318,138.537,1422.171
200,MAT230982,PL29,VSE0REPY,"",V773635,2026,01,651.081,923.34,225.011,637.348
300,MAT219144,PL32,O6RX55E4,"",V876843,2024,06,1174.755,546.422,192.845,1957.397
300,MAT203269,PL28,6H3U3LBJ,K,V302769,2022,04,4817.239,386.845,333.772,1710.481
200,MAT302134,PL28,C4EQOOQ5,Q,V740904,2025,07,4755.867,373.95,171.179,440.939
100,MAT927097,PL18,5W16FH4R,K,V894789,2022,05,1264.088,10.474,136.006,1886.181
300,MAT876422,PL45,5K4SKGLQ,E,V273055,2026,11,2957.225,789.604,436.865,569.688
300,MAT347740,PL02,LQGISIIH,O,V528919,2026,05,2107.143,869.24,419.703,83.452
200,MAT711964,PL17,3INXC77D,Q,V582028,2023,06,3615.434,656.675,25.004,1613.466
100,MAT859854,PL30,H93LZLJ6,"",V940105,2024,04,4456.09,537.504,366.277,1430.924
400,MAT511687,PL29,XSVFUKV0,"",V592057,2026,03,3792.995,888.622,147.827,894.563
300,MAT806171,PL41,CDDR6T7P,E,V584344,2022,01,4513.378,56.789,350.05,341.734
200,MAT818436,PL22,04KKAE8Y,K,V939172,2022,07,2657.04,816.551,427.657,44.841
300,MAT532617,PL10,YZQ1B3VX,K,V932683,2026,03,2569.007,246.101,18.159,315.928
100,MAT318170,PL17,LQY357EV,K,V609043,2024,06,3961.717,186.452,411.719,1214.995
300,MAT555760,PL13,Q5ZKR3O9,"",V717096,2022,04,3365.11,685.205,92.393,179.01
400,MAT638454,PL42,S8LSFREG,"",V248624,2026,06,2517.702,861.837,170.339,1913.715
400,MAT922216,PL21,3Q0WSMSJ,O,V394035,2022,12,2224.585,312.097,209.029,1689.095
100,MAT910681,PL30,R1YOCBYG,Q,V137935,2026,08,3470.886,128.881,310.012,581.07
400,MAT937146,PL17,Z91AS3SG,K,V663033,2024,09,4156.77,336.67,95.877,666.298
200,MAT660942,PL05,NTPP106J,E,V415686,2023,04,1945.811,325.269,404.063,523.28
400,MAT313545,PL40,OT4ND3LA,"",V305441,2025,05,253.999,245.309,112.319,261.985
200,MAT389005,PL21,XEALR4UH,Q,V214294,2026,11,2622.558,619.04,450.593,537.288
300,MAT902138,PL18,VTCHUUQE,O,V925048,2025,03,4562.884,583.944,422.772,1118.917
100,MAT753217,PL09,D9T1JLZK,O,V481002,2025,09,1572.276,32.022,43.304,1424.449
100,MAT362922,PL09,1W3DIDVF,"",V236613,2026,12,567.716,294.906,169.084,1455.376
200,MAT469929,PL04,4BQMKOSJ,Q,V956563,2025,11,4350.298,865.675,267.299,1385.478
100,MAT981123,PL10,70I3HFEA,O,V912689,2024,11,1636.856,0.028,272.652,898.922
300,MAT117716,PL39,PUQY4TSU,Q,V804052,2025,08,105.133,818.406,391.254,1258.37
400,MAT894121,PL12,2GENHGM2,O,V970060,2023,04,4152.413,226.42,197.998,20.723
200,MAT282080,PL43,6RKNEKBY,"",V963273,2026,06,661.269,743.093,314.696,1421.131
400,MAT103571,PL24,BJD8E9V0,"",V407050,2022,09,1342.322,73.852,94.914,1639.172
200,MAT256711,PL21,7A1QRIQZ,K,V700631,2026,11,228.532,771.836,434.309,1697.643
200,MAT432715,PL07,5I8AC7IE,E,V274647,2024,08,3945.984,92.313,268.799,1389.272
400,MAT920063,PL36,3M1IMHST,Q,V628226,2023,09,2502.261,728.4,17.421,727.039
200,MAT527073,PL20,1CONFL6G,O,V998371,2023,06,4824.749,283.942,141.826,741.72
300,MAT167684,PL19,7ZPC88ZR,K,V156254,2024,09,1601.947,434.018,219.392,60.454
200,MAT556610,PL25,GUQJCEQB,Q,V369811,2025,02,711.587,361.307,313.25,1845.698
400,MAT442186,PL48,T97G3JUO,Q,V105957,2022,10,4318.365,362.691,483.521,1589.457
100,MAT909911,PL47,AC5B1ZYZ,E,V539300,2023,08,4839.414,558.576,155.707,1755.205
200,MAT625428,PL16,HXU1NWKI,"",V452018,2025,08,4268.678,571.247,150.897,190.373
100,MAT102887,PL32,IR9B2BKP,O,V760364,2025,03,882.628,455.111,271.832,1445.076
100,MAT670212,PL31,5ZEGTUOO,O,V213693,2025,08,863.083,784.599,136.029,750.952
100,MAT836745,PL47,BNAJVZPZ,K,V851887,2023,09,1565.36,405.083,136.503,1426.606
300,MAT985103,PL33,RGZACAKQ,O,V206332,2024,07,1855.707,539.288,138.54,1984.458
400,MAT270649,PL28,1B2H2UEL,O,V323139,2025,02,4529.642,242.859,398.368,255.408
300,MAT212936,PL07,Y8RYDVOG,K,V344967,2024,01,1136.95,480.308,398.283,1718.818
400,MAT454218,PL09,I21E0MX3,E,V554765,2022,11,1179.216,867.614,33.433,584.099
200,MAT680288,PL05,I2MSSM77,O,V161520,2024,01,201.163,239.496,329.93,1370.382
300,MAT526030,PL21,OMK6VQ8J,E,V649575,2024,01,4674.31,17.027,88.804,1210.252
300,MAT789037,PL11,CQVUUA8U,O,V753128,2026,08,275.104,462.61,287.554,1155.399
400,MAT143414,PL33,9BVJRGQT,E,V526323,2025,08,3239.02,115.707,325.217,1839.513
200,MAT414925,PL18,TW65BWBJ,"",V832368,2023,10,779.815,391.874,291.115,503.312
300,MAT717795,PL04,K4NRFS51,Q,V649527,2022,07,2218.942,700.326,267.74,969.825
200,MAT683029,PL15,HJD2QR6X,E,V625652,2025,05,3515.3,916.378,467.901,799.948
200,MAT386640,PL06,CCSQX0GJ,K,V249458,2025,12,4993.838,735.007,186.971,970.064
400,MAT982170,PL11,C7KO74AA,"",V509591,2023,07,4138.706,656.812,102.057,705.039
400,MAT806349,PL07,CCJBWP9D,O,V809980,2026,11,3745.024,114.29,468.401,1955.701
300,MAT316894,PL13,DY4S5ZVG,O,V984125,2026,01,1752.404,598.453,334.055,361.857
400,MAT844832,PL24,T15ZBZT1,E,V536617,2026,12,3838.914,560.772,392.065,483.181
400,MAT746354,PL27,FE97DRLQ,O,V638156,2022,11,1903.651,267.037,366.915,1231.669
400,MAT675294,PL30,HFI9GVVH,"",V941616,2024,01,2474.305,737.153,166.056,1400.483
400,MAT949329,PL42,4Q5MLB7S,Q,V313800,2026,08,2193.999,203.17,101.52,1225.879
300,MAT777254,PL45,KDH5A3GE,E,V196898,2023,10,3007.318,543.771,315.339,1478.566
100,MAT793226,PL04,I8FF3RJO,O,V675671,2026,03,1237.031,557.563,430.041,1992.85
100,MAT885803,PL37,PXGP8QNU,"",V402387,2026,08,2539.464,110.677,419.209,272.089
400,MAT557213,PL01,PDC3EPUB,Q,V385220,2022,06,2611.784,44.698,255.815,578.895
100,MAT879491,PL27,39OZLCM9,E,V879562,2024,03,187.283,558.284,246.225,1099.315
100,MAT429973,PL49,4M5QVNBC,"",V638943,2026,02,2747.468,891.271,62.087,1403.596
200,MAT751333,PL29,9MHOGI05,E,V149181,2024,10,3111.293,399.605,181.273,729.67
400,MAT578441,PL46,81ZC1PH2,"",V426873,2022,06,2399.434,857.253,194.537,1081.317
400,MAT169682,PL15,YQE3VN5E,E,V859595,2023,07,3056.496,888.401,435.496,1713.53
300,MAT124071,PL16,XOMK79RP,O,V293400,2022,06,4441.581,77.246,197.596,1736.091
400,MAT218473,PL11,IXKN0UML,E,V482910,2023,04,2485.508,681.947,449.892,1477.407
300,MAT537266,PL29,UF229LL5,O,V684985,2025,06,1342.046,992.368,149.474,608.625
100,MAT655193,PL45,TD3UPTC3,E,V196260,2026,01,1094.538,571.168,312.023,213.053
300,MAT511933,PL42,1V9EB8PP,"",V400003,2023,01,2537.822,224.697,60.455,1993.382
100,MAT751909,PL34,V30IZDZF,O,V910730,2024,07,2868.589,545.215,82.27,1021.357
200,MAT387644,PL11,0KV6P1WM,"",V836053,2026,09,1314.613,357.495,451.842,20.049
200,MAT773001,PL04,H6G7OKXL,E,V389315,2026,03,1209.225,525.625,488.061,1645.291
300,MAT596728,PL15,8GX2TUNK,Q,V798032,2022,07,2331.743,980.705,81.103,1160.231
300,MAT687046,PL48,VRLMU93N,O,V642595,2023,12,470.421,906.612,11.257,1412.203
400,MAT748934,PL21,N8SSPYYP,E,V810912,2026,11,2362.773,807.417,19.447,1842.623
