EINME,INSME,LABST,LFGJA,LFMON,LGORT,MANDT,MATNR,RETME,SPEME,UMLME,VKLAB,VKUML,WERKS
853.281,449.23,8317.303,2022,11,S089,100,172171903360917081,102.309,470.885,605.915,240118.66,12262.64,P001
142.54,1829.946,9870.497,2022,09,S036,100,368526932785268363,376.096,255.972,2218.745,231614.89,45039.78,P038
593.899,1185.935,3501.154,2025,02,S019,100,359217434913558293,196.319,167.233,113.821,42023.86,1656.29,P028
87.431,374.455,6709.724,2022,06,S039,100,846379043204199087,100.167,135.281,2164.366,117610.9,60458.36,P018
442.563,130.143,6748.49,2022,10,S011,100,869405509730497539,46.939,782.824,1162.046,171359.87,19007.48,P038
775.793,1963.114,1644.045,2026,07,S001,100,405636443376468077,438.876,877.308,2677.582,35965.75,105790.96,P014
933.593,377.04,1387.979,2026,03,S058,100,804538107690774476,77.858,880.197,622.916,18397.56,8013.67,P018
215.434,256.889,2720.096,2020,11,S074,100,802211362507077346,307.447,515.312,2970.444,43965.32,74818.93,P036
883.187,202.349,6694.49,2021,05,S039,100,365833070249377183,318.062,59.018,2391.956,93960.78,44247.64,P046
1235.317,909.548,3781.387,2021,08,S058,100,595155239574633716,222.677,446.243,694.277,97363.5,25907.11,P016
1064.149,1411.856,350.357,2025,03,S043,100,136962555905318422,298.019,935.682,1423.173,7578.09,48894.21,P039
1354.004,1135.727,1962.018,2020,03,S057,100,471714105495303078,4.617,159.389,1072.971,53234.13,22278.64,P044
848.078,1589.004,7795.029,2024,07,S076,100,862093321688317519,11.054,127.204,1853.076,115930.93,34117.91,P009
583.164,1163.52,9540.583,2024,02,S071,100,618148907027087357,459.924,169.333,2258.321,176712.44,33466.0,P017
848.831,1753.145,511.594,2020,12,S018,100,630910676115013672,66.09,953.704,536.359,8094.37,7654.87,P006
1468.658,205.116,2918.393,2022,11,S029,100,988938182611382023,69.184,920.375,2050.575,48101.73,53434.03,P024
912.032,1684.209,5510.298,2021,10,S052,100,268389742255516579,310.335,176.418,2966.641,119723.95,49559.68,P026
149.424,1419.514,1169.321,2025,02,S076,100,262204067490518214,269.443,777.398,414.583,16716.9,10766.94,P009
1151.172,1653.663,5368.056,2025,09,S024,100,574569677371815572,491.158,523.486,658.033,93134.29,19807.16,P047
48.173,1890.213,3075.797,2025,02,S095,100,304123002659007262,151.205,898.032,245.053,84792.46,7255.14,P019
35.105,667.253,2630.493,2025,09,S073,100,142464697749428518,142.526,244.601,2668.206,38788.87,98861.5,P045
1364.84,523.171,3408.324,2024,03,S050,100,344800239611716708,81.044,34.088,2182.201,92897.4,69322.04,P008
398.618,1609.132,8184.74,2024,11,S005,100,980432017242143685,313.644,569.354,555.604,243183.69,18456.36,P024
124.193,1909.475,6206.246,2023,02,S050,100,689915951010148855,263.789,567.045,438.221,231583.83,11164.16,P004
713.957,540.051,6875.493,2026,04,S082,100,749435692174244107,96.127,411.197,1177.649,219833.81,31966.07,P050
1161.737,1497.981,2902.462,2020,12,S098,100,496560395233686196,41.255,892.36,650.012,84596.1,8457.3,P046
1487.858,1071.294,9939.281,2024,11,S087,100,157479511867700117,319.923,669.577,796.724,350801.78,25135.07,P001
363.457,935.869,2679.317,2022,02,S053,100,322163423540883386,55.121,15.152,2932.362,85721.98,32278.81,P016
1294.07,633.646,3561.752,2020,11,S088,100,548068667154129414,6.975,738.776,677.821,101708.54,10533.52,P020
230.079,347.493,931.885,2026,02,S040,100,795827819788706035,426.208,818.443,2176.865,19286.8,60868.02,P036
1407.515,1101.803,3133.15,2024,06,S027,100,664408623772605041,352.26,599.123,735.692,67688.35,11083.44,P019
273.502,231.721,9111.313,2023,05,S039,100,673540108686415478,52.25,28.678,2451.611,199099.19,68849.62,P013
609.923,1512.652,124.726,2022,09,S074,100,299921904612438016,255.32,388.298,2941.69,3079.88,58042.88,P026
1210.068,1878.299,3071.332,2025,01,S094,100,118316240315776274,44.178,700.935,260.782,77398.93,2718.33,P030
831.985,1395.892,6446.081,2021,06,S021,100,642019878678762763,270.132,863.241,1769.753,97779.84,48553.01,P018
466.354,783.258,7343.814,2021,08,S039,100,407662686569393896,21.315,646.434,2378.132,125566.8,46709.34,P035
598.721,366.22,3400.842,2023,12,S065,100,933058226411513482,397.884,792.308,1502.495,47272.75,46468.32,P029
1013.71,1516.58,6314.867,2020,03,S052,100,184769084118351502,330.291,828.443,8.921,252562.48,294.61,P038
1380.571,973.433,1383.006,2026,04,S082,100,511472499628556308,384.127,72.526,2290.164,31638.51,86852.19,P049
218.78,337.229,5538.897,2024,06,S019,100,534993296590320715,286.5,379.729,520.2,127739.36,18278.09,P021
626.997,88.1,9421.344,2026,12,S038,100,436129299713217862,33.447,181.865,1283.727,218004.93,33727.95,P029
1017.371,1459.046,2777.544,2023,05,S093,100,976447422442445410,282.981,919.858,808.414,109505.28,30840.4,P048
1229.755,695.535,2041.629,2020,01,S042,100,817637971179666466,351.418,121.781,2674.506,77516.16,86178.18,P038
1423.286,232.04,6827.526,2020,02,S053,100,795978171213367162,454.012,175.464,648.585,210104.56,7231.0,P048
1420.107,124.554,7509.549,2023,02,S088,100,798988254454965255,249.75,660.567,1540.151,229895.94,38324.32,P050
626.648,423.364,9075.654,2026,05,S040,100,161823245581411630,350.247,202.388,208.455,310503.12,4368.24,P008
267.808,2.317,5423.714,2026,04,S012,100,849132273386277053,50.586,848.194,2050.213,155952.57,21880.59,P047
268.495,1753.621,7759.208,2021,05,S047,100,993364500129366488,396.518,373.544,1867.974,79132.01,27370.8,P048
468.606,22.207,3983.541,2024,08,S084,100,494402070759058077,343.865,574.48,2209.59,79510.9,87547.27,P009
848.341,80.311,1177.227,2024,06,S014,100,477812651931865204,58.19,574.902,2761.383,36233.92,53298.71,P025
1470.873,1991.263,925.586,2024,07,S099,100,724976324553018860,153.402,853.092,2817.623,35671.23,107325.06,P045
1401.288,130.863,7301.009,2024,07,S045,100,863889858375971518,248.851,136.596,2085.911,116076.3,37385.92,P008
1234.557,958.127,5224.58,2024,09,S055,100,411461342461894472,313.981,366.643,2140.728,141337.97,45502.49,P028
1222.279,1960.643,9874.346,2022,10,S018,100,736356930619797994,40.554,704.587,131.299,389214.9,4101.39,P017
12.202,1555.298,5902.643,2021,01,S055,100,605086807856900465,188.749,563.956,964.939,98494.18,21726.49,P011
1168.108,1880.939,5881.23,2025,12,S040,100,527401708600011873,466.311,213.959,2661.525,193560.83,44488.76,P023
1062.94,1096.689,9896.793,2024,05,S062,100,708326895652262454,176.223,650.723,1690.665,357741.83,64392.31,P049
784.578,1567.388,1700.605,2026,01,S043,100,471649964727992828,178.672,688.153,2135.656,58295.01,45723.97,P026
838.879,222.75,269.782,2022,06,S061,100,144704779865986441,181.472,720.753,1146.107,6283.59,23139.83,P002
1484.557,238.465,8594.446,2020,04,S017,100,736009499301652251,487.388,816.829,1213.266,336848.65,31764.95,P042
1369.264,407.685,263.103,2020,02,S013,100,250565798612043193,222.416,180.925,2562.699,5524.63,37910.29,P009
272.063,685.052,8982.341,2025,07,S082,100,258835160304946240,173.023,281.252,3.672,125214.88,59.79,P017
980.911,76.009,514.926,2024,04,S095,100,923499022877628842,353.429,385.592,1736.226,6112.04,48861.23,P015
1498.803,289.383,9077.065,2021,08,S059,100,351120539837642368,104.01,374.673,1038.031,111838.81,19705.05,P050
266.332,1887.277,7898.007,2021,11,S063,100,101534758956162324,446.523,825.98,420.751,99234.82,5261.65,P049
198.165,506.127,8975.157,2021,01,S099,100,545122991054740901,484.498,700.999,1868.48,163507.9,25786.69,P030
1411.553,1697.12,2875.992,2023,05,S042,100,848636167550851114,248.263,386.257,1726.753,51155.78,35571.44,P023
19.313,176.852,7643.392,2022,12,S079,100,617159439152998126,407.619,85.563,279.346,247156.0,5746.64,P022
647.26,1760.226,4207.995,2021,09,S038,100,423840568136304577,456.855,419.346,530.76,44786.26,15418.94,P015
679.414,1262.649,6299.646,2022,02,S095,100,914087339214201009,237.95,155.163,1737.628,215157.65,57970.68,P041
1074.038,1144.825,4316.437,2020,10,S005,100,968450142046239432,143.481,311.177,2917.679,67378.48,104801.58,P045
755.807,180.317,5639.098,2021,11,S053,100,396076852234795072,450.671,13.324,2903.103,162904.33,71265.25,P036
487.574,1581.661,3587.447,2022,07,S078,100,502714274218921237,203.101,860.186,696.52,77598.35,12505.06,P037
1017.158,928.164,8556.746,2026,04,S088,100,960673035718465554,225.107,232.298,1850.133,128340.24,58187.17,P029
1080.385,1018.348,8257.326,2021,03,S089,100,191486556825318344,158.137,42.089,485.964,84809.22,13918.86,P020
1068.004,614.723,8650.559,2023,09,S023,100,140522476768779730,495.349,63.266,2166.382,137260.05,84408.97,P005
316.613,1484.441,6967.472,2026,09,S020,100,963402748668417225,340.573,579.63,2969.396,246330.4,117569.35,P040
754.69,1020.344,2295.496,2021,01,S052,100,169181769491289115,90.432,412.441,255.53,79773.91,7100.95,P044
232.721,497.468,5796.631,2024,10,S010,100,510063267761277442,245.32,12.034,2365.552,210760.79,48099.49,P026
935.103,447.371,4618.54,2024,07,S052,100,523251275085637222,225.558,523.949,468.632,111155.47,9986.71,P010
828.577,1446.176,2911.022,2025,05,S014,100,472021165048736794,309.879,652.603,1151.148,43148.33,40362.65,P044
463.723,1795.967,1834.817,2021,06,S048,100,304046953524884627,53.572,130.729,2575.759,45192.64,29125.29,P038
971.342,501.452,900.771,2026,01,S075,100,397263453908292594,427.545,861.051,2808.039,13314.13,30503.28,P028
98.025,131.022,4638.361,2020,11,S038,100,876070956093423322,79.033,151.33,2645.262,148701.57,67418.0,P017
434.288,816.7,7672.75,2021,09,S060,100,777541211770211399,68.38,389.04,1928.693,136050.26,59357.4,P031
571.258,1549.045,3745.895,2023,11,S069,100,540253638309129804,186.789,347.754,1723.248,117949.5,24923.29,P039
701.607,323.976,5278.341,2021,11,S003,100,794953007513775621,386.372,688.126,2299.678,141351.75,58358.42,P033
949.316,218.431,1694.48,2025,03,S083,100,388460288749108064,289.815,247.921,2301.619,55713.07,37763.47,P025
1334.028,1928.998,1313.718,2026,05,S088,100,307542437309690171,165.074,728.628,2996.951,18625.75,39117.97,P034
26.4,359.639,6501.275,2025,08,S098,100,622383204606288791,130.149,787.379,2540.818,147476.4,43279.13,P009
1194.706,1271.562,5698.243,2026,03,S034,100,604919087088943910,211.687,251.567,2793.864,183487.26,72935.12,P019
1459.903,218.349,4942.002,2020,12,S022,100,905609425883863844,277.756,14.012,2476.676,100736.71,45980.7,P008
348.073,231.563,1016.222,2024,06,S038,100,648862511775710219,116.984,316.92,1043.193,13450.94,35287.15,P038
840.999,630.868,9722.324,2024,08,S018,100,273761918138237783,379.931,452.097,393.242,386954.47,4783.6,P045
645.82,1976.936,9296.495,2024,10,S001,100,226159975329781088,27.945,898.919,1784.753,97563.25,70770.23,P038
383.256,1689.662,7459.745,2026,02,S046,100,156040093835738100,439.5,597.168,2894.718,253921.09,112678.68,P035
1460.166,1032.73,6047.118,2026,09,S055,100,615200778391225517,318.142,848.583,185.594,199914.7,6228.82,P043
23.943,1104.574,8781.65,2021,08,S073,100,721055532992586131,308.548,625.456,2159.563,222880.61,83544.36,P041
1070.915,1632.08,8485.071,2024,02,S099,100,100635791645594044,263.198,232.128,1203.732,189170.32,44484.51,P046
539.465,226.872,1158.913,2024,08,S100,100,495526349460999762,295.098,151.072,2640.768,44438.04,88744.87,P010
806.782,1449.498,9635.398,2021,05,S096,100,155021823837112913,149.356,641.145,2059.56,104576.69,21728.85,P018
645.873,1264.547,5984.664,2024,11,S052,100,866904525497810289,253.918,841.448,1686.368,139321.89,21428.0,P005
1044.893,1318.224,884.675,2021,01,S094,100,436026245892839047,197.9,176.87,731.466,20905.48,28297.48,P031
1255.455,1188.092,9331.427,2026,11,S019,100,791110090189419846,467.096,634.844,1001.343,156157.27,25661.6,P002
112.763,1716.872,459.264,2025,01,S057,100,173628589486262825,358.623,324.866,2003.074,13920.93,47728.92,P028
8.552,734.067,7713.618,2026,03,S022,100,680809426233831107,325.303,908.681,2823.841,215642.94,103029.68,P035
289.076,1787.907,9648.853,2024,10,S064,100,335871330125440732,90.491,652.764,484.778,283348.61,5440.75,P011
1382.578,1350.719,7114.231,2026,10,S082,100,696444132606557510,99.369,361.053,1669.347,158150.02,51662.1,P020
90.071,909.452,6570.617,2024,07,S062,100,398081730747015421,271.507,21.164,2054.861,118006.34,33551.42,P004
544.704,337.936,9129.588,2026,05,S085,100,462005725133463177,88.6,479.911,377.413,355606.61,9917.5,P015
511.305,1650.254,2072.536,2022,01,S046,100,668887735495253139,272.312,97.296,1420.937,76129.91,49899.07,P048
528.356,329.519,2888.748,2022,03,S093,100,648559986997023652,21.543,603.238,1787.584,42940.42,23413.04,P013
1303.896,1543.447,6850.65,2024,09,S042,100,916485050644900424,298.963,960.795,653.481,245614.15,14115.12,P002
124.31,240.623,5997.312,2020,01,S072,100,474277898131978279,76.732,756.707,573.903,83754.61,22505.99,P025
961.862,563.31,6622.736,2020,09,S068,100,386187667633632297,116.494,846.117,2524.192,164966.02,26409.9,P026
811.791,1664.891,405.66,2025,08,S053,100,826595177872274931,222.81,933.354,1766.436,11028.16,64226.92,P040
484.761,1879.658,3729.997,2025,05,S043,100,131746216501675104,235.758,24.684,77.065,38577.66,1114.27,P024
790.951,504.195,6636.936,2023,01,S066,100,828173094264971869,229.454,387.496,731.479,254149.69,18007.67,P021
809.558,640.974,5233.118,2022,03,S047,100,369497715153848730,391.702,793.148,453.944,185381.36,18072.5,P003
135.235,1714.626,7492.863,2025,03,S073,100,886607704681074572,177.872,738.476,1470.014,88675.84,22001.25,P004
1039.756,238.44,6989.997,2020,09,S047,100,473559182381042349,411.067,623.205,2059.804,168488.31,39680.2,P021
257.294,160.158,4334.848,2021,10,S029,100,348491153994735176,153.017,195.771,1829.451,68268.03,60691.74,P041
825.2,1612.67,1805.608,2025,04,S064,100,122753035817445874,38.0,316.784,590.788,36830.95,7483.67,P048
238.297,1547.276,5551.185,2024,09,S036,100,361000265889274069,146.517,546.774,296.627,203613.03,6639.88,P046
668.844,280.775,8761.811,2024,01,S060,100,508159059470356635,197.63,166.678,1769.815,136424.2,24039.45,P027
842.981,1654.352,8549.224,2021,10,S019,100,431503499125714843,86.363,216.096,2108.15,100770.87,28032.57,P023
1016.857,1093.82,3542.295,2024,03,S015,100,763624749013045859,335.965,61.289,920.248,115002.11,26830.02,P046
706.599,10.043,7033.736,2026,05,S047,100,302072577978279915,162.797,970.506,469.272,170634.48,17820.24,P004
521.983,1604.437,4511.339,2022,05,S026,100,193311288510051593,113.148,367.065,1322.192,158793.96,49873.25,P008
592.705,1651.117,4784.48,2023,12,S061,100,195285159971626412,217.828,274.041,2446.723,64314.73,93417.49,P001
867.637,743.786,7462.554,2023,09,S062,100,427413049671114307,153.147,520.563,698.393,268088.56,26752.13,P048
370.62,138.826,9090.6,2021,05,S096,100,245092628958774453,292.939,291.839,2513.402,93979.23,85378.29,P030
572.135,1955.473,6664.401,2022,06,S037,100,412739605154689127,22.78,71.896,28.817,130236.2,473.48,P023
1166.01,1022.339,740.786,2026,08,S064,100,144207003444621621,113.552,49.33,224.081,13611.84,6041.33,P028
577.846,1154.986,4185.534,2025,05,S011,100,393574769146065465,499.907,574.615,1075.407,66454.48,22143.67,P012
604.171,348.552,8643.144,2023,08,S057,100,433329856363885354,216.759,376.948,811.608,243598.82,15708.05,P034
93.218,1234.362,8219.962,2023,10,S004,100,806207217979222970,27.075,149.523,2172.691,286878.24,54224.88,P050
299.113,969.897,5530.541,2021,09,S065,100,599091708134911709,260.881,743.904,1488.03,88928.51,23246.4,P044
205.951,1547.287,8964.48,2025,06,S057,100,727977695626706996,435.158,574.662,768.417,349671.9,27881.21,P043
317.537,835.828,6431.613,2020,12,S085,100,753289113285006821,327.598,234.592,1430.86,249874.28,16346.44,P032
1466.57,790.902,2479.473,2026,12,S013,100,529529876111419189,435.77,78.331,2619.551,65342.89,73956.39,P038
790.864,1860.978,4362.894,2022,05,S032,100,722000130438160547,458.355,463.261,2540.045,144142.3,74560.53,P043
565.142,17.979,7562.464,2020,09,S046,100,572325338023209342,372.904,747.132,2966.157,159976.07,39086.64,P020
549.179,1784.896,6514.836,2020,04,S031,100,846210826731292573,165.862,708.966,35.219,194635.66,589.54,P050
1132.806,473.505,5478.437,2020,05,S016,100,636983410472244690,224.428,646.559,457.618,93715.38,7734.07,P044
1353.914,1189.861,7270.594,2024,08,S086,100,455035998815989929,252.994,564.37,969.942,270470.82,31401.86,P007
1217.868,1728.414,1994.127,2022,04,S066,100,292538753153900260,58.945,724.58,1804.284,49937.52,64080.81,P024
126.768,604.416,208.499,2026,03,S011,100,938740553568518701,421.288,674.946,1643.634,4480.91,26614.03,P031
1204.044,1114.555,3539.736,2023,04,S049,100,841717363227675295,463.248,376.253,2973.974,63879.44,59341.85,P046
875.913,815.727,63.718,2023,11,S059,100,866430278187561643,455.271,721.512,1836.997,1411.62,33674.78,P004
1200.028,205.492,4258.832,2023,06,S061,100,326097846628421293,487.34,838.854,2579.752,166284.05,64523.12,P022
122.403,1820.148,8236.647,2021,07,S088,100,532323048780484610,253.37,346.161,1197.487,198688.18,39386.9,P050
456.47,846.218,4965.468,2025,01,S058,100,480897199465361227,210.054,951.058,1269.922,71091.87,20578.99,P043
469.401,1678.238,7275.77,2021,08,S092,100,414495894607158382,96.843,183.261,2215.268,226670.85,69319.41,P024
110.353,324.807,3326.383,2024,07,S092,100,672379614384755914,431.427,724.534,387.169,120051.59,6290.45,P025
568.471,267.783,7983.702,2023,10,S056,100,725912478871877412,111.032,105.708,1853.324,254222.95,26923.91,P006
687.88,892.708,1913.65,2023,05,S009,100,575869624148900484,25.662,731.728,2997.849,54126.97,81640.69,P021
597.147,1700.393,4680.371,2024,09,S053,100,187897881289202032,175.515,677.894,2038.068,64167.96,65268.34,P001
118.375,968.339,3765.174,2025,03,S041,100,506549079080427256,217.926,63.712,991.182,49388.22,24213.79,P041
450.089,1795.15,5029.84,2021,01,S078,100,512511065504448866,385.301,954.167,194.832,159167.07,6284.87,P008
1332.584,1503.383,6432.546,2025,06,S001,100,958222026858430950,35.653,170.355,470.163,134823.21,14361.62,P002
214.322,1609.896,5902.951,2026,11,S050,100,220673244320659560,433.096,449.346,814.557,152229.69,30488.85,P047
862.338,1570.782,7145.852,2020,11,S001,100,186931801763529903,354.757,420.383,2384.965,246656.32,43804.38,P012
978.696,1415.064,113.664,2023,03,S050,100,664950445725342251,329.072,916.87,277.851,3080.27,6539.74,P039
1480.608,584.336,628.982,2025,08,S076,100,170881728364359313,182.92,629.59,1820.158,6684.33,32917.68,P044
391.097,1532.716,9709.691,2024,03,S092,100,276129615018697515,67.35,733.833,353.518,280293.97,13008.21,P047
482.066,282.066,7722.268,2024,07,S014,100,636905213840006419,458.566,114.678,2527.257,216811.9,65653.35,P029
539.615,1468.906,4716.994,2023,05,S031,100,920323307140877230,424.003,72.352,2872.023,104386.02,57559.39,P010
273.664,883.381,7568.389,2020,02,S037,100,304534910905949747,141.913,542.265,1907.121,215954.94,54736.26,P015
408.023,1157.52,5461.572,2021,10,S007,100,504406944350469301,80.619,316.611,540.575,57292.33,7032.91,P009
1463.108,1334.026,6651.473,2020,11,S061,100,357089469008382941,76.89,752.125,474.703,170722.92,18625.01,P005
902.857,1177.406,4404.427,2020,12,S032,100,983071798894785598,77.672,265.475,1776.992,167432.53,67253.09,P020
242.834,1848.118,569.066,2022,05,S007,100,192353432039592071,415.296,220.685,1664.145,7641.98,24692.84,P002
283.603,1657.266,4794.376,2021,01,S097,100,982338312704141920,55.955,967.728,2774.478,115744.61,40628.12,P016
894.765,1629.72,6665.929,2025,01,S061,100,156485989473101133,274.231,954.802,2234.924,198704.68,36360.84,P035
1159.826,608.465,3049.114,2022,12,S055,100,505722063793187866,75.288,193.337,439.968,50808.76,16493.63,P008
739.178,939.69,5287.681,2024,08,S063,100,311148176501278900,83.195,496.179,1174.337,181580.35,39539.54,P042
1227.883,431.624,6668.608,2020,05,S025,100,594801601745419833,95.66,357.205,653.634,193159.83,13182.87,P010
1462.447,38.725,7368.026,2023,09,S028,100,340036191752714252,232.614,281.844,2781.336,204290.08,104687.04,P034
884.843,1192.454,3492.465,2020,09,S043,100,945004274393576806,63.803,900.546,2477.937,60681.0,91779.99,P016
1427.076,1866.575,2788.871,2022,05,S040,100,850344282489858986,391.789,3.004,40.111,111073.53,1426.25,P048
862.356,1032.635,6239.652,2022,07,S096,100,660312056767016165,398.187,927.16,1144.104,105519.61,26720.63,P025
631.323,1613.284,6107.081,2020,06,S004,100,365833070249377183,372.45,340.158,325.537,197897.61,4820.08,P009
75.787,1087.626,4081.296,2022,10,S085,100,705015659960618172,278.687,702.619,994.4,145500.24,30754.63,P042
1462.029,275.333,8726.849,2025,01,S055,100,184299517296960191,13.882,330.34,1034.769,158635.55,22873.9,P047
259.052,243.819,9808.52,2024,01,S092,100,184099597168654182,275.902,442.678,273.42,129201.54,4728.72,P020
31.417,1429.225,1883.164,2022,12,S074,100,530413116360737113,96.748,121.986,2113.162,50709.59,35124.22,P037
1061.17,480.537,1584.742,2023,08,S075,100,207832222300271463,329.214,812.318,324.563,58891.12,5226.98,P001
496.277,540.721,7463.918,2023,04,S075,100,142483012479120332,492.121,410.466,1755.025,148307.43,51076.84,P005
720.376,1075.694,4109.977,2022,02,S014,100,684862746874364790,202.867,837.716,1710.603,47408.17,62610.3,P035
980.16,1554.106,1930.898,2021,10,S006,100,568666324151007797,311.302,438.927,2280.206,22504.89,28484.09,P033
51.081,1668.262,3715.923,2024,12,S100,100,337825484701460332,101.823,355.508,187.648,92119.59,4355.74,P001
1316.603,504.454,5445.766,2024,03,S037,100,406863019104639976,274.388,688.186,1491.98,85878.35,46285.48,P034
1334.123,809.459,2725.549,2022,06,S016,100,591467461788048350,498.07,339.426,479.502,61388.4,5292.86,P031
392.371,784.602,740.876,2023,09,S095,100,989812700312935719,100.914,620.691,2157.279,18439.0,21826.84,P032
250.21,1472.605,8867.205,2022,06,S032,100,982436631207620214,0.254,80.219,788.931,337972.68,29589.47,P018
34.133,1948.681,1211.653,2026,12,S041,100,596715712345880915,99.046,157.732,2645.166,13959.78,82837.69,P042
1280.311,709.32,320.092,2023,07,S056,100,318686589381179044,133.031,978.039,1554.508,9666.65,47708.44,P022
862.359,441.757,2223.035,2024,07,S016,100,815819384264612971,49.641,693.626,2641.473,52409.26,49731.16,P015
121.899,945.831,3389.692,2020,07,S094,100,771794922641210529,9.175,446.819,106.181,64108.72,2366.86,P016
1274.739,846.979,4991.133,2025,05,S052,100,612246626750016074,96.635,369.868,1728.009,116410.77,65884.42,P029
1049.406,61.682,4329.603,2026,12,S049,100,563971140504666827,438.483,227.397,2380.718,66218.38,41983.45,P001
1116.792,843.326,6179.947,2020,02,S079,100,142930760814004381,361.64,789.795,1030.22,131284.78,26400.2,P035
175.498,1572.776,5954.239,2020,02,S005,100,304123002659007262,5.793,775.858,549.427,101347.58,11368.41,P045
67.696,1600.851,953.792,2023,07,S075,100,283527401076005279,26.942,701.989,929.703,28374.45,30131.46,P007
766.428,1197.748,2264.598,2025,10,S075,100,981668320875043340,443.602,658.225,408.581,29761.05,11756.38,P016
670.497,56.908,1975.743,2025,08,S067,100,151791199330174876,456.395,913.815,1329.959,53275.68,36632.76,P014
1309.524,1352.264,9701.003,2023,01,S029,100,162611805468076077,70.687,106.869,918.274,324348.63,36354.72,P010
319.526,305.942,3034.52,2025,08,S064,100,655015975730563861,55.169,471.176,60.522,82040.55,2046.48,P040
645.929,322.035,8560.721,2021,12,S013,100,324586363782453209,360.585,338.13,2477.057,111316.58,58030.2,P043
538.417,99.783,2102.267,2024,04,S030,100,254809907431537842,22.229,748.105,584.448,70093.4,16298.28,P039
481.815,1495.809,2774.595,2020,08,S041,100,704337185079032823,161.898,422.609,2906.949,93015.7,83661.55,P019
1186.855,1438.934,3658.728,2024,10,S093,100,654145106376435393,245.442,41.664,416.227,52706.15,12049.61,P028
1037.958,610.877,3475.462,2024,11,S045,100,343476434866360817,368.162,689.937,95.35,95402.95,3643.83,P048
1200.664,448.639,4392.921,2020,03,S005,100,508687988170299556,291.504,604.68,1744.306,64153.45,20683.8,P045
982.011,1546.455,1544.142,2026,09,S044,100,549950035366469662,352.025,744.834,1005.31,28707.1,37395.05,P014
1011.018,394.405,4735.112,2025,05,S071,100,988674523332955826,109.131,949.998,2574.844,148932.45,32878.65,P022
1351.365,1215.851,9014.377,2025,02,S063,100,674189917470253654,434.874,936.129,971.015,261099.36,17221.74,P036
640.543,1594.765,385.978,2022,11,S029,100,926255812273737694,13.342,639.424,1372.286,10061.65,29721.84,P049
1421.367,86.674,6737.992,2024,12,S088,100,615379022188928315,482.175,502.665,1329.395,193395.01,18296.62,P046
981.35,780.084,5564.407,2020,09,S074,100,843494626836561025,106.286,40.94,415.691,104968.93,7499.77,P048
1198.766,836.816,9121.666,2023,04,S096,100,544847093232476073,155.384,304.231,1859.778,302761.64,36263.89,P045
