CEINM,CHARG,CINSM,CLABS,CRETM,CSPEM,CUMLM,LFGJA,LFMON,LGORT,MANDT,MATNR,WERKS
1148.281,BATCH9136,562.196,8559.239,56.091,224.909,2780.83,2025,09,S060,100,731236526888775740,P006
86.493,BATCH1983,1707.748,2505.771,168.5,837.7,640.437,2022,10,S044,100,916472376237319390,P013
162.133,BATCH3756,741.694,5858.773,329.338,937.936,725.219,2020,08,S049,100,483580307944872631,P021
1357.327,BATCH9376,1743.143,5304.781,427.774,377.415,717.824,2021,09,S078,100,239389889453119916,P003
652.734,BATCH0655,1683.543,24.243,360.158,764.535,2851.783,2021,02,S045,100,544394464428802944,P028
453.2,BATCH5118,1702.742,9164.511,305.726,707.473,1337.949,2025,06,S039,100,369879961733613732,P027
837.755,BATCH8104,952.848,3153.57,253.706,361.232,851.648,2021,10,S007,100,684886793455936816,P003
311.401,BATCH2721,226.384,1301.872,130.322,849.103,1257.745,2026,11,S090,100,399531017782329176,P046
1270.177,BATCH5724,552.015,3168.096,305.948,479.335,1894.291,2022,06,S034,100,670750330651192436,P029
510.334,BATCH6104,1205.21,7170.482,295.587,792.09,1233.858,2026,03,S099,100,304738995440400026,P042
1454.088,BATCH9113,211.291,9955.138,55.94,151.752,1372.544,2025,11,S072,100,232875496113691766,P026
739.872,BATCH5617,735.257,5895.083,473.129,807.645,1014.183,2021,10,S080,100,339340664925525347,P031
14.306,BATCH0801,420.771,932.915,471.96,861.323,2086.07,2025,09,S079,100,352539234035646465,P008
883.929,BATCH9776,1197.518,5811.039,402.699,201.747,1529.685,2024,01,S092,100,238152724616159153,P015
1218.401,BATCH1714,546.986,6042.029,348.898,804.304,2120.765,2021,12,S096,100,634560895176665096,P011
1298.142,BATCH0720,254.489,7352.72,277.333,723.102,399.441,2021,07,S025,100,949972477668099100,P024
193.132,BATCH1827,1211.455,5580.557,463.01,315.449,33.782,2020,11,S044,100,471820295365517133,P019
754.672,BATCH4920,1030.688,5617.482,473.779,411.664,1596.023,2026,07,S061,100,219028706156039163,P002
1381.683,BATCH1821,1480.129,6667.526,438.288,722.87,376.102,2026,07,S006,100,152160678563384557,P046
1446.633,BATCH7289,1176.544,3386.533,476.57,611.28,1956.691,2024,07,S020,100,473187340692177340,P038
1062.456,BATCH6694,1886.211,6577.359,430.008,662.974,2988.018,2021,01,S092,100,362603378722601513,P045
1363.156,BATCH8926,1876.108,9735.117,116.105,355.831,903.256,2024,09,S062,100,465495531515539353,P016
431.468,BATCH9987,1827.794,6457.108,468.994,346.068,2409.312,2020,02,S017,100,150941925359521150,P050
66.513,BATCH6427,1108.614,5408.297,143.044,142.382,2564.031,2025,03,S035,100,732704419083086882,P041
235.959,BATCH6428,970.448,4012.999,442.498,349.656,1322.016,2022,11,S014,100,855229502530778675,P006
630.944,BATCH2623,232.277,4238.423,110.943,308.622,203.33,2024,09,S063,100,729810529983161404,P041
511.751,BATCH4109,1997.245,7485.62,211.438,820.321,1999.372,2021,12,S055,100,119030220838072758,P025
716.431,BATCH7469,1199.793,3190.001,365.109,228.023,2175.738,2023,11,S047,100,364064823101894741,P023
1494.476,BATCH2657,407.736,390.911,241.109,254.206,1859.95,2026,06,S021,100,196545020192046870,P028
1153.791,BATCH5347,1806.022,5220.292,155.705,414.199,1917.042,2022,08,S021,100,151880523421007286,P001
1021.15,BATCH0507,1733.222,4591.869,48.466,673.47,883.331,2021,01,S071,100,844511149531338735,P006
1435.57,BATCH6344,376.523,5520.252,412.898,486.611,43.366,2024,05,S080,100,489384386244005550,P022
1305.679,BATCH2289,948.916,9890.88,50.533,465.947,1258.082,2026,08,S066,100,350468826806813758,P019
1103.348,BATCH8952,393.964,9489.96,172.985,997.916,609.152,2026,08,S061,100,297146289509534248,P001
1057.898,BATCH7674,1153.313,3001.479,159.913,336.627,500.425,2020,05,S007,100,734138778981954790,P001
62.627,BATCH5316,760.449,5308.095,143.866,132.777,1723.482,2025,11,S085,100,176576396388998861,P038
1038.413,BATCH9190,588.708,2526.018,111.818,62.453,1708.965,2026,04,S097,100,415029298524750185,P018
723.91,BATCH6358,1099.586,1910.713,191.05,506.334,362.426,2020,03,S055,100,760849685285742191,P023
1137.103,BATCH2638,115.006,5823.798,140.405,816.837,2001.106,2026,03,S077,100,444934390438608229,P003
754.009,BATCH9408,1716.059,4841.721,442.835,727.66,703.517,2020,01,S068,100,716238302042564212,P037
9.918,BATCH1120,308.841,8666.757,68.106,420.587,1718.674,2026,12,S004,100,718983312492671531,P041
1069.27,BATCH0127,1826.339,8700.574,255.512,945.52,1484.239,2021,01,S079,100,922864349145827175,P037
504.812,BATCH2210,383.979,6980.901,275.031,194.844,1035.877,2022,12,S089,100,779031014724585734,P039
56.208,BATCH6928,1565.311,2847.595,416.942,145.978,199.927,2024,01,S078,100,547970812012889423,P048
112.999,BATCH9345,303.907,63.164,28.387,884.043,1368.825,2021,05,S073,100,167029732634011280,P009
666.072,BATCH7683,717.867,5105.986,394.679,480.044,1127.537,2021,11,S054,100,931948551041290579,P050
1017.682,BATCH0856,1467.694,3654.547,46.645,741.619,456.738,2022,12,S088,100,288818980872552508,P009
1124.715,BATCH4244,953.798,7117.498,268.684,656.864,2090.166,2022,05,S054,100,125285093953700969,P009
495.854,BATCH6836,681.962,4268.838,380.366,234.694,1589.085,2020,01,S038,100,679338867006071892,P035
559.272,BATCH8151,889.291,4537.563,305.694,89.738,1328.728,2021,05,S091,100,253621639372544184,P045
1222.707,BATCH3721,1625.885,4771.835,275.263,915.128,1550.499,2025,07,S083,100,415029298524750185,P042
1413.185,BATCH5228,950.952,4336.537,226.02,966.015,2771.985,2023,03,S047,100,485648356648789156,P018
852.096,BATCH9054,786.676,3946.228,319.989,46.651,183.97,2023,08,S073,100,734719713011892923,P009
892.041,BATCH2236,759.251,680.089,298.773,640.119,1675.254,2021,04,S017,100,332639345052039405,P040
64.689,BATCH2087,1126.567,9626.73,289.488,501.062,1111.355,2020,12,S042,100,959888771656822347,P021
20.854,BATCH9596,1758.484,8291.325,226.798,812.884,978.865,2021,08,S022,100,506219686350866629,P027
595.052,BATCH6047,1035.035,5778.064,104.463,15.087,833.811,2020,05,S028,100,846122144876035452,P044
394.355,BATCH0408,1277.209,8800.516,183.17,224.923,893.999,2020,07,S088,100,385070477741430882,P010
424.229,BATCH7071,1405.711,7094.167,25.692,509.339,1866.79,2025,12,S019,100,712894841114015140,P013
1167.162,BATCH4389,1767.27,9380.356,165.022,190.496,2385.946,2025,12,S085,100,771106983090075400,P004
753.665,BATCH2990,1436.694,435.092,121.79,752.572,2924.399,2025,09,S042,100,511537204971395930,P033
428.036,BATCH9601,593.566,4132.037,432.817,640.979,374.509,2025,03,S055,100,888687370848340576,P044
1464.66,BATCH7424,779.9,7067.383,116.441,986.933,337.79,2020,12,S091,100,189415514187140886,P021
634.54,BATCH1924,1527.852,4742.327,107.799,757.964,2159.916,2026,06,S042,100,544460313277147761,P027
1141.586,BATCH9822,1030.799,1351.731,484.914,895.044,748.468,2026,05,S054,100,150941925359521150,P049
196.685,BATCH1182,1367.108,9631.118,153.45,569.404,1111.074,2021,04,S003,100,600596302283736168,P036
939.024,BATCH8447,1910.797,9422.908,480.405,227.566,1669.298,2024,08,S089,100,141433584199271519,P042
1469.251,BATCH7897,1947.424,614.608,260.332,322.359,1167.954,2025,10,S034,100,142406654561151503,P004
406.922,BATCH6846,264.742,4555.063,355.392,612.235,2839.212,2020,03,S069,100,806015944061291130,P020
354.49,BATCH3455,153.793,7215.137,133.222,392.533,514.942,2025,11,S031,100,582524949046289842,P030
1199.299,BATCH9173,1936.987,5935.933,21.022,184.077,2642.029,2025,11,S066,100,938417039355368515,P017
1353.301,BATCH1478,299.311,7389.596,460.493,952.974,2361.965,2024,09,S071,100,335985113506656172,P024
25.116,BATCH8671,1583.011,7646.622,285.672,104.291,2237.25,2022,06,S001,100,732695482971569839,P034
597.726,BATCH0137,1688.656,461.81,47.949,607.166,274.113,2025,08,S079,100,273062373717257388,P007
134.024,BATCH9755,699.888,5709.708,237.366,741.765,1980.68,2020,10,S056,100,587038876838352329,P021
270.878,BATCH6579,1290.944,3711.982,97.055,298.279,2351.483,2021,03,S027,100,596303056167232463,P021
587.391,BATCH6549,1572.456,1853.858,121.8,391.039,2239.64,2025,12,S003,100,822508281136133910,P033
1479.923,BATCH6445,1918.684,8106.625,435.397,652.494,343.384,2026,04,S023,100,917062728798300704,P022
494.975,BATCH0013,183.367,464.929,264.308,170.274,256.625,2024,01,S071,100,857072130292466341,P014
1005.467,BATCH3423,1430.133,4768.043,178.988,377.123,2532.488,2024,08,S024,100,972010124466372836,P049
929.608,BATCH8953,1602.881,8746.507,390.63,109.718,709.256,2022,07,S095,100,563293761851250798,P007
1407.303,BATCH5375,1183.137,7034.95,372.482,935.963,1813.601,2026,07,S035,100,595691607258783417,P006
464.523,BATCH5717,1160.381,2628.922,17.163,890.44,1847.085,2021,02,S007,100,141969291275318272,P042
1227.236,BATCH6711,851.083,9171.951,337.704,316.069,2717.908,2021,09,S079,100,760608859397032786,P021
1153.391,BATCH1464,1177.021,8975.691,263.455,169.743,45.722,2021,03,S085,100,357089469008382941,P018
1196.376,BATCH2487,1388.883,4941.524,348.499,54.064,2718.339,2024,04,S066,100,877567621711573670,P044
861.868,BATCH9401,846.85,2852.764,320.916,617.964,406.02,2022,09,S041,100,369497715153848730,P014
1282.937,BATCH6280,13.671,2458.91,383.242,229.477,2293.888,2022,12,S100,100,610249837663350694,P038
265.779,BATCH5885,897.675,3546.843,207.827,751.973,1473.595,2020,02,S037,100,891062659080153760,P009
584.026,BATCH8383,491.686,1569.581,331.28,635.01,2185.434,2025,05,S015,100,339340664925525347,P007
751.064,BATCH2604,1537.665,5519.665,270.286,445.396,1678.557,2025,11,S007,100,529529876111419189,P023
1250.15,BATCH3168,345.031,9016.821,380.419,645.905,2021.188,2021,09,S062,100,923296618017656255,P010
403.065,BATCH6655,758.246,2610.027,52.684,226.877,2374.927,2023,12,S028,100,960569458331957957,P017
1078.706,BATCH9700,1964.831,9428.855,483.906,391.067,1218.21,2024,05,S013,100,649193936330170094,P044
636.832,BATCH6865,1738.667,3419.925,170.59,342.944,887.471,2025,11,S019,100,966713210653366017,P017
2.939,BATCH4228,945.648,6620.691,312.554,17.905,2255.152,2023,02,S046,100,317977668818926146,P050
1025.92,BATCH2962,1665.256,5273.722,216.504,502.885,376.51,2021,12,S022,100,959450747291682730,P032
1384.191,BATCH5078,182.404,3501.674,407.59,248.323,2161.788,2023,07,S076,100,811787673452952171,P011
1485.456,BATCH3452,1631.323,7860.745,480.335,446.163,1331.086,2024,04,S028,100,195576280393824573,P004
81.946,BATCH8682,264.846,6798.337,307.182,468.147,356.213,2020,06,S029,100,297359068795579113,P019
1424.913,BATCH6738,59.741,5487.512,237.172,368.498,110.403,2026,03,S056,100,388759383134341468,P022
739.729,BATCH5254,15.11,3790.458,235.912,295.551,1408.319,2026,08,S001,100,451179811222921461,P013
900.626,BATCH2155,1126.562,5274.171,445.747,717.71,468.064,2021,08,S058,100,122257977722833689,P019
223.425,BATCH3458,1412.098,8527.186,482.814,473.928,923.248,2026,03,S079,100,107041148481656436,P030
364.549,BATCH0122,1228.005,271.316,430.327,741.226,813.613,2025,08,S026,100,540706796211025434,P003
253.667,BATCH2334,465.434,9277.614,259.197,458.366,311.249,2026,04,S011,100,539804985988776786,P024
1327.105,BATCH3308,1900.665,6928.654,192.811,986.48,1122.578,2021,10,S008,100,225552919203986947,P022
1375.505,BATCH0394,1269.782,5107.889,449.834,540.872,1985.813,2020,01,S017,100,861099613443817786,P009
764.139,BATCH9247,469.659,8413.65,0.047,35.791,543.302,2023,02,S035,100,825940821775470281,P017
1469.537,BATCH5721,721.659,5632.75,432.934,726.237,774.58,2023,09,S097,100,382319253460471240,P021
1320.366,BATCH5646,620.868,135.914,352.554,417.316,2732.96,2020,05,S063,100,272625128514829181,P038
1071.1,BATCH9465,1790.537,2387.754,169.427,83.148,368.375,2023,10,S083,100,587218398010988387,P001
514.459,BATCH2589,71.622,6296.836,191.415,409.904,2951.686,2023,12,S088,100,665816107556644734,P018
321.138,BATCH7944,755.714,9374.474,345.272,197.01,2006.356,2023,07,S072,100,292890493215515805,P020
966.99,BATCH8753,82.566,7379.584,380.265,266.926,12.881,2021,09,S093,100,169733709689088167,P026
1217.26,BATCH0145,1829.716,4195.496,11.819,592.493,1172.113,2023,11,S018,100,493407941674170026,P028
2.693,BATCH8587,31.985,7180.793,213.984,775.069,1566.456,2020,06,S064,100,375300422209391191,P007
740.763,BATCH3519,1682.458,2960.795,244.61,245.994,1749.402,2020,09,S012,100,910902246237299040,P025
788.604,BATCH7828,455.528,4172.025,56.121,993.895,1523.367,2022,11,S041,100,774145443325351880,P011
1249.385,BATCH1723,416.37,1779.036,219.027,540.476,1488.727,2024,04,S092,100,228189041150137591,P043
1161.84,BATCH0884,615.374,9434.439,354.59,950.012,242.927,2022,01,S080,100,987575482230301990,P010
1426.896,BATCH1573,86.768,1347.581,395.649,335.411,1276.372,2024,02,S017,100,660016099496056805,P004
771.863,BATCH1480,1525.552,6169.338,323.109,6.656,100.169,2023,05,S014,100,256279323183292827,P005
663.669,BATCH9621,1145.61,9823.827,61.502,598.983,401.277,2024,07,S063,100,718350679627984842,P026
578.082,BATCH0469,1032.307,7806.453,108.906,397.479,1784.228,2023,03,S069,100,176263129445123371,P049
285.222,BATCH5331,1367.961,5671.993,129.654,272.717,686.057,2022,09,S042,100,933824578666189697,P016
255.624,BATCH6188,687.198,6566.124,420.795,447.219,1720.708,2025,08,S030,100,555233990940325990,P036
1010.847,BATCH1706,1883.067,3884.846,187.654,942.887,581.124,2022,05,S071,100,140893251078728560,P040
163.44,BATCH6979,1813.259,3333.815,168.226,314.499,524.405,2022,02,S089,100,810282194931048034,P049
268.126,BATCH6993,355.028,8677.565,243.701,239.052,2482.016,2026,01,S008,100,643859936497128252,P047
1194.302,BATCH1933,1949.425,8762.34,443.236,228.444,817.903,2021,11,S002,100,988759324333780028,P049
1226.234,BATCH0618,1225.772,6211.26,374.58,533.372,2133.679,2026,11,S043,100,122940174525052503,P004
597.888,BATCH3623,473.678,4303.726,203.605,937.913,1360.54,2026,08,S015,100,590145973635351324,P021
1174.519,BATCH1285,1550.643,383.992,235.143,980.129,1115.746,2024,12,S069,100,548185802785519985,P042
1332.008,BATCH7059,481.031,7355.99,244.666,104.396,2707.028,2025,07,S012,100,236091103996382351,P030
1094.774,BATCH4491,848.137,4298.169,270.763,196.857,107.646,2023,02,S058,100,830443246771890355,P030
1019.479,BATCH1173,1247.788,5187.308,190.227,285.283,1608.485,2026,07,S066,100,518239639435681198,P001
256.358,BATCH3581,1643.46,7077.887,472.749,239.739,119.326,2023,08,S073,100,470516553857971034,P038
148.932,BATCH3299,908.459,5930.183,213.871,929.194,2994.498,2023,01,S035,100,678315519484384051,P030
202.202,BATCH7295,1540.961,4269.833,207.829,880.834,1228.838,2025,05,S080,100,963429690695179418,P011
1152.326,BATCH8776,1523.723,1100.468,39.502,985.339,2072.086,2025,07,S032,100,478441138196239971,P004
1438.147,BATCH0892,104.245,7259.144,428.668,518.458,2210.001,2020,03,S046,100,586003528391089203,P016
622.408,BATCH0685,1208.291,9063.541,421.728,376.734,2042.633,2020,02,S081,100,910576664815216434,P046
1369.014,BATCH8502,1081.354,5417.951,33.731,746.727,2004.054,2020,10,S079,100,949580872124411466,P040
1420.053,BATCH2240,1598.132,156.798,421.544,217.876,27.042,2024,01,S026,100,641272671407295484,P036
1205.68,BATCH6545,466.896,1235.078,252.701,46.808,633.556,2020,06,S077,100,170254631138033266,P025
91.611,BATCH3843,1477.026,2194.986,198.676,213.919,1419.527,2020,02,S093,100,195783212154885328,P003
42.694,BATCH4584,1198.376,6474.811,183.375,243.884,2817.475,2022,03,S088,100,422470375151956387,P050
1492.816,BATCH8614,783.144,3147.269,174.685,23.741,830.34,2024,01,S024,100,226047804012506975,P039
919.747,BATCH9096,1198.873,4942.592,446.403,109.141,1653.995,2026,09,S073,100,338604311542758354,P013
1005.311,BATCH3915,1189.531,5959.47,429.398,208.752,2938.405,2024,10,S078,100,917545269626754583,P008
336.204,BATCH3909,1733.046,7563.689,368.051,88.901,1964.5,2023,08,S052,100,487603285858979744,P016
1018.845,BATCH3125,377.518,234.237,257.077,160.684,454.369,2024,03,S017,100,799971935784293466,P013
853.53,BATCH9066,53.113,9494.247,332.777,996.434,2872.701,2023,01,S097,100,553004496231282261,P001
24.684,BATCH5355,220.753,1352.702,371.625,533.012,1119.103,2021,12,S089,100,360904545428023407,P008
1235.858,BATCH8858,1998.255,3980.475,12.311,399.787,337.164,2023,10,S075,100,358078154851675990,P022
363.809,BATCH2981,1204.832,2486.887,315.336,87.67,1499.741,2025,10,S039,100,298959472193739685,P047
202.105,BATCH2197,666.45,5975.727,15.267,406.622,17.259,2024,04,S058,100,943440563243564786,P003
760.253,BATCH3524,1701.048,4389.175,198.414,368.99,1626.092,2023,04,S070,100,335268069187894108,P035
1029.864,BATCH9501,904.23,1832.027,439.271,487.219,903.212,2020,10,S065,100,119339347909031473,P012
810.897,BATCH7726,1139.795,1973.908,45.63,393.968,1214.393,2024,12,S096,100,583134592897049545,P035
1304.559,BATCH6477,1712.942,8385.808,150.291,273.875,2205.396,2026,11,S014,100,597331879284939225,P036
879.252,BATCH8101,485.32,9353.802,209.871,196.779,2831.336,2024,04,S082,100,508159059470356635,P041
581.472,BATCH1084,1273.53,255.564,324.573,641.332,2244.302,2023,12,S067,100,100207743156399419,P031
409.245,BATCH2009,1023.331,5290.969,14.337,533.845,1319.326,2020,04,S065,100,963908015054595344,P044
198.082,BATCH5018,1386.094,3696.775,113.493,2.474,684.319,2020,04,S084,100,762172999195747992,P037
1088.428,BATCH2018,648.214,1253.301,5.922,168.801,279.222,2022,11,S100,100,357953990983087491,P023
34.686,BATCH9711,342.004,4237.599,244.633,975.301,2367.966,2025,06,S005,100,571026138695883181,P026
1480.47,BATCH2868,448.24,4927.201,348.132,31.734,52.662,2021,07,S090,100,616171658873092073,P018
1130.287,BATCH0589,510.503,9296.641,210.344,615.016,1859.882,2022,07,S093,100,261049741780047281,P042
855.701,BATCH4374,148.693,9887.857,213.569,124.196,2088.136,2025,04,S073,100,636125517970607904,P015
470.312,BATCH2398,827.665,4746.471,437.176,767.956,605.96,2026,08,S022,100,273728790198605793,P036
492.716,BATCH1677,523.632,5077.005,306.018,181.341,1169.129,2024,11,S056,100,170005006396299841,P024
1108.078,BATCH3206,1696.194,9570.395,117.587,7.851,530.276,2025,06,S053,100,670912545148235105,P020
863.268,BATCH1430,268.51,6074.344,479.212,716.141,734.064,2026,01,S084,100,906697237953916485,P011
1167.687,BATCH4481,21.811,3667.883,265.714,984.934,2025.495,2021,03,S008,100,180115888415846860,P012
349.263,BATCH3556,809.875,1223.873,313.5,867.849,1055.297,2020,11,S086,100,361203800322192359,P001
251.013,BATCH7834,668.374,3495.26,446.651,476.055,2456.899,2024,07,S028,100,964672451198487886,P042
328.661,BATCH8518,1476.807,2932.638,206.658,561.066,2052.332,2023,07,S048,100,300895002713242064,P009
1302.893,BATCH6504,1315.833,5349.014,268.769,53.243,2061.044,2024,08,S075,100,762354793970403396,P004
117.449,BATCH2992,465.58,122.692,65.417,386.094,2825.829,2022,06,S036,100,922625677571406012,P015
564.275,BATCH3893,491.122,2821.9,179.855,193.531,1462.899,2024,10,S052,100,113523483670592093,P043
332.455,BATCH7495,1661.449,6878.787,408.537,457.136,2405.767,2025,09,S003,100,176162548502648348,P015
1098.026,BATCH8317,646.615,2888.108,308.873,649.812,269.276,2025,04,S078,100,998868784439869301,P044
414.779,BATCH0014,585.574,9287.85,190.101,543.419,2936.639,2023,05,S065,100,352539234035646465,P023
640.779,BATCH3526,1287.73,5139.756,489.926,587.507,1746.611,2023,10,S044,100,209180627724835797,P015
1277.006,BATCH0083,1313.974,1731.242,265.827,129.267,1115.001,2023,09,S001,100,821353898780782572,P050
959.948,BATCH8241,1711.977,8627.696,46.315,705.326,1859.76,2021,06,S067,100,366739200623175054,P015
1414.261,BATCH4757,176.103,6994.192,51.025,846.075,176.137,2021,10,S004,100,178694770845025495,P016
650.675,BATCH2516,698.766,7251.353,32.733,545.655,44.015,2026,05,S087,100,918007486363838467,P001
665.481,BATCH1583,1003.138,8001.419,59.802,848.786,834.913,2020,01,S030,100,404083932768684281,P032
1083.595,BATCH5574,1259.742,4159.964,276.4,58.392,332.205,2022,07,S012,100,404997748846674795,P045
1206.961,BATCH4175,12.303,3133.273,358.371,239.618,2374.877,2022,11,S088,100,841528416720140005,P006
1176.61,BATCH8117,1656.906,4540.146,198.257,254.98,2253.56,2020,02,S053,100,122753035817445874,P033
1207.296,BATCH0220,1967.561,1214.274,490.575,148.842,355.624,2026,06,S098,100,557957895903966018,P021
1321.022,BATCH0291,469.3,5287.074,193.501,128.161,2022.604,2025,02,S063,100,126845154088003200,P018
23.126,BATCH9731,1885.82,7369.394,471.318,626.671,2379.64,2026,09,S045,100,430792285876167371,P040
332.331,BATCH9546,1572.528,7596.918,280.271,477.775,2929.371,2021,06,S031,100,727977695626706996,P044
897.473,BATCH7471,34.814,5992.092,180.252,695.898,1157.733,2024,03,S050,100,936365073706975072,P003
1485.662,BATCH2937,137.479,5899.819,78.27,869.88,1018.621,2020,10,S062,100,300998027931576537,P018
1053.237,BATCH9923,919.198,2998.625,148.513,898.206,740.25,2024,11,S087,100,672595789567254678,P030
514.332,BATCH7932,239.663,758.636,213.036,345.48,2104.654,2024,03,S044,100,798132191920030916,P018
1284.247,BATCH6087,163.252,3912.473,26.96,357.404,29.233,2023,01,S099,100,721995967471176300,P015
1115.538,BATCH0502,975.454,2637.763,152.802,178.566,275.165,2022,06,S013,100,353287960424186935,P045
315.717,BATCH7862,1907.212,4430.577,462.914,79.277,138.58,2026,10,S059,100,636619585650859986,P043
756.882,BATCH2899,1642.985,2896.819,316.658,679.283,682.995,2020,12,S039,100,926455643411524344,P006
1193.152,BATCH6581,1548.511,6526.032,168.361,514.12,1668.559,2026,09,S040,100,943080190075906316,P004
4.809,BATCH1462,519.559,3919.903,433.156,505.432,349.249,2024,04,S032,100,184607462162272881,P027
896.599,BATCH5513,90.71,927.234,320.774,372.362,848.377,2023,10,S014,100,999912220244922863,P021
298.755,BATCH2325,929.122,3323.141,80.439,908.595,1196.282,2020,05,S043,100,143616173583449056,P024
1459.76,BATCH9195,243.891,7909.24,41.896,989.227,2535.127,2022,05,S098,100,632584906123113574,P028
716.547,BATCH6023,868.864,6442.424,348.537,210.213,1978.451,2021,09,S032,100,600244196868201708,P042
939.455,BATCH0188,1033.05,1656.917,243.834,49.445,842.718,2026,09,S099,100,181883507999451839,P007
17.001,BATCH3157,589.713,6523.307,298.38,523.358,142.694,2021,03,S028,100,503044164568731141,P005
987.668,BATCH7580,1535.361,4383.002,294.316,393.723,672.432,2023,04,S021,100,233524309982686337,P003
386.035,BATCH5404,949.247,6305.731,186.348,430.06,1602.123,2026,11,S072,100,393244783936299857,P016
1499.66,BATCH0898,955.478,2958.184,167.946,296.303,432.856,2024,10,S078,100,864933282396584960,P024
718.284,BATCH3911,1280.663,8894.932,291.818,997.202,363.251,2024,05,S099,100,108440463926936008,P015
466.903,BATCH8038,690.092,1746.629,332.167,60.705,2821.158,2026,12,S032,100,670912545148235105,P037
325.285,BATCH4022,420.766,4904.401,390.406,257.812,933.805,2026,05,S076,100,584754859980134591,P043
96.534,BATCH6593,1661.491,4738.852,426.476,714.542,1206.354,2025,08,S084,100,894446066134604082,P019
739.534,BATCH0845,1671.714,9103.346,44.853,95.547,102.494,2023,12,S087,100,648665289353196008,P034
841.679,BATCH4336,779.144,3358.986,72.572,447.671,346.732,2026,09,S040,100,648150783568620947,P026
134.355,BATCH6918,1344.008,2484.575,303.405,22.361,2756.099,2024,06,S019,100,808400826836599899,P033
631.4,BATCH6536,813.102,3299.138,154.438,843.683,268.013,2025,01,S083,100,530465145817136870,P022
164.382,BATCH3170,1166.552,4876.561,248.786,465.933,2439.741,2021,03,S008,100,696190650079672866,P023
1184.349,BATCH2656,1522.971,4740.752,265.336,49.032,2252.101,2022,11,S038,100,727856774736718335,P023
258.536,BATCH4897,494.017,1051.592,477.095,304.113,1471.373,2026,12,S093,100,250277823188851263,P049
678.579,BATCH3552,491.645,5721.603,348.853,361.061,1303.066,2025,08,S041,100,992209292521565608,P016
889.906,BATCH3342,442.758,4808.945,6.44,584.787,1718.499,2022,12,S020,100,930471869790561335,P033
464.353,BATCH6999,618.85,9784.144,98.303,756.763,2460.883,2025,11,S068,100,371108905488210041,P005
825.51,BATCH4465,1538.999,8506.632,221.636,587.033,1340.772,2023,02,S008,100,862227598040272370,P044
1055.463,BATCH8009,632.841,4704.9,296.479,338.525,2419.483,2025,07,S038,100,779421140521767035,P009
800.47,BATCH4824,15.617,9016.543,227.095,456.674,1769.002,2020,12,S061,100,659920358350248323,P049
176.523,BATCH1136,1980.838,6641.232,91.42,116.726,2154.916,2022,03,S066,100,878900584266686788,P011
1234.805,BATCH3203,1389.008,9219.071,486.635,25.139,2569.309,2022,09,S025,100,286871363986322338,P050
712.091,BATCH8225,544.246,3875.29,38.311,621.816,681.683,2021,09,S026,100,267272157576513868,P020
677.701,BATCH9556,1883.304,9394.87,24.312,596.611,109.531,2024,02,S048,100,892736662708574137,P035
799.501,BATCH2286,104.785,7255.014,54.086,457.892,1438.481,2021,06,S099,100,186445154583485278,P047
1436.284,BATCH1909,28.748,7726.35,140.653,359.919,2246.124,2022,01,S051,100,947605174045397629,P018
