BKLAS,BWKEY,BWPRH,BWPRS,BWSPA,BWTAR,BWTTY,LAEPR,LBKUM,LFGJA,LFMON,LPLPR,LVORM,MANDT,MATNR,PEINH,PSTAT,SALK3,SALKV,SPERW,STPRS,STPRV,TIMESTAMP,VERPR,VJBKL,VJBWH,VJBWS,VJKUM,VJPEI,VJSAL,VJSAV,VJSTP,VJVER,VJVPR,VKSAL,VMBKL,VMKUM,VMPEI,VMSAL,VMSAV,VMSTP,VMVER,VMVPR,VPLPR,VPRSV,VVJLB,VVJSL,VVMLB,VVSAL,WLINL,ZKDAT,ZKPRS,ZPLD1,ZPLD2,ZPLD3,ZPLP1,ZPLP2,ZPLP3,ZPLPR
3395,V017,110.14,119.84,1.56,"",X,20251023,9559.505,2024,04,127.23,"",100,297302177390857705,1,K,1145611.08,1145611.08,X,110.14,114.68,20260212121508,119.84,3473,99.32,126.67,8042.848,1,1018787.56,1018787.56,95.62,126.67,S,1145611.08,3493,8677.441,1,1018818.35,1018818.35,101.86,117.41,V,115.23,S,7114.785,917350.94,7481.81,884512.54,20250313,20240512,129.23,20221127,20250101,20241203,124.31,138.97,147.3,111.35
3096,V029,263.96,244.95,4.73,"","",20240717,9377.725,2022,07,308.19,"",100,597666424045028302,1,K,2297073.74,2297073.74,"",263.96,264.47,20260212121508,244.95,3850,280.38,260.62,7537.569,1,1964441.23,1964441.23,256.08,260.62,S,2297073.74,3452,8639.433,1,2167806.53,2167806.53,244.28,250.92,S,255.85,V,6306.507,1819186.42,8121.092,1915943.92,20250603,20230814,290.61,20240309,20221206,20231211,294.47,300.43,327.11,322.33
3294,V014,115.63,114.24,0.19,"","",20250803,6528.663,2026,01,123.1,"",100,747036314109618186,1,K,745834.46,745834.46,X,115.63,112.41,20260212121508,114.24,3689,118.95,99.79,5513.009,1,550143.17,550143.17,109.67,99.79,V,745834.46,3062,6126.191,1,677801.77,677801.77,110.5,110.64,V,108.85,V,4707.261,508255.29,5527.537,571565.16,20221114,20230515,117.28,20221103,20250620,20221114,127.77,140.65,149.29,132.57
3914,V028,13.76,12.98,1.92,"","",20240317,4456.293,2024,06,15.17,"",100,315831170944787721,1,K,57842.68,57842.68,"",13.76,13.6,20260212121508,12.98,3881,15.06,13.77,3804.132,1,52382.9,52382.9,14.95,13.77,V,57842.68,3371,3873.997,1,49780.86,49780.86,12.93,12.85,V,12.87,S,3294.263,45278.41,3193.575,42912.08,20221231,20251204,14.9,20230125,20240130,20251117,14.9,15.92,18.12,13.96
3338,V018,161.87,176.37,4.13,"","",20251018,3660.44,2024,03,173.63,"",100,320324054451010719,1,K,645591.8,645591.8,"",161.87,158.99,20260212121508,176.37,3729,154.47,186.65,2971.442,1,554619.65,554619.65,158.55,186.65,V,645591.8,3540,3481.79,1,601548.86,601548.86,152.27,172.77,V,173.81,S,2718.863,486881.87,3277.774,526938.81,20240326,20250707,189.9,20231215,20231129,20241106,164.8,202.26,204.13,182.0
3656,V039,276.89,267.71,3.17,"",X,20240101,6468.73,2022,04,305.37,"",100,841087551882374127,1,K,1731743.71,1731743.71,X,276.89,262.85,20260212121508,267.71,3932,299.96,289.7,5205.475,1,1508026.11,1508026.11,277.84,289.7,S,1731743.71,3647,5838.154,1,1631705.66,1631705.66,259.97,279.49,S,259.27,V,4795.991,1257813.89,5015.706,1468477.0,20251123,20250507,305.39,20230818,20231106,20231227,282.98,353.86,332.45,318.25
3545,V020,26.75,24.78,1.08,"",X,20241101,827.353,2023,04,27.05,"",100,670358733642950657,1,K,20501.81,20501.81,"",26.75,28.1,20260212121508,24.78,3654,26.37,25.86,647.1,1,16734.01,16734.01,23.61,25.86,S,20501.81,3186,741.2,1,16847.48,16847.48,26.62,22.73,S,24.36,V,540.227,13590.29,666.157,13491.99,20221207,20231114,31.18,20231109,20230628,20250103,31.62,31.01,32.71,29.01
3339,V023,280.66,304.02,1.26,"","",20260103,6585.792,2025,01,293.47,"",100,228678691250480768,1,K,2002212.48,2002212.48,"",280.66,307.63,20260212121508,304.02,3119,286.95,311.19,4659.255,1,1449913.56,1449913.56,239.7,311.19,V,2002212.48,3843,5920.333,1,1723349.73,1723349.73,266.26,291.09,S,305.46,V,4365.616,1310647.19,5470.806,1552896.92,20240916,20240126,329.85,20250529,20241125,20250704,282.22,329.31,360.57,344.74
3672,V031,381.08,385.47,4.17,"",X,20230706,7812.044,2026,01,434.99,"",100,711080744785851142,1,K,3011308.6,3011308.6,"",381.08,373.94,20260212121508,385.47,3674,371.83,378.94,6305.332,1,2389342.51,2389342.51,388.65,378.94,S,3011308.6,3711,7512.07,1,2819580.35,2819580.35,391.05,375.34,V,394.95,V,5692.778,2012588.31,7000.058,2552763.74,20250217,20240611,387.88,20250601,20230529,20240520,404.65,450.96,478.78,495.15
3179,V001,332.59,363.29,2.53,"","",20230227,1355.405,2024,07,367.37,"",100,108780807229727885,1,K,492405.08,492405.08,"",332.59,343.1,20260212121508,363.29,3136,352.41,389.19,1056.489,1,411174.95,411174.95,315.55,389.19,V,492405.08,3843,1273.058,1,434036.39,434036.39,331.09,340.94,V,308.21,V,873.259,356742.3,1038.214,390161.23,20230917,20240816,347.05,20240101,20241216,20240804,362.63,420.7,410.27,400.9
3969,V037,86.59,89.5,1.49,"","",20240703,4013.013,2022,03,91.89,"",100,980641493280890525,1,K,359164.66,359164.66,X,86.59,81.28,20260212121508,89.5,3057,84.38,93.16,2915.823,1,271638.07,271638.07,87.5,93.16,V,359164.66,3886,3835.516,1,320879.27,320879.27,89.43,83.66,V,92.09,S,2539.201,246420.23,3335.269,259848.16,20240616,20240503,96.31,20250130,20260106,20250815,91.83,98.16,120.34,107.84
3575,V002,48.92,51.89,1.26,"",X,20250905,6875.535,2023,04,58.39,"",100,502332443051965226,1,K,356771.51,356771.51,X,48.92,44.67,20260212121508,51.89,3830,47.08,53.02,5620.244,1,297985.34,297985.34,44.07,53.02,V,356771.51,3373,6356.778,1,342884.61,342884.61,50.13,53.94,S,47.2,S,5318.274,275748.68,5242.12,320514.04,20221214,20251119,56.77,20230423,20240731,20230827,51.45,58.99,59.56,53.83
3158,V015,492.18,471.65,4.6,"","",20230106,4627.758,2022,10,511.74,"",100,930365555601004526,1,K,2182682.06,2182682.06,"",492.18,538.47,20260212121508,471.65,3935,474.64,451.15,3395.632,1,1531939.38,1531939.38,504.44,451.15,V,2182682.06,3619,4295.913,1,1849734.22,1849734.22,475.71,430.58,V,484.06,S,2923.469,1300985.11,3526.416,1540779.08,20240326,20231112,551.47,20260121,20240216,20240829,512.7,563.29,597.69,499.72
3601,V028,348.82,376.69,3.64,"","",20250623,397.857,2025,07,399.7,"",100,920137277446073506,1,K,149868.75,149868.75,X,348.82,330.36,20260212121508,376.69,3432,350.7,321.41,356.956,1,114729.23,114729.23,379.34,321.41,S,149868.75,3800,361.878,1,138686.12,138686.12,351.27,383.24,V,325.47,V,331.452,106473.61,310.589,130469.36,20230626,20230514,400.92,20230104,20230115,20230529,393.61,400.32,439.52,364.28
3080,V013,329.14,328.49,2.13,"",X,20231223,6898.296,2022,01,329.77,"",100,247902781181971106,1,K,2266021.25,2266021.25,"",329.14,328.07,20260212121508,328.49,3437,352.82,322.94,5857.408,1,1891591.34,1891591.34,356.53,322.94,V,2266021.25,3065,6740.95,1,2159058.88,2159058.88,309.01,320.29,S,333.27,S,5251.191,1790626.89,5963.324,1889962.44,20240807,20231031,382.84,20221112,20231204,20251123,375.52,377.78,454.97,357.49
3092,V039,278.47,280.89,3.52,"","",20251204,5919.324,2024,02,313.01,"",100,590714150816953027,1,K,1662678.92,1662678.92,"",278.47,287.72,20260212121508,280.89,3927,305.38,263.1,4316.339,1,1135628.79,1135628.79,250.87,263.1,S,1662678.92,3745,5100.967,1,1366651.08,1366651.08,250.82,267.92,V,303.68,V,3807.131,937850.75,4146.463,1273197.62,20250514,20260125,294.08,20260207,20240428,20250413,321.95,345.32,346.5,292.79
3740,V035,114.54,108.75,0.8,"",X,20250714,8380.15,2025,07,119.24,"",100,239562786691120930,1,K,911341.31,911341.31,"",114.54,103.41,20260212121508,108.75,3153,108.44,93.05,6826.884,1,635241.56,635241.56,107.5,93.05,V,911341.31,3925,8161.451,1,867725.47,867725.47,104.11,106.32,V,120.46,S,6290.641,575740.21,7263.923,699595.94,20230321,20230515,121.76,20240118,20250321,20240621,125.39,143.62,156.74,144.65
3915,V004,136.03,131.24,3.81,"","",20250320,4560.334,2024,01,153.57,"",100,677384167914584409,1,K,598498.23,598498.23,"",136.03,132.82,20260212121508,131.24,3163,143.69,138.63,3355.185,1,465129.3,465129.3,119.64,138.63,V,598498.23,3041,4368.36,1,553689.63,553689.63,139.6,126.75,V,144.39,S,3062.982,440593.31,3973.196,483530.45,20250829,20230918,142.22,20231007,20231114,20240909,155.23,153.08,180.95,167.02
3838,V003,259.32,238.85,0.46,"",X,20240326,2877.386,2022,08,297.06,"",100,111142127811792887,1,K,687263.65,687263.65,"",259.32,284.91,20260212121508,238.85,3054,261.66,222.2,2402.803,1,533902.83,533902.83,222.18,222.2,V,687263.65,3424,2455.179,1,552022.45,552022.45,239.21,224.84,V,264.37,V,2007.906,430958.13,2094.238,475549.14,20230716,20251215,301.87,20230109,20230310,20250306,281.13,333.07,362.22,261.94
3124,V001,123.36,129.14,2.09,"","",20250412,587.646,2023,04,141.37,"",100,831850393325147705,1,K,75888.6,75888.6,X,123.36,134.81,20260212121508,129.14,3563,118.7,132.26,506.674,1,67012.7,67012.7,129.84,132.26,V,75888.6,3979,564.359,1,68851.8,68851.8,118.14,122.0,V,121.08,S,434.804,60236.91,464.357,59661.65,20240305,20240516,124.22,20230908,20260208,20250204,143.21,142.82,167.62,135.54
3375,V004,338.19,322.29,4.27,"",X,20231113,5407.788,2023,03,347.34,"",100,289636935605129668,1,K,1742875.99,1742875.99,"",338.19,367.73,20260212121508,322.29,3594,327.0,301.21,4317.732,1,1300544.06,1300544.06,315.32,301.21,S,1742875.99,3689,5059.035,1,1603005.83,1603005.83,323.86,316.86,S,364.84,S,4035.499,1054400.41,4747.644,1461517.15,20250119,20250303,355.03,20230724,20230826,20241222,400.3,428.93,458.36,364.83
3338,V033,493.33,504.1,4.98,"",X,20241102,1335.183,2024,09,535.11,"",100,342750414671932658,1,K,673065.75,673065.75,"",493.33,530.51,20260212121508,504.1,3201,467.13,537.29,1127.301,1,605687.55,605687.55,532.75,537.29,V,673065.75,3022,1289.217,1,607543.51,607543.51,496.77,471.25,S,462.93,S,999.664,542026.36,1141.844,517495.23,20260109,20230923,579.72,20230528,20241020,20230627,537.65,603.94,656.4,507.01
3557,V022,273.6,251.26,3.95,"","",20250303,2706.832,2023,09,286.01,"",100,121275957188555989,1,K,680118.61,680118.61,"",273.6,264.84,20260212121508,251.26,3350,272.41,231.46,2410.129,1,557848.46,557848.46,238.42,231.46,S,680118.61,3927,2443.886,1,640444.77,640444.77,260.49,262.06,S,270.9,V,2116.719,446529.54,2195.772,555126.48,20221214,20250821,306.42,20241021,20240320,20250623,325.96,334.29,354.89,328.46
3888,V006,217.09,212.39,4.21,"",X,20251020,942.066,2023,07,243.09,"",100,384481265245013918,1,K,200085.4,200085.4,X,217.09,212.52,20260212121508,212.39,3678,202.57,213.7,812.29,1,173586.37,173586.37,189.29,213.7,V,200085.4,3376,828.134,1,162140.36,162140.36,221.04,195.79,V,198.58,S,756.416,155197.37,668.893,131019.23,20240115,20250821,253.27,20241204,20230123,20230721,255.53,280.97,289.64,226.7
3987,V006,335.7,359.28,1.86,"","",20241122,4930.852,2023,06,378.99,"",100,156485989473101133,1,K,1771556.51,1771556.51,"",335.7,331.52,20260212121508,359.28,3572,346.46,327.31,4110.538,1,1345420.19,1345420.19,315.95,327.31,S,1771556.51,3036,4289.027,1,1425329.45,1425329.45,315.89,332.32,V,315.2,V,3323.839,1198420.31,3678.194,1155148.99,20250924,20240813,365.68,20251102,20240921,20241022,359.7,383.93,459.69,340.42
3591,V007,495.43,485.31,2.88,"",X,20230503,4603.845,2026,02,593.27,"",100,712291983819139023,1,K,2234292.02,2234292.02,X,495.43,543.91,20260212121508,485.31,3403,513.05,491.11,3401.533,1,1670526.87,1670526.87,462.27,491.11,V,2234292.02,3557,3926.591,1,1968792.73,1968792.73,501.3,501.4,V,457.14,V,2755.888,1412254.83,3586.705,1797731.61,20241003,20240113,523.51,20221119,20221205,20231117,556.24,612.33,692.24,560.14
3915,V031,145.89,143.97,3.97,"","",20230720,2124.029,2023,02,163.82,"",100,267228450663588436,1,K,305796.46,305796.46,"",145.89,151.14,20260212121508,143.97,3060,147.94,128.56,1620.306,1,208306.54,208306.54,156.54,128.56,S,305796.46,3097,1954.834,1,270920.44,270920.44,140.53,138.59,V,131.64,S,1528.305,191114.26,1583.429,246542.34,20251219,20240523,156.05,20260130,20260123,20251205,173.0,174.12,179.15,173.19
3334,V009,214.09,234.07,4.13,"","",20250731,1619.328,2025,04,246.73,"",100,571797201127637155,1,K,379036.1,379036.1,"",214.09,198.75,20260212121508,234.07,3033,221.66,228.37,1453.971,1,332043.36,332043.36,189.25,228.37,V,379036.1,3496,1412.221,1,302441.25,302441.25,211.47,214.16,S,209.07,S,1295.566,308206.25,1203.778,242385.93,20250724,20240228,252.03,20230901,20221113,20250729,236.21,252.97,281.51,227.9
3919,V020,382.29,394.07,0.86,"","",20241027,1652.821,2025,11,445.75,"",100,196884716989328590,1,K,651327.17,651327.17,"",382.29,407.89,20260212121508,394.07,3282,395.59,358.21,1234.846,1,442334.19,442334.19,418.55,358.21,S,651327.17,3808,1432.527,1,591576.35,591576.35,395.24,412.96,S,375.12,V,1042.806,399636.17,1186.572,516629.89,20250829,20240114,415.76,20240227,20230623,20230312,410.14,496.35,465.9,468.62
3853,V028,10.52,11.3,4.41,"","",20231116,9168.317,2024,02,11.44,"",100,895977431124875878,1,K,103601.98,103601.98,"",10.52,10.92,20260212121508,11.3,3720,10.42,10.42,6910.479,1,72007.19,72007.19,11.32,10.42,S,103601.98,3935,8685.723,1,95803.52,95803.52,10.7,11.03,S,11.4,V,6477.154,60013.15,7888.622,80011.37,20221216,20241220,10.96,20240510,20240307,20251203,10.77,13.64,13.73,12.55
3417,V017,334.12,322.96,4.24,"","",20250712,7978.603,2023,07,362.34,"",100,440266898338173785,1,K,2576769.62,2576769.62,"",334.12,335.94,20260212121508,322.96,3280,307.68,322.16,5748.981,1,1852091.72,1852091.72,342.15,322.16,S,2576769.62,3647,7662.92,1,2595507.63,2595507.63,337.23,338.71,S,311.06,V,4981.815,1669869.99,6845.758,2157517.95,20231102,20231114,354.96,20231108,20251026,20240625,343.76,430.58,423.18,376.33
3783,V001,61.7,59.46,4.54,"",X,20240313,5680.131,2025,01,63.13,"",100,502333450638338813,1,K,337740.59,337740.59,X,61.7,55.75,20260212121508,59.46,3130,60.76,65.2,5094.459,1,332158.73,332158.73,61.23,65.2,S,337740.59,3976,4844.559,1,293628.72,293628.72,58.17,60.61,V,60.0,V,4603.618,291708.81,4036.62,246017.87,20230906,20250423,73.57,20231206,20250531,20221211,67.64,69.59,77.93,77.72
3536,V049,417.07,381.65,1.2,"","",20221202,1391.357,2026,05,453.2,"",100,279147717410244205,1,K,531011.4,531011.4,X,417.07,376.75,20260212121508,381.65,3930,382.67,397.01,1040.687,1,413163.15,413163.15,443.68,397.01,S,531011.4,3417,1220.846,1,430567.97,430567.97,417.45,352.68,V,401.48,V,926.908,341460.62,1136.166,406909.54,20240424,20251205,461.27,20240709,20221231,20240106,461.82,530.34,552.48,507.1
3013,V024,176.93,190.8,1.31,"",X,20230610,6931.337,2025,10,212.22,"",100,148812444274653768,1,K,1322499.1,1322499.1,X,176.93,184.6,20260212121508,190.8,3803,164.0,186.22,5748.767,1,1070535.39,1070535.39,179.6,186.22,S,1322499.1,3621,6776.985,1,1228328.53,1228328.53,180.74,181.25,S,161.4,S,5158.482,904139.86,5448.416,1103181.36,20251022,20230515,198.74,20221122,20250418,20241009,200.41,195.58,219.6,192.16
3438,V024,154.07,159.55,4.84,"","",20240128,2073.603,2023,11,162.89,"",100,541748245504943008,1,K,330843.36,330843.36,"",154.07,168.8,20260212121508,159.55,3588,139.87,160.67,1609.469,1,258593.38,258593.38,135.24,160.67,S,330843.36,3025,1998.855,1,298049.27,298049.27,156.1,149.11,S,157.3,V,1344.977,220967.49,1604.922,266149.34,20240509,20240206,171.68,20250618,20241114,20230401,167.79,199.62,200.62,177.03
3113,V003,495.91,484.41,4.27,"",X,20250329,7405.421,2023,02,562.77,"",100,998728013490772256,1,K,3587259.99,3587259.99,"",495.91,457.56,20260212121508,484.41,3469,468.25,490.3,5311.796,1,2604373.58,2604373.58,439.06,490.3,V,3587259.99,3305,6651.351,1,2937369.63,2937369.63,504.13,441.62,V,539.51,S,4316.107,2357701.92,5732.37,2676114.51,20230609,20250926,560.57,20230720,20231109,20240603,549.01,564.06,677.58,641.2
3984,V045,451.71,435.55,0.97,"",X,20221123,2408.705,2026,01,458.39,"",100,914832090108495525,1,K,1049111.46,1049111.46,X,451.71,417.71,20260212121508,435.55,3702,442.28,445.75,2003.746,1,893169.78,893169.78,481.14,445.75,V,1049111.46,3380,2180.694,1,872343.02,872343.02,457.29,400.03,S,494.37,V,1673.617,831660.57,1975.67,775603.61,20230829,20250222,486.89,20250322,20240629,20230618,481.25,538.43,546.07,556.48
3931,V032,457.83,467.59,3.41,"",X,20230521,7035.416,2022,12,498.78,"",100,415782796663328492,1,K,3289690.17,3289690.17,"",457.83,494.43,20260212121508,467.59,3363,459.59,467.99,6054.54,1,2833464.17,2833464.17,473.67,467.99,S,3289690.17,3713,5989.819,1,2827014.87,2827014.87,433.35,471.97,S,463.87,S,5515.38,2302370.22,4818.608,2636567.9,20230402,20250531,482.57,20231208,20250815,20230106,476.76,534.62,578.57,480.07
3276,V029,13.89,13.43,4.92,"",X,20241112,9432.034,2024,05,14.24,"",100,907415367697703939,1,K,126672.22,126672.22,"",13.89,13.9,20260212121508,13.43,3445,14.01,12.66,7825.844,1,99075.19,99075.19,15.25,12.66,S,126672.22,3628,9089.511,1,116800.22,116800.22,14.48,12.85,V,14.57,V,7082.775,87211.49,7423.159,99148.57,20240520,20250715,14.07,20250719,20241229,20240622,15.37,17.8,18.38,14.34
3626,V019,13.72,13.59,3.82,"","",20231116,5658.162,2023,10,14.47,"",100,202433907242414504,1,K,76894.42,76894.42,X,13.72,14.72,20260212121508,13.59,3842,13.51,14.3,4144.975,1,59273.14,59273.14,12.0,14.3,S,76894.42,3871,4955.865,1,69729.02,69729.02,12.83,14.07,V,15.06,V,3792.488,54926.12,4099.385,65411.15,20240819,20250413,15.64,20251029,20230217,20250929,14.66,17.49,16.87,15.36
3368,V010,302.99,320.03,2.92,"","",20250315,7566.197,2023,02,339.03,"",100,559743997620225723,1,K,2421410.03,2421410.03,"",302.99,276.45,20260212121508,320.03,3903,305.7,335.28,5322.329,1,1784470.47,1784470.47,331.64,335.28,S,2421410.03,3582,6773.177,1,2110928.34,2110928.34,274.85,311.66,V,279.0,V,4825.986,1622773.17,5855.551,1693327.36,20230622,20230318,349.23,20241225,20250402,20230716,332.57,343.07,386.55,321.51
3065,V032,143.01,154.62,2.42,"",X,20230413,1743.997,2022,11,145.65,"",100,706880152884708401,1,K,269656.82,269656.82,X,143.01,149.39,20260212121508,154.62,3179,128.95,153.23,1252.109,1,191860.66,191860.66,124.3,153.23,S,269656.82,3152,1543.687,1,215498.71,215498.71,134.46,139.6,S,154.66,V,1162.192,159353.77,1448.012,188754.91,20250424,20240807,152.33,20230208,20240505,20241111,159.59,180.15,193.27,148.18
3040,V020,464.3,432.06,4.99,"",X,20240713,3016.826,2022,07,470.6,"",100,150714962941470658,1,K,1303449.84,1303449.84,"",464.3,456.66,20260212121508,432.06,3247,484.58,464.43,2588.986,1,1202402.77,1202402.77,495.34,464.43,V,1303449.84,3072,2713.183,1,1124858.54,1124858.54,448.99,414.59,V,438.11,S,2146.915,1043845.74,2574.598,957526.39,20221227,20240328,484.44,20240728,20240807,20230719,500.58,599.24,632.49,511.35
3555,V005,447.94,429.12,0.93,"","",20250612,6590.073,2026,06,462.01,"",100,352382029677389191,1,K,2827932.13,2827932.13,X,447.94,411.91,20260212121508,429.12,3990,410.48,376.57,5393.18,1,2030909.79,2030909.79,438.51,376.57,S,2827932.13,3990,6277.676,1,2639888.31,2639888.31,434.74,420.52,S,408.28,S,4314.986,1657908.48,5938.28,2180340.66,20241030,20240316,452.28,20250706,20241121,20230927,524.51,569.93,616.09,449.86
3274,V016,251.78,270.83,1.68,"",X,20250408,3727.799,2024,12,274.12,"",100,610730894991207937,1,K,1009599.8,1009599.8,"",251.78,266.93,20260212121508,270.83,3338,250.36,293.29,2644.987,1,775748.24,775748.24,271.95,293.29,S,1009599.8,3711,3519.641,1,949845.52,949845.52,235.81,269.87,S,274.07,S,2375.706,674434.8,3028.153,788650.3,20251203,20241226,259.34,20250731,20251113,20221220,287.56,278.83,330.17,273.06
3672,V034,65.07,65.64,3.94,"","",20230203,5100.402,2026,05,75.63,"",100,859210701721924954,1,K,334790.39,334790.39,X,65.07,68.09,20260212121508,65.64,3261,67.93,59.05,3832.521,1,226310.37,226310.37,69.56,59.05,V,334790.39,3389,4995.274,1,326740.87,326740.87,62.34,65.41,S,59.62,S,3497.556,196774.13,4682.482,271175.57,20221217,20221122,73.61,20240720,20231207,20240227,71.88,74.01,88.3,80.83
3636,V019,185.26,179.22,3.82,"",X,20240226,827.62,2025,03,196.33,"",100,374010891975957554,1,K,148326.06,148326.06,X,185.26,170.13,20260212121508,179.22,3317,175.76,167.42,667.414,1,111738.45,111738.45,158.84,167.42,V,148326.06,3579,760.582,1,142981.81,142981.81,177.09,187.99,V,195.05,V,608.317,93427.37,720.576,115179.31,20230918,20241030,202.25,20250514,20241013,20240525,211.83,223.4,259.26,200.38
3712,V044,388.18,403.28,1.29,"","",20240506,7595.045,2026,12,455.4,"",100,598962720241008910,1,K,3062929.75,3062929.75,"",388.18,391.7,20260212121508,403.28,3836,414.5,349.71,6480.333,1,2266237.25,2266237.25,406.52,349.71,S,3062929.75,3759,7413.574,1,3020734.86,3020734.86,406.22,407.46,S,351.56,V,5415.616,1922185.39,6025.409,2547487.32,20260129,20260111,443.26,20250928,20250825,20230716,444.76,435.35,525.24,398.2
