MANDT,MATNR,CHARG,LVORM,ERSDA,ERNAM,AENAM,LAEDA,VERAB,VFDAT,ZUSCH,ZUSTD,ZAEDT,LIFNR,LICHA,VLCHA,VLWRK,VLMAT,CHAME,LWEDT,FVDT1,FVDT2,FVDT3,FVDT4,FVDT5,FVDT6,HERKL,HERKR,MTVER,QNDAT,HSDAT,CUOBJ_BM,DEACT_BM,BATCH_TYPE
200,000000000000000014,BATCH00014,"",20260130,USER013,USER013,20260212,20260225,20260327,R,"",20260212,VEND000014,VBATCH00014,OBATCH00014,PL14,000000000000000014,EA,20260130,20260212,20260212,20260212,20260212,20260212,20260212,DEU,014,0014,20260225,20260130,000000000000000169,"",2
300,000000000000000015,BATCH00015,"",20260129,USER014,USER014,20260212,20260226,20260328,A,"",20260212,VEND000015,VBATCH00015,OBATCH00015,PL15,000000000000000015,EA,20260129,20260212,20260212,20260212,20260212,20260212,20260212,IND,015,0015,20260226,20260129,000000000000000182,"",3
100,000000000000000016,BATCH00016,"",20260128,USER015,USER015,20260212,20260227,20260329,R,X,20260212,VEND000016,VBATCH00016,OBATCH00016,PL16,000000000000000016,EA,20260128,20260212,20260212,20260212,20260212,20260212,20260212,FRA,016,0016,20260227,20260128,000000000000000195,"",1
200,000000000000000017,BATCH00017,"",20260127,USER016,USER016,20260212,20260228,20260330,A,"",20260212,VEND000017,VBATCH00017,OBATCH00017,PL17,000000000000000017,EA,20260127,20260212,20260212,20260212,20260212,20260212,20260212,USA,017,0017,20260228,20260127,000000000000000208,"",2
300,000000000000000018,BATCH00018,"",20260126,USER017,USER017,20260212,20260301,20260331,R,"",20260212,VEND000018,VBATCH00018,OBATCH00018,PL18,000000000000000018,EA,20260126,20260212,20260212,20260212,20260212,20260212,20260212,DEU,018,0018,20260301,20260126,000000000000000221,"",3
100,000000000000000019,BATCH00019,"",20260125,USER018,USER018,20260212,20260302,20260401,A,"",20260212,VEND000019,VBATCH00019,OBATCH00019,PL19,000000000000000019,EA,20260125,20260212,20260212,20260212,20260212,20260212,20260212,IND,019,0019,20260302,20260125,000000000000000234,"",1
200,000000000000000020,BATCH00020,"",20260124,USER019,USER019,20260212,20260303,20260402,R,"",20260212,VEND000020,VBATCH00020,OBATCH00020,PL20,000000000000000020,EA,20260124,20260212,20260212,20260212,20260212,20260212,20260212,FRA,020,0020,20260303,20260124,000000000000000247,"",2
300,000000000000000021,BATCH00021,X,20260123,USER020,USER020,20260212,20260304,20260403,A,X,20260212,VEND000021,VBATCH00021,OBATCH00021,PL01,000000000000000021,EA,20260123,20260212,20260212,20260212,20260212,20260212,20260212,USA,021,0021,20260304,20260123,000000000000000260,"",3
100,000000000000000022,BATCH00022,"",20260122,USER021,USER021,20260212,20260305,20260404,R,"",20260212,VEND000022,VBATCH00022,OBATCH00022,PL02,000000000000000022,EA,20260122,20260212,20260212,20260212,20260212,20260212,20260212,DEU,022,0022,20260305,20260122,000000000000000273,"",1
200,000000000000000023,BATCH00023,"",20260121,USER022,USER022,20260212,20260306,20260405,A,"",20260212,VEND000023,VBATCH00023,OBATCH00023,PL03,000000000000000023,EA,20260121,20260212,20260212,20260212,20260212,20260212,20260212,IND,023,0023,20260306,20260121,000000000000000286,"",2
300,000000000000000024,BATCH00024,"",20260120,USER023,USER023,20260212,20260307,20260406,R,"",20260212,VEND000024,VBATCH00024,OBATCH00024,PL04,000000000000000024,EA,20260120,20260212,20260212,20260212,20260212,20260212,20260212,FRA,024,0024,20260307,20260120,000000000000000299,"",3
100,000000000000000025,BATCH00025,"",20260119,USER024,USER024,20260212,20260308,20260407,A,"",20260212,VEND000025,VBATCH00025,OBATCH00025,PL05,000000000000000025,EA,20260119,20260212,20260212,20260212,20260212,20260212,20260212,USA,025,0025,20260308,20260119,000000000000000312,"",1
200,000000000000000026,BATCH00026,"",20260118,USER025,USER025,20260212,20260309,20260408,R,X,20260212,VEND000026,VBATCH00026,OBATCH00026,PL06,000000000000000026,EA,20260118,20260212,20260212,20260212,20260212,20260212,20260212,DEU,026,0026,20260309,20260118,000000000000000325,"",2
300,000000000000000027,BATCH00027,"",20260117,USER026,USER026,20260212,20260310,20260409,A,"",20260212,VEND000027,VBATCH00027,OBATCH00027,PL07,000000000000000027,EA,20260117,20260212,20260212,20260212,20260212,20260212,20260212,IND,027,0027,20260310,20260117,000000000000000338,"",3
100,000000000000000028,BATCH00028,"",20260116,USER027,USER027,20260212,20260311,20260410,R,"",20260212,VEND000028,VBATCH00028,OBATCH00028,PL08,000000000000000028,EA,20260116,20260212,20260212,20260212,20260212,20260212,20260212,FRA,028,0028,20260311,20260116,000000000000000351,"",1
200,000000000000000029,BATCH00029,"",20260115,USER028,USER028,20260212,20260312,20260411,A,"",20260212,VEND000029,VBATCH00029,OBATCH00029,PL09,000000000000000029,EA,20260115,20260212,20260212,20260212,20260212,20260212,20260212,USA,029,0029,20260312,20260115,000000000000000364,"",2
300,000000000000000030,BATCH00030,"",20260114,USER029,USER029,20260212,20260313,20260412,R,"",20260212,VEND000030,VBATCH00030,OBATCH00030,PL10,000000000000000030,EA,20260114,20260212,20260212,20260212,20260212,20260212,20260212,DEU,030,0030,20260313,20260114,000000000000000377,"",3
100,000000000000000031,BATCH00031,"",20260113,USER030,USER030,20260212,20260314,20260413,A,X,20260212,VEND000031,VBATCH00031,OBATCH00031,PL11,000000000000000031,EA,20260212,20260212,20260212,20260212,20260212,20260212,20260212,IND,031,0031,20260314,20260113,000000000000000390,"",1
200,000000000000000032,BATCH00032,"",20260112,USER031,USER031,20260212,20260315,20260414,R,"",20260212,VEND000032,VBATCH00032,OBATCH00032,PL12,000000000000000032,EA,20260211,20260212,20260212,20260212,20260212,20260212,20260212,FRA,032,0032,20260315,20260112,000000000000000403,"",2
300,000000000000000033,BATCH00033,"",20260111,USER032,USER032,20260212,20260316,20260415,A,"",20260212,VEND000033,VBATCH00033,OBATCH00033,PL13,000000000000000033,EA,20260210,20260212,20260212,20260212,20260212,20260212,20260212,USA,033,0033,20260316,20260111,000000000000000416,"",3
100,000000000000000034,BATCH00034,"",20260110,USER033,USER033,20260212,20260317,20260416,R,"",20260212,VEND000034,VBATCH00034,OBATCH00034,PL14,000000000000000034,EA,20260209,20260212,20260212,20260212,20260212,20260212,20260212,DEU,034,0034,20260317,20260110,000000000000000429,"",1
200,000000000000000035,BATCH00035,"",20260109,USER034,USER034,20260212,20260318,20260417,A,"",20260212,VEND000035,VBATCH00035,OBATCH00035,PL15,000000000000000035,EA,20260208,20260212,20260212,20260212,20260212,20260212,20260212,IND,035,0035,20260318,20260109,000000000000000442,"",2
300,000000000000000036,BATCH00036,"",20260108,USER035,USER035,20260212,20260319,20260418,R,X,20260212,VEND000036,VBATCH00036,OBATCH00036,PL16,000000000000000036,EA,20260207,20260212,20260212,20260212,20260212,20260212,20260212,FRA,036,0036,20260319,20260108,000000000000000455,"",3
100,000000000000000037,BATCH00037,"",20260107,USER036,USER036,20260212,20260320,20260419,A,"",20260212,VEND000037,VBATCH00037,OBATCH00037,PL17,000000000000000037,EA,20260206,20260212,20260212,20260212,20260212,20260212,20260212,USA,037,0037,20260320,20260107,000000000000000468,"",1
200,000000000000000038,BATCH00038,"",20260106,USER037,USER037,20260212,20260321,20260420,R,"",20260212,VEND000038,VBATCH00038,OBATCH00038,PL18,000000000000000038,EA,20260205,20260212,20260212,20260212,20260212,20260212,20260212,DEU,038,0038,20260321,20260106,000000000000000481,"",2
300,000000000000000039,BATCH00039,"",20260105,USER038,USER038,20260212,20260322,20260421,A,"",20260212,VEND000039,VBATCH00039,OBATCH00039,PL19,000000000000000039,EA,20260204,20260212,20260212,20260212,20260212,20260212,20260212,IND,039,0039,20260322,20260105,000000000000000494,"",3
100,000000000000000040,BATCH00040,"",20260104,USER039,USER039,20260212,20260323,20260422,R,"",20260212,VEND000040,VBATCH00040,OBATCH00040,PL20,000000000000000040,EA,20260203,20260212,20260212,20260212,20260212,20260212,20260212,FRA,040,0040,20260323,20260104,000000000000000507,"",1
200,000000000000000041,BATCH00041,X,20260103,USER040,USER040,20260212,20260324,20260423,A,X,20260212,VEND000041,VBATCH00041,OBATCH00041,PL01,000000000000000041,EA,20260202,20260212,20260212,20260212,20260212,20260212,20260212,USA,041,0041,20260324,20260103,000000000000000520,"",2
300,000000000000000042,BATCH00042,"",20260102,USER041,USER041,20260212,20260325,20260424,R,"",20260212,VEND000042,VBATCH00042,OBATCH00042,PL02,000000000000000042,EA,20260201,20260212,20260212,20260212,20260212,20260212,20260212,DEU,042,0042,20260325,20260102,000000000000000533,"",3
100,000000000000000043,BATCH00043,"",20260101,USER042,USER042,20260212,20260326,20260425,A,"",20260212,VEND000043,VBATCH00043,OBATCH00043,PL03,000000000000000043,EA,20260131,20260212,20260212,20260212,20260212,20260212,20260212,IND,043,0043,20260326,20260101,000000000000000546,"",1
200,000000000000000044,BATCH00044,"",20251231,USER043,USER043,20260212,20260327,20260426,R,"",20260212,VEND000044,VBATCH00044,OBATCH00044,PL04,000000000000000044,EA,20260130,20260212,20260212,20260212,20260212,20260212,20260212,FRA,044,0044,20260327,20251231,000000000000000559,"",2
300,000000000000000045,BATCH00045,"",20251230,USER044,USER044,20260212,20260328,20260427,A,"",20260212,VEND000045,VBATCH00045,OBATCH00045,PL05,000000000000000045,EA,20260129,20260212,20260212,20260212,20260212,20260212,20260212,USA,045,0045,20260328,20251230,000000000000000572,"",3
100,000000000000000046,BATCH00046,"",20251229,USER045,USER045,20260212,20260329,20260428,R,X,20260212,VEND000046,VBATCH00046,OBATCH00046,PL06,000000000000000046,EA,20260128,20260212,20260212,20260212,20260212,20260212,20260212,DEU,046,0046,20260329,20251229,000000000000000585,"",1
200,000000000000000047,BATCH00047,"",20251228,USER046,USER046,20260212,20260330,20260429,A,"",20260212,VEND000047,VBATCH00047,OBATCH00047,PL07,000000000000000047,EA,20260127,20260212,20260212,20260212,20260212,20260212,20260212,IND,047,0047,20260330,20251228,000000000000000598,"",2
300,000000000000000048,BATCH00048,"",20251227,USER047,USER047,20260212,20260331,20260430,R,"",20260212,VEND000048,VBATCH00048,OBATCH00048,PL08,000000000000000048,EA,20260126,20260212,20260212,20260212,20260212,20260212,20260212,FRA,048,0048,20260331,20251227,000000000000000611,"",3
100,000000000000000049,BATCH00049,"",20251226,USER048,USER048,20260212,20260401,20260501,A,"",20260212,VEND000049,VBATCH00049,OBATCH00049,PL09,000000000000000049,EA,20260125,20260212,20260212,20260212,20260212,20260212,20260212,USA,049,0049,20260401,20251226,000000000000000624,"",1
200,000000000000000050,BATCH00050,"",20251225,USER049,USER049,20260212,20260402,20260502,R,"",20260212,VEND000050,VBATCH00050,OBATCH00050,PL10,000000000000000050,EA,20260124,20260212,20260212,20260212,20260212,20260212,20260212,DEU,050,0050,20260402,20251225,000000000000000637,"",2
300,000000000000000051,BATCH00051,"",20251224,USER050,USER050,20260212,20260403,20260503,A,X,20260212,VEND000051,VBATCH00051,OBATCH00051,PL11,000000000000000051,EA,20260123,20260212,20260212,20260212,20260212,20260212,20260212,IND,051,0051,20260403,20251224,000000000000000650,X,3
100,000000000000000052,BATCH00052,"",20251223,USER051,USER051,20260212,20260404,20260504,R,"",20260212,VEND000052,VBATCH00052,OBATCH00052,PL12,000000000000000052,EA,20260122,20260212,20260212,20260212,20260212,20260212,20260212,FRA,052,0052,20260404,20251223,000000000000000663,"",1
200,000000000000000053,BATCH00053,"",20251222,USER052,USER052,20260212,20260405,20260505,A,"",20260212,VEND000053,VBATCH00053,OBATCH00053,PL13,000000000000000053,EA,20260121,20260212,20260212,20260212,20260212,20260212,20260212,USA,053,0053,20260405,20251222,000000000000000676,"",2
300,000000000000000054,BATCH00054,"",20251221,USER053,USER053,20260212,20260406,20260506,R,"",20260212,VEND000054,VBATCH00054,OBATCH00054,PL14,000000000000000054,EA,20260120,20260212,20260212,20260212,20260212,20260212,20260212,DEU,054,0054,20260406,20251221,000000000000000689,"",3
100,000000000000000055,BATCH00055,"",20251220,USER054,USER054,20260212,20260407,20260507,A,"",20260212,VEND000055,VBATCH00055,OBATCH00055,PL15,000000000000000055,EA,20260119,20260212,20260212,20260212,20260212,20260212,20260212,IND,055,0055,20260407,20251220,000000000000000702,"",1
200,000000000000000056,BATCH00056,"",20251219,USER055,USER055,20260212,20260408,20260508,R,X,20260212,VEND000056,VBATCH00056,OBATCH00056,PL16,000000000000000056,EA,20260118,20260212,20260212,20260212,20260212,20260212,20260212,FRA,056,0056,20260408,20251219,000000000000000715,"",2
300,000000000000000057,BATCH00057,"",20251218,USER056,USER056,20260212,20260409,20260509,A,"",20260212,VEND000057,VBATCH00057,OBATCH00057,PL17,000000000000000057,EA,20260117,20260212,20260212,20260212,20260212,20260212,20260212,USA,057,0057,20260409,20251218,000000000000000728,"",3
100,000000000000000058,BATCH00058,"",20251217,USER057,USER057,20260212,20260410,20260510,R,"",20260212,VEND000058,VBATCH00058,OBATCH00058,PL18,000000000000000058,EA,20260116,20260212,20260212,20260212,20260212,20260212,20260212,DEU,058,0058,20260410,20251217,000000000000000741,"",1
200,000000000000000059,BATCH00059,"",20251216,USER058,USER058,20260212,20260411,20260511,A,"",20260212,VEND000059,VBATCH00059,OBATCH00059,PL19,000000000000000059,EA,20260115,20260212,20260212,20260212,20260212,20260212,20260212,IND,059,0059,20260411,20251216,000000000000000754,"",2
300,000000000000000060,BATCH00060,"",20251215,USER059,USER059,20260212,20260412,20260512,R,"",20260212,VEND000060,VBATCH00060,OBATCH00060,PL20,000000000000000060,EA,20260114,20260212,20260212,20260212,20260212,20260212,20260212,FRA,060,0060,20260412,20251215,000000000000000767,"",3
100,000000000000000061,BATCH00061,X,20251214,USER060,USER060,20260212,20260413,20260513,A,X,20260212,VEND000061,VBATCH00061,OBATCH00061,PL01,000000000000000061,EA,20260212,20260212,20260212,20260212,20260212,20260212,20260212,USA,061,0061,20260413,20251214,000000000000000780,"",1
200,000000000000000062,BATCH00062,"",20251213,USER061,USER061,20260212,20260414,20260514,R,"",20260212,VEND000062,VBATCH00062,OBATCH00062,PL02,000000000000000062,EA,20260211,20260212,20260212,20260212,20260212,20260212,20260212,DEU,062,0062,20260414,20251213,000000000000000793,"",2
300,000000000000000063,BATCH00063,"",20251212,USER062,USER062,20260212,20260415,20260515,A,"",20260212,VEND000063,VBATCH00063,OBATCH00063,PL03,000000000000000063,EA,20260210,20260212,20260212,20260212,20260212,20260212,20260212,IND,063,0063,20260415,20251212,000000000000000806,"",3
100,000000000000000064,BATCH00064,"",20251211,USER063,USER063,20260212,20260416,20260516,R,"",20260212,VEND000064,VBATCH00064,OBATCH00064,PL04,000000000000000064,EA,20260209,20260212,20260212,20260212,20260212,20260212,20260212,FRA,064,0064,20260416,20251211,000000000000000819,"",1
200,000000000000000065,BATCH00065,"",20251210,USER064,USER064,20260212,20260417,20260517,A,"",20260212,VEND000065,VBATCH00065,OBATCH00065,PL05,000000000000000065,EA,20260208,20260212,20260212,20260212,20260212,20260212,20260212,USA,065,0065,20260417,20251210,000000000000000832,"",2
300,000000000000000066,BATCH00066,"",20251209,USER065,USER065,20260212,20260418,20260518,R,X,20260212,VEND000066,VBATCH00066,OBATCH00066,PL06,000000000000000066,EA,20260207,20260212,20260212,20260212,20260212,20260212,20260212,DEU,066,0066,20260418,20251209,000000000000000845,"",3
100,000000000000000067,BATCH00067,"",20251208,USER066,USER066,20260212,20260419,20260519,A,"",20260212,VEND000067,VBATCH00067,OBATCH00067,PL07,000000000000000067,EA,20260206,20260212,20260212,20260212,20260212,20260212,20260212,IND,067,0067,20260419,20251208,000000000000000858,"",1
200,000000000000000068,BATCH00068,"",20251207,USER067,USER067,20260212,20260420,20260520,R,"",20260212,VEND000068,VBATCH00068,OBATCH00068,PL08,000000000000000068,EA,20260205,20260212,20260212,20260212,20260212,20260212,20260212,FRA,068,0068,20260420,20251207,000000000000000871,"",2
300,000000000000000069,BATCH00069,"",20251206,USER068,USER068,20260212,20260421,20260521,A,"",20260212,VEND000069,VBATCH00069,OBATCH00069,PL09,000000000000000069,EA,20260204,20260212,20260212,20260212,20260212,20260212,20260212,USA,069,0069,20260421,20251206,000000000000000884,"",3
100,000000000000000070,BATCH00070,"",20251205,USER069,USER069,20260212,20260422,20260522,R,"",20260212,VEND000070,VBATCH00070,OBATCH00070,PL10,000000000000000070,EA,20260203,20260212,20260212,20260212,20260212,20260212,20260212,DEU,070,0070,20260422,20251205,000000000000000897,"",1
200,000000000000000071,BATCH00071,"",20251204,USER070,USER070,20260212,20260423,20260523,A,X,20260212,VEND000071,VBATCH00071,OBATCH00071,PL11,000000000000000071,EA,20260202,20260212,20260212,20260212,20260212,20260212,20260212,IND,071,0071,20260423,20251204,000000000000000910,"",2
300,000000000000000072,BATCH00072,"",20251203,USER071,USER071,20260212,20260424,20260524,R,"",20260212,VEND000072,VBATCH00072,OBATCH00072,PL12,000000000000000072,EA,20260201,20260212,20260212,20260212,20260212,20260212,20260212,FRA,072,0072,20260424,20251203,000000000000000923,"",3
100,000000000000000073,BATCH00073,"",20251202,USER072,USER072,20260212,20260425,20260525,A,"",20260212,VEND000073,VBATCH00073,OBATCH00073,PL13,000000000000000073,EA,20260131,20260212,20260212,20260212,20260212,20260212,20260212,USA,073,0073,20260425,20251202,000000000000000936,"",1
200,000000000000000074,BATCH00074,"",20251201,USER073,USER073,20260212,20260426,20260526,R,"",20260212,VEND000074,VBATCH00074,OBATCH00074,PL14,000000000000000074,EA,20260130,20260212,20260212,20260212,20260212,20260212,20260212,DEU,074,0074,20260426,20251201,000000000000000949,"",2
300,000000000000000075,BATCH00075,"",20251130,USER074,USER074,20260212,20260427,20260527,A,"",20260212,VEND000075,VBATCH00075,OBATCH00075,PL15,000000000000000075,EA,20260129,20260212,20260212,20260212,20260212,20260212,20260212,IND,075,0075,20260427,20251130,000000000000000962,"",3
100,000000000000000076,BATCH00076,"",20251129,USER075,USER075,20260212,20260428,20260528,R,X,20260212,VEND000076,VBATCH00076,OBATCH00076,PL16,000000000000000076,EA,20260128,20260212,20260212,20260212,20260212,20260212,20260212,FRA,076,0076,20260428,20251129,000000000000000975,"",1
200,000000000000000077,BATCH00077,"",20251128,USER076,USER076,20260212,20260429,20260529,A,"",20260212,VEND000077,VBATCH00077,OBATCH00077,PL17,000000000000000077,EA,20260127,20260212,20260212,20260212,20260212,20260212,20260212,USA,077,0077,20260429,20251128,000000000000000988,"",2
300,000000000000000078,BATCH00078,"",20251127,USER077,USER077,20260212,20260430,20260530,R,"",20260212,VEND000078,VBATCH00078,OBATCH00078,PL18,000000000000000078,EA,20260126,20260212,20260212,20260212,20260212,20260212,20260212,DEU,078,0078,20260430,20251127,000000000000001001,"",3
100,000000000000000079,BATCH00079,"",20251126,USER078,USER078,20260212,20260501,20260531,A,"",20260212,VEND000079,VBATCH00079,OBATCH00079,PL19,000000000000000079,EA,20260125,20260212,20260212,20260212,20260212,20260212,20260212,IND,079,0079,20260501,20251126,000000000000001014,"",1
200,000000000000000080,BATCH00080,"",20251125,USER079,USER079,20260212,20260502,20260601,R,"",20260212,VEND000080,VBATCH00080,OBATCH00080,PL20,000000000000000080,EA,20260124,20260212,20260212,20260212,20260212,20260212,20260212,FRA,080,0080,20260502,20251125,000000000000001027,"",2
300,000000000000000081,BATCH00081,X,20251124,USER080,USER080,20260212,20260503,20260602,A,X,20260212,VEND000081,VBATCH00081,OBATCH00081,PL01,000000000000000081,EA,20260123,20260212,20260212,20260212,20260212,20260212,20260212,USA,081,0081,20260503,20251124,000000000000001040,"",3
100,000000000000000082,BATCH00082,"",20251123,USER081,USER081,20260212,20260504,20260603,R,"",20260212,VEND000082,VBATCH00082,OBATCH00082,PL02,000000000000000082,EA,20260122,20260212,20260212,20260212,20260212,20260212,20260212,DEU,082,0082,20260504,20251123,000000000000001053,"",1
200,000000000000000083,BATCH00083,"",20251122,USER082,USER082,20260212,20260505,20260604,A,"",20260212,VEND000083,VBATCH00083,OBATCH00083,PL03,000000000000000083,EA,20260121,20260212,20260212,20260212,20260212,20260212,20260212,IND,083,0083,20260505,20251122,000000000000001066,"",2
300,000000000000000084,BATCH00084,"",20251121,USER083,USER083,20260212,20260506,20260605,R,"",20260212,VEND000084,VBATCH00084,OBATCH00084,PL04,000000000000000084,EA,20260120,20260212,20260212,20260212,20260212,20260212,20260212,FRA,084,0084,20260506,20251121,000000000000001079,"",3
100,000000000000000085,BATCH00085,"",20251120,USER084,USER084,20260212,20260507,20260606,A,"",20260212,VEND000085,VBATCH00085,OBATCH00085,PL05,000000000000000085,EA,20260119,20260212,20260212,20260212,20260212,20260212,20260212,USA,085,0085,20260507,20251120,000000000000001092,"",1
200,000000000000000086,BATCH00086,"",20251119,USER085,USER085,20260212,20260508,20260607,R,X,20260212,VEND000086,VBATCH00086,OBATCH00086,PL06,000000000000000086,EA,20260118,20260212,20260212,20260212,20260212,20260212,20260212,DEU,086,0086,20260508,20251119,000000000000001105,"",2
300,000000000000000087,BATCH00087,"",20251118,USER086,USER086,20260212,20260509,20260608,A,"",20260212,VEND000087,VBATCH00087,OBATCH00087,PL07,000000000000000087,EA,20260117,20260212,20260212,20260212,20260212,20260212,20260212,IND,087,0087,20260509,20251118,000000000000001118,"",3
100,000000000000000088,BATCH00088,"",20251117,USER087,USER087,20260212,20260510,20260609,R,"",20260212,VEND000088,VBATCH00088,OBATCH00088,PL08,000000000000000088,EA,20260116,20260212,20260212,20260212,20260212,20260212,20260212,FRA,088,0088,20260510,20251117,000000000000001131,"",1
200,000000000000000089,BATCH00089,"",20251116,USER088,USER088,20260212,20260511,20260610,A,"",20260212,VEND000089,VBATCH00089,OBATCH00089,PL09,000000000000000089,EA,20260115,20260212,20260212,20260212,20260212,20260212,20260212,USA,089,0089,20260511,20251116,000000000000001144,"",2
300,000000000000000090,BATCH00090,"",20251115,USER089,USER089,20260212,20260512,20260611,R,"",20260212,VEND000090,VBATCH00090,OBATCH00090,PL10,000000000000000090,EA,20260114,20260212,20260212,20260212,20260212,20260212,20260212,DEU,090,0090,20260512,20251115,000000000000001157,"",3
100,000000000000000091,BATCH00091,"",20251114,USER090,USER090,20260212,20260212,20260612,A,X,20260212,VEND000091,VBATCH00091,OBATCH00091,PL11,000000000000000091,EA,20260212,20260212,20260212,20260212,20260212,20260212,20260212,IND,091,0091,20260513,20251114,000000000000001170,"",1
200,000000000000000092,BATCH00092,"",20251113,USER091,USER091,20260212,20260213,20260613,R,"",20260212,VEND000092,VBATCH00092,OBATCH00092,PL12,000000000000000092,EA,20260211,20260212,20260212,20260212,20260212,20260212,20260212,FRA,092,0092,20260514,20251113,000000000000001183,"",2
300,000000000000000093,BATCH00093,"",20251112,USER092,USER092,20260212,20260214,20260614,A,"",20260212,VEND000093,VBATCH00093,OBATCH00093,PL13,000000000000000093,EA,20260210,20260212,20260212,20260212,20260212,20260212,20260212,USA,093,0093,20260515,20251112,000000000000001196,"",3
100,000000000000000094,BATCH00094,"",20251111,USER093,USER093,20260212,20260215,20260615,R,"",20260212,VEND000094,VBATCH00094,OBATCH00094,PL14,000000000000000094,EA,20260209,20260212,20260212,20260212,20260212,20260212,20260212,DEU,094,0094,20260516,20251111,000000000000001209,"",1
200,000000000000000095,BATCH00095,"",20251110,USER094,USER094,20260212,20260216,20260616,A,"",20260212,VEND000095,VBATCH00095,OBATCH00095,PL15,000000000000000095,EA,20260208,20260212,20260212,20260212,20260212,20260212,20260212,IND,095,0095,20260517,20251110,000000000000001222,"",2
300,000000000000000096,BATCH00096,"",20251109,USER095,USER095,20260212,20260217,20260617,R,X,20260212,VEND000096,VBATCH00096,OBATCH00096,PL16,000000000000000096,EA,20260207,20260212,20260212,20260212,20260212,20260212,20260212,FRA,096,0096,20260518,20251109,000000000000001235,"",3
