MANDT,EKORG,EKOTX,BUKRS,TXADR,TXKOP,TXFUS,TXGRU,KALSE,MKALS,BPEFF,BUKRS_NTR
100,11NA,"Hernandez, Martinez ",4000,"Hernandez, Martinez and Caldwell, South Holly","Official Purchase Order - Hernandez, Martinez and Caldwell",For inquiries contact: gary91@example.org,Kind Regards,Z001,PB0001,X,3000
200,LUVN,Rodriguez-Johnson,3100,"Rodriguez-Johnson, Barbarafurt",Official Purchase Order - Rodriguez-Johnson,For inquiries contact: mdavid@example.org,Sincerely,RM02,PB0002,X,4000
300,0ERJ,"Vaughn, Burton and G",2100,"Vaughn, Burton and Garcia, Melissaville","Official Purchase Order - Vaughn, Burton and Garcia",For inquiries contact: reedross@example.com,With Thanks,Z001,MK0002,,3000
400,KVC4,Hunter LLC,2000,"Hunter LLC, Port Robertfort",Official Purchase Order - Hunter LLC,For inquiries contact: hamiltonmichael@example.com,Best Regards,RM02,MK0001,X,4000
100,9JYD,"Hernandez, Thompson ",4100,"Hernandez, Thompson and Boyd, Christinaside","Official Purchase Order - Hernandez, Thompson and Boyd",For inquiries contact: umarshall@example.net,With Thanks,RM01,MK0002,,1100
200,UREV,Morris-Sanchez,2100,"Morris-Sanchez, West Nicolebury",Official Purchase Order - Morris-Sanchez,For inquiries contact: qhudson@example.com,Kind Regards,RM01,PB0001,,3000
300,EYKC,Johnson-Rosales,2100,"Johnson-Rosales, South Jason",Official Purchase Order - Johnson-Rosales,For inquiries contact: matthew94@example.net,Sincerely,RM01,ZPB002,X,2000
400,33A8,Black and Sons,4000,"Black and Sons, East Jenniferfort",Official Purchase Order - Black and Sons,For inquiries contact: hannahbrewer@example.com,Kind Regards,PR02,PB0002,,1000
100,WKZI,Mcguire-Davis,3100,"Mcguire-Davis, South Heather",Official Purchase Order - Mcguire-Davis,For inquiries contact: elizabeth57@example.net,Best Regards,RM01,PB0002,,4100
200,I8F3,"Cooper, Barajas and ",2100,"Cooper, Barajas and Pierce, Jacquelineview","Official Purchase Order - Cooper, Barajas and Pierce",For inquiries contact: john13@example.com,Kind Regards,Z002,MK0001,,1000
300,N95S,Newton Ltd,4000,"Newton Ltd, East Javier",Official Purchase Order - Newton Ltd,For inquiries contact: lhill@example.net,Kind Regards,PR02,PB0001,,2000
400,HIZE,"Campbell, Garcia and",3000,"Campbell, Garcia and Lee, West Harry","Official Purchase Order - Campbell, Garcia and Lee",For inquiries contact: ericksondavid@example.org,Sincerely,RM02,ZPB001,X,1100
100,P5XH,Tran Ltd,1000,"Tran Ltd, Lake Miranda",Official Purchase Order - Tran Ltd,For inquiries contact: agarcia@example.net,Best Regards,PR01,PB0001,X,4000
200,Z6QL,Harrison-Alexander,1000,"Harrison-Alexander, North Johnny",Official Purchase Order - Harrison-Alexander,For inquiries contact: ewilson@example.com,Best Regards,Z001,MK0001,X,4100
300,9DCN,Jones-Soto,2100,"Jones-Soto, East Edwardshire",Official Purchase Order - Jones-Soto,For inquiries contact: christopher31@example.net,Best Regards,RM02,ZPB002,X,4000
400,J4U4,Obrien-Gibbs,3100,"Obrien-Gibbs, Port Alexandra",Official Purchase Order - Obrien-Gibbs,For inquiries contact: tkerr@example.net,Kind Regards,Z001,PB0002,,3000
100,B0AH,Torres-Oliver,2000,"Torres-Oliver, Port Jaredborough",Official Purchase Order - Torres-Oliver,For inquiries contact: donna23@example.org,Sincerely,RM02,ZPB002,,1100
200,TPA5,"Jones, Smith and Hay",4100,"Jones, Smith and Hayes, Carterbury","Official Purchase Order - Jones, Smith and Hayes",For inquiries contact: jasmine71@example.net,Sincerely,PR01,PB0002,X,4000
300,AOJD,Bradshaw Ltd,1100,"Bradshaw Ltd, South Danny",Official Purchase Order - Bradshaw Ltd,For inquiries contact: deborahkerr@example.org,Kind Regards,RM02,MK0001,,1000
400,NXMF,Brown LLC,2100,"Brown LLC, Scottmouth",Official Purchase Order - Brown LLC,For inquiries contact: holly48@example.net,With Thanks,PR01,ZPB002,,1000
100,250C,Kim-George,4000,"Kim-George, Navarroview",Official Purchase Order - Kim-George,For inquiries contact: davissuzanne@example.net,Sincerely,RM01,MK0001,X,3000
200,SOSR,"Sampson, Key and Cha",1000,"Sampson, Key and Chambers, Barbaraburgh","Official Purchase Order - Sampson, Key and Chambers",For inquiries contact: cstone@example.com,With Thanks,Z001,ZPB002,X,1100
300,EUTA,Shea Group,1100,"Shea Group, Costafort",Official Purchase Order - Shea Group,For inquiries contact: ricky51@example.org,Best Regards,RM01,PB0002,,2100
400,KKZ4,Jenkins-Simpson,3100,"Jenkins-Simpson, Cervantesside",Official Purchase Order - Jenkins-Simpson,For inquiries contact: gibsonleonard@example.com,Kind Regards,Z002,PB0001,X,4100
100,XVFI,Cordova Group,1000,"Cordova Group, Lake Mollymouth",Official Purchase Order - Cordova Group,For inquiries contact: hbrown@example.com,Sincerely,RM01,PB0002,X,2000
200,9SB5,"Avila, Garrett and W",4100,"Avila, Garrett and Wolf, West Andrea","Official Purchase Order - Avila, Garrett and Wolf",For inquiries contact: samuel71@example.org,With Thanks,RM01,ZPB001,X,1100
300,AFCB,"Lynch, Allen and Moo",2100,"Lynch, Allen and Moore, New Rickybury","Official Purchase Order - Lynch, Allen and Moore",For inquiries contact: murraydavid@example.org,With Thanks,Z001,MK0001,X,2000
400,T3G8,Cantu-Carter,1100,"Cantu-Carter, Robertfort",Official Purchase Order - Cantu-Carter,For inquiries contact: jsanchez@example.org,Sincerely,RM01,ZPB002,X,3100
100,QW8D,Lee-Greene,1000,"Lee-Greene, Port Chad",Official Purchase Order - Lee-Greene,For inquiries contact: ymorgan@example.net,Best Regards,Z002,ZPB001,X,3000
200,8UBE,Hoover-Campbell,4100,"Hoover-Campbell, Maryshire",Official Purchase Order - Hoover-Campbell,For inquiries contact: cgrimes@example.net,With Thanks,RM01,MK0001,X,2000
300,85GS,Reed-Arnold,1000,"Reed-Arnold, Gibsonmouth",Official Purchase Order - Reed-Arnold,For inquiries contact: tinaallen@example.com,Sincerely,RM01,PB0001,X,3100
400,SVUC,Chase Group,1100,"Chase Group, West Juliefurt",Official Purchase Order - Chase Group,For inquiries contact: ymcneil@example.net,Sincerely,Z001,PB0001,X,4100
100,7NDG,Simpson Inc,4000,"Simpson Inc, New Tammy",Official Purchase Order - Simpson Inc,For inquiries contact: molly71@example.net,Sincerely,RM02,MK0001,X,2000
200,FZMQ,Smith-Thomas,1100,"Smith-Thomas, North Terrance",Official Purchase Order - Smith-Thomas,For inquiries contact: matthew61@example.com,With Thanks,RM01,PB0002,X,2100
300,PCJD,"Villarreal, James an",1100,"Villarreal, James and Stewart, Brennanton","Official Purchase Order - Villarreal, James and Stewart",For inquiries contact: younggabrielle@example.com,Best Regards,RM01,ZPB001,,3000
400,A0ST,Francis Group,4000,"Francis Group, Port Cynthiaville",Official Purchase Order - Francis Group,For inquiries contact: tjackson@example.org,Sincerely,Z002,PB0001,,1100
100,95CE,Nguyen Inc,4100,"Nguyen Inc, Michaelchester",Official Purchase Order - Nguyen Inc,For inquiries contact: johnjenkins@example.net,With Thanks,RM02,PB0001,,2000
200,OLXP,Jackson Inc,3100,"Jackson Inc, Harveybury",Official Purchase Order - Jackson Inc,For inquiries contact: jdurham@example.org,Best Regards,Z002,MK0002,X,1000
300,NQET,Little-Stevens,3100,"Little-Stevens, Port Stevenport",Official Purchase Order - Little-Stevens,For inquiries contact: charleslandry@example.net,Sincerely,RM02,ZPB001,X,2100
400,PTKF,Fowler-Coleman,1100,"Fowler-Coleman, Stephenport",Official Purchase Order - Fowler-Coleman,For inquiries contact: yvonnecastaneda@example.org,Sincerely,Z002,PB0002,,4000
100,0VHV,James LLC,1100,"James LLC, Victoriaport",Official Purchase Order - James LLC,For inquiries contact: spencedominique@example.com,Kind Regards,PR01,ZPB001,,1000
200,YACH,Knight Ltd,1100,"Knight Ltd, New Julieport",Official Purchase Order - Knight Ltd,For inquiries contact: catherinegomez@example.net,Sincerely,RM01,ZPB001,X,4100
300,H62M,Oliver Ltd,3100,"Oliver Ltd, Lake Colton",Official Purchase Order - Oliver Ltd,For inquiries contact: parkerscott@example.net,Sincerely,RM02,MK0002,X,1100
400,IAW7,Oconnor-Davis,1000,"Oconnor-Davis, Markchester",Official Purchase Order - Oconnor-Davis,For inquiries contact: jamesbuchanan@example.com,With Thanks,RM02,PB0001,X,4000
100,91R0,"Shaw, Nelson and Mar",3000,"Shaw, Nelson and Martin, Coffeyport","Official Purchase Order - Shaw, Nelson and Martin",For inquiries contact: linda71@example.org,With Thanks,Z001,PB0001,X,1000
200,3TNK,Dalton Ltd,3100,"Dalton Ltd, Coffeyside",Official Purchase Order - Dalton Ltd,For inquiries contact: christopher60@example.com,With Thanks,Z001,PB0002,X,4000
300,GK2W,"Martinez, Richardson",1000,"Martinez, Richardson and Curry, Brendastad","Official Purchase Order - Martinez, Richardson and Curry",For inquiries contact: leonardthomas@example.net,With Thanks,RM02,MK0002,,2100
400,4CDP,"Murphy, Bishop and H",4100,"Murphy, Bishop and Holland, Blankenshipport","Official Purchase Order - Murphy, Bishop and Holland",For inquiries contact: cwilson@example.org,Sincerely,RM02,MK0001,X,3000
100,OT8H,Ferrell-Wilson,3100,"Ferrell-Wilson, New Derek",Official Purchase Order - Ferrell-Wilson,For inquiries contact: vwatson@example.net,Best Regards,RM01,MK0001,,1000
200,UCLH,"Barnes, Newton and M",1100,"Barnes, Newton and Moore, Penafort","Official Purchase Order - Barnes, Newton and Moore",For inquiries contact: rcrosby@example.org,Sincerely,PR02,ZPB002,,4000
300,Q790,"Wood, Ramos and Samp",3100,"Wood, Ramos and Sampson, Corystad","Official Purchase Order - Wood, Ramos and Sampson",For inquiries contact: bruce43@example.org,Best Regards,PR02,ZPB001,,1000
400,0SEJ,Davis-Lewis,2100,"Davis-Lewis, North Kristinbury",Official Purchase Order - Davis-Lewis,For inquiries contact: kristinharris@example.net,Kind Regards,Z002,ZPB001,X,1100
100,72J8,Willis and Sons,1000,"Willis and Sons, Kimtown",Official Purchase Order - Willis and Sons,For inquiries contact: michele22@example.net,Kind Regards,PR02,ZPB001,,2100
200,JCY1,Lindsey-Rodriguez,3000,"Lindsey-Rodriguez, East Alexisbury",Official Purchase Order - Lindsey-Rodriguez,For inquiries contact: alfred40@example.org,Kind Regards,PR02,PB0002,X,4000
300,IM2L,"Fisher, Wilson and B",1100,"Fisher, Wilson and Brown, Stricklandhaven","Official Purchase Order - Fisher, Wilson and Brown",For inquiries contact: hayesjeffrey@example.net,Best Regards,RM02,PB0002,X,1100
400,74RQ,Acosta Ltd,1000,"Acosta Ltd, Stephentown",Official Purchase Order - Acosta Ltd,For inquiries contact: lutzmelanie@example.com,With Thanks,Z001,PB0001,X,1100
100,EEE0,"Rodriguez, Joseph an",4000,"Rodriguez, Joseph and Wallace, West Charleneland","Official Purchase Order - Rodriguez, Joseph and Wallace",For inquiries contact: joshuaschultz@example.net,Best Regards,Z002,ZPB001,X,1000
200,NYKS,"Nguyen, Vang and Sch",4100,"Nguyen, Vang and Schmidt, Wagnerchester","Official Purchase Order - Nguyen, Vang and Schmidt",For inquiries contact: mcguiredanny@example.net,Best Regards,PR02,MK0001,X,3100
300,QW29,"Rich, Arnold and Gle",4000,"Rich, Arnold and Glenn, Hayesbury","Official Purchase Order - Rich, Arnold and Glenn",For inquiries contact: dmorgan@example.com,With Thanks,PR02,ZPB001,X,4100
400,PPFN,Blair-Edwards,3000,"Blair-Edwards, Elizabethstad",Official Purchase Order - Blair-Edwards,For inquiries contact: gloriawells@example.org,Best Regards,Z002,MK0002,X,4000
100,28ZB,Davis Inc,2000,"Davis Inc, Lisaside",Official Purchase Order - Davis Inc,For inquiries contact: willisanna@example.com,Sincerely,PR02,MK0001,,3000
200,SQ0P,"Martinez, Gomez and ",3100,"Martinez, Gomez and Ortega, Parrishton","Official Purchase Order - Martinez, Gomez and Ortega",For inquiries contact: caroline51@example.net,With Thanks,RM02,PB0001,X,4000
300,L7P7,"Lewis, Douglas and W",1000,"Lewis, Douglas and Walker, West Meganstad","Official Purchase Order - Lewis, Douglas and Walker",For inquiries contact: farmeraudrey@example.com,With Thanks,RM01,PB0001,X,3000
400,R1B2,"Villegas, Cardenas a",4000,"Villegas, Cardenas and Austin, New Sarahview","Official Purchase Order - Villegas, Cardenas and Austin",For inquiries contact: whitejacqueline@example.com,Sincerely,Z001,ZPB002,,3100
100,C8VD,Bell-White,3000,"Bell-White, New Diane",Official Purchase Order - Bell-White,For inquiries contact: thomascynthia@example.org,Kind Regards,Z001,PB0002,,1100
200,QB09,Reese and Sons,1100,"Reese and Sons, Barnesmouth",Official Purchase Order - Reese and Sons,For inquiries contact: mitchellgriffith@example.net,Kind Regards,Z001,PB0002,X,4100
300,GOK0,"Miller, Williams and",3000,"Miller, Williams and Moore, Lake Christophermouth","Official Purchase Order - Miller, Williams and Moore",For inquiries contact: ctucker@example.com,Kind Regards,Z001,PB0001,X,3100
400,BC5T,Lewis-Hunt,1000,"Lewis-Hunt, Russellport",Official Purchase Order - Lewis-Hunt,For inquiries contact: trose@example.org,Best Regards,Z002,MK0002,,2000
100,9FER,Foster PLC,3000,"Foster PLC, North Jamesborough",Official Purchase Order - Foster PLC,For inquiries contact: kathrynroberts@example.org,Sincerely,Z001,ZPB002,,4100
200,8D2T,Jimenez Group,2000,"Jimenez Group, East Omar",Official Purchase Order - Jimenez Group,For inquiries contact: vincentwhitaker@example.com,Sincerely,PR01,ZPB001,X,4100
300,7IA4,Sanders Ltd,4000,"Sanders Ltd, South Andrewland",Official Purchase Order - Sanders Ltd,For inquiries contact: barbara96@example.net,Best Regards,PR01,PB0001,X,1100
400,1FIV,"Butler, Wilson and S",3000,"Butler, Wilson and Smith, Georgemouth","Official Purchase Order - Butler, Wilson and Smith",For inquiries contact: christopher13@example.com,Best Regards,PR02,MK0001,X,3100
100,DXQ4,"Morales, Miller and ",3000,"Morales, Miller and Harrell, Jeffreyburgh","Official Purchase Order - Morales, Miller and Harrell",For inquiries contact: dixondaniel@example.net,Kind Regards,Z002,PB0001,X,4000
200,ZL7H,Bullock LLC,2100,"Bullock LLC, Jessicaberg",Official Purchase Order - Bullock LLC,For inquiries contact: curtisscott@example.org,Best Regards,Z002,ZPB001,X,4000
300,4XXZ,"Hernandez, Malone an",4100,"Hernandez, Malone and Jones, Marshallshire","Official Purchase Order - Hernandez, Malone and Jones",For inquiries contact: kmaldonado@example.net,With Thanks,RM01,PB0002,X,1000
400,GZ2U,"Downs, Morris and Ma",3100,"Downs, Morris and Maddox, Edwardland","Official Purchase Order - Downs, Morris and Maddox",For inquiries contact: tramos@example.com,Kind Regards,Z001,PB0002,X,2000
100,7WR1,"Brown, Romero and Co",2100,"Brown, Romero and Collins, Johnsonstad","Official Purchase Order - Brown, Romero and Collins",For inquiries contact: chase19@example.net,Best Regards,Z002,ZPB002,X,3000
200,J4ZX,"Cruz, Carpenter and ",2000,"Cruz, Carpenter and Best, South Reginashire","Official Purchase Order - Cruz, Carpenter and Best",For inquiries contact: marcalvarez@example.org,Kind Regards,Z001,PB0001,,1000
300,RGER,Hayes LLC,3100,"Hayes LLC, New Debbieton",Official Purchase Order - Hayes LLC,For inquiries contact: jasmineritter@example.net,Best Regards,RM01,ZPB002,X,3000
400,8JG2,"Bishop, Cox and Hard",4100,"Bishop, Cox and Hardin, Ortizmouth","Official Purchase Order - Bishop, Cox and Hardin",For inquiries contact: mccormickdeborah@example.org,Kind Regards,PR01,ZPB001,X,1000
100,Z93I,Davis-Gregory,1100,"Davis-Gregory, Johnathanberg",Official Purchase Order - Davis-Gregory,For inquiries contact: christopher25@example.com,Sincerely,PR01,PB0002,X,4100
200,XAM9,"Hale, Myers and Lars",4000,"Hale, Myers and Larson, West Angelicamouth","Official Purchase Order - Hale, Myers and Larson",For inquiries contact: elizabethcalderon@example.net,Best Regards,PR01,PB0002,,1100
300,D4YE,"Gaines, Davis and Sa",3100,"Gaines, Davis and Santiago, Andrewport","Official Purchase Order - Gaines, Davis and Santiago",For inquiries contact: stephaniepeterson@example.com,Best Regards,RM02,PB0001,,4000
400,J3MU,Perez and Sons,3000,"Perez and Sons, North Kenneth",Official Purchase Order - Perez and Sons,For inquiries contact: romeroamber@example.net,Kind Regards,PR02,ZPB002,,4000
100,PK0Z,"Johnson, Rogers and ",4000,"Johnson, Rogers and Miranda, New Nicholas","Official Purchase Order - Johnson, Rogers and Miranda",For inquiries contact: henryschwartz@example.net,With Thanks,PR01,ZPB001,,3000
200,DG3C,Griffith Inc,2000,"Griffith Inc, Diazbury",Official Purchase Order - Griffith Inc,For inquiries contact: wbishop@example.net,Best Regards,PR01,ZPB001,,3100
300,N7S3,Young-Allen,1000,"Young-Allen, Mckeeborough",Official Purchase Order - Young-Allen,For inquiries contact: erika97@example.com,Kind Regards,RM02,MK0001,X,1100
400,M8LH,Strickland-Shaw,3100,"Strickland-Shaw, Burchborough",Official Purchase Order - Strickland-Shaw,For inquiries contact: moniquewilliams@example.com,Best Regards,PR01,MK0001,X,4100
