BWESB,GLGMG,LFGJA,LFMON,MANDT,MATNR,TRAME,UMLMC,VKGLG,VKTRW,VKUMC,WERKS
1546.653,29.125,2026,09,100,725497795795660623,2797.701,98.116,446.09,109903.32,3425.59,P008
1829.661,968.135,2024,01,100,198723952107445990,2169.24,4075.055,11923.84,64697.43,186804.1,P009
610.883,538.255,2020,04,100,859658848781972721,2228.432,1245.277,2783.7,92230.65,46451.7,P023
959.524,794.046,2024,10,100,836415950383550929,170.917,3787.204,19191.47,1993.52,172838.5,P042
1929.184,393.036,2022,01,100,726720765375996493,1749.476,4251.446,7369.76,86482.42,81594.35,P026
804.851,32.765,2024,02,100,778752298590432259,216.827,1099.729,300.8,2353.83,35178.8,P001
1666.142,73.74,2022,01,100,875142319228603375,1464.549,1750.596,1592.21,14930.48,83658.46,P001
975.847,214.093,2026,09,100,103905341059248875,1680.643,4925.222,4618.19,82178.78,182299.68,P012
739.534,301.13,2026,03,100,893053364712126965,2159.567,37.232,1730.99,56233.88,1114.93,P009
1636.607,653.929,2024,04,100,134024248753334572,185.093,4206.904,4404.98,6403.59,140848.51,P027
863.385,730.579,2020,09,100,159305099765959887,1553.038,1228.102,15163.46,16242.24,36338.83,P043
593.405,479.807,2026,04,100,691743318674108119,1566.461,3773.505,8002.77,75130.48,118327.77,P044
929.749,602.991,2023,10,100,884914361657866249,1559.545,3708.623,8845.11,26700.56,137762.51,P008
1724.627,296.891,2022,11,100,464165139679359324,1803.024,3757.719,1882.21,58368.32,115109.99,P034
511.039,455.383,2020,08,100,806015944061291130,1498.858,2135.138,2996.27,23537.7,52855.23,P032
158.918,419.663,2021,03,100,695585805986516703,455.175,4097.609,9774.85,16208.89,179012.73,P021
1597.211,177.143,2024,07,100,472146902298000370,630.057,731.605,1169.3,14606.13,27999.38,P031
235.798,824.243,2022,08,100,905076332780164037,905.875,473.464,8763.16,30518.67,11308.36,P024
534.57,209.756,2023,01,100,985317168423626100,833.344,4027.917,1459.75,19013.18,145123.38,P037
211.246,263.534,2020,11,100,628072587081729546,1244.674,2564.157,6103.06,49745.35,58994.23,P037
1820.441,354.893,2025,11,100,183622423595181681,2661.597,4723.107,8574.1,81026.84,188146.27,P037
754.544,839.288,2024,12,100,495173647046858568,1492.736,4779.451,16821.7,16538.53,136809.2,P032
1470.55,535.512,2022,08,100,158307146368218831,371.989,1406.533,6731.69,11751.6,37660.34,P032
220.743,188.437,2022,01,100,803011943763605539,1963.922,1264.395,1378.15,54821.87,62726.41,P022
644.098,143.496,2021,12,100,762839983786517427,172.679,331.873,1848.22,4186.82,14110.76,P018
471.463,488.355,2023,07,100,160621523187627261,1398.747,3900.69,9797.67,68781.96,121070.61,P005
849.327,902.899,2024,06,100,240805380279677863,898.145,3895.383,14176.09,29166.88,193756.19,P034
1541.601,974.865,2023,03,100,418701746269897001,2289.927,293.061,15849.96,32607.38,4104.99,P046
1868.982,853.653,2026,11,100,836093177850235611,50.457,850.632,20836.64,916.88,21292.51,P031
448.595,615.502,2021,03,100,779869875054416288,2979.931,4957.323,11065.39,128367.91,225832.61,P012
1596.812,523.366,2021,11,100,267240308126367059,1057.326,1887.494,2695.81,17380.02,56154.37,P005
1956.876,507.671,2024,03,100,611462567019213275,1339.774,2373.543,8620.0,36954.79,51437.71,P001
1727.141,563.75,2020,10,100,156129464155207376,1824.59,1061.04,10035.92,85331.58,18788.97,P031
248.921,803.817,2026,03,100,436840095794690846,68.796,1550.657,5713.62,1983.79,15860.8,P026
1553.537,896.938,2026,03,100,220119324680447131,2176.95,4295.819,15277.41,45823.73,175872.88,P022
1640.386,345.106,2023,07,100,611763839817798292,2732.317,2870.072,4521.94,49115.89,83146.15,P001
437.384,946.561,2021,05,100,957934567773765568,1476.783,3836.495,11187.76,59746.77,46132.13,P023
1350.932,762.351,2020,12,100,505700414028645669,1476.253,628.661,9702.87,52539.33,6553.68,P027
1908.625,315.224,2024,04,100,463351883528368317,485.427,2777.056,6334.38,15607.15,110528.01,P041
301.763,957.02,2024,10,100,727977695626706996,1262.064,2658.702,15819.77,18836.53,90760.16,P027
914.79,132.952,2025,10,100,200940951409245674,1617.282,203.046,2531.53,47496.26,2320.25,P027
1289.277,965.929,2020,04,100,985603314627755336,1444.406,1085.248,12230.68,63229.52,46236.68,P023
1716.87,476.398,2021,11,100,667559442647982080,412.256,4723.39,6174.76,19806.39,59858.33,P017
138.708,720.041,2023,05,100,459208142250620040,2048.354,901.746,10756.52,92648.65,31257.6,P019
1515.05,726.588,2026,11,100,803077403314600415,2682.299,2599.43,16568.58,73892.77,115207.04,P001
1478.755,366.101,2023,05,100,594375759715819017,2002.987,2312.158,5532.76,96319.94,100679.63,P038
314.655,664.073,2024,09,100,203101714159419013,2626.96,4031.788,5586.88,80290.97,129035.59,P034
67.027,129.023,2026,03,100,755571385024678143,1618.289,1813.157,2648.07,16615.32,55298.01,P040
1205.881,729.167,2026,08,100,766588271541526100,1828.135,4304.047,12340.26,90487.47,65097.63,P020
858.499,638.33,2021,09,100,179616130658321921,171.577,4239.806,15197.86,7040.98,203428.57,P033
908.13,850.429,2022,10,100,686727745783786273,566.378,4405.292,10869.72,27426.59,120038.62,P039
1692.964,688.687,2021,06,100,150764683176766097,290.608,1816.103,11872.85,4713.28,56936.89,P032
1550.178,106.313,2024,11,100,914048905448103253,2904.736,764.615,1324.94,93505.35,8169.93,P014
861.734,355.256,2026,11,100,473861676897845166,2598.343,3293.8,7904.36,92632.37,68049.61,P009
956.733,687.643,2024,05,100,388013440021273612,425.562,3788.101,7466.0,6177.62,146922.75,P021
408.881,606.785,2024,05,100,984153887039026199,1141.856,3436.405,11968.91,13939.05,81204.38,P028
997.197,640.068,2023,08,100,768346175881869763,1141.677,4870.126,5517.73,32323.94,159303.65,P026
900.433,367.942,2023,05,100,405948759534147668,1678.846,999.517,4177.49,65750.55,30807.96,P009
493.479,671.445,2024,03,100,837945167214188096,1846.307,3244.09,3941.1,37441.1,141415.62,P013
1636.003,673.733,2023,01,100,597509020978050597,2078.399,340.148,13935.26,28729.65,10593.95,P013
743.461,744.763,2021,02,100,129349725064296194,272.017,2190.718,11511.07,10790.37,94061.06,P019
646.804,311.851,2026,04,100,170254631138033266,579.601,734.802,5735.84,24292.55,24972.32,P034
1864.961,107.26,2025,06,100,850000039733268999,2261.832,2058.49,2529.02,43108.53,88278.84,P001
1396.483,175.943,2022,04,100,948539692937765593,2226.255,1171.754,3603.56,70174.36,39655.15,P001
1987.259,729.125,2022,04,100,346060111557526621,1596.208,2911.844,13579.06,36796.55,72254.93,P038
1944.445,183.477,2021,01,100,316746743435691966,1815.915,3403.382,2661.72,40364.6,82320.76,P019
1860.785,894.431,2025,08,100,393574769146065465,273.121,740.139,10335.23,4116.1,14737.28,P007
470.058,601.638,2021,05,100,937252023736606572,2484.019,1974.946,10568.37,106585.57,38627.07,P011
537.833,706.112,2024,03,100,226165962733303091,1653.588,1287.642,4362.82,53368.06,52902.59,P050
882.782,830.033,2022,08,100,664702794026138955,569.63,4371.048,9632.99,16397.88,142343.61,P005
1239.15,289.447,2021,11,100,141843267626136491,2222.145,4569.889,5544.93,94338.01,118341.68,P012
1051.831,761.092,2023,11,100,760932627875874180,2539.268,4010.365,11808.09,56611.32,111875.83,P027
277.167,40.175,2021,07,100,247902781181971106,433.425,2945.659,491.23,10822.31,65339.81,P047
649.072,527.267,2021,09,100,202432729579707826,1664.532,798.903,11204.57,26330.27,18896.33,P046
906.58,896.188,2020,08,100,298685030311827960,994.955,1060.912,14323.27,48288.29,49440.86,P003
1195.161,781.187,2022,07,100,206107780229039289,2369.535,4651.056,14342.12,79034.36,105716.01,P026
1979.455,160.76,2024,01,100,418920345549215957,2622.268,2311.028,1078.79,104499.5,104237.86,P004
755.571,334.843,2024,01,100,718350679627984842,772.642,1318.634,2951.05,37856.07,38588.13,P015
1964.298,920.686,2025,01,100,989270981217369540,2079.931,4013.283,19498.7,58879.63,164908.2,P026
607.539,905.319,2021,03,100,637252913053365121,294.406,2619.039,16020.07,7478.34,101210.09,P012
971.963,402.229,2021,01,100,908998167047541519,2999.756,1248.668,8373.19,106163.8,61465.88,P007
1262.787,227.437,2023,04,100,131344966582141460,2650.083,386.751,4556.56,122254.61,15512.36,P049
1079.724,613.776,2021,03,100,819395559953499339,911.944,4920.625,14275.02,28494.57,212785.64,P042
552.412,26.834,2022,10,100,436372359014832748,47.678,1749.356,362.33,2083.8,30892.68,P050
1703.895,943.864,2021,09,100,947068707818837558,1062.002,3299.009,9091.41,44019.53,67762.48,P034
424.42,920.556,2025,02,100,567959668249058244,878.991,1768.805,21264.12,22685.07,59975.17,P015
612.613,670.358,2024,09,100,356494563189668596,1309.961,3276.865,14932.36,62496.62,58247.7,P029
1183.285,337.099,2022,07,100,286976503717293933,1993.966,3677.776,3934.84,71987.71,177830.05,P019
1154.467,768.606,2021,12,100,369773704475108604,2849.978,3334.748,5410.36,58137.1,148682.82,P015
350.708,585.986,2026,01,100,346060111557526621,2109.62,3069.239,13744.22,53501.67,150682.93,P043
543.023,906.447,2020,05,100,722504447687762226,478.494,611.43,10162.09,10548.39,14948.48,P018
1285.25,185.726,2025,05,100,988419149061850597,2765.121,1503.386,3948.35,34052.11,73294.64,P014
302.808,87.008,2021,02,100,523128651042851001,364.118,1518.317,1350.21,16575.18,40573.05,P009
1012.868,602.646,2022,08,100,469870294308758679,63.623,4170.894,4910.94,2926.76,128426.58,P026
1121.497,737.615,2023,03,100,396049297757965459,2583.513,2365.432,10749.03,125357.06,105540.37,P022
1693.951,28.769,2024,02,100,973912184369556344,1245.691,3609.414,676.26,13560.28,94140.08,P044
575.171,174.227,2022,07,100,907911926452115329,1858.952,2394.619,4018.54,75150.07,41333.84,P045
1322.678,432.122,2023,04,100,179821821675902742,1248.732,1278.4,9635.93,16161.99,63388.45,P028
1342.639,948.439,2025,08,100,359268090959757636,533.915,3568.14,16489.35,18069.44,156908.9,P049
163.734,97.664,2021,07,100,385677338635676881,2467.187,1356.114,1980.53,82404.25,50835.02,P011
1294.741,618.369,2020,10,100,399110786881713693,1586.011,3524.052,3471.99,67665.05,91988.39,P042
1825.719,283.837,2024,10,100,360384769467127903,1485.984,3593.395,1571.41,24434.39,166998.47,P009
1104.05,578.368,2023,06,100,128939172933640508,2289.054,4208.9,3548.36,36447.62,115718.67,P015
1918.815,917.602,2023,03,100,320242202746557841,542.137,3554.478,16362.99,23992.72,164111.06,P013
465.071,682.569,2021,11,100,544460313277147761,2901.831,904.649,4368.42,103999.31,35875.86,P024
1809.287,45.866,2025,11,100,139055662168676726,2354.903,2097.744,578.79,41161.71,25747.9,P019
71.734,713.13,2025,11,100,195116438291487420,282.686,1312.992,13541.14,4180.04,40685.98,P033
119.499,204.822,2020,08,100,894194325451029069,601.009,1772.815,3781.25,9482.29,23905.04,P019
556.577,436.648,2020,07,100,206094517700744678,1903.161,770.215,5905.09,91403.21,20677.09,P033
1272.535,744.952,2023,12,100,688609642713658889,1750.89,145.48,11282.04,37868.21,6256.17,P011
487.707,21.836,2022,08,100,898522476018835472,2328.104,1319.357,211.54,72142.9,61594.53,P023
1685.197,717.237,2022,07,100,836502258466384172,971.493,842.781,3936.63,14842.64,22095.51,P045
278.082,540.017,2023,02,100,129507313733448961,770.299,717.201,10314.59,13448.4,10311.49,P002
1338.834,384.951,2022,02,100,473020257045629551,397.583,1693.275,1935.27,11489.21,23511.73,P031
515.86,881.624,2024,04,100,449226140890782168,1379.489,4480.468,21271.34,46890.55,116212.77,P046
93.872,458.264,2022,08,100,786212106780403952,2529.961,4222.931,3246.9,66094.27,111202.56,P037
1174.676,700.234,2025,02,100,808048267067461762,106.79,1776.351,7448.58,3490.4,66617.27,P002
1746.176,734.498,2024,11,100,322597232029158191,1766.261,3357.583,9194.76,22583.69,164538.94,P033
493.095,617.177,2020,10,100,373397886565276360,2220.989,763.29,6105.11,62485.77,12718.18,P013
337.805,445.906,2022,10,100,617159439152998126,2794.114,2558.393,5465.29,112434.72,111881.36,P009
1789.046,435.507,2024,08,100,542401567634714740,441.201,3958.121,9681.29,21425.9,54183.47,P008
1400.841,904.733,2023,07,100,100635791645594044,2828.424,2169.957,21097.61,60407.1,75760.91,P040
1901.453,774.112,2025,07,100,263043790157703980,2372.3,1545.849,5341.42,66397.15,67269.83,P014
1476.273,949.361,2023,07,100,194160883402044034,1744.286,3526.359,5497.22,67281.17,145029.37,P033
1607.898,210.539,2024,05,100,292599217366802947,1570.409,2164.477,3464.46,20717.72,100793.17,P021
336.806,249.688,2021,06,100,791648439034471401,1972.242,4263.136,2133.25,53437.01,90037.78,P049
1151.208,506.9,2020,12,100,539764718110708241,1892.945,223.109,3987.8,53763.23,9569.26,P018
811.364,887.859,2022,04,100,391634962666314123,1642.04,1423.489,19802.14,49084.93,36027.74,P004
1305.36,560.652,2023,07,100,804538107690774476,1761.703,3047.343,3267.14,54024.91,92035.58,P025
1236.671,48.429,2021,02,100,656934724031845464,2785.261,54.431,1048.97,91299.63,644.85,P010
1674.999,759.054,2025,09,100,450378567173079485,2832.152,777.149,3951.59,42470.98,23682.41,P034
1645.591,762.899,2020,02,100,541497024136766475,2150.134,1162.136,18431.48,27450.38,55783.86,P040
1617.203,221.285,2024,08,100,699076665047627372,1991.959,1028.715,4099.07,87254.48,46862.01,P017
1829.778,14.843,2026,03,100,973773898397977434,435.4,3463.865,87.14,7795.48,121030.2,P021
95.679,337.62,2026,01,100,281287862807445648,843.405,1335.153,3329.5,12699.08,47514.79,P014
334.286,773.008,2020,10,100,245767672892469298,2620.918,4515.309,11754.06,111106.05,157701.85,P025
1098.308,631.461,2021,08,100,853654738712202391,1402.083,573.28,8033.38,22484.35,14397.57,P009
1072.481,308.217,2023,09,100,191486556825318344,41.723,4590.43,7642.23,1076.05,156358.43,P024
1223.123,425.77,2023,06,100,820563726810301794,120.551,4799.815,10123.6,4895.48,77885.83,P024
1484.934,8.037,2026,08,100,805795674943900710,1991.559,4817.535,122.84,34606.2,61296.76,P001
1481.629,80.678,2022,08,100,926908218468812172,1269.147,3723.704,1138.47,51573.09,112917.68,P027
1365.158,27.172,2025,10,100,689842287301140830,192.839,1496.878,670.54,4490.4,57374.67,P015
1985.908,171.253,2025,04,100,972181877967516787,1496.073,2704.778,1943.24,67307.61,119831.96,P041
942.562,980.003,2024,10,100,559578619950572109,1104.455,3058.525,14469.1,40551.05,139203.15,P001
1694.517,504.562,2020,06,100,262669680314995045,2927.111,2506.795,8255.19,49476.83,76696.48,P023
1574.972,368.877,2026,04,100,715409735297312669,642.142,357.131,7604.45,24155.01,5487.36,P042
600.399,809.103,2021,07,100,244521661691968755,1287.022,958.783,4687.9,14397.76,28498.83,P020
1663.56,914.259,2022,05,100,766066388395846392,561.079,84.651,18710.89,25972.92,1874.45,P002
107.765,48.671,2023,03,100,706880152884708401,2127.325,3259.151,484.14,75111.05,147749.45,P042
1317.507,190.428,2020,03,100,144748814572296071,2505.143,507.217,3536.91,75902.11,7355.23,P040
1547.359,55.563,2024,12,100,539634537259621650,2023.948,3920.411,1355.03,85286.22,164883.28,P003
1201.658,677.888,2023,10,100,777541211770211399,93.792,2236.555,12601.79,3020.23,66919.44,P013
1863.832,864.79,2026,10,100,292547692226241132,1277.615,2661.417,16028.87,62096.43,125552.71,P040
1080.046,952.943,2020,04,100,392621879140463721,842.057,4303.56,13654.5,35684.08,148405.18,P016
537.414,707.075,2022,07,100,944776902305761440,1893.435,1438.158,13904.34,60119.78,40632.06,P013
280.154,958.403,2025,04,100,421756002043198684,1453.014,4560.663,9428.89,70597.83,179036.13,P050
30.197,220.404,2022,07,100,945590623018475985,2500.357,4164.37,2300.03,91701.18,64837.63,P049
1525.345,306.623,2020,04,100,375817757907135999,2686.391,4490.099,4260.69,87547.91,131468.09,P026
992.328,495.115,2021,12,100,155822359475760895,264.01,1763.409,10525.33,6869.83,81316.72,P028
1309.311,800.88,2025,01,100,144207003444621621,1034.838,2709.011,19926.07,25717.02,105598.92,P044
1977.202,638.048,2026,08,100,730281550686630532,2482.887,3361.183,11644.04,123962.48,114038.99,P010
1705.838,231.797,2021,09,100,813970407124698135,181.562,4376.111,5619.08,4943.73,165343.91,P028
5.908,524.459,2022,05,100,737891846509959099,1443.807,188.451,7437.99,65908.02,4042.24,P050
1812.311,881.667,2024,01,100,861099613443817786,511.583,1352.783,4573.91,14587.29,59352.04,P002
210.233,846.952,2024,02,100,978144725285449429,410.01,1193.533,6039.15,8485.84,34986.37,P050
1983.082,564.674,2023,08,100,132301454602331467,1538.788,3690.509,12217.13,44862.28,158976.88,P050
385.571,185.55,2025,02,100,313986402155848358,1592.499,3377.158,4221.96,76683.85,52203.77,P031
1073.922,627.832,2025,08,100,326943329401267710,1594.998,2627.698,13538.14,44935.23,76416.56,P043
1716.521,959.728,2025,01,100,428946854155542056,315.063,4385.961,11094.19,13351.87,159185.18,P028
1380.215,310.594,2023,10,100,319744673728359140,887.016,1646.751,3657.92,14320.47,61091.8,P044
716.824,778.373,2022,02,100,134024248753334572,888.538,4699.915,18752.16,23897.74,206380.87,P003
840.747,858.488,2023,06,100,838411904428259293,1032.928,2875.311,5683.47,46474.75,132555.43,P031
315.647,714.149,2021,08,100,146330607676074899,2173.503,3304.401,10556.17,43667.13,94402.34,P015
1445.225,515.168,2024,03,100,132962543196225856,2566.597,15.083,9787.07,80871.02,707.84,P009
505.644,382.875,2025,02,100,892351524165766744,1800.192,3147.535,2691.51,19685.33,79865.78,P047
605.344,179.397,2025,06,100,857580379465280959,208.212,1656.737,2750.58,6968.24,25762.49,P033
502.05,795.566,2024,03,100,238298916667737640,2972.446,908.109,15507.22,128082.03,23417.58,P007
216.796,920.295,2025,11,100,379228398090858997,765.186,249.646,16544.88,15010.2,3786.77,P023
171.586,643.071,2023,09,100,666563088882930252,2572.7,4313.829,8557.31,43967.61,152539.78,P006
1808.496,675.89,2021,09,100,665062044551076107,946.885,2143.679,8022.65,39502.39,23187.42,P011
123.405,956.591,2023,09,100,993644558980156839,2152.186,969.573,10305.29,100660.79,29450.52,P020
1002.534,768.641,2021,02,100,264856986489346115,2050.513,193.151,10287.46,49836.64,9334.46,P017
885.929,632.05,2024,06,100,415782796663328492,1187.678,704.593,14044.9,13478.5,10860.54,P009
1099.6,873.609,2021,05,100,903850289968453462,749.416,1384.143,4899.77,12485.3,46051.49,P028
658.343,877.748,2024,08,100,490990326815247380,2696.502,1317.069,17265.32,131384.02,56195.45,P037
1354.401,847.03,2026,12,100,372699613026757659,669.593,568.245,17435.48,32934.28,19679.71,P016
640.657,646.804,2024,07,100,216134200234911806,934.31,1180.201,6470.48,31417.31,35057.87,P026
1278.303,404.045,2026,11,100,250747252467744961,330.969,1096.815,3158.94,3776.58,25397.68,P039
1429.37,834.371,2023,12,100,905178037004321735,2996.111,2274.447,12321.5,98537.77,76141.81,P040
339.432,78.75,2025,06,100,979167048651375285,370.042,1324.191,877.81,13064.34,37105.69,P023
1770.038,101.368,2025,12,100,997740946270550168,991.388,1026.508,1163.03,29832.13,12808.47,P004
380.251,511.599,2023,07,100,164071984953961999,636.792,3328.715,11424.8,22521.56,82530.82,P045
904.153,926.454,2023,11,100,504177536647393345,158.579,3118.841,19792.86,4152.07,67513.65,P007
1671.009,112.444,2024,12,100,609020193602799886,1453.663,1626.469,2171.79,71716.69,59298.79,P048
1948.917,841.716,2023,09,100,983791207068518603,1002.97,4447.395,15162.15,38045.89,212556.5,P015
1126.845,41.531,2022,01,100,152160678563384557,1140.875,479.409,672.43,27430.5,13313.65,P025
814.678,513.126,2024,11,100,897857512586947984,2716.981,4565.161,7082.19,64516.25,70955.47,P048
402.877,256.205,2021,12,100,177234539945763524,2405.474,2664.828,2154.65,86491.12,55847.65,P005
1061.452,883.319,2025,07,100,579949669619785760,2665.187,1158.802,18190.65,81661.93,31814.98,P020
1933.931,557.444,2025,06,100,384818015310558729,1626.965,2984.842,10464.82,71096.8,91881.47,P032
1274.277,586.591,2022,04,100,725371812336251119,289.185,4265.917,8601.05,7610.42,202161.76,P040
1793.181,380.233,2023,05,100,175976422620314848,1741.58,2125.504,3681.56,19525.24,30302.87,P036
1741.767,121.701,2023,07,100,673956708670569356,1745.422,2750.74,2699.67,82787.76,94467.61,P026
1636.613,383.876,2023,07,100,305441796066878079,1729.727,702.649,4441.38,49534.87,19036.91,P007
1884.666,155.575,2026,07,100,253147543325600985,2521.007,523.383,1963.9,29830.06,6636.44,P047
471.479,139.155,2021,11,100,361323588928356643,770.485,3905.993,3176.65,37990.85,61957.33,P029
886.133,499.324,2024,04,100,775561780409570849,2433.194,4998.636,2537.53,34833.78,161681.17,P036
1547.284,969.6,2024,03,100,766812877323209947,453.304,4993.314,5603.19,21167.63,134068.35,P032
1407.861,628.932,2020,07,100,114450851828297760,1435.749,1462.363,11587.06,50682.89,38730.68,P030
820.589,276.863,2022,07,100,251582396983527106,560.107,1765.954,2545.59,26532.08,44700.35,P004
270.123,227.76,2025,01,100,579492172273233815,2633.607,1986.634,1915.55,80315.24,79099.39,P037
453.89,968.221,2025,08,100,133000041110106700,2366.531,672.434,16188.9,35577.46,28005.25,P031
745.734,141.001,2020,10,100,121945358031800339,2498.826,3225.515,3166.46,123747.19,71760.72,P024
1748.733,101.368,2026,04,100,996768202091621507,778.947,133.541,1573.62,38512.87,4859.8,P009
1855.301,44.023,2023,02,100,960655862789831476,2084.708,1207.197,780.97,42734.26,58069.43,P045
256.856,894.667,2024,07,100,751502766487498670,2363.082,1347.121,17889.16,78764.76,16961.81,P024
1342.288,132.909,2023,05,100,771106983090075400,505.305,2825.568,2602.4,13970.76,100569.98,P036
184.375,418.753,2024,09,100,302325846965623444,1400.175,260.378,5817.64,41950.55,4423.89,P008
1889.173,767.764,2022,03,100,396895961489357175,2710.309,1307.069,10027.34,90438.43,35169.89,P039
25.282,709.297,2022,03,100,370859423897878987,2923.957,398.496,9104.63,63043.11,10024.93,P041
935.922,248.934,2026,10,100,127474906010869813,553.314,4676.027,5609.76,19813.02,65815.56,P013
1807.97,296.13,2020,06,100,894486085065334150,2444.823,8.159,2044.53,37336.34,301.45,P018
1835.133,14.231,2022,08,100,674254065296807268,1130.858,3671.531,196.66,33474.32,100740.72,P017
52.399,558.106,2022,11,100,921063794554959522,2096.977,3808.552,13714.25,38553.54,106418.88,P042
1954.429,640.921,2025,03,100,923521547446682595,2867.294,3447.674,6974.68,109095.34,130879.04,P044
