BKLAS,BWKEY,BWTAR,LBKUM,LFGJA,LFMON,MANDT,MATNR,PEINH,SALK3,SALKV,STPRS,VERPR,VKSAL,VPRSV
3000,V044,VAL455,107.299,2025,01,100,410574434746910006,3,37555.72,19719.41,183.78,350.01,42897.65,V
3000,V271,VAL471,3397.239,2024,12,100,601345058600593832,6,338025.28,443407.63,130.52,99.5,470842.29,V
3000,V427,VAL222,3914.982,2024,10,100,385923247898803455,9,1810757.47,71644.17,18.3,462.52,2139965.09,V
3000,V473,VAL646,619.6,2021,05,100,200145569795435965,5,228675.77,86043.85,138.87,369.07,315382.62,S
3000,V113,VAL301,9877.426,2024,01,100,532856131168808694,1,2091248.63,1563596.54,158.3,211.72,2803267.96,V
3001,V376,VAL490,1883.362,2026,03,100,859713586134472783,1,213949.92,823311.7,437.15,113.6,232771.21,V
3002,V168,VAL087,3167.277,2025,02,100,316283305349034990,1,507207.74,508379.63,160.51,160.14,512618.92,V
3000,V365,VAL942,8142.521,2022,09,100,439852278391043928,3,1548788.92,2598034.18,319.07,190.21,1679980.49,S
3002,V364,VAL444,7985.894,2021,06,100,850959309921064246,7,1843144.34,2432343.59,304.58,230.8,2103322.84,S
7900,V101,VAL248,3936.843,2021,01,100,342308847690907964,9,295735.65,1223373.96,310.75,75.12,370063.67,V
3000,V288,VAL523,1582.572,2021,09,100,634890311780857002,6,252531.01,197631.59,124.88,159.57,363108.35,V
3000,V090,VAL880,944.822,2026,07,100,762839983786517427,5,321664.65,69094.83,73.13,340.45,417819.41,V
3001,V171,VAL704,5957.061,2026,11,100,834646058904695030,10,520647.13,2191185.75,367.83,87.4,662322.39,V
7900,V062,VAL717,8021.412,2022,08,100,941950900488001017,9,3504795.55,3248671.86,405.0,436.93,3949888.4,S
3001,V327,VAL433,8708.962,2021,11,100,802044148150019798,8,3662379.79,3293555.25,378.18,420.53,5406894.75,V
3000,V223,VAL224,1772.974,2026,11,100,131115957871366775,1,842694.54,415514.19,234.36,475.3,904139.97,V
3000,V416,VAL684,9236.082,2023,01,100,709242166782269328,6,494499.83,4548862.75,492.51,53.54,631194.01,V
3002,V142,VAL569,54.468,2023,11,100,828617297880940312,4,1208.64,1676.53,30.78,22.19,1537.44,S
3002,V456,VAL900,7394.801,2021,02,100,434685228680794352,2,2559192.73,144198.62,19.5,346.08,3062109.89,S
3000,V140,VAL426,5476.712,2022,03,100,855229502530778675,4,838539.37,2341622.98,427.56,153.11,1128623.18,V
3001,V220,VAL472,5263.858,2022,11,100,549078558171243278,3,840269.65,2442588.03,464.03,159.63,1209814.3,S
7900,V435,VAL926,1457.125,2022,05,100,645929113947964410,1,168807.93,447002.24,306.77,115.85,172411.91,S
3001,V283,VAL160,9180.361,2024,06,100,596018559563619864,5,2593176.57,4263726.86,464.44,282.47,2806542.61,S
3001,V187,VAL737,8909.162,2023,01,100,326111355623727304,4,1041213.76,1157121.96,129.88,116.87,1449655.06,V
3000,V384,VAL095,1275.172,2026,05,100,448627137550689896,1,54679.38,34467.9,27.03,42.88,57516.92,S
3002,V436,VAL890,8822.172,2021,03,100,578724492753865926,5,4204206.07,309834.68,35.12,476.55,4774964.33,V
3002,V030,VAL060,6856.232,2021,10,100,714092931673736039,4,935121.48,373390.39,54.46,136.39,1158655.71,S
3001,V054,VAL347,8779.014,2022,10,100,220456615150693281,9,4130965.04,1040137.58,118.48,470.55,5630824.8,V
3000,V196,VAL009,3029.822,2021,05,100,287315763622290076,9,951939.77,867953.11,286.47,314.19,1208675.77,V
3000,V275,VAL948,4300.73,2022,09,100,657627074195679702,7,886036.39,1638922.19,381.08,206.02,1302281.69,S
7900,V485,VAL216,5963.81,2021,07,100,146947825445233380,3,2729993.67,973114.88,163.17,457.76,3487194.36,S
3000,V252,VAL137,5292.879,2024,08,100,409401848606300371,3,819443.53,1112827.81,210.25,154.82,1137603.37,S
7900,V466,VAL219,204.294,2022,05,100,664312098296497024,1,46076.47,43612.68,213.48,225.54,55251.52,S
3000,V110,VAL920,9041.75,2026,04,100,770577377321319995,6,3448161.78,2810175.9,310.8,381.36,4266488.34,V
3000,V159,VAL153,4776.443,2023,02,100,307059557410550444,4,1335397.93,688237.67,144.09,279.58,1822199.02,V
3002,V144,VAL579,5431.258,2024,02,100,150095217465173105,6,646917.14,1583374.64,291.53,119.11,891480.39,S
3000,V396,VAL375,6281.286,2022,05,100,906011710816440950,6,2479851.71,1259020.97,200.44,394.8,3057768.05,S
7900,V414,VAL951,4596.102,2020,02,100,828930378627100688,4,723472.42,410937.48,89.41,157.41,839876.99,S
3002,V265,VAL086,7456.249,2026,07,100,316266867443575106,6,2150158.52,1723437.39,231.14,288.37,2867734.69,S
3002,V221,VAL758,4225.991,2024,07,100,198182112166634922,6,1796215.21,1434174.57,339.37,425.04,1869422.42,S
3000,V368,VAL104,4912.516,2022,04,100,414989666353046098,5,949834.97,1398937.18,284.77,193.35,1223631.41,V
3001,V241,VAL095,5860.692,2020,10,100,702068869028138489,5,2895064.63,2643816.77,451.11,493.98,2916909.77,V
3002,V459,VAL092,8749.398,2026,05,100,333567273424949889,1,159939.0,3190642.97,364.67,18.28,207083.62,S
3001,V332,VAL998,4049.85,2024,08,100,859377707033621805,8,1139020.31,501938.41,123.94,281.25,1377282.82,V
7900,V492,VAL365,7254.313,2020,04,100,433440016701927785,2,1379044.9,2634403.77,363.15,190.1,1466757.08,V
3001,V405,VAL125,2541.904,2025,03,100,407149465800223676,2,540993.43,261968.63,103.06,212.83,806672.36,V
7900,V304,VAL438,6618.121,2021,08,100,925727129348177058,3,280277.42,439575.6,66.42,42.35,367078.48,V
3001,V021,VAL642,3205.554,2020,01,100,594801601745419833,3,606779.32,888900.12,277.3,189.29,691219.7,V
3002,V130,VAL186,6703.235,2023,01,100,207867724451297270,9,134869.09,2129617.76,317.7,20.12,171378.81,V
3000,V405,VAL141,2976.139,2023,10,100,416908808497138902,7,150503.35,1176795.12,395.41,50.57,213950.43,V
3000,V214,VAL037,7414.249,2023,09,100,478165307785876618,6,1604146.91,319924.84,43.15,216.36,1889575.72,V
3000,V269,VAL699,2796.512,2022,09,100,591534268878968512,2,1267295.34,1133817.83,405.44,453.17,1877760.81,S
3000,V394,VAL317,4779.805,2025,11,100,196884716989328590,9,2065544.93,552354.27,115.56,432.14,2879848.96,S
3000,V193,VAL553,3399.697,2026,09,100,827999952065964779,4,551566.84,1378985.1,405.62,162.24,553447.02,S
3002,V454,VAL624,9190.416,2020,12,100,939203006929652922,5,3250190.62,2224815.91,242.08,353.65,4847995.83,V
3000,V343,VAL914,4786.849,2025,04,100,796110223917183311,7,1215237.36,1776112.45,371.04,253.87,1269002.37,V
7900,V477,VAL758,4982.019,2024,09,100,751853364169008778,3,1036907.61,1578901.46,316.92,208.13,1093044.29,V
3001,V437,VAL106,4608.034,2025,01,100,940822696448698542,9,2187203.34,167870.68,36.43,474.65,3125982.01,V
3001,V098,VAL267,5416.721,2021,06,100,990253668486207815,4,923659.26,2377128.01,438.85,170.52,1326383.62,S
3001,V374,VAL346,3555.381,2024,08,100,522920600144130266,7,1138930.75,1289003.38,362.55,320.34,1498033.68,V
3002,V161,VAL731,2280.045,2025,10,100,749586265551130810,1,1040977.35,299164.7,131.21,456.56,1533756.46,S
3001,V122,VAL297,6429.393,2026,03,100,944285952833543201,3,775963.44,2898177.48,450.77,120.69,884244.48,V
3002,V106,VAL091,1833.965,2023,02,100,425073284847724863,10,77503.36,817343.18,445.67,42.26,96751.95,S
3000,V406,VAL505,3176.252,2024,12,100,629935020922703813,6,797747.45,810166.6,255.07,251.16,924398.29,S
7900,V368,VAL952,5687.958,2024,09,100,472105951400081020,6,2789147.08,419600.66,73.77,490.36,3107383.21,S
3002,V445,VAL755,9205.48,2020,01,100,841827798744373965,2,1577082.83,1547349.13,168.09,171.32,2116563.72,S
3001,V484,VAL351,5898.516,2026,06,100,441205189440138989,2,2598178.33,1872071.01,317.38,440.48,2679216.47,V
3000,V227,VAL772,2119.614,2022,12,100,747401763746973333,7,1034604.79,405715.32,191.41,488.11,1546455.67,S
3002,V149,VAL042,6814.458,2024,09,100,812953086107954208,2,2634469.46,2847080.55,417.8,386.6,3627533.24,S
7900,V333,VAL650,881.963,2025,05,100,876036309734393707,3,192814.75,92138.67,104.47,218.62,227919.78,V
3000,V421,VAL748,9460.261,2021,10,100,822905897362847181,5,4534965.32,1114797.16,117.84,479.37,4955485.92,V
3002,V380,VAL986,3823.023,2023,03,100,283682418724041492,10,439532.95,426343.52,111.52,114.97,604687.37,V
7900,V085,VAL190,4962.156,2026,08,100,399803691653643101,6,1204861.1,2329087.16,469.37,242.81,1692297.44,V
3001,V063,VAL841,4214.143,2022,05,100,905437945287958083,9,144123.69,652433.62,154.82,34.2,150864.5,S
7900,V072,VAL581,7816.859,2025,01,100,166009030709049985,4,3867860.0,3555185.64,454.81,494.81,4342649.76,V
3001,V070,VAL679,5585.444,2022,04,100,372699613026757659,4,2238701.81,934221.36,167.26,400.81,2524120.98,S
3000,V083,VAL159,9784.233,2026,04,100,424886714656476103,6,4419733.73,353602.18,36.14,451.72,5357849.22,V
3001,V091,VAL637,2627.853,2022,09,100,745817100567067847,6,881145.39,1104775.68,420.41,335.31,910807.32,V
7900,V221,VAL362,4241.338,2025,04,100,866219538560168225,2,951841.07,146750.29,34.6,224.42,1136115.34,S
7900,V237,VAL253,1041.849,2022,03,100,624213233887765765,4,467529.74,509724.62,489.25,448.75,634606.22,S
3002,V268,VAL244,8827.675,2024,02,100,649789472364823747,1,948621.96,1953741.03,221.32,107.46,1000732.88,V
3002,V143,VAL292,7667.451,2023,01,100,565044637907176427,9,314595.51,369034.42,48.13,41.03,387141.7,S
3002,V177,VAL802,7048.558,2024,11,100,365035543584607999,8,505593.07,2575613.58,365.41,71.73,663764.93,S
3001,V237,VAL727,3317.064,2022,11,100,862699757486967982,8,940288.13,1353859.67,408.15,283.47,1297404.82,S
3001,V365,VAL715,6120.811,2022,01,100,718178584595223961,6,619364.87,2863315.39,467.8,101.19,877665.32,V
3002,V115,VAL342,8092.76,2020,07,100,993998447593434679,9,2475332.5,2544363.74,314.4,305.87,3504710.2,V
3002,V052,VAL105,235.608,2024,03,100,800755134961409988,8,57200.91,23541.95,99.92,242.78,82515.37,S
3002,V018,VAL873,4649.928,2020,02,100,475885000709531336,4,904457.5,1690527.82,363.56,194.51,1311932.32,S
3002,V030,VAL930,6434.133,2022,06,100,102062053018771959,2,2198864.95,1240307.82,192.77,341.75,2382620.2,S
7900,V370,VAL413,815.107,2022,06,100,976320878320417946,6,139921.27,77427.01,94.99,171.66,151722.99,V
3001,V481,VAL058,1033.433,2020,03,100,523251275085637222,4,329344.76,76277.69,73.81,318.69,462614.8,S
3002,V390,VAL621,8855.974,2020,07,100,224941389313709894,2,3113937.58,1887827.98,213.17,351.62,4526954.74,S
7900,V386,VAL414,2831.063,2023,11,100,774633050455575929,10,427377.27,1314773.97,464.41,150.96,498752.04,V
3002,V469,VAL525,8767.225,2022,05,100,490635847748241681,8,2560468.06,1428706.99,162.96,292.05,3329731.55,V
3002,V246,VAL979,8393.316,2020,08,100,704981583407333560,3,101810.92,2350128.48,280.0,12.13,119012.61,V
7900,V176,VAL015,1943.961,2022,04,100,647373121151207768,7,711742.44,348766.04,179.41,366.13,766235.47,V
3002,V097,VAL169,5416.8,2021,10,100,144207003444621621,8,1112014.87,1792202.45,330.86,205.29,1316584.13,V
3001,V337,VAL415,2911.035,2021,08,100,586512852222969350,10,307696.4,768920.78,264.14,105.7,431277.17,S
3000,V175,VAL104,6028.279,2023,12,100,917997259966156041,10,619526.23,980921.56,162.72,102.77,772708.44,S
3000,V465,VAL733,2818.143,2025,06,100,755464125350655765,9,389467.36,436163.99,154.77,138.2,404643.78,V
7900,V293,VAL853,2673.883,2026,08,100,231839459548884078,9,1115811.38,211263.5,79.01,417.3,1373319.12,V
3001,V447,VAL966,2500.171,2022,07,100,121639496124110883,8,773202.88,1244485.12,497.76,309.26,965985.87,V
3001,V269,VAL431,1846.041,2026,03,100,803416258207706674,1,432822.77,915174.83,495.75,234.46,481823.94,S
3002,V379,VAL959,5681.97,2026,09,100,261008550495110180,3,181198.02,2415973.64,425.2,31.89,218359.89,S
7900,V460,VAL231,817.304,2020,12,100,334817693963328339,3,382580.0,307510.63,376.25,468.1,558769.01,S
3000,V475,VAL561,6490.579,2022,08,100,417768436452615412,4,2609342.57,2109762.7,325.05,402.02,2819985.71,V
3001,V190,VAL072,6505.294,2026,02,100,113409045264953657,2,1192290.28,2824273.39,434.15,183.28,1302014.88,V
7900,V096,VAL376,5362.064,2022,07,100,679122264174578219,6,768705.5,2582530.88,481.63,143.36,872281.37,S
7900,V234,VAL971,7307.788,2021,08,100,150764683176766097,1,558753.47,3251746.43,444.97,76.46,691215.08,V
3001,V279,VAL189,8750.093,2023,09,100,435116422340590648,3,1931758.03,3348923.09,382.73,220.77,2423763.46,V
7900,V401,VAL840,6194.351,2026,10,100,740767385266219654,8,1649803.45,2443609.53,394.49,266.34,1970640.87,V
7900,V281,VAL424,1863.049,2021,01,100,568775023889369366,1,583935.45,915837.63,491.58,313.43,610613.9,V
3001,V477,VAL974,4827.638,2020,05,100,773699799419552019,5,1082549.55,109346.0,22.65,224.24,1322422.39,V
3000,V171,VAL899,3472.684,2022,06,100,972040280151464873,8,765449.01,1035311.28,298.13,220.42,913914.49,S
7900,V332,VAL032,6408.037,2025,03,100,112365967232406066,3,853550.53,1117497.57,174.39,133.2,1028865.79,V
3000,V238,VAL913,2359.018,2025,09,100,662171708158659103,10,390181.58,1109186.67,470.19,165.4,401229.67,V
7900,V361,VAL046,4235.845,2023,05,100,180075908909408223,10,515629.41,402235.84,94.96,121.73,746301.6,S
3001,V300,VAL379,7188.501,2026,05,100,522239646828775066,1,2677429.08,883826.2,122.95,372.46,3452604.39,S
7900,V053,VAL159,9067.682,2026,10,100,671670584951296544,3,4520964.89,3979261.57,438.84,498.58,5029407.69,V
3001,V173,VAL936,7851.033,2024,04,100,506840242699997188,7,2895146.93,784475.22,99.92,368.76,4338291.6,V
3002,V083,VAL778,8178.986,2026,12,100,656708822089861552,2,1797577.54,3731989.52,456.29,219.78,2438263.71,S
3001,V419,VAL603,4067.131,2021,04,100,861871454008673062,1,1991552.04,1715678.54,421.84,489.67,2649192.56,S
3001,V061,VAL618,5871.325,2026,09,100,597218774707810782,9,420563.01,370421.89,63.09,71.63,535552.14,V
7900,V105,VAL053,4282.542,2020,07,100,598962720241008910,3,1542785.76,1994508.29,465.73,360.25,1687770.2,V
3001,V410,VAL127,111.775,2023,03,100,848372244437639284,4,33694.57,37033.29,331.32,301.45,43085.64,V
7900,V498,VAL279,8006.534,2021,07,100,666160660360772018,2,104965.66,2833672.51,353.92,13.11,105983.86,S
3001,V366,VAL394,4011.625,2024,08,100,664408623772605041,6,1635539.51,539643.8,134.52,407.7,2399422.5,S
3001,V267,VAL210,105.417,2026,05,100,548185802785519985,3,34378.59,6651.81,63.1,326.12,47344.26,V
3001,V073,VAL412,4766.047,2021,07,100,384297639054048782,1,2040249.4,169623.61,35.59,428.08,2509709.53,S
3001,V114,VAL994,8890.474,2020,11,100,935168821560844534,1,1884691.58,3767338.36,423.75,211.99,1922104.03,S
3000,V238,VAL494,4089.431,2023,10,100,250191079194315749,10,1068650.11,584379.69,142.9,261.32,1240915.95,S
3001,V333,VAL783,872.536,2024,06,100,442120948246188076,4,426399.62,115139.85,131.96,488.69,466042.84,V
3001,V420,VAL440,6077.203,2020,01,100,853662904090226878,8,2013377.35,1142757.25,188.04,331.3,2163323.36,V
3002,V398,VAL567,2496.729,2026,09,100,715625126974252738,8,519769.04,638738.18,255.83,208.18,646157.34,V
7900,V169,VAL873,5966.663,2025,11,100,217701474054214374,3,205551.54,244394.52,40.96,34.45,249139.44,V
3000,V479,VAL891,4940.86,2025,07,100,320792500106382371,10,659011.91,1389567.47,281.24,133.38,871933.55,S
3000,V395,VAL603,2712.845,2023,03,100,242002601432457284,7,52412.17,160898.84,59.31,19.32,75807.69,S
3001,V441,VAL951,5252.396,2025,01,100,444637781816875287,6,2342043.38,2235052.07,425.53,445.9,2358786.79,S
3000,V483,VAL578,2875.948,2023,10,100,865551811100447700,4,703083.01,148974.11,51.8,244.47,841527.06,V
7900,V227,VAL205,434.14,2026,08,100,227454292652877925,7,25709.77,105074.9,242.03,59.22,37230.47,V
3000,V270,VAL172,5132.221,2021,06,100,852049294831356011,5,90429.73,123275.95,24.02,17.62,100542.06,S
7900,V043,VAL270,3379.402,2024,08,100,928238746220705304,5,401202.61,824371.32,243.94,118.72,526284.33,S
3002,V103,VAL503,7065.753,2020,08,100,919468131906377687,3,1420145.7,72494.63,10.26,200.99,1954418.49,S
7900,V151,VAL271,2883.645,2023,03,100,728920614681747671,6,262411.7,269390.12,93.42,91.0,278042.77,V
7900,V163,VAL535,5981.25,2024,12,100,503288614630946230,8,2953421.62,1614758.06,269.97,493.78,3019400.33,V
3002,V327,VAL348,9480.751,2021,11,100,852769476677693642,7,3736743.2,1080331.58,113.95,394.14,3819999.87,V
3000,V278,VAL479,9898.709,2021,09,100,950487808732380549,10,4615768.01,2894184.54,292.38,466.3,4661164.31,V
3002,V470,VAL544,6518.133,2023,12,100,697901654111858831,3,700373.39,1151884.46,176.72,107.45,1001983.69,V
3000,V036,VAL381,1588.486,2025,09,100,681439016915746237,10,363382.06,506091.64,318.6,228.76,379640.81,V
3000,V300,VAL006,8491.145,2022,07,100,684800099776666759,8,4235298.21,1757072.63,206.93,498.79,5797144.09,V
7900,V232,VAL872,9538.719,2026,08,100,517277527113769191,3,2241885.13,1894675.75,198.63,235.03,2914541.13,V
3000,V122,VAL373,2186.373,2025,07,100,684853573793039599,9,483494.53,362763.01,165.92,221.14,527185.82,S
3001,V189,VAL624,5891.535,2021,06,100,879072779177554561,7,2425014.72,1810763.28,307.35,411.61,2600360.74,V
3000,V102,VAL896,7402.635,2026,08,100,345850412443589851,3,270492.28,2016847.91,272.45,36.54,329563.3,S
3002,V220,VAL568,1345.879,2021,10,100,709520153767979181,3,466454.74,350736.07,260.6,346.58,671448.56,V
7900,V011,VAL247,9437.079,2023,05,100,274394883209702739,9,2144953.69,1901382.68,201.48,227.29,3170876.17,V
3000,V053,VAL241,2014.792,2021,06,100,813871207035917500,3,423811.5,615801.03,305.64,210.35,504675.97,S
3001,V353,VAL085,1416.174,2023,11,100,650292194446281324,8,116919.33,463584.56,327.35,82.56,154260.22,S
3001,V370,VAL140,410.991,2020,08,100,257118163220893113,1,62725.45,99652.99,242.47,152.62,84023.99,V
3002,V190,VAL558,304.73,2024,09,100,547597286697855450,3,96952.9,28464.83,93.41,318.16,115701.88,V
7900,V033,VAL652,5831.459,2023,09,100,913444655719930303,2,1280355.14,1813292.18,310.95,219.56,1484036.29,V
3002,V349,VAL498,9059.367,2022,11,100,347394239607177164,6,2854606.54,4342154.6,479.3,315.1,3502296.59,S
3000,V041,VAL912,5030.26,2025,02,100,680634385763877676,3,1018476.74,313133.68,62.25,202.47,1524331.72,V
3001,V398,VAL127,212.681,2020,09,100,622524931557755836,8,2737.2,85495.64,401.99,12.87,3176.88,V
3002,V472,VAL154,8907.295,2022,09,100,419200866960209544,2,1182265.27,1831963.36,205.67,132.73,1656614.63,S
3002,V342,VAL730,1711.071,2024,08,100,882710019170960848,6,788529.96,299214.99,174.87,460.84,801479.4,S
3001,V138,VAL201,2295.339,2021,11,100,766636488637956012,8,345723.96,163405.18,71.19,150.62,463211.69,V
3002,V002,VAL302,8622.594,2020,03,100,772570429632727915,5,1210525.97,2270760.13,263.35,140.39,1717342.18,S
3002,V352,VAL366,928.086,2021,10,100,141870541146257756,10,293154.52,327196.72,352.55,315.87,434824.98,V
3002,V322,VAL066,4344.946,2021,09,100,696312637651595155,5,297802.6,195044.63,44.89,68.54,439382.21,S
3002,V419,VAL942,1973.807,2025,03,100,335944603651504357,1,462265.6,417243.06,211.39,234.2,630965.81,S
3000,V357,VAL888,6281.32,2025,03,100,477717496180188662,6,138251.85,724110.57,115.28,22.01,180107.43,S
7900,V381,VAL795,903.692,2026,04,100,264670655708791192,3,274885.03,213903.9,236.7,304.18,368958.21,S
7900,V001,VAL328,7441.216,2026,12,100,554408806672267111,9,2714481.18,1215820.28,163.39,364.79,3912929.87,V
3001,V274,VAL451,5577.989,2024,03,100,533454993267383207,3,2120639.86,927396.45,166.26,380.18,2503820.97,S
3001,V321,VAL510,1200.396,2026,06,100,525051802364758025,9,218748.16,580835.61,483.87,182.23,300391.62,S
7900,V110,VAL320,6606.733,2021,01,100,806584564899530239,1,252443.27,2884565.7,436.61,38.21,346078.46,V
3002,V321,VAL840,2442.563,2022,07,100,817637971179666466,7,832962.83,985769.58,403.58,341.02,982008.67,V
3002,V264,VAL679,7253.05,2024,05,100,361323588928356643,1,2828544.44,3137741.96,432.61,389.98,3144683.27,S
3000,V488,VAL305,5018.113,2022,09,100,171680301115613715,2,738415.33,1446621.62,288.28,147.15,819921.51,S
3000,V333,VAL096,9723.716,2026,02,100,762187384374606317,9,4100393.8,1907209.66,196.14,421.69,6019262.02,S
3001,V378,VAL218,8361.297,2022,02,100,882321261161369767,7,2179037.61,3828972.35,457.94,260.61,2623487.1,V
3001,V476,VAL492,9310.991,2021,07,100,660780519436519886,6,2056984.13,2773558.0,297.88,220.92,2639854.83,V
3001,V180,VAL455,6442.333,2026,04,100,609046590878568250,1,985805.8,3179999.99,493.61,153.02,1048940.28,S
3002,V160,VAL795,783.618,2023,12,100,102062053018771959,1,205644.87,240131.9,306.44,262.43,239665.74,V
7900,V135,VAL578,4905.329,2024,12,100,683934918564942212,2,881978.15,339301.61,69.17,179.8,1047297.66,V
3000,V295,VAL210,3819.19,2026,03,100,910671073467694096,2,262531.12,939902.66,246.1,68.74,283781.7,S
3002,V450,VAL321,7764.406,2025,07,100,525338054697905236,9,2893949.4,1749087.74,225.27,372.72,3353178.22,S
3002,V042,VAL262,6629.07,2023,12,100,495138411645934380,1,1552064.16,2145365.92,323.63,234.13,1956644.7,V
3002,V490,VAL309,96.169,2025,03,100,898611046024231231,5,40917.99,46788.14,486.52,425.48,42559.65,V
7900,V419,VAL505,5960.924,2022,05,100,827343746262645617,10,2382819.76,2786731.97,467.5,399.74,3255788.36,V
7900,V029,VAL043,1576.833,2021,05,100,281948532169104962,4,160805.43,717317.1,454.91,101.98,212914.22,V
7900,V027,VAL637,5795.73,2025,08,100,188174439266798607,9,832846.4,1087105.08,187.57,143.7,1037542.97,V
3001,V249,VAL240,1800.465,2023,02,100,858340591078252117,8,453627.16,852646.21,473.57,251.95,630571.17,V
3001,V387,VAL854,6295.654,2024,10,100,956364439450276321,2,2110492.09,2267253.88,360.13,335.23,2800251.69,S
3002,V429,VAL076,6073.898,2026,02,100,171923270528162737,4,287720.55,1626407.67,267.77,47.37,415957.6,S
7900,V168,VAL687,9596.151,2025,12,100,596717947349998073,7,1930937.5,1623668.75,169.2,201.22,2391029.76,S
3001,V317,VAL448,4917.886,2023,02,100,463336239623030117,2,201928.4,1789913.79,363.96,41.06,282927.57,S
3002,V122,VAL936,7586.751,2023,09,100,590411530214321550,5,1851318.98,2290288.39,301.88,244.02,2369662.96,S
7900,V383,VAL109,2841.814,2022,06,100,347798127327255034,10,478760.4,976930.4,343.77,168.47,505865.23,V
7900,V069,VAL340,6906.336,2021,06,100,959703787613010624,8,2619020.74,333783.22,48.33,379.22,3586714.73,V
3000,V157,VAL395,1305.753,2024,01,100,240281430802608841,3,195327.59,649416.25,497.35,149.59,208174.3,V
3001,V218,VAL514,359.079,2025,01,100,282346595659927015,2,97138.05,162037.99,451.26,270.52,123152.13,S
3002,V328,VAL960,3079.349,2020,09,100,356909636508650812,9,196585.64,48314.99,15.69,63.84,264677.65,S
7900,V366,VAL258,4538.734,2026,12,100,418823082064590074,6,1399473.24,791419.05,174.37,308.34,1590792.61,V
7900,V080,VAL137,7084.682,2022,12,100,703041755982695202,9,3430332.18,822602.43,116.11,484.19,4483460.35,V
7900,V373,VAL069,8210.345,2020,06,100,228910428503174556,10,1988545.56,1771874.55,215.81,242.2,2823152.89,V
3000,V394,VAL193,6264.782,2024,11,100,169403448760619450,8,360224.97,3105139.2,495.65,57.5,443419.63,S
3001,V172,VAL456,3340.587,2024,05,100,792980334516702046,4,873095.82,309304.95,92.59,261.36,1054687.1,S
3002,V342,VAL370,5478.841,2022,11,100,704981583407333560,5,1587768.12,2031992.55,370.88,289.8,2064639.98,S
3000,V489,VAL496,3804.377,2025,11,100,522902961330873428,8,1216487.59,993931.54,261.26,319.76,1444820.56,V
3001,V041,VAL308,4496.167,2025,08,100,274491166286907277,10,1435131.54,641063.49,142.58,319.19,1675773.44,S
3001,V438,VAL201,5460.562,2020,05,100,266409977269603492,4,95669.05,1649417.36,302.06,17.52,98991.97,S
3002,V107,VAL172,7421.214,2025,07,100,838722821257265479,3,3186520.87,604161.03,81.41,429.38,3875699.96,V
3000,V256,VAL351,4637.759,2022,12,100,444477181764608516,6,700116.1,1191718.55,256.96,150.96,804771.85,V
7900,V150,VAL995,5410.227,2026,10,100,890164204789213136,6,510184.41,54751.5,10.12,94.3,521631.63,S
3000,V238,VAL191,7842.371,2024,06,100,124444075919905162,1,3128870.76,2139947.77,272.87,398.97,4069840.4,V
7900,V086,VAL366,158.173,2021,03,100,675194292761746793,9,40971.55,4098.26,25.91,259.03,51367.63,V
7900,V409,VAL277,1682.18,2022,01,100,740356851727854132,9,234176.28,563648.05,335.07,139.21,286203.8,V
