ADRNR,BAPOVAR,BUKRS,BUKRS_GLOB,BUTXT,BUVAR,DKWEG,DTAMTC,DTAXR,DTPROV,DTTAXC,DTTDSP,EBUKR,FDBUK,FIKRS,FMHRDATE,FM_DERIVE_ACC,FSTVA,FSTVARE,IMPDA,INFMT,KKBER,KOKFI,KOPIM,KTOP2,KTOPL,LAND1,MANDT,MREGL,MWSKA,MWSKV,OFFSACCT,OPVAR,ORT01,PERIV,PP_PDATE,PST_PER_VAR,RCOMP,SPRAS,STCEG,SURCCM,TXJCD,TXKRS,UMKRS,WAABW,WAERS,WFVAR,WT_NEWWT,XBBBA,XBBBE,XBBBF,XBBKO,XBBSC,XCESSION,XCOS,XCOVR,XEINK,XEXTB,XFDIS,XFDMM,XFDSD,XFMCA,XFMCB,XFMCO,XGJRV,XGSBE,XJVAA,XKDFT,XKKBI,XMWSN,XNEGP,XPROD,XSKFN,XSLTA,XSPLT,XSTDT,XVALV,XVATDATE,XVVWA
451738,03,1010,G1010,"Johnson, Hodge and Peters","","",BA,DT44,AA,CB,DC,1010,1010,FM12,20230322,"",FS36,FR65,X,INF7,CC63,X,X,FIN1,INT1,FR,100,RG46,B1,B1,3,PP93,East Timothytown,V3,2,"",CMP465,D,VAT8671217,2,TAX840,X,TAX32,09,GBP,WF73,"","",X,"",X,X,X,"","","","",X,X,X,X,"",X,"",X,X,X,"","",X,X,X,X,X,"","","",""
756629,03,1011,G1011,Webster-Nelson,"","",BA,DT98,AC,CC,DA,1011,1011,FM75,20250412,"",FS92,FR87,X,INF6,CC19,"",X,FIN1,GRP1,IN,100,RG11,C2,B1,4,PP19,West Jeffrey,K4,1,X,CMP548,E,VAT7411318,3,TAX710,"",TAX24,10,GBP,WF52,X,X,"","","","",X,"","","","",X,"","","","","",X,X,X,X,"","","",X,X,"",X,X,"",X,""
346261,03,1012,G1012,Daniel Group,1,X,BB,DT69,AC,CA,DA,1012,1012,FM42,20230213,X,FS70,FR46,"",INF2,CC17,X,"",INT1,FIN1,GB,100,RG76,B1,B1,2,PP65,Whitechester,FY,1,X,CMP537,F,VAT9427856,2,TAX216,X,TAX77,10,CNY,WF17,X,"",X,"",X,"","",X,"","","",X,X,"","","",X,"",X,X,"",X,"","",X,X,X,X,X,X,"",X
943821,01,1013,G1013,"Martin, Sexton and Smith",1,X,BB,DT41,AA,CB,DB,1013,1013,FM18,20221011,"",FS10,FR21,X,INF5,CC29,X,X,FIN1,INT1,IN,100,RG11,B1,C2,6,PP34,North Ashleyport,FY,2,"",CMP718,D,VAT5894777,3,TAX832,"",TAX68,09,INR,WF74,X,X,"",X,X,"",X,X,X,X,"","","",X,X,"","",X,"","","","","",X,X,"","",X,"","","",""
545809,01,1014,G1014,King and Sons,"","",BC,DT10,AC,CB,DB,1014,1014,FM33,20201116,X,FS35,FR79,X,INF4,CC25,X,X,GRP1,INT1,JP,100,RG27,B1,C2,7,PP69,Lake Katherineburgh,CY,1,X,CMP105,F,VAT9752581,3,TAX325,X,TAX65,02,EUR,WF10,"","","","",X,"","",X,X,X,X,X,X,X,X,X,X,X,"","","",X,X,"",X,"","",X,X,X,"",X
994875,02,1015,G1015,Clark PLC,"","",BC,DT18,AC,CC,DC,1015,1015,FM57,20210302,"",FS91,FR58,"",INF8,CC90,"","",CORP,FIN1,GB,100,RG99,B1,C2,7,PP24,New Richard,CY,1,X,CMP105,F,VAT6901310,2,TAX983,X,TAX88,05,USD,WF96,X,X,"","",X,X,"","",X,"","",X,"","",X,X,"","","","","",X,X,X,X,X,"","","",X,X,""
574160,03,1016,G1016,Sutton Ltd,"",X,BC,DT33,AA,CB,DC,1016,1016,FM64,20200901,"",FS97,FR16,X,INF3,CC24,X,"",GRP1,CORP,IN,100,RG48,B1,C2,3,PP94,Lake Gregg,K4,2,X,CMP310,F,VAT6443193,1,TAX898,X,TAX18,01,EUR,WF57,X,"","",X,"",X,X,X,"","","","","",X,"",X,X,X,X,"",X,X,X,"",X,"","","","",X,"",X
582287,02,1017,G1017,Gardner-Kelly,1,"",BC,DT24,AB,CB,DC,1017,1017,FM82,20220723,X,FS57,FR60,"",INF7,CC54,X,X,FIN1,GRP1,GB,100,RG49,A0,B1,8,PP89,Katherineside,CY,1,"",CMP755,D,VAT3604995,2,TAX625,X,TAX73,02,INR,WF10,"","",X,"","","",X,"","",X,X,X,"",X,X,X,X,"","",X,X,"","",X,X,X,X,X,X,"","",""
367613,03,1018,G1018,Parker LLC,1,X,BB,DT38,AA,CC,DA,1018,1018,FM93,20240212,"",FS29,FR29,X,INF1,CC60,X,"",CORP,INT1,DE,100,RG30,C2,B1,2,PP50,Lesliefurt,CY,2,X,CMP659,F,VAT7112401,2,TAX197,X,TAX25,08,JPY,WF73,"",X,"",X,"","","","","",X,X,"","",X,X,"","","","",X,"",X,X,X,X,"",X,"",X,X,X,X
808178,01,1019,G1019,Howard LLC,1,X,BC,DT39,AC,CB,DC,1019,1019,FM45,20241224,X,FS92,FR79,X,INF2,CC90,"",X,INT1,INT1,FR,100,RG23,C2,C2,4,PP36,New Anthonyside,V3,1,X,CMP216,E,VAT1223595,3,TAX571,X,TAX82,00,GBP,WF43,X,X,X,"",X,X,"",X,X,"","","","","","","","",X,"",X,X,X,"",X,X,X,X,X,X,X,X,X
465099,03,1020,G1020,Brown Group,"",X,BB,DT40,AB,CC,DC,1020,1020,FM21,20230807,X,FS64,FR62,X,INF8,CC33,"",X,FIN1,INT1,IN,100,RG26,B1,A0,2,PP69,Ryanberg,K4,2,"",CMP877,F,VAT7070772,3,TAX735,"",TAX17,02,JPY,WF50,"","","",X,X,X,"",X,X,"","","","","",X,"","","","","",X,"",X,"",X,"","","","",X,X,X
740134,01,1021,G1021,Carter Inc,1,X,BA,DT78,AB,CC,DC,1021,1021,FM30,20240415,"",FS55,FR43,X,INF3,CC24,X,"",CORP,INT1,DE,100,RG34,B1,A0,2,PP88,Lake Ritastad,K4,1,X,CMP117,F,VAT3624897,1,TAX531,X,TAX61,01,CNY,WF68,X,"",X,X,X,X,"","",X,X,X,"",X,"","",X,"","",X,X,"","","",X,X,"","","",X,"","",X
264231,01,1022,G1022,"Burnett, Marsh and Booker",1,"",BA,DT27,AC,CC,DC,1022,1022,FM84,20210423,X,FS98,FR64,X,INF4,CC43,X,"",FIN1,FIN1,FR,100,RG58,A0,B1,9,PP58,East Michaelport,K4,1,"",CMP211,D,VAT6505007,2,TAX614,"",TAX32,00,CNY,WF89,"","",X,"",X,"",X,X,"",X,"","","","","","",X,"",X,"","",X,X,X,X,X,"","","","",X,""
950022,02,1023,G1023,"Dyer, Kane and Leon",1,"",BC,DT80,AC,CC,DB,1023,1023,FM68,20220702,X,FS24,FR52,"",INF6,CC87,X,"",GRP1,FIN1,GB,100,RG90,C2,C2,2,PP92,Port Megan,FY,1,"",CMP799,D,VAT1191443,3,TAX700,X,TAX55,01,JPY,WF26,"",X,X,X,"","","",X,X,"",X,X,"","",X,X,"","",X,"","",X,"",X,X,"",X,X,X,X,"",X
990149,03,1024,G1024,Greene-Ewing,"","",BC,DT39,AA,CB,DA,1024,1024,FM67,20250924,X,FS25,FR73,X,INF6,CC54,"",X,FIN1,GRP1,DE,100,RG88,B1,B1,6,PP60,Simonshire,FY,2,X,CMP665,F,VAT8090759,3,TAX786,"",TAX87,03,USD,WF10,X,"","",X,X,X,X,X,"",X,"",X,X,X,X,X,"","",X,"","",X,X,"",X,"","","",X,"","",""
952633,02,1025,G1025,Moore and Sons,"",X,BB,DT54,AA,CA,DB,1025,1025,FM90,20220109,X,FS65,FR75,"",INF4,CC21,X,"",GRP1,GRP1,FR,100,RG34,C2,A0,3,PP22,East Michael,K4,1,X,CMP879,E,VAT9768484,1,TAX555,"",TAX42,10,USD,WF50,"",X,X,X,"",X,X,"",X,X,"","",X,"",X,"","",X,"","","",X,"","",X,"",X,"",X,"",X,""
356552,03,1026,G1026,Larson Inc,1,"",BC,DT82,AC,CC,DB,1026,1026,FM98,20221026,"",FS60,FR72,"",INF5,CC12,"",X,INT1,INT1,GB,100,RG21,C2,C2,9,PP62,West Derricktown,V3,1,"",CMP138,F,VAT5289248,1,TAX790,"",TAX93,05,EUR,WF27,"",X,"",X,"",X,X,"","",X,X,X,X,"",X,X,X,X,X,"","",X,"",X,X,"","",X,"",X,X,X
520124,03,1027,G1027,Myers-Edwards,"",X,BA,DT29,AA,CA,DA,1027,1027,FM72,20210429,"",FS12,FR57,X,INF7,CC91,X,X,INT1,GRP1,GB,100,RG17,B1,C2,2,PP44,Edwardsside,FY,2,X,CMP621,D,VAT8455500,2,TAX174,"",TAX42,08,CNY,WF74,"","",X,X,"","","","",X,"","","",X,X,X,X,"","",X,X,"",X,"",X,X,"",X,X,"",X,X,""
932041,01,1028,G1028,Perez-Sharp,"","",BC,DT93,AC,CC,DB,1028,1028,FM48,20201007,"",FS73,FR47,X,INF4,CC95,X,"",CORP,INT1,GB,100,RG45,A0,A0,6,PP66,Port Kyle,FY,2,"",CMP558,F,VAT7907507,3,TAX297,"",TAX96,00,EUR,WF60,"",X,"",X,"","",X,X,"",X,X,X,X,"","","","",X,X,X,X,"","","",X,X,X,"","",X,X,""
391337,02,1029,G1029,Smith PLC,"",X,BB,DT94,AB,CA,DB,1029,1029,FM34,20220617,X,FS94,FR22,"",INF4,CC59,"","",CORP,FIN1,US,100,RG77,B1,A0,8,PP60,Allenmouth,CY,1,"",CMP969,E,VAT3713447,1,TAX157,X,TAX32,04,EUR,WF85,X,X,"","",X,"","",X,"",X,"",X,"",X,X,"",X,"",X,"","",X,"",X,X,X,X,"",X,"","",""
392197,01,1030,G1030,Peterson-Ball,"",X,BA,DT38,AA,CB,DB,1030,1030,FM89,20230503,"",FS65,FR84,"",INF6,CC79,X,X,GRP1,GRP1,CN,100,RG88,A0,C2,3,PP71,Moralesmouth,K4,2,"",CMP574,E,VAT5725977,3,TAX531,"",TAX51,08,JPY,WF81,X,"",X,"",X,X,"","",X,"","","",X,"","","",X,X,X,"","","",X,"",X,X,"",X,"","","",X
457022,02,1031,G1031,"Miller, Robinson and Youn",1,X,BA,DT66,AA,CA,DC,1031,1031,FM13,20240210,"",FS37,FR30,X,INF9,CC70,"",X,CORP,CORP,CN,100,RG37,B1,C2,9,PP84,South Beth,V3,1,X,CMP918,E,VAT8805906,1,TAX979,"",TAX61,03,USD,WF46,X,"","","","","","",X,X,X,"",X,"","",X,"","",X,X,X,X,X,X,"",X,"",X,"","","","",""
786348,02,1032,G1032,Parker PLC,"","",BC,DT78,AA,CC,DC,1032,1032,FM20,20250124,X,FS51,FR58,X,INF7,CC89,"","",INT1,GRP1,FR,100,RG52,A0,A0,2,PP21,Riverachester,FY,2,"",CMP989,D,VAT7105297,3,TAX358,"",TAX90,03,GBP,WF15,"",X,X,"","","","","","","","","","",X,"","","",X,"",X,X,"",X,X,X,"","","","",X,"",X
536414,03,1033,G1033,Sanchez LLC,1,"",BB,DT52,AA,CA,DC,1033,1033,FM38,20230629,"",FS42,FR62,X,INF2,CC17,"","",FIN1,CORP,IN,100,RG12,B1,A0,9,PP71,Port Laurenborough,K4,1,X,CMP966,F,VAT7836627,1,TAX490,X,TAX79,05,EUR,WF97,X,"","","","",X,"","",X,"","",X,"","","",X,X,X,X,X,X,X,X,"",X,"","","",X,X,X,""
600218,03,1034,G1034,Brown-Banks,"","",BB,DT74,AC,CC,DA,1034,1034,FM79,20251231,"",FS68,FR43,X,INF3,CC47,X,X,GRP1,INT1,CN,100,RG36,B1,B1,3,PP68,Danielstad,V3,2,X,CMP656,E,VAT5051385,1,TAX278,"",TAX98,07,INR,WF85,X,X,"",X,X,X,"",X,"",X,X,"",X,"",X,X,X,X,X,"","",X,"","",X,"","",X,X,X,"",X
592290,01,1035,G1035,"Smith, Miller and Brown",1,"",BB,DT80,AC,CC,DB,1035,1035,FM23,20240725,X,FS20,FR62,"",INF2,CC33,X,"",CORP,GRP1,JP,100,RG65,A0,B1,2,PP93,West Renee,K4,1,"",CMP327,E,VAT2487432,1,TAX791,"",TAX89,10,CNY,WF83,"",X,X,X,"","",X,X,X,"","",X,X,X,X,X,X,X,X,"",X,X,"",X,X,"",X,"","",X,X,""
577748,03,1036,G1036,"Davis, Walters and Cole","",X,BA,DT45,AB,CA,DB,1036,1036,FM86,20230422,X,FS11,FR84,X,INF3,CC60,X,X,FIN1,GRP1,FR,100,RG35,A0,B1,6,PP94,East Jamesburgh,K4,1,X,CMP525,E,VAT3453520,3,TAX520,"",TAX48,01,GBP,WF18,"","",X,X,"","","","",X,"",X,"","","",X,X,X,X,X,"",X,X,"","",X,X,"",X,X,"","",""
239386,01,1037,G1037,"Ward, Thompson and Greer",1,"",BB,DT46,AA,CA,DC,1037,1037,FM94,20230423,X,FS72,FR11,X,INF7,CC23,X,X,CORP,GRP1,IN,100,RG12,C2,A0,1,PP84,Espinozafurt,V3,2,X,CMP580,E,VAT5167982,2,TAX407,X,TAX95,00,JPY,WF76,X,"",X,X,"","","",X,X,"","","",X,X,X,X,X,X,X,"",X,X,X,X,X,X,"","","",X,"",""
672835,03,1038,G1038,Castillo-Cummings,"",X,BB,DT78,AC,CA,DB,1038,1038,FM96,20260211,X,FS57,FR89,"",INF8,CC49,"","",CORP,FIN1,US,100,RG32,B1,C2,5,PP43,Sharonburgh,FY,1,"",CMP880,F,VAT1364532,1,TAX859,"",TAX31,01,INR,WF11,"","","",X,X,X,"",X,"","",X,"",X,X,"","","",X,X,X,X,X,X,"",X,X,X,"",X,X,X,X
732853,02,1039,G1039,Gardner Ltd,"","",BC,DT62,AB,CB,DC,1039,1039,FM39,20241124,"",FS54,FR35,X,INF5,CC76,"",X,GRP1,FIN1,DE,100,RG47,B1,C2,5,PP39,Rebeccaside,CY,1,"",CMP692,F,VAT4617795,2,TAX523,X,TAX65,04,GBP,WF44,"","","",X,"","",X,X,"",X,"","",X,X,X,X,X,X,"",X,"","","","",X,X,X,X,"","",X,""
637543,01,1040,G1040,"Jenkins, Baker and Baker","",X,BA,DT36,AA,CC,DC,1040,1040,FM40,20221115,X,FS79,FR57,X,INF7,CC60,"","",CORP,GRP1,CN,100,RG49,C2,B1,1,PP58,West Samantha,FY,1,"",CMP165,F,VAT8451547,3,TAX799,"",TAX85,01,INR,WF51,"","","","",X,X,X,X,"",X,"",X,"","",X,"",X,"",X,"",X,"",X,X,X,"","","",X,X,X,X
391542,02,1041,G1041,"Ochoa, Boyer and Romero",1,X,BA,DT62,AB,CA,DA,1041,1041,FM49,20230210,"",FS65,FR93,"",INF6,CC51,X,"",GRP1,INT1,CN,100,RG59,A0,B1,1,PP37,Austinstad,FY,2,X,CMP780,E,VAT4115696,3,TAX169,X,TAX65,06,GBP,WF17,X,"","",X,"","",X,X,X,"",X,"",X,X,X,"","","",X,X,"",X,X,X,X,"","","","","","",""
563670,02,1042,G1042,Brown-Lopez,"","",BA,DT79,AA,CC,DC,1042,1042,FM18,20231105,X,FS76,FR55,X,INF6,CC73,X,"",GRP1,INT1,US,100,RG92,A0,B1,1,PP61,North Henryton,K4,1,"",CMP415,F,VAT5901371,1,TAX671,"",TAX18,09,CNY,WF54,X,"","",X,X,"","",X,"","","","",X,"","",X,"","",X,"","",X,"",X,X,"","","","","","",""
434186,01,1043,G1043,Barrett Group,"","",BB,DT64,AB,CB,DA,1043,1043,FM14,20200915,"",FS59,FR24,"",INF1,CC52,X,"",GRP1,CORP,CN,100,RG73,A0,B1,2,PP95,Carterhaven,K4,2,X,CMP665,E,VAT7516406,1,TAX143,X,TAX65,00,CNY,WF49,X,X,"",X,X,X,"",X,X,X,X,X,X,"",X,"",X,"",X,X,"",X,X,"",X,"","",X,X,"",X,X
357772,03,1044,G1044,Gill-Parker,1,"",BC,DT15,AC,CC,DB,1044,1044,FM36,20230820,"",FS38,FR40,X,INF6,CC19,"","",INT1,FIN1,CN,100,RG66,A0,C2,7,PP15,Brettport,V3,1,"",CMP464,F,VAT1857370,1,TAX238,X,TAX87,06,INR,WF56,"",X,"",X,X,"",X,"","","",X,X,X,"","",X,X,"","",X,X,"","","",X,"",X,X,"",X,"",X
964786,01,1045,G1045,Horton Inc,"",X,BC,DT13,AB,CB,DA,1045,1045,FM93,20220327,"",FS60,FR11,X,INF7,CC40,X,"",FIN1,INT1,US,100,RG59,B1,C2,8,PP13,Mayport,V3,2,X,CMP636,F,VAT6333553,3,TAX943,X,TAX98,06,USD,WF69,X,"",X,"",X,X,X,X,"",X,X,"",X,"","",X,"","","",X,X,"",X,X,X,X,"",X,X,X,"",""
419879,03,1046,G1046,Shaw LLC,1,X,BA,DT20,AB,CA,DC,1046,1046,FM42,20220926,"",FS66,FR87,"",INF6,CC12,"","",INT1,CORP,GB,100,RG11,B1,A0,3,PP25,Rodneyport,V3,1,X,CMP811,F,VAT6326716,1,TAX398,"",TAX85,03,CNY,WF58,"",X,"",X,"","","","","",X,X,X,X,X,X,"",X,X,X,X,X,"","","",X,X,X,X,"",X,"",""
524419,02,1047,G1047,"Sweeney, Anderson and San","","",BA,DT28,AC,CC,DB,1047,1047,FM84,20220627,X,FS45,FR42,X,INF3,CC28,X,"",FIN1,CORP,IN,100,RG61,A0,B1,6,PP43,Melissaberg,FY,2,"",CMP574,F,VAT4684259,2,TAX301,"",TAX93,04,JPY,WF25,"","","","","",X,"",X,X,"","","",X,"","","","",X,X,X,"","","","",X,"",X,X,"","","",""
833551,03,1048,G1048,"Payne, Sutton and Cook",1,X,BB,DT11,AC,CB,DA,1048,1048,FM45,20220819,X,FS69,FR97,"",INF3,CC30,X,"",INT1,FIN1,DE,100,RG38,C2,C2,4,PP20,Nicolehaven,FY,1,X,CMP660,E,VAT5580729,3,TAX901,X,TAX20,01,EUR,WF74,X,X,X,X,X,X,"","",X,X,X,"","",X,"",X,X,"","","",X,"","",X,X,"",X,X,X,"","",""
784960,03,1049,G1049,Kane Group,1,"",BA,DT36,AB,CC,DC,1049,1049,FM74,20230315,"",FS32,FR62,X,INF9,CC81,X,X,CORP,GRP1,DE,100,RG25,A0,C2,7,PP66,East Pamela,K4,1,X,CMP574,E,VAT1241929,2,TAX428,"",TAX89,10,JPY,WF37,X,"","","",X,X,X,X,X,X,"","",X,X,X,X,X,"",X,X,X,X,"",X,X,X,"","","","",X,X
295046,02,1050,G1050,Jordan Group,1,X,BB,DT71,AA,CA,DB,1050,1050,FM89,20230329,X,FS47,FR25,X,INF8,CC95,"","",GRP1,INT1,GB,100,RG72,C2,B1,6,PP32,Lake William,K4,2,X,CMP329,E,VAT1366548,3,TAX724,X,TAX30,07,CNY,WF41,"",X,"","",X,"",X,"","",X,"","",X,X,X,"",X,X,X,"",X,"",X,"",X,"","",X,X,"",X,X
364267,02,1051,G1051,Krause-Olson,1,"",BC,DT36,AA,CB,DA,1051,1051,FM97,20221212,X,FS46,FR66,X,INF3,CC10,X,X,INT1,CORP,DE,100,RG62,A0,B1,9,PP91,Port Chloe,FY,2,"",CMP127,D,VAT9054675,1,TAX906,"",TAX74,10,GBP,WF26,"",X,X,"",X,"",X,"",X,X,"",X,"","","",X,"",X,X,"","","",X,"",X,"","",X,X,"","",X
403878,03,1052,G1052,Montgomery Group,"","",BC,DT92,AB,CB,DB,1052,1052,FM17,20210305,X,FS50,FR19,X,INF3,CC90,X,"",FIN1,INT1,GB,100,RG76,B1,A0,4,PP97,West Chris,CY,1,"",CMP641,F,VAT3881858,1,TAX519,X,TAX73,08,JPY,WF56,"","",X,"","","","","","","",X,X,X,"",X,X,X,X,"",X,X,X,"","",X,"",X,"","","",X,X
328262,02,1053,G1053,"Brown, Adams and Welch",1,X,BA,DT67,AB,CC,DB,1053,1053,FM83,20220228,"",FS88,FR54,X,INF7,CC62,"",X,FIN1,GRP1,DE,100,RG71,C2,A0,6,PP62,Jonestown,FY,2,"",CMP348,F,VAT6846495,3,TAX282,X,TAX60,04,JPY,WF44,X,X,"",X,"","","",X,"","","",X,"","",X,"","","",X,"","","",X,X,X,"","",X,"","","",""
654406,03,1054,G1054,Fowler-Johnson,"",X,BB,DT15,AB,CA,DC,1054,1054,FM76,20210801,X,FS39,FR59,"",INF2,CC62,X,X,GRP1,CORP,GB,100,RG70,B1,A0,5,PP79,Griffinbury,CY,1,"",CMP753,F,VAT6433027,1,TAX928,X,TAX90,06,JPY,WF32,"","","",X,"","","","","","",X,X,"","",X,X,"",X,"",X,"",X,"","",X,"","","","","",X,""
951272,03,1055,G1055,Davis PLC,"",X,BC,DT43,AA,CA,DA,1055,1055,FM18,20240727,X,FS76,FR74,X,INF9,CC79,X,X,CORP,FIN1,IN,100,RG92,A0,B1,4,PP23,North Stephanie,K4,1,"",CMP281,F,VAT1437047,1,TAX304,"",TAX51,03,EUR,WF86,X,X,"",X,"","","","","",X,"","","","","",X,"",X,"",X,"",X,"",X,X,X,X,X,"","",X,X
830250,02,1056,G1056,Park-Carrillo,1,X,BC,DT57,AC,CC,DB,1056,1056,FM20,20210708,X,FS53,FR33,X,INF6,CC47,"","",FIN1,CORP,CN,100,RG91,A0,C2,6,PP12,New Bethburgh,V3,1,"",CMP988,E,VAT1870232,1,TAX341,X,TAX31,04,EUR,WF21,X,"",X,"","","","","",X,"",X,X,X,"","",X,"","","","","","",X,"",X,"",X,"",X,"",X,X
106147,03,1057,G1057,Morris-Collins,1,"",BB,DT49,AA,CA,DB,1057,1057,FM19,20220528,"",FS48,FR69,X,INF3,CC77,X,X,INT1,GRP1,US,100,RG33,B1,B1,3,PP82,Carlashire,K4,1,"",CMP414,D,VAT9125553,3,TAX793,"",TAX63,02,EUR,WF99,X,X,X,X,"","","","","","",X,X,X,"","",X,X,X,"",X,X,"",X,X,X,"","",X,"","","",X
270107,01,1058,G1058,Hardy-Lambert,1,X,BA,DT51,AB,CB,DC,1058,1058,FM49,20250414,"",FS52,FR19,X,INF8,CC41,X,"",GRP1,GRP1,FR,100,RG28,C2,C2,7,PP56,South James,V3,1,"",CMP389,F,VAT4407385,2,TAX288,X,TAX17,01,GBP,WF35,X,X,"","",X,X,X,"","","","",X,"",X,X,X,"",X,X,X,X,"",X,"",X,X,"","",X,"","",""
