Customer ID,Market,Customer Description,Market Description,Customer Region,Market Region,Customer Country/Region,Market Sub Region,Demand Type,Demand Sub Type,Latitude,Longttitude
NL,NL,Market Entity for NL,"Planning Market - Rodriguez, Rivera and Valencia - NL",LATAM,LATAM,NL,Jamesville,Commercial,Standard,-61.041539,-152.876257
ES,ES,Market Entity for ES,Planning Market - Reyes and Sons - ES,LATAM,APAC,ES,Nathanbury,Free Goods,Urgent,-76.7617635,108.490926
US,US,Market Entity for US,"Planning Market - Dennis, Taylor and Vazquez - US",EMEA,LATAM,US,Lake Sophia,Samples,Urgent,-67.922528,-69.525391
IT,IT,Market Entity for IT,Planning Market - Shelton-Lucero - IT,AMER,LATAM,IT,Terrihaven,Free Goods,GPSS_Early,-5.469412,0.582528
DE,DE,Market Entity for DE,"Planning Market - Floyd, Marshall and Thomas - DE",LATAM,EMEA,DE,Andreberg,Clinical,GPSS_Early,23.4371195,-172.373349
US,US,Market Entity for US,Planning Market - Alexander-Love - US,EMEA,APAC,US,Crystalville,Samples,Standard,-10.287096,-15.87338
BR,BR,Market Entity for BR,"Planning Market - Woods, Moore and Cantu - BR",LATAM,AMER,BR,Haleyside,Samples,Priority,-24.3182915,-43.111065
DE,DE,Market Entity for DE,"Planning Market - Taylor, Terry and Conley - DE",LATAM,APAC,DE,Wrightburgh,Samples,Standard,66.533385,-28.670265
BR,BR,Market Entity for BR,Planning Market - Kim LLC - BR,LATAM,LATAM,BR,Hullstad,Commercial,Urgent,-44.9756465,177.929841
BR,BR,Market Entity for BR,Planning Market - Moore Ltd - BR,LATAM,EMEA,BR,Williamborough,Commercial,GPSS_Early,31.856447,68.086431
CN,CN,Market Entity for CN,Planning Market - Martin PLC - CN,EMEA,APAC,CN,New Joseph,Commercial,Urgent,60.1465075,143.510888
NL,NL,Market Entity for NL,Planning Market - Vargas Ltd - NL,EMEA,EMEA,NL,Mariastad,Commercial,Priority,-67.8406125,26.208393
GB,GB,Market Entity for GB,"Planning Market - Hardy, Weber and Jones - GB",APAC,LATAM,GB,Leefurt,Clinical,GPSS_Early,86.3114515,-22.586294
ES,ES,Market Entity for ES,Planning Market - Reynolds-Saunders - ES,LATAM,APAC,ES,East Makayla,Samples,GPSS_Early,-88.414875,-163.801373
CN,CN,Market Entity for CN,Planning Market - Jones-Wood - CN,APAC,APAC,CN,Morganhaven,Commercial,Standard,10.846065,86.027598
CN,CN,Market Entity for CN,"Planning Market - Diaz, Scott and Zamora - CN",APAC,EMEA,CN,New Briannafort,Clinical,Urgent,70.8240575,6.106243
CN,CN,Market Entity for CN,Planning Market - Martinez Ltd - CN,EMEA,LATAM,CN,Nicholaston,Clinical,Urgent,75.3738315,-57.319659
FR,FR,Market Entity for FR,Planning Market - Henry-Blake - FR,APAC,APAC,FR,Rebeccaberg,Free Goods,Priority,45.1595485,-165.043384
LATAM_REG,LATAM_REG,Market Entity for LATAM_REG,Planning Market - Salinas LLC - LATAM_REG,LATAM,AMER,INTL,South Timothyton,Commercial,Urgent,80.5224765,85.905192
US,US,Market Entity for US,Planning Market - Nelson Group - US,EMEA,LATAM,US,Lake Johnchester,Free Goods,Priority,-63.7620095,-61.050855
CH,CH,Market Entity for CH,"Planning Market - Evans, Francis and Matthews - CH",APAC,APAC,CH,Port Gina,Samples,Priority,-66.43061,26.878471
FR,FR,Market Entity for FR,Planning Market - Bell-Morris - FR,APAC,APAC,FR,South Michael,Samples,Standard,83.838003,-83.802279
CN,CN,Market Entity for CN,"Planning Market - Shaw, Dorsey and Sawyer - CN",AMER,APAC,CN,Port Anna,Clinical,Urgent,17.270184,83.005483
NL,NL,Market Entity for NL,"Planning Market - Nolan, Morgan and Davis - NL",AMER,AMER,NL,Erinchester,Commercial,GPSS_Early,15.0284645,99.746598
LATAM_REG,LATAM_REG,Market Entity for LATAM_REG,"Planning Market - Jones, Howard and Mcdonald - LATAM_REG",AMER,AMER,INTL,Michaelchester,Free Goods,Standard,21.7765505,-136.539842
US,US,Market Entity for US,Planning Market - Perry-Odom - US,LATAM,AMER,US,Tinashire,Clinical,Priority,-25.7059895,45.795982
AU,AU,Market Entity for AU,"Planning Market - Allen, King and Fowler - AU",AMER,LATAM,AU,Ashleystad,Commercial,GPSS_Early,-5.823052,-115.887655
ES,ES,Market Entity for ES,"Planning Market - Gutierrez, Boyer and Jones - ES",LATAM,EMEA,ES,New Matthew,Clinical,Priority,-39.566431,-79.408883
GLOBAL_CORP,GLOBAL_CORP,Market Entity for GLOBAL_CORP,Planning Market - Green LLC - GLOBAL_CORP,APAC,AMER,INTL,New Edgarfurt,Commercial,Urgent,72.938036,36.94463
CH,CH,Market Entity for CH,Planning Market - Watkins Inc - CH,EMEA,EMEA,CH,Lake Jenna,Clinical,GPSS_Early,62.3393545,62.15535
US,US,Market Entity for US,"Planning Market - Mcclain, Grant and Wolf - US",EMEA,AMER,US,Rileyside,Free Goods,Urgent,-8.349308,102.17637
CA,CA,Market Entity for CA,Planning Market - Duncan-Wilcox - CA,LATAM,APAC,CA,Stevensonland,Commercial,GPSS_Early,63.4520725,48.093602
CA,CA,Market Entity for CA,Planning Market - Brown and Sons - CA,LATAM,APAC,CA,Simsview,Clinical,Priority,-35.006783,28.671614
GLOBAL_CORP,GLOBAL_CORP,Market Entity for GLOBAL_CORP,"Planning Market - Golden, Hays and White - GLOBAL_CORP",AMER,EMEA,INTL,Lisaland,Free Goods,Priority,23.2680255,-45.546232
US,US,Market Entity for US,Planning Market - Young Inc - US,EMEA,LATAM,US,South Juan,Samples,Urgent,67.4132515,-174.641239
CA,CA,Market Entity for CA,Planning Market - Freeman and Sons - CA,AMER,APAC,CA,Port Catherineshire,Clinical,Urgent,44.8645315,48.302903
AU,AU,Market Entity for AU,Planning Market - Owens Ltd - AU,AMER,AMER,AU,Port Alexandriastad,Commercial,Standard,-29.2739415,28.470493
SG,SG,Market Entity for SG,Planning Market - Fisher and Sons - SG,AMER,APAC,SG,East Alexander,Commercial,Priority,-39.382972,6.991069
GB,GB,Market Entity for GB,Planning Market - Ruiz-Davidson - GB,AMER,LATAM,GB,Tracystad,Samples,GPSS_Early,15.1174145,153.043432
LATAM_REG,LATAM_REG,Market Entity for LATAM_REG,"Planning Market - Roberts, Miranda and Meyer - LATAM_REG",APAC,AMER,INTL,North Laurentown,Commercial,Priority,-80.514905,-63.451782
CN,CN,Market Entity for CN,"Planning Market - Moore, Harris and Robinson - CN",EMEA,LATAM,CN,West Katie,Samples,Standard,-43.261438,58.633341
FR,FR,Market Entity for FR,Planning Market - Hancock-Benitez - FR,APAC,LATAM,FR,Lake Laura,Samples,Priority,-55.8215255,-56.912535
BR,BR,Market Entity for BR,Planning Market - Combs-Miller - BR,LATAM,LATAM,BR,North Tammy,Clinical,GPSS_Early,54.96663,-178.225172
SG,SG,Market Entity for SG,"Planning Market - Cameron, Vincent and Chambers - SG",EMEA,APAC,SG,Williamchester,Clinical,Priority,-52.757162,175.04151
ES,ES,Market Entity for ES,Planning Market - Hart and Sons - ES,AMER,EMEA,ES,Lake Dakotaburgh,Free Goods,Urgent,44.8932705,-137.800834
IT,IT,Market Entity for IT,Planning Market - Washington-Morrison - IT,LATAM,EMEA,IT,Lake Peter,Clinical,Priority,13.330948,31.121242
GB,GB,Market Entity for GB,Planning Market - Long Ltd - GB,APAC,AMER,GB,Timothyhaven,Commercial,GPSS_Early,-70.2330285,168.989724
IN,IN,Market Entity for IN,Planning Market - Moore LLC - IN,EMEA,LATAM,IN,Matthewborough,Commercial,Urgent,-36.0306395,83.783796
BR,BR,Market Entity for BR,"Planning Market - Williams, Thompson and Beck - BR",EMEA,EMEA,BR,Vanessatown,Clinical,Standard,-29.62488,83.371617
IT,IT,Market Entity for IT,Planning Market - Robinson-Schultz - IT,EMEA,AMER,IT,Lake Julia,Clinical,Priority,87.207761,-72.159292
IN,IN,Market Entity for IN,Planning Market - Page Ltd - IN,EMEA,AMER,IN,Davidmouth,Clinical,GPSS_Early,-1.4103005,42.560325
AU,AU,Market Entity for AU,Planning Market - Rivas-Perkins - AU,LATAM,AMER,AU,Brandonbury,Commercial,GPSS_Early,-75.3663465,18.187831
DE,DE,Market Entity for DE,Planning Market - Mason-Peters - DE,AMER,AMER,DE,Clarkeberg,Free Goods,GPSS_Early,16.8418705,-2.959981
CH,CH,Market Entity for CH,Planning Market - Campbell PLC - CH,APAC,APAC,CH,Lauraland,Commercial,Priority,44.3512345,10.879091
BR,BR,Market Entity for BR,Planning Market - Lloyd PLC - BR,APAC,LATAM,BR,New Wesley,Free Goods,Priority,-44.567755,-177.864475
ES,ES,Market Entity for ES,"Planning Market - Jones, Martinez and Matthews - ES",AMER,APAC,ES,Crawfordview,Free Goods,Priority,64.174348,-132.082317
GB,GB,Market Entity for GB,Planning Market - Ross Inc - GB,AMER,AMER,GB,Vincentmouth,Free Goods,GPSS_Early,21.1137385,5.960769
AU,AU,Market Entity for AU,Planning Market - Romero and Sons - AU,AMER,EMEA,AU,Lake Stacey,Clinical,Priority,13.811789,-121.738321
IN,IN,Market Entity for IN,"Planning Market - Rios, Douglas and Erickson - IN",AMER,LATAM,IN,Port Susanshire,Clinical,Urgent,-8.148327,121.667195
FR,FR,Market Entity for FR,Planning Market - Carpenter-Phillips - FR,APAC,EMEA,FR,Joymouth,Clinical,Standard,32.948372,77.836522
GB,GB,Market Entity for GB,Planning Market - Boyer-Jones - GB,EMEA,APAC,GB,New Amanda,Samples,Urgent,27.287337,4.286995
GB,GB,Market Entity for GB,"Planning Market - Morgan, Waters and Frye - GB",EMEA,EMEA,GB,Lake Patricialand,Clinical,GPSS_Early,8.651114,139.082734
CH,CH,Market Entity for CH,Planning Market - Cortez-Garner - CH,APAC,LATAM,CH,East Sophia,Clinical,Priority,61.483718,169.595739
ES,ES,Market Entity for ES,"Planning Market - Mueller, Diaz and Boyle - ES",APAC,APAC,ES,South Lindsay,Clinical,Priority,-58.587061,130.941375
IT,IT,Market Entity for IT,Planning Market - Miller-Walsh - IT,APAC,LATAM,IT,South Patrickside,Clinical,Urgent,-2.173479,-56.658939
SG,SG,Market Entity for SG,Planning Market - Johnson-Schmidt - SG,LATAM,LATAM,SG,South Derekberg,Clinical,Urgent,-82.1971765,-60.012219
CH,CH,Market Entity for CH,"Planning Market - Joseph, Pierce and Dunn - CH",EMEA,LATAM,CH,East Alexandershire,Free Goods,Standard,75.8408915,49.202761
GLOBAL_CORP,GLOBAL_CORP,Market Entity for GLOBAL_CORP,Planning Market - Phelps-Patterson - GLOBAL_CORP,EMEA,APAC,INTL,South Frank,Clinical,Urgent,-85.3152465,-72.979574
FR,FR,Market Entity for FR,"Planning Market - Wallace, Phillips and Wright - FR",APAC,APAC,FR,South Michael,Clinical,Priority,39.6578465,-179.483907
BR,BR,Market Entity for BR,Planning Market - Davidson-Riley - BR,APAC,APAC,BR,West Richardmouth,Clinical,Urgent,41.636351,-25.916774
CH,CH,Market Entity for CH,Planning Market - Chapman Group - CH,APAC,AMER,CH,Johnsonview,Free Goods,Urgent,14.9833555,61.909405
GB,GB,Market Entity for GB,Planning Market - Burke Inc - GB,LATAM,AMER,GB,Kingtown,Commercial,Urgent,68.4691475,3.459165
CN,CN,Market Entity for CN,Planning Market - Huerta-Shannon - CN,APAC,EMEA,CN,Francisbury,Clinical,GPSS_Early,87.457682,-153.114446
GLOBAL_CORP,GLOBAL_CORP,Market Entity for GLOBAL_CORP,Planning Market - Holmes-Shaw - GLOBAL_CORP,AMER,APAC,INTL,North Melissamouth,Commercial,Priority,-32.999024,-129.255178
CN,CN,Market Entity for CN,Planning Market - Ponce and Sons - CN,APAC,LATAM,CN,Combschester,Free Goods,GPSS_Early,-55.699348,-10.221775
DE,DE,Market Entity for DE,Planning Market - Joyce-Waters - DE,AMER,APAC,DE,Lake Antoniomouth,Commercial,Urgent,48.4269575,-152.217552
BR,BR,Market Entity for BR,Planning Market - Smith-Davis - BR,EMEA,LATAM,BR,Paulmouth,Samples,GPSS_Early,73.3151725,70.635906
DE,DE,Market Entity for DE,"Planning Market - Smith, Johnson and Hendricks - DE",APAC,EMEA,DE,North Shannonhaven,Commercial,Urgent,45.953944,-8.079971
CH,CH,Market Entity for CH,Planning Market - Long-Hardin - CH,EMEA,EMEA,CH,Lake Kyle,Commercial,Standard,43.183404,-28.0348
AU,AU,Market Entity for AU,Planning Market - Richard PLC - AU,AMER,EMEA,AU,Port Audrey,Clinical,GPSS_Early,-81.293887,117.680012
IN,IN,Market Entity for IN,"Planning Market - Hill, Clark and Andrews - IN",APAC,EMEA,IN,Staceyfurt,Commercial,GPSS_Early,43.6300815,-143.662665
LATAM_REG,LATAM_REG,Market Entity for LATAM_REG,"Planning Market - Robinson, Rodriguez and Haley - LATAM_REG",LATAM,LATAM,INTL,Kellyside,Commercial,Standard,81.1010465,-44.107715
FR,FR,Market Entity for FR,"Planning Market - Mcguire, Thompson and Mccoy - FR",LATAM,AMER,FR,North Tammyshire,Commercial,Standard,86.151517,-157.532163
IN,IN,Market Entity for IN,Planning Market - Campos PLC - IN,LATAM,LATAM,IN,Michelletown,Free Goods,Urgent,65.1083135,-22.263642
CA,CA,Market Entity for CA,Planning Market - Stanley LLC - CA,APAC,EMEA,CA,Port Howardshire,Clinical,GPSS_Early,30.388129,153.637145
LATAM_REG,LATAM_REG,Market Entity for LATAM_REG,"Planning Market - Rodgers, Lawrence and Chandler - LATAM_REG",APAC,APAC,INTL,Port Kelsey,Clinical,Priority,-23.722605,119.478445
IN,IN,Market Entity for IN,"Planning Market - Mckinney, Shelton and Archer - IN",EMEA,APAC,IN,Phelpston,Clinical,Priority,79.854268,27.899248
CH,CH,Market Entity for CH,Planning Market - Skinner PLC - CH,APAC,EMEA,CH,Paulaland,Commercial,Priority,-35.7726795,-13.708336
DE,DE,Market Entity for DE,Planning Market - Holland PLC - DE,AMER,EMEA,DE,Pierceside,Commercial,Standard,33.785118,-26.041468
IN,IN,Market Entity for IN,Planning Market - Caldwell-Delgado - IN,APAC,EMEA,IN,New Coryborough,Commercial,Priority,19.378601,-51.785417
IN,IN,Market Entity for IN,Planning Market - Vaughn PLC - IN,APAC,AMER,IN,Lake Cindy,Clinical,GPSS_Early,30.182846,-175.423993
SG,SG,Market Entity for SG,Planning Market - Cruz Group - SG,AMER,LATAM,SG,New Garrett,Free Goods,GPSS_Early,-88.814898,73.362132
AU,AU,Market Entity for AU,Planning Market - Bailey LLC - AU,EMEA,AMER,AU,New Markbury,Clinical,GPSS_Early,-30.0683065,-123.392609
FR,FR,Market Entity for FR,Planning Market - Hess PLC - FR,EMEA,EMEA,FR,Brownmouth,Samples,GPSS_Early,30.548021,37.965128
LATAM_REG,LATAM_REG,Market Entity for LATAM_REG,Planning Market - Snyder-Watkins - LATAM_REG,APAC,EMEA,INTL,Port Arthur,Samples,Priority,-28.8856105,-148.284079
CH,CH,Market Entity for CH,Planning Market - Schmidt Group - CH,APAC,EMEA,CH,Lindaview,Free Goods,GPSS_Early,-81.0083635,11.943003
ES,ES,Market Entity for ES,"Planning Market - Weber, Odonnell and Allen - ES",LATAM,AMER,ES,East Robertfurt,Samples,Standard,27.5495465,82.424277
ES,ES,Market Entity for ES,"Planning Market - Olson, Wheeler and Schneider - ES",APAC,LATAM,ES,Katherinefort,Clinical,Priority,87.8090245,-86.065095
DE,DE,Market Entity for DE,Planning Market - Morris-Christensen - DE,AMER,LATAM,DE,Brownfurt,Commercial,GPSS_Early,-14.35384,129.338364
APAC_REG,APAC_REG,Market Entity for APAC_REG,Planning Market - Woods-Green - APAC_REG,AMER,LATAM,INTL,Codyport,Samples,Urgent,-5.079097,-57.12128
SG,SG,Market Entity for SG,Planning Market - Kelly-Thompson - SG,APAC,APAC,SG,Ballport,Clinical,Standard,49.105401,105.531382
AMER_REG,AMER_REG,Market Entity for AMER_REG,Planning Market - Bird LLC - AMER_REG,AMER,LATAM,INTL,Lake Robert,Commercial,GPSS_Early,72.0125315,127.86592
US,US,Market Entity for US,Planning Market - Mann PLC - US,APAC,APAC,US,Stacyville,Commercial,Standard,-59.876935,-11.06051
DE,DE,Market Entity for DE,"Planning Market - Reynolds, Barry and Cobb - DE",APAC,LATAM,DE,Charlesmouth,Clinical,Priority,24.8433885,-25.999026
ES,ES,Market Entity for ES,"Planning Market - Fisher, Kaiser and Banks - ES",EMEA,AMER,ES,Lake Robertside,Free Goods,GPSS_Early,-87.5181965,146.69665
GLOBAL_CORP,GLOBAL_CORP,Market Entity for GLOBAL_CORP,"Planning Market - Harris, Moss and Riddle - GLOBAL_CORP",EMEA,AMER,INTL,West Ryan,Samples,Priority,-73.750952,-84.717516
CH,CH,Market Entity for CH,Planning Market - Flores-Benton - CH,AMER,LATAM,CH,East Sandraport,Clinical,Standard,2.369331,22.304962
CH,CH,Market Entity for CH,Planning Market - Watts and Sons - CH,AMER,LATAM,CH,East Kevin,Clinical,Urgent,6.5201355,-105.693467
US,US,Market Entity for US,Planning Market - Hammond-Hayes - US,APAC,APAC,US,Chrismouth,Free Goods,Urgent,36.3012585,104.791776
JP,JP,Market Entity for JP,"Planning Market - Anderson, Lee and Stephens - JP",APAC,AMER,JP,Port Gabriel,Samples,Priority,-17.698629,-101.969112
CN,CN,Market Entity for CN,Planning Market - Davis-Rodriguez - CN,EMEA,AMER,CN,Mejiahaven,Samples,Urgent,79.634357,22.847873
CH,CH,Market Entity for CH,"Planning Market - Walls, Benjamin and King - CH",EMEA,EMEA,CH,Cummingsburgh,Clinical,Standard,-32.1253305,159.622024
DE,DE,Market Entity for DE,Planning Market - Johnson-Cohen - DE,LATAM,EMEA,DE,Deniseview,Commercial,Priority,36.052944,120.790722
ES,ES,Market Entity for ES,Planning Market - Goodwin-Neal - ES,EMEA,APAC,ES,Roseshire,Samples,Urgent,-39.2092905,-114.044031
SG,SG,Market Entity for SG,"Planning Market - Moore, Ramsey and Bean - SG",AMER,APAC,SG,Port Lauraburgh,Free Goods,Priority,-30.160309,-105.107624
APAC_REG,APAC_REG,Market Entity for APAC_REG,"Planning Market - Molina, Smith and Crosby - APAC_REG",APAC,EMEA,INTL,Lopezbury,Commercial,Priority,65.6296215,-45.403324
CH,CH,Market Entity for CH,"Planning Market - Davis, Shaw and Hill - CH",LATAM,EMEA,CH,Joshuaside,Samples,GPSS_Early,74.528424,-91.852989
GB,GB,Market Entity for GB,Planning Market - Ryan-Moreno - GB,APAC,LATAM,GB,North Jose,Clinical,GPSS_Early,-89.0335835,-152.530487
NL,NL,Market Entity for NL,Planning Market - Reed and Sons - NL,APAC,EMEA,NL,East Rebeccaburgh,Free Goods,Priority,45.5830795,-99.113643
LATAM_REG,LATAM_REG,Market Entity for LATAM_REG,Planning Market - Wells-Nguyen - LATAM_REG,LATAM,LATAM,INTL,Monicatown,Clinical,GPSS_Early,-7.227474,59.861677
AU,AU,Market Entity for AU,"Planning Market - Li, Payne and James - AU",APAC,APAC,AU,Garciahaven,Commercial,Urgent,66.8235645,54.444155
APAC_REG,APAC_REG,Market Entity for APAC_REG,"Planning Market - Taylor, Lee and Chan - APAC_REG",EMEA,EMEA,INTL,Brianchester,Free Goods,Standard,-43.662919,109.853762
AU,AU,Market Entity for AU,Planning Market - Solomon-Edwards - AU,APAC,EMEA,AU,Susanborough,Samples,Standard,-9.991126,55.285799
NL,NL,Market Entity for NL,Planning Market - Williams-Frazier - NL,APAC,LATAM,NL,East Andrew,Samples,GPSS_Early,-44.3663815,14.079163
BR,BR,Market Entity for BR,"Planning Market - Gonzales, Meyer and Moody - BR",APAC,AMER,BR,Randallborough,Commercial,Standard,15.476782,-67.612955
IN,IN,Market Entity for IN,Planning Market - Sanders and Sons - IN,APAC,AMER,IN,Port Angelafurt,Samples,GPSS_Early,-78.757825,-124.633681
CH,CH,Market Entity for CH,Planning Market - Moore-Long - CH,AMER,LATAM,CH,New Kayla,Samples,GPSS_Early,-26.75217,-68.607486
FR,FR,Market Entity for FR,"Planning Market - Zamora, Collins and Williams - FR",APAC,EMEA,FR,Kristafort,Free Goods,Urgent,-14.49241,126.533528
FR,FR,Market Entity for FR,Planning Market - Welch Group - FR,APAC,LATAM,FR,West Melissa,Clinical,GPSS_Early,-30.2544135,-161.44068
DE,DE,Market Entity for DE,Planning Market - Bender Inc - DE,AMER,LATAM,DE,South Robertfurt,Clinical,Urgent,25.8387155,-83.94107
APAC_REG,APAC_REG,Market Entity for APAC_REG,Planning Market - Warren LLC - APAC_REG,AMER,APAC,INTL,Kevinport,Clinical,GPSS_Early,-89.285816,106.378661
NL,NL,Market Entity for NL,"Planning Market - Rivera, Gilbert and House - NL",EMEA,EMEA,NL,Hernandezshire,Clinical,Priority,4.488026,-139.223288
IT,IT,Market Entity for IT,Planning Market - Schultz PLC - IT,AMER,EMEA,IT,Alisonland,Clinical,Standard,-80.232949,25.433516
FR,FR,Market Entity for FR,"Planning Market - Haas, Perry and Williams - FR",APAC,EMEA,FR,East Michelletown,Samples,Urgent,-10.4909625,44.862482
ES,ES,Market Entity for ES,"Planning Market - Smith, Garcia and Green - ES",EMEA,AMER,ES,Jamesville,Commercial,Urgent,11.9343025,-108.0069
JP,JP,Market Entity for JP,Planning Market - Ramirez-Brandt - JP,AMER,LATAM,JP,Pricefort,Clinical,Standard,56.4822555,112.244335
CA,CA,Market Entity for CA,Planning Market - Flores-Ruiz - CA,APAC,LATAM,CA,Port Maria,Free Goods,Priority,-69.557834,51.162374
EMEA_REG,EMEA_REG,Market Entity for EMEA_REG,Planning Market - Brown-Thompson - EMEA_REG,LATAM,EMEA,INTL,Ericborough,Free Goods,GPSS_Early,50.8834735,127.216586
CH,CH,Market Entity for CH,Planning Market - Reed Ltd - CH,APAC,LATAM,CH,Melanietown,Commercial,Standard,33.725935,-139.055774
DE,DE,Market Entity for DE,Planning Market - May Inc - DE,APAC,EMEA,DE,Avilahaven,Samples,Priority,10.6263815,-167.126791
GB,GB,Market Entity for GB,Planning Market - Sanchez Ltd - GB,LATAM,EMEA,GB,West Danielletown,Free Goods,Urgent,24.258988,52.852245
BR,BR,Market Entity for BR,Planning Market - Davis-Fernandez - BR,EMEA,AMER,BR,East Diane,Commercial,Standard,-57.235088,88.229286
CH,CH,Market Entity for CH,Planning Market - Scott PLC - CH,EMEA,APAC,CH,Michaelland,Clinical,GPSS_Early,-44.176836,122.208271
NL,NL,Market Entity for NL,"Planning Market - Neal, Carter and Chang - NL",APAC,AMER,NL,East Adam,Clinical,Urgent,-41.7077375,92.539994
BR,BR,Market Entity for BR,"Planning Market - Lester, Jones and Hartman - BR",AMER,LATAM,BR,North William,Samples,GPSS_Early,5.0839035,-105.540453
IN,IN,Market Entity for IN,Planning Market - Kirk Group - IN,APAC,LATAM,IN,North Teresaburgh,Free Goods,GPSS_Early,21.952474,146.029535
DE,DE,Market Entity for DE,Planning Market - Martin-Hanna - DE,APAC,EMEA,DE,Katherinefort,Clinical,Standard,-28.803952,-107.054799
CN,CN,Market Entity for CN,Planning Market - Brady-Greene - CN,EMEA,EMEA,CN,New Kenneth,Commercial,GPSS_Early,-75.456985,-47.358066
DE,DE,Market Entity for DE,"Planning Market - Christensen, Diaz and Harmon - DE",LATAM,AMER,DE,South John,Samples,Standard,16.6851645,-98.417282
CA,CA,Market Entity for CA,Planning Market - Hoffman PLC - CA,EMEA,AMER,CA,Kennethbury,Commercial,Urgent,39.3406055,164.863598
JP,JP,Market Entity for JP,Planning Market - Kelly-Clark - JP,APAC,LATAM,JP,Ericside,Samples,Standard,5.6603045,101.613012
EMEA_REG,EMEA_REG,Market Entity for EMEA_REG,Planning Market - Lee Inc - EMEA_REG,EMEA,APAC,INTL,Davidsonville,Free Goods,Urgent,-12.8295785,118.835832
CA,CA,Market Entity for CA,Planning Market - Rios-Gallegos - CA,APAC,AMER,CA,New Luistown,Commercial,Urgent,-0.691544,-149.276957
CA,CA,Market Entity for CA,Planning Market - Pineda-Dixon - CA,APAC,LATAM,CA,Guerreromouth,Free Goods,Urgent,66.91431,-165.111619
FR,FR,Market Entity for FR,Planning Market - Wilson-Martinez - FR,APAC,APAC,FR,South Tracy,Samples,Priority,-61.875302,-148.13463
BR,BR,Market Entity for BR,"Planning Market - Williams, King and Scott - BR",LATAM,APAC,BR,New Daniel,Clinical,Standard,-70.7471625,73.223502
