id,period,period_id,material,market,consensus_demand,ibp_consensus_forecast,budget_volumes,sc_forecast_override,statistical_forecast,forecast_selector,upside,fcst_snapshot_1,fcst_snapshot_2,fcst_snapshot_3,fcst_snapshot_4,fcst_snapshot_5,fcst_snapshot_6,fcst_snapshot_7,fcst_snapshot_8,fcst_snapshot_9,fcst_snapshot_10,fcst_snapshot_11,fcst_snapshot_12,ibp_forecast,fcst_variance_snapshot_1,fcst_variance_snapshot_2,fcst_variance_snapshot_3,fcst_variance_perc_snapshot_1,fcst_variance_perc_snapshot_2,fcst_variance_perc_snapshot_3,ibp_consensus_forecast_prior
41,202610,202610,MAT88102,CUST6940,978.12,1133.95,997.68,1001.1,991.05,STAT,94.96,1065.29,1003.85,1069.79,1017.95,1010.2,1011.39,989.12,978.43,1066.04,1011.93,1066.68,1064.64,1228.91,163.62,225.06,159.12,0.1331,0.1831,0.1295,1038.43
42,202608,202608,MAT80616,CUST9029,199.55,219.09,214.63,202.49,225.18,STAT,24.72,213.12,205.06,213.94,205.43,206.98,219.24,210.37,206.42,205.07,209.24,205.18,216.11,243.81,30.69,38.75,29.87,0.1259,0.1589,0.1225,210.37
43,202612,202612,MAT80766,CUST3878,1047.95,1239.19,1138.98,1068.57,1135.84,CONSENSUS,109.22,1062.39,1092.27,1055.87,1138.85,1097.67,1124.39,1115.31,1103.23,1089.06,1145.09,1130.91,1141.31,1348.41,286.02,256.14,292.54,0.2121,0.19,0.217,1142.82
44,202711,202711,MAT52663,CUST2508,85.78,100.29,86.98,86.38,92.59,STAT,56.85,90.81,93.45,88.76,89.91,92.39,93.46,89.31,94.32,88.24,90.57,91.46,86.06,157.14,66.33,63.69,68.38,0.4221,0.4053,0.4352,93.99
45,202705,202705,MAT72441,CUST0031,852.85,954.92,863.27,855.6,963.46,STAT,16.96,931.18,880.03,922.73,904.31,928.63,873.97,860.72,907.75,935.7,881.77,872.42,932.54,971.88,40.7,91.85,49.15,0.0419,0.0945,0.0506,859.54
46,202606,202606,MAT82724,CUST5008,536.59,573.35,557.49,556.92,536.99,STAT,25.75,549.37,542.81,550.84,588.25,543.28,588.59,548.37,562.72,553.42,544.59,551.93,544.77,599.1,49.73,56.29,48.26,0.083,0.094,0.0806,566.49
47,202703,202703,MAT76490,CUST0135,983.93,1108.79,1026.04,1026.96,1016.73,CONSENSUS,99.84,1045.81,1059.79,1009.3,1057.08,1015.6,986.76,1001.94,1028.96,1001.83,1041.49,1024.05,1066.83,1208.63,162.82,148.84,199.33,0.1347,0.1231,0.1649,1094.31
48,202702,202702,MAT86858,CUST9521,1030.4,1067.74,1082.17,1069.84,1159.07,STAT,94.66,1038.79,1100.06,1076.27,1105.71,1052.53,1076.83,1069.87,1046.81,1100.41,1103.74,1129.77,1090.47,1162.4,123.61,62.34,86.13,0.1063,0.0536,0.0741,1055.65
49,202701,202701,MAT28678,CUST7418,285.88,291.21,311.87,296.26,314.66,CONSENSUS,139.97,310.01,294.6,290.05,308.71,288.88,305.4,298.6,300.73,294.38,314.36,289.69,304.46,431.18,121.17,136.58,141.13,0.281,0.3168,0.3273,272.11
50,202711,202711,MAT86237,CUST0809,959.19,1043.57,971.76,967.88,1033.79,CONSENSUS,4.17,996.66,990.42,1028.74,1051.43,965.03,1051.02,998.44,1009.55,1021.53,1042.78,1042.8,1035.21,1047.74,51.08,57.32,19.0,0.0488,0.0547,0.0181,1029.44
51,202612,202612,MAT62577,CUST3853,669.64,744.98,716.66,677.33,732.93,STAT,195.13,720.97,679.89,722.17,686.98,731.51,706.53,709.71,692.72,705.39,685.92,712.64,731.3,940.11,219.14,260.22,217.94,0.2331,0.2768,0.2318,719.52
52,202707,202707,MAT52846,CUST9680,1018.11,1194.54,1022.01,1039.21,1088.74,STAT,111.58,1030.21,1080.15,1090.5,1100.79,1047.24,1088.33,1057.01,1041.15,1037.88,1037.41,1072.2,1097.14,1306.12,275.91,225.97,215.62,0.2112,0.173,0.1651,1082.73
53,202602,202602,MAT88336,CUST4087,990.83,1077.36,1058.38,1013.24,1003.11,STAT,33.49,1088.42,1077.92,1082.59,1019.76,1001.55,1071.49,1046.48,1006.93,1074.75,1086.02,1079.83,1008.51,1110.85,22.43,32.93,28.26,0.0202,0.0296,0.0254,1019.86
54,202709,202709,MAT55451,CUST4937,765.29,910.8,785.93,778.81,851.14,CONSENSUS,109.2,792.55,816.3,811.24,834.94,831.71,774.39,835.4,773.93,766.07,816.18,812.43,828.14,1020.0,227.45,203.7,208.76,0.223,0.1997,0.2047,849.06
55,202708,202708,MAT74686,CUST2132,387.23,452.87,418.84,389.91,429.26,STAT,28.51,393.87,422.81,410.62,396.32,398.39,417.62,406.73,412.19,395.35,393.57,414.3,416.52,481.38,87.51,58.57,70.76,0.1818,0.1217,0.147,424.62
56,202801,202801,MAT56836,CUST1820,243.79,270.2,251.35,252.39,277.63,CONSENSUS,188.54,258.48,244.69,248.46,244.09,252.16,256.7,247.57,248.39,249.57,265.07,246.1,262.61,458.74,200.26,214.05,210.28,0.4365,0.4666,0.4584,245.87
57,202611,202611,MAT60432,CUST5504,1011.85,1185.32,1027.39,1053.15,1111.9,CONSENSUS,1.41,1033.33,1041.62,1109.75,1109.46,1021.22,1083.01,1018.86,1025.07,1027.15,1027.61,1054.16,1099.51,1186.73,153.4,145.11,76.98,0.1293,0.1223,0.0649,1173.01
58,202703,202703,MAT81927,CUST9050,303.01,307.88,309.17,303.58,328.65,STAT,72.55,304.45,314.62,307.41,328.64,331.49,305.88,309.38,329.87,314.86,308.37,309.86,315.42,380.43,75.98,65.81,73.02,0.1997,0.173,0.1919,304.14
59,202701,202701,MAT05744,CUST4595,1004.65,1145.1,1102.01,1043.46,1107.33,STAT,82.01,1073.49,1103.62,1050.26,1062.55,1104.89,1043.52,1008.56,1039.85,1081.17,1034.67,1082.78,1051.47,1227.11,153.62,123.49,176.85,0.1252,0.1006,0.1441,1100.18
60,202710,202710,MAT57781,CUST8168,1014.2,1140.22,1110.24,1016.7,1083.64,CONSENSUS,65.02,1014.4,1113.57,1048.83,1034.6,1048.91,1098.07,1051.79,1057.41,1050.29,1100.89,1043.18,1074.47,1205.24,190.84,91.67,156.41,0.1583,0.0761,0.1298,1039.78
61,202608,202608,MAT94966,CUST8171,65.34,68.01,65.45,67.43,69.18,CONSENSUS,85.48,66.8,71.32,69.53,66.05,70.53,69.97,66.68,68.83,66.32,65.83,70.99,68.05,153.49,86.69,82.17,83.96,0.5648,0.5353,0.547,61.79
62,202608,202608,MAT08431,CUST2034,926.85,1090.37,971.89,959.07,940.53,STAT,72.09,928.26,991.09,927.99,1004.85,945.91,946.94,1012.28,1005.04,971.69,1001.53,1005.59,1004.43,1162.46,234.2,171.37,234.47,0.2015,0.1474,0.2017,1012.46
63,202711,202711,MAT84994,CUST1568,137.57,147.49,143.92,141.11,149.13,STAT,193.84,147.06,151.0,149.16,138.51,141.34,142.41,141.27,147.03,147.59,146.14,140.15,138.69,341.33,194.27,190.33,192.17,0.5692,0.5576,0.563,140.33
64,202710,202710,MAT03846,CUST8012,88.77,98.07,89.14,90.04,100.48,STAT,153.0,91.0,92.87,94.43,89.48,96.61,89.87,97.27,96.76,96.81,97.09,94.89,97.16,251.07,160.07,158.2,156.64,0.6376,0.6301,0.6239,89.09
65,202611,202611,MAT55787,CUST7952,701.05,713.37,767.89,703.54,705.1,STAT,187.04,720.56,765.34,741.05,771.08,767.75,738.17,740.07,754.81,709.34,705.88,755.34,723.65,900.41,179.85,135.07,159.36,0.1997,0.15,0.177,652.48
66,202705,202705,MAT77823,CUST4381,740.26,884.25,808.67,768.76,830.83,CONSENSUS,149.93,801.82,778.63,813.5,753.68,806.02,755.46,793.49,784.21,811.53,740.82,778.64,808.8,1034.18,232.36,255.55,220.68,0.2247,0.2471,0.2134,821.03
67,202705,202705,MAT69347,CUST4927,806.7,821.55,845.63,824.19,891.85,STAT,73.41,819.0,814.26,872.29,842.71,814.63,809.49,815.08,848.72,857.77,856.59,874.64,860.16,894.96,75.96,80.7,22.67,0.0849,0.0902,0.0253,815.88
68,202706,202706,MAT63214,CUST5106,1002.36,1022.84,1056.02,1036.77,1140.92,STAT,154.92,1067.05,1051.65,1078.31,1083.89,1083.25,1034.76,1068.03,1056.48,1051.56,1003.44,1099.31,1050.41,1177.76,110.71,126.11,99.45,0.094,0.1071,0.0844,982.97
69,202607,202607,MAT95847,CUST3875,174.15,189.15,184.07,175.77,176.98,CONSENSUS,32.74,178.57,186.35,177.96,188.5,180.59,186.46,174.86,178.27,177.83,175.31,182.54,175.9,221.89,43.32,35.54,43.93,0.1952,0.1602,0.198,176.86
70,202603,202603,MAT99565,CUST9291,870.88,918.1,925.41,882.1,906.9,CONSENSUS,36.37,905.29,932.03,933.78,882.56,898.8,887.08,875.24,894.42,935.47,957.9,935.84,941.39,954.47,49.18,22.44,20.69,0.0515,0.0235,0.0217,877.92
71,202607,202607,MAT67284,CUST8877,114.97,124.51,123.74,117.64,126.7,CONSENSUS,74.55,120.14,124.81,119.97,124.61,123.75,121.32,115.88,123.57,122.63,124.14,124.63,115.19,199.06,78.92,74.25,79.09,0.3965,0.373,0.3973,116.18
72,202710,202710,MAT33514,CUST7598,766.54,882.99,789.85,797.95,809.77,STAT,30.6,802.19,827.56,812.37,829.95,783.76,834.06,825.04,802.17,794.1,819.14,803.73,805.05,913.59,111.4,86.03,101.22,0.1219,0.0942,0.1108,866.23
73,202708,202708,MAT41821,CUST0862,784.8,913.3,790.35,797.24,888.82,STAT,43.17,831.17,851.06,840.23,797.31,815.96,847.41,842.09,803.61,817.91,814.05,827.35,847.97,956.47,125.3,105.41,116.24,0.131,0.1102,0.1215,860.64
74,202710,202710,MAT47723,CUST6446,126.63,136.01,128.61,129.92,132.73,CONSENSUS,118.02,129.91,127.48,135.1,134.35,138.81,139.0,127.84,138.36,136.29,133.0,133.0,131.32,254.03,124.12,126.55,118.93,0.4886,0.4982,0.4682,133.19
75,202709,202709,MAT26535,CUST9294,543.02,639.66,589.3,547.58,603.73,STAT,16.09,547.98,585.0,548.14,554.79,568.04,595.98,590.73,553.98,577.08,594.24,567.84,563.55,655.75,107.77,70.75,107.61,0.1643,0.1079,0.1641,608.66
76,202611,202611,MAT75885,CUST0628,1032.14,1095.3,1113.05,1070.24,1183.44,CONSENSUS,119.63,1046.87,1128.39,1135.33,1122.52,1061.97,1092.63,1132.04,1119.19,1127.14,1086.0,1047.22,1109.27,1214.93,168.06,86.54,79.6,0.1383,0.0712,0.0655,1003.69
77,202610,202610,MAT65830,CUST7052,215.23,254.44,217.15,219.93,246.27,CONSENSUS,72.87,224.31,232.33,223.08,233.17,232.53,218.06,233.26,224.02,224.83,231.29,218.99,235.46,327.31,103.0,94.98,104.23,0.3147,0.2902,0.3184,243.26
78,202707,202707,MAT42988,CUST3426,181.46,201.01,193.47,190.35,190.2,CONSENSUS,58.69,190.82,188.25,182.73,193.26,195.84,189.7,189.24,194.43,198.24,198.0,194.87,191.43,259.7,68.88,71.45,76.97,0.2652,0.2751,0.2964,189.43
79,202603,202603,MAT99124,CUST1247,943.53,954.37,962.52,962.65,1023.15,CONSENSUS,166.53,984.21,985.94,944.5,950.37,965.06,997.74,984.84,996.6,1018.8,1030.24,978.8,1027.58,1120.9,136.69,134.96,176.4,0.1219,0.1204,0.1574,888.24
80,202706,202706,MAT87900,CUST8098,960.0,1018.6,996.22,968.03,1098.79,CONSENSUS,1.57,1006.66,1007.1,961.47,1009.97,1025.49,1004.77,1029.31,1004.02,1041.94,1048.19,991.24,1018.37,1020.17,13.51,13.07,58.7,0.0132,0.0128,0.0575,938.55
81,202607,202607,MAT80619,CUST9436,58.43,65.59,61.56,60.0,63.29,CONSENSUS,47.88,61.8,60.51,64.11,61.69,61.18,59.53,62.04,59.25,59.29,60.16,64.17,62.39,113.47,51.67,52.96,49.36,0.4554,0.4667,0.435,64.98
82,202701,202701,MAT58175,CUST4871,821.26,946.45,831.01,822.07,902.54,CONSENSUS,116.58,887.93,896.71,831.16,855.91,866.18,852.73,823.8,879.78,862.89,853.45,886.82,864.83,1063.03,175.1,166.32,231.87,0.1647,0.1565,0.2181,942.75
83,202602,202602,MAT32095,CUST3588,789.14,806.4,851.82,789.9,813.9,CONSENSUS,125.23,811.73,832.42,866.74,809.38,819.11,802.93,797.94,801.12,825.39,829.57,815.03,823.65,931.63,119.9,99.21,64.89,0.1287,0.1065,0.0697,780.55
84,202606,202606,MAT33748,CUST1500,756.6,869.9,831.86,782.12,823.34,STAT,163.19,777.7,791.81,798.02,787.97,821.82,762.88,780.59,785.06,761.93,798.88,828.24,807.28,1033.09,255.39,241.28,235.07,0.2472,0.2336,0.2275,783.45
85,202712,202712,MAT81202,CUST0802,1013.79,1100.76,1063.06,1063.18,1033.7,CONSENSUS,106.38,1095.37,1044.77,1019.47,1093.35,1114.06,1082.16,1072.04,1074.16,1014.15,1032.85,1093.02,1111.05,1207.14,111.77,162.37,187.67,0.0926,0.1345,0.1555,1067.05
86,202609,202609,MAT81441,CUST0865,750.69,759.43,769.14,781.24,795.98,CONSENSUS,198.13,771.62,760.27,792.45,800.61,777.11,790.5,802.59,797.63,825.46,796.89,804.74,797.5,957.56,185.94,197.29,165.11,0.1942,0.206,0.1724,692.11
87,202703,202703,MAT00345,CUST4236,557.9,592.73,577.09,582.48,633.87,STAT,108.7,605.77,580.82,598.29,611.72,608.22,606.6,579.13,607.31,562.58,611.95,583.46,593.47,701.43,95.66,120.61,103.14,0.1364,0.1719,0.147,554.54
88,202708,202708,MAT08877,CUST0323,257.92,271.32,261.27,269.19,271.5,CONSENSUS,53.29,272.12,279.93,269.32,275.73,274.07,272.49,274.26,281.32,263.45,272.15,273.18,266.63,324.61,52.49,44.68,55.29,0.1617,0.1376,0.1703,268.5
89,202709,202709,MAT03066,CUST8402,99.51,114.78,100.39,99.54,107.32,STAT,4.43,99.88,106.5,102.16,106.63,102.69,106.3,100.61,106.99,101.16,102.4,99.91,106.93,119.21,19.33,12.71,17.05,0.1622,0.1066,0.143,112.9
90,202711,202711,MAT78689,CUST7798,927.99,946.32,957.45,934.64,965.63,CONSENSUS,25.24,1004.33,1017.06,963.64,999.21,932.7,956.45,985.36,999.54,999.84,1000.9,1001.19,930.86,971.56,-32.77,-45.5,7.92,-0.0337,-0.0468,0.0082,897.73
91,202603,202603,MAT91386,CUST2869,360.37,399.67,373.34,372.54,393.77,STAT,69.6,361.15,392.31,369.76,380.5,360.53,367.8,388.7,389.63,382.45,388.48,362.12,382.45,469.27,108.12,76.96,99.51,0.2304,0.164,0.2121,366.11
92,202705,202705,MAT80318,CUST0284,538.01,587.6,562.84,563.26,597.8,STAT,159.98,563.19,588.62,538.94,538.89,568.98,540.22,550.18,543.63,557.78,586.72,547.26,544.19,747.58,184.39,158.96,208.64,0.2466,0.2126,0.2791,576.76
93,202604,202604,MAT92893,CUST5528,583.91,651.1,639.66,599.42,607.24,STAT,158.55,586.73,593.86,601.28,604.43,604.73,639.4,629.06,634.83,601.81,609.71,628.77,602.2,809.65,222.92,215.79,208.37,0.2753,0.2665,0.2574,591.41
94,202610,202610,MAT26806,CUST0337,468.42,474.99,483.11,487.95,486.79,STAT,187.69,514.62,507.7,515.11,507.62,497.28,493.73,480.93,497.77,475.46,514.03,480.21,469.02,662.68,148.06,154.98,147.57,0.2234,0.2339,0.2227,450.13
95,202701,202701,MAT63922,CUST7203,419.41,459.0,444.6,432.63,435.46,STAT,146.14,424.26,451.22,423.52,443.03,447.58,451.39,443.68,438.18,436.25,440.99,448.84,420.53,605.14,180.88,153.92,181.62,0.2989,0.2544,0.3001,418.63
96,202703,202703,MAT88240,CUST6572,473.1,483.58,510.65,484.66,510.58,CONSENSUS,139.67,487.59,512.85,511.58,502.44,500.89,508.26,486.84,492.81,489.77,487.69,520.08,481.45,623.25,135.66,110.4,111.67,0.2177,0.1771,0.1792,459.39
