Location ID,Plant,Product ID,Material,Material Description,Plant Exclusion (X),Market DC (X)
PL67866,PL67866,MAT341186,MAT341186,Finished Good - Agree Off,X,
PL47033,PL47033,MAT773303,MAT773303,Finished Good - Special Agree,X,X
PL44788,PL44788,MAT140963,MAT140963,Finished Good - Explain Executive,X,X
PL46338,PL46338,MAT667265,MAT667265,Finished Good - This Magazine,X,
PL21308,PL21308,MAT588413,MAT588413,Finished Good - Perform Order,X,
PL10432,PL10432,MAT790087,MAT790087,Finished Good - Religious Money,,X
PL51312,PL51312,MAT123662,MAT123662,Finished Good - Live Share,X,
PL54103,PL54103,MAT781244,MAT781244,Finished Good - Be Audience,,
PL85010,PL85010,MAT421839,MAT421839,Finished Good - Next Into,,
PL99561,PL99561,MAT835340,MAT835340,Finished Good - Head Attack,X,
PL38641,PL38641,MAT749027,MAT749027,Finished Good - Upon Field,X,X
PL14184,PL14184,MAT941813,MAT941813,Finished Good - Break Time,,
PL20330,PL20330,MAT240420,MAT240420,Finished Good - Live Event,,X
PL70282,PL70282,MAT583734,MAT583734,Finished Good - Term Address,X,
PL89031,PL89031,MAT661873,MAT661873,Finished Good - Far Bill,X,
PL82993,PL82993,MAT598664,MAT598664,Finished Good - Late Number,X,
PL46860,PL46860,MAT642816,MAT642816,Finished Good - Morning National,X,
PL30872,PL30872,MAT411248,MAT411248,Finished Good - True Miss,,
PL80947,PL80947,MAT139452,MAT139452,Finished Good - College Pressure,,X
PL99231,PL99231,MAT248600,MAT248600,Finished Good - Opportunity Detail,X,X
PL27897,PL27897,MAT845579,MAT845579,Finished Good - Democrat Staff,X,
PL83720,PL83720,MAT606759,MAT606759,Finished Good - Keep Into,X,X
PL47207,PL47207,MAT254979,MAT254979,Finished Good - Hope Director,,X
PL51635,PL51635,MAT114100,MAT114100,Finished Good - Usually Natural,X,
PL28339,PL28339,MAT666568,MAT666568,Finished Good - Account Heart,,X
PL64464,PL64464,MAT224025,MAT224025,Finished Good - Mission Indeed,,X
PL40974,PL40974,MAT436087,MAT436087,Finished Good - Walk Past,,
PL74912,PL74912,MAT866454,MAT866454,Finished Good - Beautiful Population,X,X
PL46503,PL46503,MAT189782,MAT189782,Finished Good - Physical Need,X,X
PL87593,PL87593,MAT531795,MAT531795,Finished Good - Executive Somebody,,
PL11846,PL11846,MAT967000,MAT967000,Finished Good - Role Pretty,X,X
PL74009,PL74009,MAT435895,MAT435895,Finished Good - Hold Rich,,X
PL63095,PL63095,MAT695658,MAT695658,Finished Good - A Us,X,X
PL43561,PL43561,MAT749936,MAT749936,Finished Good - Keep Dinner,X,X
PL35717,PL35717,MAT936904,MAT936904,Finished Good - Moment Reduce,,
PL78806,PL78806,MAT999983,MAT999983,Finished Good - Economy Class,,
PL83442,PL83442,MAT537281,MAT537281,Finished Good - Trial Television,X,X
PL95459,PL95459,MAT840503,MAT840503,Finished Good - Know Into,X,X
PL21883,PL21883,MAT432849,MAT432849,Finished Good - Speak Hold,X,X
PL90332,PL90332,MAT660488,MAT660488,Finished Good - Price Head,,
PL69621,PL69621,MAT677987,MAT677987,Finished Good - Likely Across,,
PL88689,PL88689,MAT860811,MAT860811,Finished Good - Letter Continue,X,X
PL91611,PL91611,MAT320550,MAT320550,Finished Good - Recently Art,X,X
PL71168,PL71168,MAT564548,MAT564548,Finished Good - Newspaper Else,X,
PL12825,PL12825,MAT865172,MAT865172,Finished Good - Strong Few,X,X
PL12031,PL12031,MAT471438,MAT471438,Finished Good - Close Popular,,
PL21327,PL21327,MAT352095,MAT352095,Finished Good - Film Boy,,X
PL60524,PL60524,MAT187584,MAT187584,Finished Good - Certain Prepare,X,
PL25183,PL25183,MAT964765,MAT964765,Finished Good - According Return,,X
PL70148,PL70148,MAT196350,MAT196350,Finished Good - Customer In,,X
PL62171,PL62171,MAT861999,MAT861999,Finished Good - Seek Popular,X,X
PL23233,PL23233,MAT218120,MAT218120,Finished Good - Skin History,,X
PL69696,PL69696,MAT734614,MAT734614,Finished Good - Amount Indeed,,X
PL46613,PL46613,MAT876119,MAT876119,Finished Good - Party Best,X,
PL36385,PL36385,MAT614432,MAT614432,Finished Good - Whether Dinner,,X
PL54158,PL54158,MAT165752,MAT165752,Finished Good - Character Other,X,
PL48371,PL48371,MAT384276,MAT384276,Finished Good - Rate Not,X,
PL14505,PL14505,MAT588867,MAT588867,Finished Good - Here Indeed,X,
PL27584,PL27584,MAT684498,MAT684498,Finished Good - Report Item,,X
PL92765,PL92765,MAT121257,MAT121257,Finished Good - Happy Theory,,X
PL54246,PL54246,MAT197755,MAT197755,Finished Good - However Pm,X,X
PL44776,PL44776,MAT345645,MAT345645,Finished Good - Public Leader,,X
PL84322,PL84322,MAT524967,MAT524967,Finished Good - Establish Week,X,
PL21815,PL21815,MAT475922,MAT475922,Finished Good - Glass A,X,
PL67947,PL67947,MAT350627,MAT350627,Finished Good - Determine Student,X,
PL56727,PL56727,MAT671477,MAT671477,Finished Good - Sport Teacher,,X
PL82240,PL82240,MAT736754,MAT736754,Finished Good - Type Significant,,
PL22969,PL22969,MAT158552,MAT158552,Finished Good - Seat Particularly,X,X
PL19230,PL19230,MAT874134,MAT874134,Finished Good - Reality Individual,X,X
PL70372,PL70372,MAT409927,MAT409927,Finished Good - Indicate How,,
PL95126,PL95126,MAT386582,MAT386582,Finished Good - Rich American,,X
PL82335,PL82335,MAT345343,MAT345343,Finished Good - Central Field,,
PL92690,PL92690,MAT877851,MAT877851,Finished Good - Movie Environmental,,
PL40071,PL40071,MAT776716,MAT776716,Finished Good - Board Central,X,
PL10970,PL10970,MAT824667,MAT824667,Finished Good - Police Hit,X,X
PL52500,PL52500,MAT873061,MAT873061,Finished Good - Mr Current,,X
PL47647,PL47647,MAT168829,MAT168829,Finished Good - Already It,,X
PL93877,PL93877,MAT653812,MAT653812,Finished Good - Itself Apply,,X
PL40128,PL40128,MAT976111,MAT976111,Finished Good - Political Ever,X,X
PL95677,PL95677,MAT621121,MAT621121,Finished Good - Talk Their,,
PL93133,PL93133,MAT265047,MAT265047,Finished Good - Go Fast,X,X
PL51425,PL51425,MAT875182,MAT875182,Finished Good - Do Enough,X,X
PL55418,PL55418,MAT117931,MAT117931,Finished Good - Space Stay,X,
PL54171,PL54171,MAT718567,MAT718567,Finished Good - Sport Reason,,
PL97395,PL97395,MAT746239,MAT746239,Finished Good - Character Wrong,,
PL34340,PL34340,MAT992772,MAT992772,Finished Good - Close Character,X,X
PL60792,PL60792,MAT388590,MAT388590,Finished Good - Bit Recent,X,
PL84593,PL84593,MAT840875,MAT840875,Finished Good - Million Participant,,X
PL18746,PL18746,MAT869277,MAT869277,Finished Good - No Month,X,
PL78299,PL78299,MAT571927,MAT571927,Finished Good - Model Cover,,
PL35731,PL35731,MAT536209,MAT536209,Finished Good - Someone Also,X,X
PL58843,PL58843,MAT258283,MAT258283,Finished Good - Difficult Blue,X,X
PL34086,PL34086,MAT986650,MAT986650,Finished Good - Discover Mrs,X,
PL15514,PL15514,MAT854547,MAT854547,Finished Good - Find Act,X,X
PL84666,PL84666,MAT464237,MAT464237,Finished Good - We Significant,,
PL34263,PL34263,MAT926776,MAT926776,Finished Good - Those Perhaps,X,X
PL25204,PL25204,MAT844588,MAT844588,Finished Good - Indeed Money,,X
PL70419,PL70419,MAT907173,MAT907173,Finished Good - Still Professor,,
PL42609,PL42609,MAT422214,MAT422214,Finished Good - Step Only,X,X
PL31413,PL31413,MAT482145,MAT482145,Finished Good - Fight Rich,X,
PL89292,PL89292,MAT890941,MAT890941,Finished Good - Where Will,,
PL16835,PL16835,MAT515389,MAT515389,Finished Good - Show Too,X,
PL18090,PL18090,MAT827819,MAT827819,Finished Good - Allow Contain,X,
PL40952,PL40952,MAT748190,MAT748190,Finished Good - Wind Condition,,X
PL91267,PL91267,MAT869870,MAT869870,Finished Good - Leave Guess,X,
PL63439,PL63439,MAT219758,MAT219758,Finished Good - Beyond Him,X,
PL12496,PL12496,MAT648456,MAT648456,Finished Good - Protect Want,X,
PL37635,PL37635,MAT869594,MAT869594,Finished Good - Prove Respond,X,X
PL38163,PL38163,MAT622858,MAT622858,Finished Good - Performance Mrs,X,
PL76573,PL76573,MAT952686,MAT952686,Finished Good - Institution Table,,X
PL95361,PL95361,MAT453876,MAT453876,Finished Good - Glass Conference,,
PL72259,PL72259,MAT863937,MAT863937,Finished Good - It Sometimes,,X
PL53622,PL53622,MAT462752,MAT462752,Finished Good - Sell Parent,X,
PL98128,PL98128,MAT781927,MAT781927,Finished Good - Their Prevent,X,
PL87334,PL87334,MAT959487,MAT959487,Finished Good - Understand Protect,X,
PL20819,PL20819,MAT682398,MAT682398,Finished Good - Fire Capital,,X
PL63532,PL63532,MAT184826,MAT184826,Finished Good - Former Open,,X
PL63029,PL63029,MAT793991,MAT793991,Finished Good - Rich Could,X,X
PL16737,PL16737,MAT614060,MAT614060,Finished Good - Image It,X,X
PL44585,PL44585,MAT613369,MAT613369,Finished Good - Blood Time,X,X
PL67854,PL67854,MAT141539,MAT141539,Finished Good - Up Term,,
PL85622,PL85622,MAT183311,MAT183311,Finished Good - Media By,,X
PL83810,PL83810,MAT239960,MAT239960,Finished Good - Author Picture,,
PL91972,PL91972,MAT519872,MAT519872,Finished Good - Fine Artist,,X
PL88421,PL88421,MAT521930,MAT521930,Finished Good - Purpose Number,X,X
PL20404,PL20404,MAT207237,MAT207237,Finished Good - Environmental Method,,
PL93074,PL93074,MAT989462,MAT989462,Finished Good - All Man,,
PL80642,PL80642,MAT400270,MAT400270,Finished Good - Cut Garden,X,
PL58112,PL58112,MAT155846,MAT155846,Finished Good - One How,,X
PL48289,PL48289,MAT762685,MAT762685,Finished Good - Chair Site,,
PL25994,PL25994,MAT697066,MAT697066,Finished Good - Order Television,,X
PL44607,PL44607,MAT418920,MAT418920,Finished Good - Peace Call,,
PL35604,PL35604,MAT668261,MAT668261,Finished Good - Win Cause,,
PL38102,PL38102,MAT449922,MAT449922,Finished Good - Ball Standard,X,
PL41016,PL41016,MAT565032,MAT565032,Finished Good - Require Determine,X,X
PL64193,PL64193,MAT761347,MAT761347,Finished Good - Run Either,,
PL67312,PL67312,MAT924795,MAT924795,Finished Good - Commercial Science,X,
PL95603,PL95603,MAT667251,MAT667251,Finished Good - Marriage Through,,X
PL98057,PL98057,MAT499541,MAT499541,Finished Good - His Cultural,,X
PL60302,PL60302,MAT138849,MAT138849,Finished Good - Dark Economic,X,
PL63422,PL63422,MAT252319,MAT252319,Finished Good - Find Cold,X,X
PL94278,PL94278,MAT919024,MAT919024,Finished Good - Court Land,X,
PL99123,PL99123,MAT134854,MAT134854,Finished Good - Particularly Goal,,X
PL26512,PL26512,MAT495421,MAT495421,Finished Good - North Report,X,
PL81014,PL81014,MAT968896,MAT968896,Finished Good - Identify Sport,X,X
PL71456,PL71456,MAT252128,MAT252128,Finished Good - Seven Church,,X
PL25256,PL25256,MAT621373,MAT621373,Finished Good - Serious Reality,X,X
PL96343,PL96343,MAT505415,MAT505415,Finished Good - Do Wife,,
PL76084,PL76084,MAT286443,MAT286443,Finished Good - Work To,X,X
PL33839,PL33839,MAT822849,MAT822849,Finished Good - Little Religious,X,
PL82411,PL82411,MAT953323,MAT953323,Finished Good - Nation Worker,X,
PL79514,PL79514,MAT223139,MAT223139,Finished Good - Newspaper Congress,,X
PL92824,PL92824,MAT502227,MAT502227,Finished Good - Serious Government,X,
PL27717,PL27717,MAT516793,MAT516793,Finished Good - Shoulder Them,X,X
PL34133,PL34133,MAT961540,MAT961540,Finished Good - Since Occur,,X
PL45211,PL45211,MAT475203,MAT475203,Finished Good - Address Last,,X
PL45842,PL45842,MAT369713,MAT369713,Finished Good - Family Senior,,X
PL62507,PL62507,MAT936406,MAT936406,Finished Good - From Today,X,X
PL89386,PL89386,MAT860551,MAT860551,Finished Good - Beyond Political,X,X
PL57183,PL57183,MAT796441,MAT796441,Finished Good - News Center,,
PL64037,PL64037,MAT829746,MAT829746,Finished Good - Environment Whatever,,
PL63646,PL63646,MAT918520,MAT918520,Finished Good - Myself Difficult,,
PL28732,PL28732,MAT414624,MAT414624,Finished Good - Off Try,X,
PL78920,PL78920,MAT492936,MAT492936,Finished Good - Unit Degree,,
PL49747,PL49747,MAT485164,MAT485164,Finished Good - Effort Customer,X,
PL83170,PL83170,MAT834861,MAT834861,Finished Good - Wait Season,,
PL12568,PL12568,MAT941892,MAT941892,Finished Good - Car Piece,X,X
PL37449,PL37449,MAT469815,MAT469815,Finished Good - List Happy,,
PL96602,PL96602,MAT835123,MAT835123,Finished Good - Join Difficult,X,
PL33790,PL33790,MAT321480,MAT321480,Finished Good - Space First,X,
PL60698,PL60698,MAT440305,MAT440305,Finished Good - Civil Special,X,X
PL87671,PL87671,MAT572182,MAT572182,Finished Good - Room Six,,X
PL66463,PL66463,MAT812420,MAT812420,Finished Good - Chair Win,,
PL96898,PL96898,MAT144361,MAT144361,Finished Good - Police Treat,X,
PL12508,PL12508,MAT626599,MAT626599,Finished Good - Region Rich,X,X
PL88390,PL88390,MAT479962,MAT479962,Finished Good - Something Own,,X
PL74071,PL74071,MAT387702,MAT387702,Finished Good - College Over,X,
PL90030,PL90030,MAT793927,MAT793927,Finished Good - Structure Couple,,X
PL85565,PL85565,MAT699600,MAT699600,Finished Good - Use Sense,,X
PL31634,PL31634,MAT383867,MAT383867,Finished Good - Hundred Scientist,X,X
PL75429,PL75429,MAT901301,MAT901301,Finished Good - Response Including,,X
PL62862,PL62862,MAT545263,MAT545263,Finished Good - Interest Every,,X
PL56644,PL56644,MAT210197,MAT210197,Finished Good - Save Look,X,
PL76976,PL76976,MAT763042,MAT763042,Finished Good - Start Police,X,X
PL49376,PL49376,MAT553465,MAT553465,Finished Good - Travel Lose,X,X
PL21277,PL21277,MAT363232,MAT363232,Finished Good - Remember So,X,X
PL71786,PL71786,MAT703041,MAT703041,Finished Good - Realize Part,,X
PL66827,PL66827,MAT578572,MAT578572,Finished Good - Six Particular,X,X
PL67202,PL67202,MAT796787,MAT796787,Finished Good - Window Thank,X,X
PL91437,PL91437,MAT226053,MAT226053,Finished Good - Past Serious,,X
PL88533,PL88533,MAT893848,MAT893848,Finished Good - Record Heart,,
PL11808,PL11808,MAT889664,MAT889664,Finished Good - Expect Without,X,
PL14799,PL14799,MAT511035,MAT511035,Finished Good - Agency Tough,X,
PL15263,PL15263,MAT342008,MAT342008,Finished Good - Purpose Movement,,X
PL60873,PL60873,MAT897950,MAT897950,Finished Good - Pick Remain,X,
PL21720,PL21720,MAT211865,MAT211865,Finished Good - Through Not,,X
PL37548,PL37548,MAT173617,MAT173617,Finished Good - Middle Building,,
PL89321,PL89321,MAT920997,MAT920997,Finished Good - Behind Grow,X,X
PL86169,PL86169,MAT323015,MAT323015,Finished Good - He Fear,X,
PL48579,PL48579,MAT915857,MAT915857,Finished Good - Lot Doctor,X,
PL69241,PL69241,MAT620909,MAT620909,Finished Good - Likely Great,X,X
PL21194,PL21194,MAT168907,MAT168907,Finished Good - Interview Political,,X
PL97101,PL97101,MAT556012,MAT556012,Finished Good - Will Message,,
PL15483,PL15483,MAT918760,MAT918760,Finished Good - Again Listen,,
PL17719,PL17719,MAT124014,MAT124014,Finished Good - Plan Do,X,
PL36123,PL36123,MAT518937,MAT518937,Finished Good - Agency Kind,X,X
PL67501,PL67501,MAT785407,MAT785407,Finished Good - Computer Fly,,X
PL50556,PL50556,MAT236184,MAT236184,Finished Good - Professor There,,
PL34498,PL34498,MAT724850,MAT724850,Finished Good - Official Manager,,
PL81826,PL81826,MAT354290,MAT354290,Finished Good - Recent Voice,X,X
PL19180,PL19180,MAT596695,MAT596695,Finished Good - Spring Help,,
PL79249,PL79249,MAT199184,MAT199184,Finished Good - Simply Girl,,
PL81288,PL81288,MAT755528,MAT755528,Finished Good - American Rise,,X
PL39964,PL39964,MAT549825,MAT549825,Finished Good - Make Different,X,X
PL37554,PL37554,MAT727484,MAT727484,Finished Good - Miss Student,X,
PL94771,PL94771,MAT402701,MAT402701,Finished Good - The Benefit,X,X
PL23061,PL23061,MAT612166,MAT612166,Finished Good - Determine North,X,X
PL71060,PL71060,MAT250639,MAT250639,Finished Good - Represent More,,
PL84363,PL84363,MAT381567,MAT381567,Finished Good - Effort Value,X,X
PL47771,PL47771,MAT637307,MAT637307,Finished Good - Simply Garden,X,
PL79333,PL79333,MAT795870,MAT795870,Finished Good - Assume Health,,
PL38771,PL38771,MAT259804,MAT259804,Finished Good - Likely Understand,X,X
PL73917,PL73917,MAT263818,MAT263818,Finished Good - Evening Region,X,
PL33191,PL33191,MAT968190,MAT968190,Finished Good - Into Seem,,
PL13194,PL13194,MAT821608,MAT821608,Finished Good - Method Work,,
PL35128,PL35128,MAT226967,MAT226967,Finished Good - Sure Collection,,
PL70691,PL70691,MAT315277,MAT315277,Finished Good - Country Official,X,X
PL40276,PL40276,MAT332515,MAT332515,Finished Good - Recently Both,X,
PL48383,PL48383,MAT108711,MAT108711,Finished Good - Suggest Relationship,X,
PL79746,PL79746,MAT778043,MAT778043,Finished Good - Wide Better,X,
PL26092,PL26092,MAT606187,MAT606187,Finished Good - On General,X,X
PL62156,PL62156,MAT174040,MAT174040,Finished Good - Contain The,X,
PL81161,PL81161,MAT725376,MAT725376,Finished Good - Hotel Actually,,
PL85129,PL85129,MAT126601,MAT126601,Finished Good - Report Choice,,
PL99286,PL99286,MAT748482,MAT748482,Finished Good - Level Make,,
PL69240,PL69240,MAT265982,MAT265982,Finished Good - Audience Lose,X,X
PL12566,PL12566,MAT226007,MAT226007,Finished Good - International Second,X,X
PL47024,PL47024,MAT266681,MAT266681,Finished Good - Teacher Spring,,
PL95496,PL95496,MAT411540,MAT411540,Finished Good - Whose Technology,X,
PL73139,PL73139,MAT660158,MAT660158,Finished Good - History Understand,,X
PL84838,PL84838,MAT844190,MAT844190,Finished Good - Range Exist,X,X
PL49910,PL49910,MAT104025,MAT104025,Finished Good - Smile Character,X,
PL49505,PL49505,MAT230280,MAT230280,Finished Good - Believe Begin,,
PL21113,PL21113,MAT528865,MAT528865,Finished Good - Treatment Exist,X,
PL44081,PL44081,MAT290052,MAT290052,Finished Good - Member Plant,X,X
PL38469,PL38469,MAT700152,MAT700152,Finished Good - Forward Meet,,X
PL63476,PL63476,MAT122754,MAT122754,Finished Good - Style Wind,X,X
PL41343,PL41343,MAT861647,MAT861647,Finished Good - Attention Reveal,,
PL53956,PL53956,MAT468493,MAT468493,Finished Good - Report Beyond,X,X
PL34740,PL34740,MAT956702,MAT956702,Finished Good - Audience Never,,X
PL32371,PL32371,MAT710154,MAT710154,Finished Good - Outside Property,X,
PL58861,PL58861,MAT721792,MAT721792,Finished Good - Design Interview,X,X
PL66022,PL66022,MAT850279,MAT850279,Finished Good - Operation Collection,X,
PL19694,PL19694,MAT785212,MAT785212,Finished Good - Seat Alone,,
PL79368,PL79368,MAT304020,MAT304020,Finished Good - Though Eat,,X
PL47478,PL47478,MAT541804,MAT541804,Finished Good - Community Quite,,
PL72045,PL72045,MAT483370,MAT483370,Finished Good - Under Partner,X,
PL70583,PL70583,MAT794510,MAT794510,Finished Good - Certain Move,,X
PL31007,PL31007,MAT644342,MAT644342,Finished Good - Short Argue,X,X
PL20163,PL20163,MAT759147,MAT759147,Finished Good - Visit Behavior,X,
PL42664,PL42664,MAT843346,MAT843346,Finished Good - Daughter Mind,,
PL85621,PL85621,MAT783397,MAT783397,Finished Good - Political Most,X,
PL10576,PL10576,MAT555765,MAT555765,Finished Good - War Last,,X
PL56703,PL56703,MAT502761,MAT502761,Finished Good - Line Enter,X,
PL76004,PL76004,MAT185520,MAT185520,Finished Good - Ground Garden,X,
PL12604,PL12604,MAT926955,MAT926955,Finished Good - Public Record,,
PL82482,PL82482,MAT142369,MAT142369,Finished Good - Tend Yard,,
PL69668,PL69668,MAT766546,MAT766546,Finished Good - Wear Case,X,X
PL44204,PL44204,MAT503156,MAT503156,Finished Good - Should Choice,X,
PL11624,PL11624,MAT461929,MAT461929,Finished Good - Beat Develop,X,
PL16791,PL16791,MAT710129,MAT710129,Finished Good - Process Democratic,,X
PL18262,PL18262,MAT289493,MAT289493,Finished Good - Key So,X,X
PL83101,PL83101,MAT393037,MAT393037,Finished Good - These Sense,,X
PL82008,PL82008,MAT455044,MAT455044,Finished Good - Eat Magazine,,
PL25562,PL25562,MAT338052,MAT338052,Finished Good - Consumer Computer,X,X
PL20924,PL20924,MAT525689,MAT525689,Finished Good - Woman Investment,,X
PL86909,PL86909,MAT904680,MAT904680,Finished Good - Law Clearly,X,X
PL46429,PL46429,MAT888045,MAT888045,Finished Good - Any Green,X,
PL30973,PL30973,MAT457816,MAT457816,Finished Good - Sing Energy,,X
PL58350,PL58350,MAT906056,MAT906056,Finished Good - Phone Pick,,
PL23318,PL23318,MAT205568,MAT205568,Finished Good - Five Blood,,X
PL45206,PL45206,MAT236643,MAT236643,Finished Good - Military Final,X,
PL54911,PL54911,MAT948698,MAT948698,Finished Good - Couple Mouth,,X
PL93899,PL93899,MAT764703,MAT764703,Finished Good - Perform Current,,X
PL71612,PL71612,MAT408931,MAT408931,Finished Good - Blood Difficult,X,X
PL31397,PL31397,MAT482531,MAT482531,Finished Good - Want Interest,,X
PL58820,PL58820,MAT791118,MAT791118,Finished Good - High Around,X,
PL59088,PL59088,MAT493464,MAT493464,Finished Good - Drive Edge,X,
PL88198,PL88198,MAT243726,MAT243726,Finished Good - While Town,,
PL33376,PL33376,MAT684967,MAT684967,Finished Good - Air Moment,,X
PL35386,PL35386,MAT365547,MAT365547,Finished Good - Air Build,,
PL70896,PL70896,MAT535476,MAT535476,Finished Good - National Maintain,X,
PL38511,PL38511,MAT899527,MAT899527,Finished Good - Capital Point,,X
PL26715,PL26715,MAT713590,MAT713590,Finished Good - List Build,,X
PL90490,PL90490,MAT170953,MAT170953,Finished Good - Kind Seat,,
PL47724,PL47724,MAT761451,MAT761451,Finished Good - Firm Very,X,
PL51153,PL51153,MAT515202,MAT515202,Finished Good - There Huge,,
PL46181,PL46181,MAT279502,MAT279502,Finished Good - Reality Plan,,
PL83064,PL83064,MAT428806,MAT428806,Finished Good - Outside Control,,X
PL74365,PL74365,MAT909777,MAT909777,Finished Good - Dark Indeed,X,
PL21366,PL21366,MAT399981,MAT399981,Finished Good - Interesting Skill,X,
PL73182,PL73182,MAT473792,MAT473792,Finished Good - Way Condition,,
PL79697,PL79697,MAT490625,MAT490625,Finished Good - Test Matter,X,X
PL49155,PL49155,MAT565580,MAT565580,Finished Good - Lot Story,,
PL90732,PL90732,MAT146016,MAT146016,Finished Good - Imagine Good,,
PL13384,PL13384,MAT223532,MAT223532,Finished Good - Push Member,,
PL52379,PL52379,MAT979341,MAT979341,Finished Good - Us Industry,X,
PL85869,PL85869,MAT466081,MAT466081,Finished Good - Yet Season,X,
PL49937,PL49937,MAT971663,MAT971663,Finished Good - While For,X,X
PL83453,PL83453,MAT344299,MAT344299,Finished Good - From Brother,,X
PL35267,PL35267,MAT365405,MAT365405,Finished Good - Hotel Again,,
PL34364,PL34364,MAT997349,MAT997349,Finished Good - Standard Prevent,X,
PL71180,PL71180,MAT142195,MAT142195,Finished Good - Soldier Method,X,
PL76866,PL76866,MAT936177,MAT936177,Finished Good - Arm Ask,X,
PL44306,PL44306,MAT730197,MAT730197,Finished Good - Along Benefit,X,X
PL84489,PL84489,MAT931872,MAT931872,Finished Good - Face Follow,X,
PL47156,PL47156,MAT535935,MAT535935,Finished Good - Seven Rich,,
PL41989,PL41989,MAT863552,MAT863552,Finished Good - Admit Medical,X,
PL29386,PL29386,MAT810484,MAT810484,Finished Good - Now Nature,,X
PL18024,PL18024,MAT368753,MAT368753,Finished Good - Family Establish,X,
