id,period,period_id,material,market,actual_qty,actual_revenue,actual_orders,shipped_qty,delivered_qty,returns_qty,net_actual_qty,net_revenue,discounts,final_revenue,service_level
25,202507,202507,MAT00628,CUST6703,280.65,11661.6,33,274.78,273.39,1.39,272.0,3222.92,292.41,2930.51,0.9741
26,202502,202502,MAT03766,CUST5092,744.05,5525.12,9,715.83,690.79,11.5,679.29,8437.26,214.17,8223.09,0.9284
27,202601,202601,MAT72218,CUST4342,421.74,8155.61,17,403.56,390.7,19.85,370.85,3573.68,69.53,3504.15,0.9264
28,202412,202412,MAT37245,CUST0661,770.63,16380.29,28,754.6,734.43,11.99,722.44,8498.12,156.94,8341.18,0.953
29,202507,202507,MAT55881,CUST9674,521.24,8890.13,0,495.41,476.49,11.85,464.64,5641.9,83.8,5558.1,0.9141
30,202509,202509,MAT30356,CUST3666,512.95,7343.9,48,494.35,469.98,1.36,468.62,5905.31,148.05,5757.26,0.9162
31,202509,202509,MAT08677,CUST3341,756.63,16595.95,29,718.66,695.21,25.71,669.5,18661.87,247.16,18414.71,0.9188
32,202511,202511,MAT71430,CUST3092,741.48,33197.93,16,741.41,715.51,21.01,694.5,14086.69,1279.4,12807.29,0.965
33,202507,202507,MAT67898,CUST6553,207.63,5391.48,2,194.15,189.75,4.09,185.66,3849.95,341.59,3508.36,0.9139
34,202407,202407,MAT60249,CUST2287,391.0,3971.91,23,364.69,353.24,0.62,352.62,13345.69,702.62,12643.07,0.9034
35,202410,202410,MAT02764,CUST3028,434.01,19253.46,16,433.99,422.06,15.88,406.18,11544.2,42.96,11501.24,0.9725
36,202510,202510,MAT67757,CUST3887,193.1,1777.31,4,186.44,180.02,1.28,178.74,4878.07,413.99,4464.08,0.9323
37,202409,202409,MAT71515,CUST6247,618.85,6494.25,48,587.37,574.93,1.78,573.15,20467.61,1091.47,19376.14,0.929
38,202512,202512,MAT32703,CUST7594,615.35,22837.5,34,573.2,569.0,28.22,540.78,20754.38,691.68,20062.7,0.9247
39,202511,202511,MAT17086,CUST0741,848.74,37447.77,20,847.02,806.59,36.37,770.22,20317.95,1250.36,19067.59,0.9503
40,202409,202409,MAT29681,CUST6014,473.06,14740.99,22,449.89,437.14,1.26,435.88,8352.59,782.53,7570.06,0.9241
41,202601,202601,MAT72911,CUST5731,207.66,6993.96,27,203.5,193.48,4.22,189.26,2139.91,55.82,2084.09,0.9317
42,202509,202509,MAT17459,CUST7698,862.08,15933.36,9,853.33,822.07,13.36,808.71,5316.06,454.93,4861.13,0.9536
43,202508,202508,MAT22529,CUST3537,591.86,2960.5,48,538.58,513.5,23.09,490.41,12836.02,375.3,12460.72,0.8676
44,202602,202602,MAT35624,CUST2306,373.63,6467.32,45,344.29,328.09,5.33,322.76,2031.76,198.66,1833.1,0.8781
45,202507,202507,MAT17896,CUST0611,861.6,29777.01,46,820.92,813.14,18.82,794.32,5934.97,359.42,5575.55,0.9438
46,202403,202403,MAT62042,CUST6172,222.61,4282.33,31,220.43,211.26,1.33,209.93,5230.12,267.05,4963.07,0.949
47,202410,202410,MAT75271,CUST2460,757.91,4177.78,7,713.23,708.72,7.44,701.28,3893.42,51.71,3841.71,0.9351
48,202507,202507,MAT93171,CUST0628,67.18,2432.92,12,61.17,58.21,3.14,55.07,407.65,40.09,367.56,0.8665
49,202510,202510,MAT75101,CUST1196,875.54,16644.92,1,818.66,816.13,16.93,799.2,18117.51,333.75,17783.76,0.9321
50,202509,202509,MAT41742,CUST9942,807.1,36139.97,24,784.36,770.89,30.12,740.77,27338.46,599.39,26739.07,0.9551
51,202407,202407,MAT92397,CUST8960,350.46,14017.89,37,341.41,327.09,8.87,318.22,10571.79,141.56,10430.23,0.9333
52,202409,202409,MAT22765,CUST7185,908.25,27847.81,42,848.23,841.83,23.18,818.65,27011.59,1015.48,25996.11,0.9269
53,202505,202505,MAT56159,CUST0062,866.63,35470.66,49,784.65,755.74,23.49,732.25,9051.1,472.92,8578.18,0.872
54,202504,202504,MAT07233,CUST3937,519.3,18047.08,10,496.7,471.87,20.32,451.55,14994.93,657.32,14337.61,0.9087
55,202407,202407,MAT83846,CUST8231,95.85,3110.63,10,94.63,94.54,0.17,94.37,3292.24,229.68,3062.56,0.9863
56,202405,202405,MAT59613,CUST3153,294.66,11557.27,0,279.9,272.04,5.7,266.34,9634.86,751.8,8883.06,0.9232
57,202406,202406,MAT48754,CUST0880,348.22,10215.27,40,320.02,314.81,7.68,307.13,4016.18,90.5,3925.68,0.9041
58,202404,202404,MAT44476,CUST5994,678.76,14802.2,42,638.7,620.86,28.16,592.7,9554.99,181.72,9373.27,0.9147
59,202511,202511,MAT93356,CUST6523,233.5,2606.7,40,229.88,222.15,4.29,217.86,3108.92,92.16,3016.76,0.9514
60,202403,202403,MAT67858,CUST5058,931.21,8046.74,20,914.47,872.7,21.36,851.34,8260.77,482.75,7778.02,0.9372
61,202508,202508,MAT52437,CUST8903,878.49,32347.72,46,822.26,789.3,21.15,768.15,17422.09,1421.75,16000.34,0.8985
62,202502,202502,MAT73534,CUST5087,222.9,7393.16,44,209.46,206.17,0.43,205.74,5694.18,377.19,5316.99,0.9249
63,202412,202412,MAT39048,CUST1793,298.56,12608.15,19,269.42,267.52,8.45,259.07,5336.41,494.49,4841.92,0.896
64,202508,202508,MAT80135,CUST9373,520.39,10414.48,36,516.25,494.62,20.65,473.97,6482.83,251.01,6231.82,0.9505
65,202403,202403,MAT15576,CUST1742,248.01,2607.6,48,233.46,227.3,9.53,217.77,2767.72,168.95,2598.77,0.9165
66,202510,202510,MAT11162,CUST1245,712.94,17422.16,16,653.56,645.17,22.97,622.2,3554.66,80.24,3474.42,0.9049
67,202509,202509,MAT33216,CUST8984,662.41,19360.25,27,633.62,627.22,31.65,595.57,9305.6,287.76,9017.84,0.9469
68,202406,202406,MAT03180,CUST3688,905.27,7210.11,31,873.55,867.38,4.79,862.59,15564.64,528.38,15036.26,0.9581
69,202511,202511,MAT29990,CUST6876,860.95,30453.17,36,804.12,778.31,41.5,736.81,11060.22,440.39,10619.83,0.904
70,202510,202510,MAT58221,CUST7922,601.34,10939.51,48,546.2,521.82,11.85,509.97,6237.69,617.87,5619.82,0.8678
71,202405,202405,MAT02477,CUST7245,434.36,6705.49,9,397.15,383.66,13.64,370.02,3401.99,303.62,3098.37,0.8833
72,202409,202409,MAT81550,CUST9932,127.39,1142.76,23,122.8,122.66,4.04,118.62,2586.25,41.71,2544.54,0.9629
73,202507,202507,MAT64640,CUST8722,688.0,9508.45,0,644.64,613.0,21.19,591.81,5702.39,289.62,5412.77,0.891
74,202403,202403,MAT89892,CUST5773,848.95,21066.97,2,808.2,778.31,17.69,760.62,12562.35,133.32,12429.03,0.9168
75,202408,202408,MAT85426,CUST5644,770.69,24645.18,25,747.28,734.94,37.4,697.54,21361.94,1648.33,19713.61,0.9536
76,202410,202410,MAT55918,CUST5572,832.76,35546.39,39,753.99,740.36,28.0,712.36,6624.31,490.01,6134.3,0.889
77,202512,202512,MAT63151,CUST3407,337.27,7128.61,23,305.87,294.85,9.51,285.34,5706.67,122.95,5583.72,0.8742
78,202508,202508,MAT15978,CUST8824,713.0,11121.63,26,655.08,640.64,7.74,632.9,13754.41,431.07,13323.34,0.8985
79,202602,202602,MAT82045,CUST9146,602.48,13844.1,49,583.06,574.0,5.36,568.64,18290.42,541.75,17748.67,0.9527
80,202410,202410,MAT92644,CUST3676,308.47,5980.38,12,297.71,283.67,12.17,271.5,5960.31,192.88,5767.43,0.9196
81,202412,202412,MAT52309,CUST8670,534.57,14310.19,29,512.02,495.09,25.8,469.29,6954.08,665.32,6288.76,0.9261
82,202502,202502,MAT83550,CUST9632,513.46,11613.63,39,509.55,495.21,6.73,488.48,19451.95,447.18,19004.77,0.9645
83,202601,202601,MAT21188,CUST2548,181.6,2461.64,42,164.27,160.7,0.77,159.93,4017.39,179.3,3838.09,0.8849
84,202508,202508,MAT84093,CUST0243,321.13,8049.15,17,314.16,303.77,14.8,288.97,8505.36,521.15,7984.21,0.9459
85,202506,202506,MAT40850,CUST9218,433.66,14958.17,41,430.67,429.87,17.91,411.96,4329.6,345.73,3983.87,0.9913
86,202602,202602,MAT04277,CUST1896,349.7,15203.6,24,326.46,325.47,2.46,323.01,10926.83,95.17,10831.66,0.9307
87,202406,202406,MAT80257,CUST2659,403.76,16772.42,31,400.6,395.62,9.29,386.33,6387.36,588.31,5799.05,0.9798
88,202508,202508,MAT93471,CUST1705,346.51,9907.67,27,317.48,315.56,11.74,303.82,9287.76,786.47,8501.29,0.9107
89,202411,202411,MAT06875,CUST3172,675.92,9372.51,28,656.53,637.04,22.84,614.2,8321.9,137.84,8184.06,0.9425
90,202501,202501,MAT03150,CUST2310,351.05,9910.89,11,324.54,322.12,9.95,312.17,12456.53,38.04,12418.49,0.9176
91,202510,202510,MAT31371,CUST0839,413.91,14933.09,47,398.46,396.53,3.55,392.98,12753.7,1008.32,11745.38,0.958
92,202510,202510,MAT49873,CUST8054,637.23,20507.77,16,608.83,596.82,5.25,591.57,9261.0,623.81,8637.19,0.9366
93,202505,202505,MAT90479,CUST0885,216.83,4009.9,44,210.9,206.91,9.66,197.25,4943.15,11.81,4931.34,0.9542
94,202602,202602,MAT11966,CUST3741,890.99,15710.84,47,847.49,806.04,19.17,786.87,12853.87,438.03,12415.84,0.9047
95,202501,202501,MAT59388,CUST9246,176.47,4645.43,34,170.66,169.91,3.59,166.32,2099.78,137.73,1962.05,0.9628
96,202602,202602,MAT39623,CUST9743,820.13,16610.75,11,787.06,763.85,28.41,735.44,25942.47,1488.94,24453.53,0.9314
97,202408,202408,MAT68183,CUST5963,698.91,26767.22,31,694.8,663.51,28.57,634.94,6594.45,374.4,6220.05,0.9493
98,202508,202508,MAT17970,CUST1905,623.93,8804.13,39,622.41,612.65,17.16,595.49,21515.69,1433.32,20082.37,0.9819
99,202407,202407,MAT44298,CUST1723,637.5,13640.65,45,581.09,562.76,17.48,545.28,11483.7,508.47,10975.23,0.8828
100,202509,202509,MAT25405,CUST1783,325.05,4233.47,13,305.59,304.25,7.56,296.69,6576.58,483.43,6093.15,0.936
101,202601,202601,MAT74396,CUST3443,803.72,12416.03,3,781.74,751.61,22.79,728.82,23367.22,1278.82,22088.4,0.9352
102,202410,202410,MAT50164,CUST8811,500.95,5142.3,32,499.24,484.63,1.55,483.08,18174.27,695.26,17479.01,0.9674
103,202404,202404,MAT16368,CUST3065,375.45,8077.07,42,339.14,339.05,5.92,333.13,7630.18,390.03,7240.15,0.903
104,202408,202408,MAT16506,CUST3919,166.19,1097.22,17,164.17,163.44,6.65,156.79,3400.57,120.25,3280.32,0.9835
105,202407,202407,MAT74434,CUST6183,402.06,9259.54,37,394.93,385.5,1.73,383.77,13560.87,507.78,13053.09,0.9588
106,202409,202409,MAT36485,CUST6032,189.11,7508.68,33,185.01,178.09,0.4,177.69,1203.54,16.47,1187.07,0.9417
107,202410,202410,MAT71943,CUST6274,643.63,28285.19,5,600.12,598.53,27.09,571.44,21892.37,1743.7,20148.67,0.9299
108,202501,202501,MAT92398,CUST0849,814.72,22166.26,41,807.75,801.95,26.16,775.79,26951.52,1291.22,25660.3,0.9843
109,202506,202506,MAT29063,CUST1530,440.08,14990.48,34,437.7,428.46,10.14,418.32,15381.97,729.64,14652.33,0.9736
110,202503,202503,MAT03268,CUST7913,399.8,7376.73,9,383.13,378.45,10.52,367.93,11504.02,960.12,10543.9,0.9466
111,202512,202512,MAT06935,CUST8519,111.34,2679.75,17,107.53,105.14,4.42,100.72,1771.47,170.58,1600.89,0.9443
112,202403,202403,MAT18303,CUST0552,552.56,10896.81,49,548.64,530.34,9.96,520.38,6416.39,636.99,5779.4,0.9598
113,202406,202406,MAT42324,CUST5036,875.29,15896.53,0,841.05,803.8,15.81,787.99,20922.56,1633.46,19289.1,0.9183
114,202409,202409,MAT03322,CUST4864,289.24,2711.7,13,266.09,257.56,8.06,249.5,5510.35,407.08,5103.27,0.8905
115,202501,202501,MAT71008,CUST4956,390.22,12799.71,37,377.7,364.79,11.94,352.85,12596.32,617.19,11979.13,0.9348
116,202408,202408,MAT23231,CUST3737,273.54,3978.65,19,261.39,248.79,11.76,237.03,4340.41,170.46,4169.95,0.9095
117,202508,202508,MAT83373,CUST5707,114.63,2366.63,40,111.62,106.73,3.2,103.53,1394.02,59.61,1334.41,0.9311
118,202510,202510,MAT45261,CUST0424,837.66,5891.6,22,834.26,802.38,14.09,788.29,17386.34,436.43,16949.91,0.9579
119,202409,202409,MAT49607,CUST9832,528.9,17047.82,42,487.05,472.39,11.22,461.17,14920.05,1211.93,13708.12,0.8932
120,202410,202410,MAT78420,CUST6044,142.63,4306.36,9,128.8,128.41,5.32,123.09,3805.53,337.48,3468.05,0.9003
121,202404,202404,MAT32008,CUST7573,491.77,3590.81,41,446.32,444.52,9.0,435.52,11232.82,435.07,10797.75,0.9039
122,202511,202511,MAT96187,CUST0766,662.0,12076.73,43,644.9,631.6,5.17,626.43,19366.34,454.48,18911.86,0.9541
123,202404,202404,MAT51436,CUST4819,767.08,8821.21,43,703.59,699.68,17.14,682.54,25775.86,1095.8,24680.06,0.9121
124,202511,202511,MAT45444,CUST4994,87.66,2054.29,27,80.74,80.61,2.02,78.59,2749.54,230.13,2519.41,0.9196
125,202411,202411,MAT15628,CUST4906,121.66,3198.71,15,111.92,107.54,1.51,106.03,738.6,13.75,724.85,0.8839
126,202501,202501,MAT74474,CUST2753,527.61,19713.99,2,515.83,511.18,17.87,493.31,17098.78,464.51,16634.27,0.9689
127,202602,202602,MAT08770,CUST6030,414.36,16702.42,31,411.27,404.41,19.7,384.71,13495.5,663.64,12831.86,0.976
128,202408,202408,MAT96735,CUST9223,624.03,20525.2,21,589.79,563.85,19.37,544.48,5053.5,376.32,4677.18,0.9036
129,202503,202503,MAT72910,CUST1886,740.78,7111.98,22,669.63,666.76,30.03,636.73,11057.03,29.64,11027.39,0.9001
130,202411,202411,MAT04438,CUST6827,292.38,3409.42,36,278.16,275.22,9.94,265.28,1914.71,81.72,1832.99,0.9413
131,202506,202506,MAT20157,CUST5052,132.45,673.56,31,126.71,123.36,6.41,116.95,1314.86,111.55,1203.31,0.9314
132,202409,202409,MAT34577,CUST9835,938.96,14012.0,14,847.79,824.5,46.21,778.29,27431.29,1300.97,26130.32,0.8781
133,202506,202506,MAT37986,CUST3542,636.59,13011.01,2,634.51,617.26,30.7,586.56,3664.99,224.3,3440.69,0.9696
134,202503,202503,MAT15293,CUST9568,118.47,4955.6,34,117.1,115.39,1.16,114.23,1638.62,133.01,1505.61,0.974
135,202408,202408,MAT90987,CUST2075,595.06,17592.98,2,566.52,549.83,20.41,529.42,20490.32,472.95,20017.37,0.924
136,202405,202405,MAT82196,CUST7630,908.85,21192.6,31,852.36,824.43,2.22,822.21,16342.32,1393.89,14948.43,0.9071
137,202504,202504,MAT83898,CUST4071,778.34,16514.63,23,766.29,746.32,0.63,745.69,10708.73,203.0,10505.73,0.9589
138,202601,202601,MAT30973,CUST6686,305.63,10626.38,43,293.49,291.25,14.24,277.01,2300.16,130.35,2169.81,0.9529
139,202504,202504,MAT04867,CUST1615,294.84,4358.58,44,289.57,287.94,12.78,275.16,4157.39,201.73,3955.66,0.9766
140,202511,202511,MAT90769,CUST5922,136.31,2490.19,49,125.26,124.45,2.57,121.88,4112.59,204.89,3907.7,0.913
141,202507,202507,MAT66262,CUST3612,909.46,21325.7,3,883.51,850.95,7.72,843.23,23036.26,672.73,22363.53,0.9357
142,202504,202504,MAT14207,CUST8507,928.15,31357.71,27,903.01,897.57,32.49,865.08,17810.68,302.13,17508.55,0.9671
143,202501,202501,MAT73474,CUST7543,171.15,3493.79,48,154.81,149.44,8.3,141.14,2158.96,111.21,2047.75,0.8732
144,202602,202602,MAT91522,CUST1346,673.45,23312.01,18,663.09,630.67,8.61,622.06,17983.62,1340.31,16643.31,0.9365
145,202601,202601,MAT49753,CUST2689,252.52,10922.97,15,246.88,240.71,10.17,230.54,8058.54,235.5,7823.04,0.9532
146,202409,202409,MAT93650,CUST1140,55.7,1386.23,21,55.66,54.94,0.13,54.81,1600.05,104.83,1495.22,0.9864
147,202602,202602,MAT08114,CUST8791,83.98,2111.72,15,75.89,73.22,3.4,69.82,1532.34,46.71,1485.63,0.8719
148,202602,202602,MAT41879,CUST8337,226.74,9433.09,41,217.29,215.37,5.32,210.05,1884.94,140.11,1744.83,0.9499
149,202505,202505,MAT68930,CUST6704,509.36,20096.42,19,462.78,461.66,8.09,453.57,8006.06,488.92,7517.14,0.9064
150,202502,202502,MAT29280,CUST5939,852.69,32738.66,25,769.15,751.52,31.55,719.97,21810.2,1768.23,20041.97,0.8814
151,202405,202405,MAT25346,CUST2046,78.0,2901.16,30,75.69,73.17,2.62,70.55,1085.94,32.09,1053.85,0.9381
152,202503,202503,MAT88032,CUST5933,557.02,7638.41,26,504.58,503.99,19.48,484.51,17139.66,1510.27,15629.39,0.9048
153,202506,202506,MAT74133,CUST4629,574.06,8131.87,7,525.35,510.86,7.99,502.87,12955.12,983.06,11972.06,0.8899
154,202409,202409,MAT16116,CUST0513,356.75,11099.2,44,328.7,322.63,0.14,322.49,2298.09,207.17,2090.92,0.9044
155,202405,202405,MAT94603,CUST6039,427.76,17331.69,46,415.51,397.94,15.56,382.38,12440.17,322.74,12117.43,0.9303
156,202405,202405,MAT08954,CUST5949,739.08,3738.5,38,717.65,696.06,3.16,692.9,9418.1,625.39,8792.71,0.9418
157,202501,202501,MAT97854,CUST4779,428.48,9904.4,37,394.73,375.31,2.45,372.86,2254.53,189.9,2064.63,0.8759
158,202408,202408,MAT41293,CUST3705,579.03,18062.19,13,565.74,550.87,12.12,538.75,20252.45,269.59,19982.86,0.9514
159,202507,202507,MAT54076,CUST4166,562.97,9109.41,44,525.21,522.66,25.06,497.6,6948.54,55.56,6892.98,0.9284
160,202502,202502,MAT70404,CUST0329,89.04,2426.96,35,88.12,86.69,4.41,82.28,1540.58,41.11,1499.47,0.9736
161,202601,202601,MAT57087,CUST6845,599.83,9748.46,48,576.35,548.84,25.09,523.75,3933.07,239.01,3694.06,0.915
162,202403,202403,MAT83507,CUST0471,467.35,16779.77,34,457.03,443.6,17.94,425.66,16503.81,973.75,15530.06,0.9492
163,202409,202409,MAT90484,CUST4476,300.9,10018.46,22,299.86,299.45,7.59,291.86,10571.3,483.52,10087.78,0.9952
164,202506,202506,MAT66455,CUST6004,65.38,933.21,6,60.68,59.63,1.17,58.46,857.07,0.61,856.46,0.9121
165,202405,202405,MAT74134,CUST9078,853.88,31459.36,10,827.67,791.2,17.94,773.26,7509.66,703.76,6805.9,0.9266
166,202502,202502,MAT56558,CUST1775,337.55,8028.9,28,317.24,306.09,7.13,298.96,1896.93,164.21,1732.72,0.9068
167,202411,202411,MAT03395,CUST7170,684.65,30805.86,37,646.86,636.34,23.22,613.12,12502.45,11.61,12490.84,0.9294
168,202602,202602,MAT31637,CUST1053,815.46,34523.67,12,740.54,724.72,0.56,724.16,9623.11,824.89,8798.22,0.8887
169,202409,202409,MAT32691,CUST6030,367.68,12528.16,16,353.77,350.26,17.63,332.63,7266.28,195.43,7070.85,0.9526
170,202601,202601,MAT03532,CUST7793,322.47,12041.53,28,314.25,306.84,2.69,304.15,11955.45,1116.95,10838.5,0.9515
171,202504,202504,MAT46013,CUST4297,424.79,11402.39,18,394.66,385.39,5.91,379.48,7052.7,647.74,6404.96,0.9072
172,202502,202502,MAT92652,CUST1194,462.76,14671.21,45,450.52,448.28,1.53,446.75,8469.98,138.89,8331.09,0.9687
173,202506,202506,MAT36763,CUST6424,524.14,7639.83,29,485.49,464.24,20.49,443.75,13720.95,984.32,12736.63,0.8857
174,202408,202408,MAT34976,CUST9284,55.29,1727.35,17,54.01,52.64,1.76,50.88,1681.66,109.11,1572.55,0.9521
175,202509,202509,MAT46545,CUST3669,134.63,3951.68,24,127.69,123.64,1.19,122.45,3464.53,303.84,3160.69,0.9184
176,202408,202408,MAT58303,CUST0476,751.52,19862.88,32,713.67,703.17,7.04,696.13,19455.76,1057.95,18397.81,0.9357
177,202503,202503,MAT48338,CUST2398,818.32,5474.4,38,754.27,747.98,22.04,725.94,25277.46,1118.54,24158.92,0.914
178,202403,202403,MAT23987,CUST9391,233.05,8821.35,29,210.83,206.82,7.31,199.51,2744.05,45.53,2698.52,0.8874
179,202512,202512,MAT93513,CUST4474,161.6,2840.0,11,160.35,157.8,5.64,152.16,1956.5,110.97,1845.53,0.9765
180,202404,202404,MAT95643,CUST8437,643.92,16713.55,2,603.0,598.86,10.44,588.42,4435.1,292.38,4142.72,0.93
181,202409,202409,MAT35381,CUST9184,693.32,8381.96,29,625.33,602.36,19.74,582.62,4530.3,353.49,4176.81,0.8688
182,202404,202404,MAT94389,CUST5414,605.5,3508.91,15,596.68,579.74,13.14,566.6,5830.93,455.21,5375.72,0.9575
183,202411,202411,MAT69261,CUST7698,305.44,6310.98,29,286.7,283.98,3.28,280.7,3816.24,148.27,3667.97,0.9297
184,202503,202503,MAT26266,CUST0846,288.46,6214.33,18,267.39,263.27,10.66,252.61,5635.45,302.46,5332.99,0.9127
185,202410,202410,MAT25341,CUST6751,111.89,1397.06,8,111.5,109.38,1.41,107.97,2332.87,203.48,2129.39,0.9776
186,202409,202409,MAT89813,CUST4568,671.07,28319.6,24,612.4,600.08,27.91,572.17,18263.11,1184.06,17079.05,0.8942
187,202504,202504,MAT90940,CUST9264,253.31,10084.88,26,231.25,221.93,8.49,213.44,3018.41,80.95,2937.46,0.8761
188,202501,202501,MAT36417,CUST4549,577.77,8053.34,44,527.32,508.59,2.16,506.43,17906.57,1050.56,16856.01,0.8803
189,202512,202512,MAT03253,CUST3238,469.04,12956.17,24,428.38,412.84,9.51,403.33,9373.57,68.25,9305.32,0.8802
190,202405,202405,MAT13782,CUST9524,41.14,1815.48,22,40.46,39.85,0.62,39.23,465.75,10.51,455.24,0.9686
191,202501,202501,MAT23738,CUST4790,325.68,6944.51,15,293.82,281.21,1.56,279.65,7018.2,263.29,6754.91,0.8635
192,202407,202407,MAT77708,CUST3954,84.38,1220.08,33,77.48,74.5,2.64,71.86,1726.92,156.3,1570.62,0.8829
193,202403,202403,MAT99106,CUST9065,700.37,4199.24,42,645.37,631.96,32.52,599.44,21898.97,820.15,21078.82,0.9023
194,202512,202512,MAT02981,CUST9745,886.11,25574.34,2,864.77,825.99,4.36,821.63,20245.83,875.93,19369.9,0.9322
195,202407,202407,MAT28315,CUST5612,252.08,2860.66,34,228.28,228.03,5.77,222.26,5413.95,317.52,5096.43,0.9046
196,202410,202410,MAT75106,CUST6076,811.54,21926.03,39,743.07,709.02,0.66,708.36,13260.47,1213.33,12047.14,0.8737
197,202601,202601,MAT04481,CUST1119,96.46,3783.41,25,90.77,90.64,0.4,90.24,706.42,32.93,673.49,0.9397
198,202504,202504,MAT22930,CUST6366,106.72,1671.22,10,96.9,95.41,4.32,91.09,973.39,71.66,901.73,0.894
199,202510,202510,MAT55808,CUST3188,916.31,20506.19,20,894.58,881.55,21.71,859.84,7338.86,266.39,7072.47,0.9621
200,202410,202410,MAT28827,CUST2375,816.82,22691.48,23,758.68,738.88,12.36,726.52,14749.26,397.92,14351.34,0.9046
201,202602,202602,MAT11782,CUST6193,715.02,18889.01,24,648.42,628.53,23.71,604.82,13362.31,82.59,13279.72,0.879
202,202404,202404,MAT07334,CUST9686,246.43,8303.81,6,233.59,230.12,2.21,227.91,6947.09,524.23,6422.86,0.9338
203,202404,202404,MAT57430,CUST1337,752.4,14183.68,2,703.01,674.6,21.99,652.61,6723.51,51.05,6672.46,0.8966
204,202408,202408,MAT90330,CUST5141,547.83,17692.18,46,537.89,515.72,12.53,503.19,17820.08,1658.32,16161.76,0.9414
205,202509,202509,MAT03138,CUST4287,394.9,6673.87,41,376.77,369.56,9.92,359.64,6398.94,526.03,5872.91,0.9358
206,202406,202406,MAT64192,CUST6954,766.02,7532.9,19,756.27,734.47,12.86,721.61,26033.68,2455.65,23578.03,0.9588
207,202406,202406,MAT85554,CUST9887,602.13,15764.77,47,574.53,571.53,22.59,548.94,18914.67,443.7,18470.97,0.9492
208,202512,202512,MAT56368,CUST8098,876.16,11498.81,10,854.43,813.33,24.93,788.4,14252.89,143.12,14109.77,0.9283
