Location ID,Plant,Location Description,Plant Description,Location Region,Plant Region,Location Type,Plant Type,Latitude,Longttitude
PL10919,PL10919,"Supply Location - Nelson, Foster and Bailey","Manufacturing / DC Site - Allen, Stephens and Simmons",EMEA,EMEA,CMO,WAREHOUSE,-28.842595,-95.357908
PL41282,PL41282,"Supply Location - Carter, Gomez and Ochoa","Manufacturing / DC Site - Mitchell, Horn and Smith",EMEA,EMEA,CMO,DC,-48.329799,-129.878889
PL12607,PL12607,Supply Location - Schmidt-Martin,Manufacturing / DC Site - Hammond-Rosario,AMER,AMER,WAREHOUSE,WAREHOUSE,-68.911928,22.317291
PL18042,PL18042,Supply Location - Molina-Goodwin,"Manufacturing / DC Site - Barton, Hernandez and Wright",APAC,LATAM,PLANT,DC,-0.5565505,-22.88403
PL70353,PL70353,Supply Location - Dominguez-Price,"Manufacturing / DC Site - Lewis, Gomez and Hunter",LATAM,APAC,WAREHOUSE,PLANT,15.3813635,-56.414766
PL25896,PL25896,"Supply Location - Wood, Allen and Smith",Manufacturing / DC Site - Barrett-Stewart,APAC,AMER,PLANT,PLANT,71.560339,11.857772
PL64727,PL64727,Supply Location - Ramos Group,Manufacturing / DC Site - Carter-Cox,APAC,LATAM,WAREHOUSE,WAREHOUSE,28.7039285,114.977722
PL10620,PL10620,Supply Location - Yang Inc,"Manufacturing / DC Site - Gray, Strickland and Jones",APAC,APAC,CMO,DC,-80.4473,-64.384619
PL77902,PL77902,Supply Location - Holloway and Sons,Manufacturing / DC Site - Hall-Turner,EMEA,EMEA,WAREHOUSE,DC,-1.8690555,-178.204073
PL93207,PL93207,Supply Location - Obrien-Long,"Manufacturing / DC Site - Stanley, Gardner and Hall",EMEA,APAC,PLANT,PLANT,73.0140775,140.321301
PL27282,PL27282,"Supply Location - Watson, Quinn and Smith","Manufacturing / DC Site - Stevenson, Parker and Cline",EMEA,AMER,DC,CMO,-79.119617,1.764777
PL58329,PL58329,"Supply Location - Parks, Anthony and Harrison","Manufacturing / DC Site - Gaines, Vargas and Obrien",EMEA,LATAM,DC,PLANT,9.83659,-49.756577
PL85105,PL85105,Supply Location - Valdez and Sons,"Manufacturing / DC Site - Herrera, Perez and Hawkins",AMER,LATAM,DC,DC,35.4378685,28.914352
PL42820,PL42820,Supply Location - Johns Ltd,Manufacturing / DC Site - Tate LLC,AMER,APAC,CMO,CMO,-11.8563745,111.229996
PL82815,PL82815,Supply Location - Anthony Ltd,"Manufacturing / DC Site - Adkins, Salas and Price",APAC,APAC,PLANT,CMO,63.894819,-30.941735
PL25679,PL25679,Supply Location - Gonzalez-Quinn,Manufacturing / DC Site - Wallace Ltd,AMER,AMER,WAREHOUSE,CMO,70.522908,-62.427661
PL19860,PL19860,"Supply Location - Sexton, Wagner and Little",Manufacturing / DC Site - Turner Ltd,AMER,LATAM,PLANT,WAREHOUSE,-81.723492,90.735103
PL47650,PL47650,"Supply Location - Luna, Villarreal and Bautista","Manufacturing / DC Site - Wright, Harris and Franco",APAC,APAC,WAREHOUSE,DC,-49.124858,-105.730431
PL70483,PL70483,Supply Location - Reyes Ltd,Manufacturing / DC Site - Morris PLC,EMEA,APAC,PLANT,DC,-67.952531,33.059619
PL20691,PL20691,Supply Location - Richards-Snow,"Manufacturing / DC Site - Banks, Taylor and Vargas",AMER,APAC,DC,CMO,44.2116625,49.151007
PL88427,PL88427,Supply Location - Mcneil PLC,Manufacturing / DC Site - Davis-Woodard,AMER,LATAM,CMO,CMO,-85.859431,173.309638
PL48034,PL48034,Supply Location - Richardson-Moore,"Manufacturing / DC Site - Griffin, Barrett and Rodriguez",EMEA,EMEA,PLANT,DC,-13.711467,-40.493483
PL46813,PL46813,Supply Location - Richard-Lopez,Manufacturing / DC Site - Martinez-Ramirez,AMER,LATAM,WAREHOUSE,DC,5.3445435,94.279148
PL39539,PL39539,"Supply Location - Ray, Mills and Nichols",Manufacturing / DC Site - Burke-Hall,LATAM,EMEA,PLANT,CMO,18.266866,-63.273048
PL72469,PL72469,Supply Location - Reid-Delacruz,"Manufacturing / DC Site - Avery, Mclaughlin and Russo",APAC,EMEA,WAREHOUSE,PLANT,31.524306,-84.326675
PL72745,PL72745,"Supply Location - Stuart, Barnes and Buchanan",Manufacturing / DC Site - Martinez-Rose,LATAM,AMER,WAREHOUSE,WAREHOUSE,85.984094,27.530485
PL16634,PL16634,"Supply Location - Flowers, Rivera and Gamble","Manufacturing / DC Site - Burns, Newton and Tucker",LATAM,APAC,DC,WAREHOUSE,-65.6939,-161.384844
PL91278,PL91278,Supply Location - Mendez-Lewis,Manufacturing / DC Site - Juarez Group,EMEA,APAC,PLANT,CMO,82.35111,-129.092633
PL19664,PL19664,Supply Location - Hubbard and Sons,Manufacturing / DC Site - Moran and Sons,EMEA,LATAM,PLANT,DC,-42.4833455,88.674555
PL14916,PL14916,Supply Location - Orr Group,Manufacturing / DC Site - Taylor Group,LATAM,EMEA,WAREHOUSE,WAREHOUSE,20.8616975,102.538276
PL75786,PL75786,Supply Location - Miller-Smith,"Manufacturing / DC Site - Johnson, Freeman and Cooper",EMEA,APAC,CMO,DC,-11.341578,153.468361
PL13372,PL13372,"Supply Location - Oliver, Hobbs and Brown","Manufacturing / DC Site - Smith, Williams and Ramsey",LATAM,APAC,DC,WAREHOUSE,44.5778355,-148.327182
PL36803,PL36803,"Supply Location - Snow, Patel and Lee",Manufacturing / DC Site - Kim-Ferguson,EMEA,EMEA,DC,WAREHOUSE,80.595303,108.321771
PL87870,PL87870,"Supply Location - Mccarthy, Gilbert and Reyes","Manufacturing / DC Site - Moyer, Williams and Young",APAC,LATAM,CMO,DC,12.3765755,28.733632
PL30801,PL30801,Supply Location - Cox-Nielsen,Manufacturing / DC Site - Mccullough-Johnson,APAC,AMER,CMO,DC,-50.4772705,90.633543
PL17323,PL17323,"Supply Location - Johnson, Jones and Rogers",Manufacturing / DC Site - Kelley-Logan,AMER,APAC,PLANT,WAREHOUSE,21.124992,-120.267246
PL88506,PL88506,Supply Location - Acosta LLC,Manufacturing / DC Site - David Group,EMEA,AMER,WAREHOUSE,DC,-10.006231,-119.331699
PL71591,PL71591,Supply Location - Kent-Smith,Manufacturing / DC Site - Shaw PLC,EMEA,APAC,PLANT,PLANT,-37.431555,-75.464835
PL76188,PL76188,Supply Location - Wood LLC,Manufacturing / DC Site - Riley-Steele,EMEA,LATAM,CMO,CMO,-67.8496035,-81.363867
PL69180,PL69180,"Supply Location - Duffy, Walsh and Parker",Manufacturing / DC Site - Wise LLC,EMEA,APAC,WAREHOUSE,DC,-32.2685965,37.23349
PL51924,PL51924,Supply Location - White PLC,Manufacturing / DC Site - Mata-Spencer,APAC,LATAM,DC,PLANT,-14.8459065,162.991434
PL93156,PL93156,Supply Location - Castillo-Jackson,Manufacturing / DC Site - Johnson-George,APAC,APAC,DC,PLANT,76.454354,14.52594
PL77414,PL77414,Supply Location - Becker LLC,"Manufacturing / DC Site - Holmes, Werner and Bullock",AMER,AMER,PLANT,WAREHOUSE,-46.178077,-130.461306
PL96471,PL96471,Supply Location - Roberts PLC,"Manufacturing / DC Site - Gates, Powell and Farmer",APAC,APAC,PLANT,CMO,67.7641755,-40.700467
PL16130,PL16130,"Supply Location - Lucas, Young and Martinez",Manufacturing / DC Site - Hunter-King,AMER,APAC,CMO,WAREHOUSE,13.2215325,-165.79601
PL19981,PL19981,Supply Location - Hall PLC,Manufacturing / DC Site - Fischer-George,LATAM,AMER,WAREHOUSE,PLANT,-43.9017675,84.147925
PL71717,PL71717,Supply Location - Nelson and Sons,Manufacturing / DC Site - Farmer-Bishop,AMER,AMER,CMO,DC,6.094877,13.79664
PL37448,PL37448,Supply Location - Harper-Sanchez,Manufacturing / DC Site - Mcfarland Group,LATAM,EMEA,DC,CMO,-7.9912485,-2.69518
PL60009,PL60009,"Supply Location - Brown, Copeland and Flynn",Manufacturing / DC Site - Bush Ltd,AMER,AMER,DC,WAREHOUSE,65.2806275,-22.023374
PL34316,PL34316,Supply Location - Mathews-Olsen,"Manufacturing / DC Site - Crawford, Harper and Lopez",EMEA,AMER,DC,CMO,23.127959,147.337694
PL26160,PL26160,Supply Location - Brown PLC,"Manufacturing / DC Site - Bauer, Ware and Davis",AMER,AMER,WAREHOUSE,PLANT,-23.348111,-46.018522
PL23990,PL23990,"Supply Location - Harrison, Smith and Potter",Manufacturing / DC Site - Ballard-Valenzuela,APAC,LATAM,PLANT,DC,-80.406841,15.406518
PL24332,PL24332,Supply Location - Walton PLC,Manufacturing / DC Site - Chavez-Cannon,APAC,EMEA,DC,CMO,63.7290375,-126.553115
PL32417,PL32417,"Supply Location - Le, Jones and Riddle",Manufacturing / DC Site - Clark Ltd,AMER,AMER,WAREHOUSE,WAREHOUSE,2.0721025,-81.601529
PL45063,PL45063,Supply Location - Wilkins-Reyes,Manufacturing / DC Site - Walker Group,APAC,EMEA,CMO,PLANT,40.2657025,98.755061
PL92453,PL92453,Supply Location - Morton-Roth,Manufacturing / DC Site - Miller-Maddox,LATAM,EMEA,PLANT,PLANT,-10.6350375,107.326043
PL42557,PL42557,Supply Location - Smith and Sons,Manufacturing / DC Site - Smith-Montgomery,EMEA,LATAM,CMO,PLANT,-12.9946825,-0.405
PL30671,PL30671,Supply Location - Walker Inc,"Manufacturing / DC Site - Oneill, Weiss and Estrada",AMER,LATAM,DC,DC,-80.0931865,-81.195081
PL18767,PL18767,"Supply Location - Barry, Davis and Guerrero","Manufacturing / DC Site - Harris, Johnson and Huff",EMEA,AMER,DC,DC,73.0667935,-129.860991
PL62796,PL62796,"Supply Location - Mora, Wilson and Berger",Manufacturing / DC Site - Gray-Brady,LATAM,LATAM,DC,DC,43.2879415,178.696301
PL93911,PL93911,"Supply Location - Rose, Bates and Donovan",Manufacturing / DC Site - Molina LLC,LATAM,APAC,WAREHOUSE,CMO,18.187984,145.956573
PL86602,PL86602,Supply Location - Galvan Inc,"Manufacturing / DC Site - Lester, Wade and Lee",LATAM,AMER,CMO,CMO,42.931868,-97.275012
PL44447,PL44447,"Supply Location - Nelson, Ward and Soto",Manufacturing / DC Site - Lopez Group,APAC,LATAM,WAREHOUSE,WAREHOUSE,-28.080524,-7.930535
PL68282,PL68282,Supply Location - Jefferson Inc,"Manufacturing / DC Site - Ford, Edwards and Smith",LATAM,AMER,PLANT,PLANT,23.6236175,-101.646422
PL56876,PL56876,"Supply Location - Christian, Smith and Cannon",Manufacturing / DC Site - Farrell Group,EMEA,EMEA,CMO,WAREHOUSE,56.3522505,46.097941
PL75358,PL75358,Supply Location - Smith-Jordan,"Manufacturing / DC Site - Bowers, Bautista and Stokes",LATAM,APAC,WAREHOUSE,WAREHOUSE,55.098934,146.994236
PL21258,PL21258,Supply Location - Williams PLC,"Manufacturing / DC Site - Long, Crawford and Washington",AMER,EMEA,CMO,DC,51.414406,62.312273
PL90623,PL90623,"Supply Location - Chang, Haynes and Smith","Manufacturing / DC Site - Francis, Mccann and Wheeler",LATAM,LATAM,DC,CMO,-29.8433875,-24.582481
PL40393,PL40393,Supply Location - Ashley LLC,Manufacturing / DC Site - Summers LLC,AMER,APAC,DC,CMO,-82.245574,96.55529
PL35054,PL35054,Supply Location - Davis-Cook,"Manufacturing / DC Site - Phillips, Munoz and Stone",LATAM,AMER,WAREHOUSE,DC,-40.032709,121.241804
PL31098,PL31098,Supply Location - Meadows-Johnson,"Manufacturing / DC Site - Bond, Quinn and Andrade",AMER,EMEA,DC,DC,-43.5430355,26.851191
PL69916,PL69916,Supply Location - Osborne-Craig,Manufacturing / DC Site - Fernandez LLC,APAC,AMER,CMO,DC,-1.4846795,114.730237
PL14838,PL14838,Supply Location - Johnson and Sons,Manufacturing / DC Site - Collins Inc,EMEA,AMER,WAREHOUSE,CMO,-58.9519415,166.82857
PL52957,PL52957,Supply Location - Hughes-Robertson,"Manufacturing / DC Site - Grant, Woods and Sims",APAC,EMEA,WAREHOUSE,PLANT,8.24455,-124.107439
PL14939,PL14939,Supply Location - Tran Inc,Manufacturing / DC Site - Mosley Inc,LATAM,LATAM,WAREHOUSE,CMO,72.8195635,58.675021
PL94501,PL94501,"Supply Location - Bowman, Wright and Berg","Manufacturing / DC Site - Campbell, Mitchell and Davis",AMER,AMER,PLANT,WAREHOUSE,9.058373,45.901926
PL37713,PL37713,"Supply Location - Morris, Hawkins and Shannon","Manufacturing / DC Site - York, Blanchard and Patterson",LATAM,AMER,WAREHOUSE,DC,31.198332,53.926791
PL44922,PL44922,"Supply Location - Cohen, Contreras and Garcia","Manufacturing / DC Site - Diaz, Smith and Allen",LATAM,EMEA,WAREHOUSE,DC,53.2159905,126.737898
PL48117,PL48117,"Supply Location - Richardson, Meyers and Hall",Manufacturing / DC Site - Franklin Inc,LATAM,EMEA,CMO,DC,30.6516785,41.473502
PL97895,PL97895,Supply Location - Bennett PLC,"Manufacturing / DC Site - Clark, Wyatt and Davila",EMEA,APAC,PLANT,DC,69.0744335,87.31257
PL18048,PL18048,Supply Location - Lin Ltd,"Manufacturing / DC Site - Gilmore, Johnson and Bender",EMEA,APAC,WAREHOUSE,CMO,70.9155715,-151.347134
PL63361,PL63361,Supply Location - Gutierrez-Espinoza,Manufacturing / DC Site - Davis PLC,APAC,APAC,PLANT,PLANT,-47.2336575,74.920738
PL94551,PL94551,Supply Location - Martin Ltd,"Manufacturing / DC Site - Kramer, Pruitt and Waters",AMER,EMEA,DC,DC,79.02915,68.75424
PL79329,PL79329,Supply Location - Williams-Aguirre,"Manufacturing / DC Site - Erickson, Johnson and Mooney",EMEA,EMEA,PLANT,CMO,49.736779,92.71355
PL35551,PL35551,Supply Location - Reynolds LLC,"Manufacturing / DC Site - Burch, Ortiz and Hayes",AMER,LATAM,DC,WAREHOUSE,-42.0023495,14.11476
PL26594,PL26594,Supply Location - Macias and Sons,Manufacturing / DC Site - Gallagher and Sons,LATAM,APAC,CMO,WAREHOUSE,82.119922,178.073658
PL23819,PL23819,"Supply Location - Bolton, Sanchez and Velasquez","Manufacturing / DC Site - Hunt, Henderson and Webster",LATAM,AMER,CMO,WAREHOUSE,82.1207045,112.473688
PL80796,PL80796,Supply Location - Fitzpatrick-Gallagher,Manufacturing / DC Site - Bender-Casey,AMER,APAC,DC,PLANT,54.811597,31.46395
PL37120,PL37120,"Supply Location - Glenn, Cooper and Moss",Manufacturing / DC Site - Black PLC,APAC,LATAM,PLANT,CMO,58.496775,-75.72068
PL38170,PL38170,Supply Location - Perez Ltd,"Manufacturing / DC Site - Garcia, Sherman and Nguyen",EMEA,EMEA,DC,PLANT,10.90296,30.603256
PL35830,PL35830,"Supply Location - Gill, Tanner and Bray",Manufacturing / DC Site - Thompson-Acosta,APAC,EMEA,CMO,DC,18.085029,-143.931762
PL45648,PL45648,Supply Location - Baker-Hernandez,Manufacturing / DC Site - Lynch-Romero,APAC,LATAM,DC,CMO,27.89579,71.470706
PL69818,PL69818,Supply Location - Cole Group,Manufacturing / DC Site - York-Vargas,EMEA,EMEA,DC,CMO,11.317209,-57.964533
PL28362,PL28362,Supply Location - Burke-Bradford,Manufacturing / DC Site - Riddle Group,APAC,APAC,DC,CMO,-29.1383615,-102.085855
PL25741,PL25741,Supply Location - Gibbs Group,"Manufacturing / DC Site - Boone, Lewis and Christensen",AMER,AMER,DC,WAREHOUSE,25.247492,28.070609
PL58683,PL58683,Supply Location - Torres-Welch,Manufacturing / DC Site - Brown-Ramirez,LATAM,EMEA,WAREHOUSE,PLANT,55.7128385,-112.276331
PL23926,PL23926,Supply Location - Calhoun Ltd,Manufacturing / DC Site - Miller-Lowe,LATAM,APAC,WAREHOUSE,DC,5.3089455,-164.843808
PL51219,PL51219,"Supply Location - Erickson, Stein and Harris",Manufacturing / DC Site - Houston PLC,APAC,EMEA,PLANT,DC,25.6550905,-117.236714
PL10458,PL10458,Supply Location - Hines-Zimmerman,Manufacturing / DC Site - Gutierrez-Simon,APAC,EMEA,WAREHOUSE,DC,-53.557541,-43.490576
PL76593,PL76593,Supply Location - Watts-Parker,"Manufacturing / DC Site - Stanton, Gray and Stein",LATAM,EMEA,CMO,WAREHOUSE,56.943308,26.353035
PL80447,PL80447,Supply Location - Young-Garcia,"Manufacturing / DC Site - Carter, Davis and Williams",EMEA,LATAM,DC,DC,47.4936985,-41.064066
PL32803,PL32803,"Supply Location - Turner, Fernandez and Torres",Manufacturing / DC Site - Archer Inc,AMER,AMER,CMO,DC,4.2903675,-170.885126
PL22084,PL22084,Supply Location - Burton-Macdonald,"Manufacturing / DC Site - Jarvis, Leblanc and Campbell",LATAM,LATAM,CMO,PLANT,-14.387665,168.331887
PL31273,PL31273,Supply Location - Clark PLC,"Manufacturing / DC Site - Smith, Coleman and Mitchell",LATAM,AMER,CMO,WAREHOUSE,-73.6352805,-155.148108
PL66754,PL66754,"Supply Location - Rose, Daniel and Adams",Manufacturing / DC Site - Thompson-Horne,APAC,APAC,DC,PLANT,-8.902151,-177.503773
PL25719,PL25719,Supply Location - Velasquez-Stanton,Manufacturing / DC Site - Jensen Inc,AMER,EMEA,PLANT,WAREHOUSE,81.681718,177.367606
PL81282,PL81282,"Supply Location - Brown, Estrada and Nelson","Manufacturing / DC Site - Gibson, Reed and Mendoza",EMEA,APAC,DC,PLANT,-72.1377115,-28.821276
PL98549,PL98549,"Supply Location - Bauer, Chavez and Bruce",Manufacturing / DC Site - Reyes Inc,APAC,EMEA,WAREHOUSE,WAREHOUSE,19.868268,-50.662964
PL47600,PL47600,Supply Location - Kelly Ltd,Manufacturing / DC Site - Baker and Sons,APAC,EMEA,PLANT,PLANT,49.810287,40.817637
PL81204,PL81204,Supply Location - Evans-Clark,Manufacturing / DC Site - Bell-Hill,AMER,AMER,DC,DC,-85.844687,135.128226
PL11273,PL11273,Supply Location - Nash-Carey,"Manufacturing / DC Site - Austin, Bender and Peterson",EMEA,EMEA,PLANT,CMO,31.5323905,-165.948924
PL50148,PL50148,"Supply Location - Johnson, Gilbert and Thomas",Manufacturing / DC Site - Vasquez-Forbes,APAC,LATAM,WAREHOUSE,DC,-27.742197,131.77767
PL84832,PL84832,Supply Location - Griffin-Richardson,Manufacturing / DC Site - Fleming-Horton,APAC,LATAM,PLANT,DC,85.4919535,-28.330401
PL32473,PL32473,"Supply Location - Rocha, Nichols and Nelson","Manufacturing / DC Site - Burton, Brewer and Gregory",LATAM,AMER,PLANT,PLANT,4.0140945,-89.440774
PL48113,PL48113,"Supply Location - Barrera, Rogers and Prince",Manufacturing / DC Site - Lewis-Rush,APAC,LATAM,PLANT,PLANT,-48.6541365,16.169093
PL90733,PL90733,Supply Location - Flores-Howell,"Manufacturing / DC Site - Jordan, Lopez and Brown",LATAM,EMEA,CMO,CMO,-57.8432265,147.031658
PL55494,PL55494,Supply Location - Rogers-Dawson,Manufacturing / DC Site - Rodriguez and Sons,AMER,AMER,CMO,DC,-0.392186,-3.759675
PL24968,PL24968,Supply Location - Montes PLC,"Manufacturing / DC Site - Mitchell, Collins and Bradley",EMEA,EMEA,PLANT,WAREHOUSE,-10.8942495,-26.601023
PL20783,PL20783,"Supply Location - Morales, Richardson and Day","Manufacturing / DC Site - Hanson, Aguirre and Andrews",AMER,APAC,DC,DC,-12.841636,1.873509
PL25850,PL25850,Supply Location - Robertson-Mccoy,Manufacturing / DC Site - Walker Ltd,EMEA,EMEA,WAREHOUSE,DC,50.3117545,167.951119
PL90390,PL90390,"Supply Location - Cook, Kerr and Smith",Manufacturing / DC Site - Robertson Ltd,EMEA,AMER,CMO,WAREHOUSE,29.5618035,14.920827
PL77645,PL77645,Supply Location - Mckenzie Ltd,"Manufacturing / DC Site - Howe, Adams and Blake",APAC,EMEA,WAREHOUSE,PLANT,22.414999,140.004275
PL26709,PL26709,Supply Location - Johnson-Lopez,"Manufacturing / DC Site - Cooper, Page and Acosta",EMEA,APAC,WAREHOUSE,CMO,53.385654,102.23426
PL17600,PL17600,"Supply Location - Whitehead, Trujillo and Dalton",Manufacturing / DC Site - King and Sons,APAC,AMER,PLANT,PLANT,17.91829,7.149472
PL16668,PL16668,"Supply Location - Jones, Haynes and Johnson","Manufacturing / DC Site - Matthews, Romero and Wise",APAC,AMER,WAREHOUSE,DC,-60.9495115,80.498188
PL16213,PL16213,Supply Location - Martinez-Rios,Manufacturing / DC Site - Travis LLC,APAC,LATAM,CMO,PLANT,-72.975951,15.466782
PL36745,PL36745,"Supply Location - Murillo, Jones and Morgan",Manufacturing / DC Site - Taylor-Martinez,EMEA,EMEA,WAREHOUSE,PLANT,-19.442951,139.384674
PL38559,PL38559,Supply Location - Castaneda-Thomas,"Manufacturing / DC Site - Graham, Bradford and Stephenson",EMEA,APAC,WAREHOUSE,CMO,-85.4957965,-25.40642
PL27748,PL27748,Supply Location - Riley-Peterson,"Manufacturing / DC Site - Abbott, Randolph and Noble",LATAM,EMEA,CMO,WAREHOUSE,27.6419885,150.8041
PL88477,PL88477,"Supply Location - Macdonald, Hernandez and Ward",Manufacturing / DC Site - Arnold and Sons,AMER,AMER,WAREHOUSE,CMO,-20.5424475,153.798999
PL40485,PL40485,"Supply Location - Jackson, Johnson and Wilson",Manufacturing / DC Site - Moreno PLC,APAC,EMEA,WAREHOUSE,PLANT,21.5629545,91.753602
PL50726,PL50726,Supply Location - Jones-Hernandez,"Manufacturing / DC Site - Phillips, Meza and Mcguire",AMER,EMEA,CMO,DC,77.3194705,-63.830062
PL69545,PL69545,"Supply Location - Key, Pena and Pope","Manufacturing / DC Site - Cruz, Hurley and Lopez",AMER,APAC,DC,PLANT,-33.3290675,-87.920614
PL69416,PL69416,"Supply Location - Cunningham, Rogers and King",Manufacturing / DC Site - Wood-Thomas,LATAM,AMER,PLANT,DC,-52.883495,-59.16423
PL71560,PL71560,Supply Location - Rodriguez-Wilson,Manufacturing / DC Site - Downs Inc,AMER,EMEA,DC,DC,-77.3188255,53.6372
PL77036,PL77036,Supply Location - Tyler-Taylor,Manufacturing / DC Site - Sampson and Sons,EMEA,EMEA,WAREHOUSE,WAREHOUSE,-67.85839,105.873038
PL27526,PL27526,Supply Location - Fernandez-Gonzalez,Manufacturing / DC Site - Gutierrez-Fisher,APAC,LATAM,WAREHOUSE,WAREHOUSE,39.7035865,31.960802
PL38434,PL38434,Supply Location - Eaton PLC,"Manufacturing / DC Site - Blair, Jones and Bennett",EMEA,APAC,DC,WAREHOUSE,43.576282,2.582323
PL23957,PL23957,"Supply Location - Olson, Rowe and Stevenson","Manufacturing / DC Site - Nguyen, Arnold and Blanchard",AMER,LATAM,CMO,WAREHOUSE,22.2605535,35.656276
PL74693,PL74693,"Supply Location - Moore, Johnson and Bradley","Manufacturing / DC Site - Berry, Jenkins and Hooper",APAC,AMER,CMO,PLANT,-22.451251,-52.591777
PL84847,PL84847,Supply Location - Shepard-Thomas,Manufacturing / DC Site - Mcguire-Stuart,APAC,AMER,WAREHOUSE,DC,-44.3646595,163.566853
PL17164,PL17164,"Supply Location - Quinn, Zhang and Wilson","Manufacturing / DC Site - Hahn, Higgins and Mora",LATAM,LATAM,DC,WAREHOUSE,56.161994,-164.768129
PL12265,PL12265,"Supply Location - Rivas, Sanchez and Tran",Manufacturing / DC Site - Ware-Hill,LATAM,EMEA,DC,DC,47.295323,105.813295
PL38238,PL38238,"Supply Location - Figueroa, Malone and Fox",Manufacturing / DC Site - Miller Inc,LATAM,AMER,CMO,PLANT,-9.092098,-0.018001
PL97918,PL97918,Supply Location - Smith Inc,Manufacturing / DC Site - Saunders-Aguilar,APAC,EMEA,WAREHOUSE,WAREHOUSE,51.314362,-158.981355
PL11563,PL11563,"Supply Location - Walker, Adams and Nicholson",Manufacturing / DC Site - Webb Inc,APAC,AMER,CMO,WAREHOUSE,82.8521435,-20.097294
PL23055,PL23055,Supply Location - Smith Group,Manufacturing / DC Site - Mccarty-Wagner,AMER,AMER,CMO,PLANT,-19.5614795,-109.147923
PL34575,PL34575,Supply Location - Lewis Group,Manufacturing / DC Site - Massey and Sons,APAC,APAC,CMO,PLANT,34.8998685,108.707134
