MANDT,PRUEFLOS,WERK,ART,HERKUNFT,OBJNR,OBTYP,STSMA,STAT11,INSMK,ENSTEHDAT,ERSTELDAT,AENDERDAT,PASTRTERM,PAENDTERM,MATNR,SELWERK,BUKRS,CHARG,LICHN,SOBKZ,LOSMENGE,LMENGEPR,LMENGEIST,LMENGESCH,ANTEIL,PRCTR,GSBER,KOKRS,KOSTL,PRSTUFE,PRSCHAERFE
100,100000000012,P020,04,02,OBJ692322602563,INV,QM000001,"",X,20260110,20260110,20260115,20260110,20260115,593323886173394153,P020,P020,BATCH42160,VEN73375,"",2541.503,2563.017,2280.871,291.465,0.91,PC4330,GB36,1000,COST5414,0005,006
100,100000000013,P001,04,02,OBJ868501429401,PUR,QM000002,"",X,20250629,20250629,20250705,20250629,20250705,847061065912949614,P001,P013,BATCH96556,VEN98169,K,2893.603,3929.395,2929.544,124.8,0.09,PC3406,GB08,1000,COST8356,0002,006
100,100000000014,P046,08,02,OBJ595148465648,MAT,QM000002,X,X,20250318,20250318,20250327,20250318,20250327,965289351188338940,P046,P022,BATCH23662,VEN99468,"",425.269,1474.5,2018.044,226.575,0.71,PC0443,GB69,2000,COST9577,0005,004
100,100000000015,P029,08,03,OBJ387214895134,PUR,QM000001,X,"",20250801,20250801,20250807,20250801,20250807,560781772272347657,P029,P050,BATCH33200,VEN37917,"",994.107,1283.975,2246.801,301.956,0.521,PC6936,GB76,2000,COST3201,0003,003
100,100000000016,P032,01,01,OBJ328708317278,INV,QM000001,X,X,20251202,20251202,20251208,20251202,20251208,263507127397395387,P032,P045,BATCH89579,VEN86872,"",1283.265,1014.349,2011.526,191.039,0.409,PC7743,GB48,1000,COST7347,0004,003
100,100000000017,P025,08,01,OBJ434558122362,MAT,QM000002,"","",20250321,20250321,20250331,20250321,20250331,683896810251783328,P025,P008,BATCH31665,VEN87603,K,3057.038,3640.22,1042.959,132.391,0.549,PC6690,GB96,2000,COST7054,0003,008
100,100000000018,P039,04,03,OBJ688937346706,MAT,QM000002,"","",20251123,20251123,20251128,20251123,20251128,611500050976650657,P039,P006,BATCH56272,VEN98069,"",1628.471,2692.306,610.731,367.459,0.147,PC9016,GB27,1000,COST2046,0004,008
100,100000000019,P050,01,01,OBJ755646417080,PUR,QM000001,"",X,20250620,20250620,20250622,20250620,20250622,535003207387756596,P050,P047,BATCH53100,VEN33092,K,3052.228,1781.972,3830.094,492.168,0.861,PC3271,GB93,2000,COST7452,0002,005
100,100000000020,P016,08,02,OBJ124190496631,PUR,QM000002,X,"",20250930,20250930,20251006,20250930,20251006,864794328507998505,P016,P019,BATCH93149,VEN19058,K,3442.391,3078.885,3840.397,425.822,0.237,PC6518,GB50,2000,COST6716,0005,003
100,100000000021,P001,08,03,OBJ726284987769,PUR,QM000002,"",X,20260207,20260207,20260215,20260207,20260215,660998432049486384,P001,P012,BATCH45314,VEN73799,"",2180.529,2998.296,2793.305,304.912,0.232,PC6507,GB52,2000,COST7354,0004,007
100,100000000022,P046,04,03,OBJ948083136783,MAT,QM000002,"",X,20250625,20250625,20250703,20250625,20250703,832858833189523811,P046,P022,BATCH77701,VEN43634,K,656.628,3940.723,2593.516,208.452,0.915,PC9578,GB85,2000,COST6855,0005,004
100,100000000023,P047,08,01,OBJ444313518233,INV,QM000002,X,X,20251105,20251105,20251111,20251105,20251111,629935020922703813,P047,P009,BATCH74989,VEN41343,K,660.303,3365.646,1925.151,465.468,0.068,PC5240,GB82,2000,COST4008,0004,008
100,100000000024,P040,04,03,OBJ271094777520,INV,QM000001,X,X,20250607,20250607,20250614,20250607,20250614,313968457826923145,P040,P050,BATCH47116,VEN71902,"",3444.428,3490.711,3170.693,20.599,0.251,PC2941,GB31,1000,COST8699,0004,009
100,100000000025,P038,01,03,OBJ386774964990,MAT,QM000002,"","",20251207,20251207,20251215,20251207,20251215,852262076300104578,P038,P050,BATCH91334,VEN12328,"",4153.824,963.812,729.659,63.619,0.668,PC1206,GB79,1000,COST7403,0001,008
100,100000000026,P039,04,02,OBJ471349361832,MAT,QM000002,"","",20250606,20250606,20250613,20250606,20250613,223604112138612292,P039,P042,BATCH42102,VEN49947,"",446.357,613.936,1574.881,496.397,0.859,PC1746,GB48,2000,COST8771,0001,010
100,100000000027,P023,04,02,OBJ659401399049,INV,QM000002,X,X,20250927,20250927,20251007,20250927,20251007,306735969269672874,P023,P042,BATCH02787,VEN42967,K,3511.372,1914.921,3511.283,100.331,0.738,PC1756,GB55,1000,COST1256,0002,008
100,100000000028,P008,01,03,OBJ468071545168,MAT,QM000002,X,"",20251101,20251101,20251109,20251101,20251109,731269168396903599,P008,P031,BATCH08760,VEN38597,K,4798.983,1018.582,2735.821,236.003,0.12,PC7034,GB82,1000,COST4771,0001,005
100,100000000029,P035,01,01,OBJ932480861317,INV,QM000002,X,X,20250303,20250303,20250304,20250303,20250304,980583765567807229,P035,P039,BATCH12748,VEN46773,K,226.25,2398.055,3396.893,20.921,0.637,PC7826,GB39,1000,COST8214,0005,007
100,100000000030,P018,01,01,OBJ658404499727,INV,QM000001,"","",20251130,20251130,20251210,20251130,20251210,935168821560844534,P018,P010,BATCH87558,VEN86753,K,4604.538,2829.112,399.652,164.895,0.646,PC3963,GB60,1000,COST5766,0005,010
100,100000000031,P023,04,02,OBJ270289517187,MAT,QM000001,X,"",20260217,20260217,20260219,20260217,20260219,685842922012743031,P023,P028,BATCH02621,VEN74596,"",4550.367,251.449,1914.532,135.819,0.92,PC1586,GB57,2000,COST8091,0002,006
100,100000000032,P010,04,03,OBJ431611724005,INV,QM000001,X,X,20250517,20250517,20250520,20250517,20250520,624886819634434153,P010,P041,BATCH04556,VEN23869,K,4223.339,2542.215,1388.472,382.91,0.676,PC2221,GB96,2000,COST9379,0003,003
100,100000000033,P005,01,01,OBJ747407482175,MAT,QM000001,"",X,20250414,20250414,20250421,20250414,20250421,994505620314696593,P005,P034,BATCH94647,VEN43671,"",574.983,1859.777,1891.902,422.1,0.528,PC3695,GB94,2000,COST4064,0001,004
100,100000000034,P029,01,02,OBJ097439533942,PUR,QM000001,X,"",20250223,20250223,20250301,20250223,20250301,490635847748241681,P029,P041,BATCH10470,VEN95214,K,540.442,3550.445,1669.701,372.599,0.476,PC5623,GB28,2000,COST5884,0002,003
100,100000000035,P045,08,01,OBJ474517123685,INV,QM000001,X,"",20251221,20251221,20251230,20251221,20251230,597002087038861973,P045,P048,BATCH16048,VEN17549,"",781.407,721.095,1503.206,442.184,0.819,PC6513,GB70,1000,COST9859,0001,007
100,100000000036,P020,04,02,OBJ174612004711,MAT,QM000002,X,X,20250513,20250513,20250516,20250513,20250516,496491275557895495,P020,P016,BATCH38267,VEN58692,"",807.559,1926.313,1644.689,168.523,0.269,PC6179,GB64,1000,COST0537,0004,002
100,100000000037,P024,04,01,OBJ351585064317,MAT,QM000001,"","",20250802,20250802,20250806,20250802,20250806,512822502243419552,P024,P045,BATCH13900,VEN53293,"",2229.437,1180.881,3863.155,76.166,0.598,PC1839,GB33,1000,COST5290,0003,004
100,100000000038,P045,04,02,OBJ228421020539,INV,QM000001,X,X,20250602,20250602,20250611,20250602,20250611,625211233858646317,P045,P037,BATCH50240,VEN26811,"",4131.471,1363.108,463.574,142.115,0.513,PC7758,GB91,2000,COST7839,0005,003
100,100000000039,P046,04,01,OBJ847007661771,INV,QM000002,"",X,20250308,20250308,20250312,20250308,20250312,635892087266313198,P046,P032,BATCH15921,VEN24998,"",733.035,3267.81,883.85,284.05,0.698,PC5698,GB47,2000,COST8961,0001,002
100,100000000040,P045,08,03,OBJ183673657661,MAT,QM000001,"","",20251208,20251208,20251212,20251208,20251212,772204123257462278,P045,P016,BATCH56545,VEN27111,"",2218.086,1161.957,2582.092,182.492,0.483,PC1615,GB28,1000,COST0988,0001,004
100,100000000041,P042,08,01,OBJ165604945198,MAT,QM000001,X,X,20250621,20250621,20250701,20250621,20250701,230590854450594872,P042,P049,BATCH32731,VEN58514,K,3302.521,1317.197,2956.224,130.54,0.256,PC9368,GB99,2000,COST8094,0005,002
100,100000000042,P034,01,03,OBJ445502296120,MAT,QM000001,"",X,20250303,20250303,20250313,20250303,20250313,231392154413347159,P034,P032,BATCH18366,VEN75254,"",1356.182,960.363,3476.085,321.398,0.648,PC5991,GB02,2000,COST2901,0002,010
100,100000000043,P036,04,03,OBJ679764381561,MAT,QM000001,X,X,20250531,20250531,20250601,20250531,20250601,285514570463750880,P036,P021,BATCH49784,VEN03690,"",2310.291,1864.457,423.812,337.684,0.823,PC0343,GB24,1000,COST4510,0005,010
100,100000000044,P048,01,02,OBJ622683885160,MAT,QM000002,"",X,20250822,20250822,20250827,20250822,20250827,361599764563779693,P048,P006,BATCH60715,VEN96966,"",2695.494,2131.738,1178.548,423.109,0.319,PC4160,GB52,2000,COST9751,0002,004
100,100000000045,P001,08,01,OBJ136968164535,PUR,QM000001,"","",20250730,20250730,20250809,20250730,20250809,833818323776080488,P001,P043,BATCH21818,VEN83552,"",901.992,1412.157,2002.596,467.627,0.959,PC3124,GB32,1000,COST9212,0004,009
100,100000000046,P018,01,03,OBJ779979955271,MAT,QM000001,X,X,20260204,20260204,20260211,20260204,20260211,314254479526281382,P018,P046,BATCH77449,VEN05814,"",2511.513,121.135,384.836,38.476,0.786,PC7700,GB54,2000,COST1199,0001,007
100,100000000047,P015,04,02,OBJ798079359782,PUR,QM000001,"","",20250825,20250825,20250831,20250825,20250831,116769399797403172,P015,P028,BATCH07151,VEN82037,K,2345.581,1083.253,912.721,172.427,0.062,PC7889,GB25,2000,COST5466,0005,003
100,100000000048,P025,01,03,OBJ905151864492,INV,QM000002,X,X,20251201,20251201,20251211,20251201,20251211,335587166878654895,P025,P003,BATCH51925,VEN46291,K,2617.455,3511.45,1434.254,74.232,0.019,PC4865,GB28,2000,COST1685,0004,006
100,100000000049,P019,04,01,OBJ423573322141,PUR,QM000001,X,"",20250227,20250227,20250228,20250227,20250228,147003605327537227,P019,P043,BATCH88805,VEN92962,K,4052.083,2666.615,202.818,369.568,0.855,PC2292,GB70,1000,COST6537,0005,008
100,100000000050,P035,04,02,OBJ738347359774,INV,QM000002,X,X,20251002,20251002,20251003,20251002,20251003,709622115611714829,P035,P005,BATCH68862,VEN39240,"",2771.932,507.539,1900.543,72.6,0.17,PC7581,GB81,1000,COST4124,0001,001
100,100000000051,P001,01,03,OBJ826137506068,INV,QM000002,"",X,20250804,20250804,20250809,20250804,20250809,895468193615922873,P001,P024,BATCH53615,VEN30515,"",4990.739,3779.743,3350.616,296.236,0.322,PC2204,GB72,1000,COST7790,0005,008
100,100000000052,P001,08,02,OBJ043289861434,INV,QM000001,X,"",20260118,20260118,20260121,20260118,20260121,517415390997895597,P001,P037,BATCH10369,VEN71179,"",1599.051,1263.603,3205.267,380.194,0.195,PC8089,GB32,2000,COST4609,0005,007
100,100000000053,P027,04,02,OBJ962185188888,MAT,QM000001,X,"",20250630,20250630,20250704,20250630,20250704,369879961733613732,P027,P004,BATCH06706,VEN54051,"",3072.293,2041.007,2786.398,126.902,0.202,PC5319,GB52,2000,COST0585,0003,008
100,100000000054,P033,01,01,OBJ277221704303,PUR,QM000002,X,"",20251215,20251215,20251217,20251215,20251217,474952474569394675,P033,P010,BATCH05486,VEN87403,"",1592.555,1905.982,3782.223,454.285,0.616,PC4505,GB41,2000,COST5667,0004,001
100,100000000055,P002,04,03,OBJ652775841616,PUR,QM000001,X,"",20260114,20260114,20260117,20260114,20260117,259107175202784239,P002,P031,BATCH92845,VEN11544,K,4415.527,3113.093,1900.386,41.796,0.97,PC7962,GB75,1000,COST7059,0002,009
100,100000000056,P006,01,01,OBJ401658202970,INV,QM000002,"",X,20260221,20260221,20260226,20260221,20260226,828678864754045399,P006,P045,BATCH21355,VEN69092,K,740.969,2638.5,1650.958,230.122,0.613,PC7557,GB19,1000,COST2856,0005,008
100,100000000057,P003,08,03,OBJ431027868144,PUR,QM000001,"",X,20250616,20250616,20250620,20250616,20250620,589200864711239425,P003,P049,BATCH73947,VEN31217,"",3209.781,2502.065,3068.599,389.313,0.901,PC2715,GB51,2000,COST8844,0003,010
100,100000000058,P039,01,01,OBJ258313237058,INV,QM000002,X,X,20251229,20251229,20260108,20251229,20260108,296333830272414692,P039,P007,BATCH95782,VEN91146,"",2876.186,688.379,2280.956,369.308,0.183,PC7866,GB91,1000,COST2517,0002,004
100,100000000059,P002,04,03,OBJ852892268018,INV,QM000002,"",X,20250810,20250810,20250812,20250810,20250812,305441796066878079,P002,P008,BATCH24225,VEN35841,K,489.335,501.961,1640.457,385.103,0.227,PC4384,GB24,2000,COST9818,0001,005
100,100000000060,P016,04,01,OBJ992299590010,MAT,QM000001,"","",20251013,20251013,20251019,20251013,20251019,993451850034805304,P016,P017,BATCH94396,VEN90784,K,4838.188,3162.795,281.465,360.946,0.271,PC4736,GB47,1000,COST1027,0004,007
100,100000000061,P023,04,03,OBJ735925556258,INV,QM000001,X,X,20250723,20250723,20250724,20250723,20250724,687626721656609874,P023,P029,BATCH81537,VEN14732,K,2235.796,327.285,2615.756,236.413,0.845,PC1046,GB96,2000,COST3259,0002,007
100,100000000062,P024,01,01,OBJ327877470168,MAT,QM000002,"","",20251111,20251111,20251115,20251111,20251115,121157687828011937,P024,P010,BATCH73395,VEN00479,K,422.873,2812.612,1360.397,112.134,0.491,PC7480,GB16,1000,COST2456,0002,004
100,100000000063,P012,04,01,OBJ609835841687,MAT,QM000001,X,X,20250704,20250704,20250710,20250704,20250710,474952474569394675,P012,P017,BATCH84991,VEN21655,K,1660.612,2124.906,1437.151,213.952,0.6,PC8523,GB98,2000,COST6800,0003,006
100,100000000064,P027,01,01,OBJ578729825952,MAT,QM000002,X,X,20250307,20250307,20250310,20250307,20250310,721885876508057494,P027,P022,BATCH69495,VEN88879,K,651.665,2438.421,1147.368,490.804,0.074,PC4705,GB51,1000,COST6940,0002,003
100,100000000065,P017,01,03,OBJ499309728962,INV,QM000001,X,X,20250927,20250927,20251006,20250927,20251006,136518025421747867,P017,P048,BATCH30913,VEN07562,K,4649.196,250.42,984.632,168.922,0.954,PC6368,GB97,1000,COST0283,0004,005
100,100000000066,P009,04,01,OBJ786527858549,PUR,QM000001,"","",20250914,20250914,20250917,20250914,20250917,460920789111314338,P009,P048,BATCH73348,VEN43443,K,2413.35,3602.77,1858.443,24.565,0.16,PC7575,GB84,2000,COST4198,0005,008
100,100000000067,P016,04,01,OBJ652404157473,PUR,QM000002,"",X,20250709,20250709,20250715,20250709,20250715,388759383134341468,P016,P047,BATCH38484,VEN21993,K,1310.58,2606.735,1191.991,129.508,0.233,PC3083,GB30,2000,COST1657,0002,005
100,100000000068,P033,04,02,OBJ208267734540,PUR,QM000002,"","",20250329,20250329,20250408,20250329,20250408,606618293166032268,P033,P048,BATCH19380,VEN26206,K,4104.552,2524.313,2590.057,459.575,0.178,PC7240,GB04,1000,COST9915,0002,008
100,100000000069,P031,04,03,OBJ887287431527,PUR,QM000001,"",X,20250605,20250605,20250610,20250605,20250610,714263940932738680,P031,P011,BATCH42054,VEN93296,K,1294.494,2893.441,3145.695,455.662,0.818,PC6851,GB61,1000,COST2275,0003,009
100,100000000070,P005,04,02,OBJ046374549904,PUR,QM000001,X,X,20260129,20260129,20260131,20260129,20260131,408243277195075075,P005,P026,BATCH53017,VEN42684,K,4345.86,2498.173,3340.965,262.109,0.194,PC1459,GB33,2000,COST2727,0004,008
100,100000000071,P026,08,02,OBJ956878339187,MAT,QM000002,X,X,20251121,20251121,20251123,20251121,20251123,554460301530401617,P026,P014,BATCH85191,VEN08839,"",2653.045,2484.216,2914.104,9.602,0.88,PC8225,GB87,1000,COST1397,0004,006
100,100000000072,P006,08,01,OBJ870728679087,PUR,QM000001,"","",20250326,20250326,20250402,20250326,20250402,577016867611083894,P006,P023,BATCH40640,VEN39106,"",4101.786,2961.241,2948.207,186.519,0.808,PC5180,GB17,2000,COST0462,0003,009
100,100000000073,P011,01,02,OBJ656766182512,MAT,QM000002,X,"",20251129,20251129,20251208,20251129,20251208,914048905448103253,P011,P024,BATCH86823,VEN00478,"",351.275,2018.377,979.858,283.245,0.691,PC6863,GB37,1000,COST5243,0003,002
100,100000000074,P005,04,02,OBJ106903311907,PUR,QM000002,X,"",20260130,20260130,20260204,20260130,20260204,857671135340202055,P005,P013,BATCH90306,VEN73830,"",1678.261,218.495,3559.975,148.22,0.705,PC2843,GB95,2000,COST9953,0001,008
100,100000000075,P018,01,01,OBJ283644089268,INV,QM000001,X,X,20250611,20250611,20250616,20250611,20250616,724178596729918819,P018,P034,BATCH70568,VEN56624,K,2555.289,3968.937,3772.91,431.38,0.961,PC6287,GB33,1000,COST4270,0004,005
100,100000000076,P014,04,01,OBJ688263435175,INV,QM000001,"","",20250914,20250914,20250915,20250914,20250915,536040508172851976,P014,P043,BATCH18304,VEN69901,"",1112.747,144.751,1954.213,41.259,0.081,PC3983,GB73,2000,COST5403,0005,009
100,100000000077,P045,01,01,OBJ173936385467,MAT,QM000001,X,"",20260130,20260130,20260202,20260130,20260202,544740861429320681,P045,P011,BATCH85445,VEN87717,"",3995.938,1292.468,230.097,259.873,0.01,PC5355,GB60,1000,COST9320,0005,005
100,100000000078,P029,01,02,OBJ996423536937,MAT,QM000002,"","",20250527,20250527,20250531,20250527,20250531,923376129778569835,P029,P032,BATCH85477,VEN72522,"",1621.008,1062.254,712.007,87.289,0.211,PC8728,GB08,2000,COST0100,0003,006
100,100000000079,P003,01,01,OBJ312038750997,MAT,QM000002,"","",20250721,20250721,20250727,20250721,20250727,800755134961409988,P003,P044,BATCH70088,VEN60084,K,927.74,2339.784,1255.089,269.972,0.579,PC8408,GB62,1000,COST1182,0001,005
100,100000000080,P012,01,01,OBJ984546156793,INV,QM000001,"",X,20250520,20250520,20250523,20250520,20250523,621564337160922198,P012,P020,BATCH34101,VEN66687,"",4618.958,1743.612,2193.353,108.856,0.172,PC0021,GB76,1000,COST5918,0002,008
100,100000000081,P042,08,03,OBJ339740148902,INV,QM000002,"",X,20260123,20260123,20260130,20260123,20260130,893159671686089029,P042,P027,BATCH50392,VEN61429,"",4563.829,1135.852,3497.492,177.793,0.241,PC3968,GB56,1000,COST2185,0003,010
100,100000000082,P017,01,03,OBJ631599965047,MAT,QM000001,X,X,20250312,20250312,20250320,20250312,20250320,566494017743760723,P017,P023,BATCH73586,VEN62961,"",203.405,2687.521,2340.182,176.001,0.354,PC9431,GB14,1000,COST2626,0004,005
100,100000000083,P020,01,02,OBJ110475412126,MAT,QM000002,"",X,20250616,20250616,20250620,20250616,20250620,998371922819378346,P020,P037,BATCH78886,VEN10158,"",2828.358,1435.739,1958.931,119.144,0.093,PC1995,GB60,1000,COST4661,0003,003
100,100000000084,P016,01,02,OBJ839826224447,PUR,QM000001,"","",20251113,20251113,20251114,20251113,20251114,565589268314670144,P016,P049,BATCH21264,VEN64715,K,1763.982,843.428,279.38,405.334,0.318,PC4379,GB93,2000,COST7124,0003,005
100,100000000085,P034,04,02,OBJ659657569245,MAT,QM000001,"",X,20250223,20250223,20250305,20250223,20250305,461266336169365466,P034,P001,BATCH93752,VEN65479,"",4905.082,1063.934,2035.825,423.455,0.823,PC3564,GB65,1000,COST1939,0005,001
100,100000000086,P050,04,02,OBJ280737416724,MAT,QM000001,X,X,20260220,20260220,20260302,20260220,20260302,414913747507266625,P050,P011,BATCH34266,VEN17979,K,2460.794,3559.264,2158.328,471.244,0.296,PC6886,GB80,1000,COST5891,0002,007
100,100000000087,P049,04,01,OBJ352909656101,MAT,QM000002,X,X,20250402,20250402,20250407,20250402,20250407,914555560734910743,P049,P003,BATCH43888,VEN99375,"",582.116,254.536,2587.793,179.895,0.652,PC6798,GB25,1000,COST0714,0005,003
100,100000000088,P021,08,01,OBJ112545738757,PUR,QM000001,X,X,20250723,20250723,20250724,20250723,20250724,542329284924118357,P021,P044,BATCH17751,VEN40105,K,3592.794,1080.144,2762.209,294.83,0.666,PC1238,GB28,2000,COST2586,0002,006
100,100000000089,P041,01,03,OBJ362266093796,MAT,QM000001,"",X,20260206,20260206,20260211,20260206,20260211,326111355623727304,P041,P014,BATCH60334,VEN19182,"",1823.4,586.627,3215.839,105.159,0.13,PC5537,GB14,1000,COST7859,0001,002
100,100000000090,P009,04,02,OBJ691557924991,PUR,QM000002,X,X,20250713,20250713,20250716,20250713,20250716,950934515956494085,P009,P042,BATCH25134,VEN12528,K,4299.992,2376.093,536.264,116.87,0.346,PC6692,GB96,1000,COST6278,0001,008
100,100000000091,P021,04,01,OBJ282742257905,PUR,QM000001,"","",20251101,20251101,20251110,20251101,20251110,893900221909041734,P021,P029,BATCH07236,VEN88767,K,1560.245,2383.989,470.162,101.202,0.6,PC6772,GB19,2000,COST0340,0002,007
100,100000000092,P011,04,02,OBJ842797881914,PUR,QM000001,X,X,20250601,20250601,20250611,20250601,20250611,289389293472991697,P011,P036,BATCH85807,VEN83613,"",176.5,257.231,3815.608,468.222,0.597,PC4074,GB51,2000,COST7133,0003,006
100,100000000093,P029,01,01,OBJ959629233095,INV,QM000002,X,"",20251214,20251214,20251221,20251214,20251221,247591268736175837,P029,P042,BATCH84982,VEN54494,"",2123.908,3072.839,514.45,303.413,0.527,PC8126,GB04,2000,COST2232,0004,008
100,100000000094,P014,08,02,OBJ367294667116,PUR,QM000002,X,X,20251108,20251108,20251111,20251108,20251111,968585962844745742,P014,P042,BATCH84577,VEN59017,K,3007.835,3398.946,1034.304,151.791,0.75,PC5186,GB36,1000,COST3745,0005,005
100,100000000095,P025,04,03,OBJ589297500170,PUR,QM000001,"","",20251221,20251221,20251230,20251221,20251230,507363379483511606,P025,P046,BATCH12770,VEN63242,"",1022.726,2999.673,2291.841,302.97,0.999,PC4154,GB15,2000,COST2064,0005,001
100,100000000096,P004,04,01,OBJ361103712938,PUR,QM000001,"","",20251113,20251113,20251123,20251113,20251123,480628494055829125,P004,P031,BATCH70051,VEN62713,K,3963.874,200.743,1527.512,233.646,0.972,PC6111,GB55,1000,COST4262,0003,007
100,100000000097,P005,08,03,OBJ218909275326,PUR,QM000002,"",X,20251013,20251013,20251016,20251013,20251016,556996671905243063,P005,P037,BATCH97311,VEN21965,K,4103.44,2278.405,3648.821,217.018,0.37,PC6523,GB41,1000,COST3899,0005,008
100,100000000098,P034,01,01,OBJ404389836403,PUR,QM000002,X,"",20251111,20251111,20251117,20251111,20251117,492507730999261177,P034,P005,BATCH76137,VEN91805,"",2552.315,1111.667,1421.826,29.144,0.772,PC5269,GB65,2000,COST8271,0005,005
100,100000000099,P022,04,01,OBJ104300684866,MAT,QM000001,X,X,20250227,20250227,20250228,20250227,20250228,151246850901788542,P022,P034,BATCH61889,VEN24141,"",2630.522,721.021,654.666,417.512,0.94,PC8328,GB56,2000,COST9146,0003,008
100,100000000100,P037,01,02,OBJ303161799042,PUR,QM000001,X,"",20251115,20251115,20251123,20251115,20251123,738685271151165636,P037,P039,BATCH10202,VEN75884,K,2299.307,1897.487,1984.784,386.531,0.792,PC2524,GB10,2000,COST5648,0005,001
100,100000000101,P049,08,03,OBJ917785079252,MAT,QM000001,"","",20250316,20250316,20250320,20250316,20250320,693617666746259807,P049,P009,BATCH41913,VEN80003,K,2750.892,3144.736,2390.452,403.555,0.114,PC0756,GB22,2000,COST0863,0001,001
100,100000000102,P008,01,03,OBJ654195180238,PUR,QM000001,"","",20250618,20250618,20250628,20250618,20250628,782630035269671194,P008,P040,BATCH06174,VEN45187,"",1042.257,377.632,2093.529,346.552,0.413,PC0534,GB94,1000,COST9375,0004,001
100,100000000103,P034,04,01,OBJ738320603850,MAT,QM000002,"",X,20250925,20250925,20250928,20250925,20250928,157716307235540954,P034,P021,BATCH50641,VEN38367,"",129.841,2621.66,2110.024,394.833,0.193,PC0241,GB03,2000,COST8657,0001,009
100,100000000104,P032,08,01,OBJ191826199062,PUR,QM000002,"","",20260212,20260212,20260219,20260212,20260219,667955207047739218,P032,P048,BATCH34456,VEN55743,K,4308.416,814.031,2564.472,384.544,0.79,PC1329,GB12,2000,COST1277,0002,006
100,100000000105,P009,08,03,OBJ185374741124,PUR,QM000001,"","",20250615,20250615,20250623,20250615,20250623,559743997620225723,P009,P031,BATCH90352,VEN13568,K,4770.238,1728.777,1488.333,168.781,0.237,PC0442,GB06,1000,COST7883,0005,002
